gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.96099108,0015,0100,0035,0.00000000,"SimpleCart,JRip,SimpleCart_minNumObj,Aggregator,PART,JRip_usePruning,DecisionTable,SimpleCart_usePrune,PART_binarySplits,J48,J48_binarySplits,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,PART_useMDLcorrection,DecisionTable_search,J48_minNumObj,JRip_minNo,J48_useMDLcorrection,JRip_folds,SimpleCart_heuristic,JRip_checkErrorRate,PART_minNumObj,PART_pruning,GreedyStepwise_searchBackwards,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,DecisionTable_useIBk,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_optimizations,J48_numFolds,BestFirst_searchTermination,BestFirst_direction,PART_numFolds,J48_subtreeRaising"
1,49,0.00000000,0.00000000,0.00000000,0.96285669,0011,0100,0035,0.00000000,"J48,J48_useMDLcorrection,JRip,JRip_minNo,J48_useLaplace,J48_binarySplits,J48_pruning,SimpleCart,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_useIBk,DecisionTable_crossVal,J48_confidenceFactorValue,SimpleCart_usePrune,JRip_usePruning,JRip_checkErrorRate,Aggregator,PART,PART_pruning,DecisionTable_evaluationMeasure,J48_minNumObj,J48_subtreeRaising,J48_collapseTree,JRip_folds,SimpleCart_useOneSE,J48_numFolds,SimpleCart_heuristic,SimpleCart_numFoldsPruning,DecisionTable_search,JRip_optimizations,SimpleCart_minNumObj,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_numFolds,PART_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
2,49,0.00000000,0.00000000,0.00000000,0.96301882,0013,0100,0035,0.00000000,"PART,PART_binarySplits,PART_pruning,PART_useMDLcorrection,DecisionTable,DecisionTable_evaluationMeasure,J48,J48_binarySplits,JRip,J48_collapseTree,JRip_minNo,DecisionTable_useIBk,J48_useMDLcorrection,PART_numFolds,DecisionTable_crossVal,J48_pruning,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,Aggregator,DecisionTable_search,PART_minNumObj,J48_useLaplace,BestFirst_direction,J48_subtreeRaising,SimpleCart,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_minNumObj,SimpleCart_heuristic,GreedyStepwise_searchBackwards,JRip_usePruning,SimpleCart_minNumObj,J48_numFolds,J48_confidenceFactorValue,JRip_folds,SimpleCart_usePrune,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
3,49,0.00000000,0.00000000,0.00000000,0.96301882,0012,0100,0035,0.00000000,"JRip,Aggregator,J48,J48_minNumObj,PART,SimpleCart,J48_useMDLcorrection,J48_useLaplace,PART_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable,SimpleCart_minNumObj,PART_minNumObj,J48_pruning,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,J48_collapseTree,DecisionTable_evaluationMeasure,J48_binarySplits,JRip_usePruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,PART_useMDLcorrection,PART_pruning,JRip_optimizations,PART_numFolds,SimpleCart_heuristic,DecisionTable_crossVal,J48_numFolds,PART_confidenceFactorValue,JRip_folds,J48_subtreeRaising,DecisionTable_useIBk,BestFirst_direction,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards"
4,49,0.00000000,0.00000000,0.00000000,0.96403157,0014,0100,0035,0.00000000,"J48,SimpleCart,DecisionTable,J48_pruning,J48_useMDLcorrection,J48_collapseTree,JRip,PART,SimpleCart_usePrune,JRip_usePruning,J48_minNumObj,DecisionTable_crossVal,PART_pruning,Aggregator,DecisionTable_evaluationMeasure,J48_binarySplits,DecisionTable_search,J48_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_useLaplace,JRip_checkErrorRate,DecisionTable_useIBk,SimpleCart_useOneSE,JRip_optimizations,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,PART_minNumObj,JRip_minNo,PART_binarySplits,BestFirst_direction,BestFirst_searchTermination,JRip_folds,PART_numFolds"
5,49,0.00000000,0.00000000,0.00000000,0.96403157,0009,0100,0035,0.00000000,"Aggregator,JRip,J48,JRip_usePruning,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,SimpleCart,J48_useMDLcorrection,JRip_folds,PART,J48_binarySplits,DecisionTable,JRip_optimizations,SimpleCart_usePrune,SimpleCart_heuristic,PART_binarySplits,JRip_minNo,DecisionTable_evaluationMeasure,J48_useLaplace,J48_collapseTree,J48_pruning,DecisionTable_crossVal,SimpleCart_minNumObj,PART_pruning,J48_minNumObj,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_subtreeRaising,PART_useMDLcorrection,DecisionTable_useIBk,BestFirst_direction,GreedyStepwise_searchBackwards,J48_numFolds,PART_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue,BestFirst_searchTermination"
6,49,0.00000000,0.00000000,0.00000000,0.96528419,0013,0100,0066,0.25892268,"JRip,J48,J48_useLaplace,PART,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_binarySplits,JRip_minNo,J48_useMDLcorrection,J48_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_folds,DecisionTable,DecisionTable_search,J48_collapseTree,DecisionTable_useIBk,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_evaluationMeasure,BestFirst_searchTermination,Aggregator,JRip_optimizations,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_pruning,J48_subtreeRaising,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_heuristic,J48_numFolds,SimpleCart_minNumObj"
7,49,0.00000000,0.00000000,0.00000000,0.96528419,0009,0113,0066,0.25892268,"PART,JRip,PART_binarySplits,J48,J48_useLaplace,J48_binarySplits,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_minNumObj,J48_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_minNumObj,J48_numFolds,SimpleCart_heuristic,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_useOneSE,PART_numFolds,J48_subtreeRaising,DecisionTable_crossVal,JRip_optimizations,PART_useMDLcorrection,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_minNumObj,J48_useMDLcorrection,JRip_usePruning,JRip_folds,DecisionTable,J48_collapseTree,DecisionTable_useIBk,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,DecisionTable_evaluationMeasure,Aggregator"
8,49,0.00000000,0.00000000,0.00000000,0.96585276,0011,0112,0066,0.25892268,"J48,PART,JRip,PART_binarySplits,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_usePrune,DecisionTable_search,DecisionTable_useIBk,J48_minNumObj,BestFirst_direction,SimpleCart_numFoldsPruning,J48_useMDLcorrection,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_pruning,J48_numFolds,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,PART_numFolds,J48_subtreeRaising,SimpleCart_useOneSE,J48_confidenceFactorValue,JRip_optimizations,JRip_folds,DecisionTable,J48_collapseTree,DecisionTable_crossVal,JRip_minNo,BestFirst_searchTermination,DecisionTable_evaluationMeasure,JRip_usePruning,Aggregator"
9,49,0.00000000,0.00000000,0.00000000,0.96674670,0010,0100,0066,0.25892268,"J48,J48_doNotMakeSplitPointActualValue,J48_useLaplace,JRip,PART,J48_binarySplits,PART_binarySplits,JRip_usePruning,J48_collapseTree,JRip_checkErrorRate,PART_minNumObj,JRip_optimizations,PART_useMDLcorrection,GreedyStepwise_searchBackwards,J48_pruning,J48_numFolds,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_heuristic,J48_subtreeRaising,JRip_minNo,J48_confidenceFactorValue,PART_numFolds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_useMDLcorrection,JRip_folds,J48_minNumObj,DecisionTable,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,DecisionTable_evaluationMeasure,Aggregator"
10,49,0.00000000,0.00000000,0.00000000,0.96674670,0010,0106,0066,0.25892268,"J48,JRip,PART,PART_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_binarySplits,JRip_checkErrorRate,J48_pruning,J48_confidenceFactorValue,J48_collapseTree,J48_numFolds,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_heuristic,JRip_optimizations,PART_useMDLcorrection,GreedyStepwise_searchBackwards,DecisionTable_crossVal,JRip_minNo,SimpleCart_useOneSE,PART_numFolds,J48_subtreeRaising,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip_usePruning,JRip_folds,J48_minNumObj,DecisionTable,DecisionTable_useIBk,DecisionTable_search,BestFirst_searchTermination,DecisionTable_evaluationMeasure,J48_useMDLcorrection,Aggregator"
