gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99906927,0002,0100,0035,0.00000000,"Aggregator,J48,J48_useLaplace,JRip,JRip_usePruning,J48_binarySplits,JRip_optimizations,SimpleCart,SimpleCart_minNumObj,PART,J48_collapseTree,DecisionTable,J48_pruning,J48_minNumObj,J48_useMDLcorrection,J48_confidenceFactorValue,JRip_checkErrorRate,PART_pruning,JRip_minNo,JRip_folds,DecisionTable_search,J48_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,BestFirst_direction,DecisionTable_evaluationMeasure,PART_minNumObj,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_confidenceFactorValue,PART_useMDLcorrection,J48_subtreeRaising,SimpleCart_usePrune,SimpleCart_heuristic,PART_numFolds,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.99933519,0002,0100,0035,0.00000000,"JRip,DecisionTable,PART,PART_minNumObj,Aggregator,DecisionTable_search,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_useIBk,PART_pruning,JRip_checkErrorRate,SimpleCart,JRip_minNo,J48,J48_pruning,JRip_usePruning,PART_numFolds,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_binarySplits,GreedyStepwise_searchBackwards,SimpleCart_usePrune,JRip_optimizations,J48_subtreeRaising,BestFirst_searchTermination,J48_minNumObj,J48_binarySplits,J48_confidenceFactorValue,BestFirst_direction,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_useMDLcorrection,SimpleCart_heuristic,J48_collapseTree,J48_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
2,49,0.00000000,0.00000000,0.00000000,0.99933519,0001,0100,0035,0.00000000,"PART,JRip,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_minNo,PART_binarySplits,JRip_usePruning,J48,JRip_folds,Aggregator,SimpleCart,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_pruning,SimpleCart_minNumObj,PART_confidenceFactorValue,J48_useMDLcorrection,DecisionTable,J48_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_optimizations,PART_useMDLcorrection,SimpleCart_heuristic,J48_pruning,J48_useLaplace,J48_collapseTree,J48_confidenceFactorValue,J48_numFolds,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,DecisionTable_search,PART_numFolds,DecisionTable_useIBk,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards"
3,49,0.00000000,0.00000000,0.00000000,0.99973408,0002,0100,0035,0.00000000,"JRip,J48,PART,PART_useMDLcorrection,J48_useMDLcorrection,DecisionTable,PART_doNotMakeSplitPointActualValue,Aggregator,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,SimpleCart,DecisionTable_search,J48_minNumObj,JRip_checkErrorRate,J48_useLaplace,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_minNo,BestFirst_searchTermination,J48_collapseTree,DecisionTable_evaluationMeasure,PART_pruning,PART_confidenceFactorValue,DecisionTable_crossVal,J48_pruning,PART_numFolds,JRip_usePruning,PART_minNumObj,SimpleCart_minNumObj,PART_binarySplits,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,SimpleCart_usePrune,J48_subtreeRaising,J48_confidenceFactorValue,JRip_folds,J48_numFolds,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
4,49,0.00000000,0.00000000,0.00000000,0.99973408,0002,0100,0035,0.00000000,"PART,SimpleCart,PART_pruning,PART_useMDLcorrection,DecisionTable,J48,PART_confidenceFactorValue,J48_minNumObj,DecisionTable_evaluationMeasure,PART_binarySplits,DecisionTable_crossVal,PART_minNumObj,PART_numFolds,Aggregator,SimpleCart_usePrune,SimpleCart_heuristic,J48_useLaplace,J48_useMDLcorrection,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,JRip,PART_doNotMakeSplitPointActualValue,DecisionTable_search,J48_collapseTree,BestFirst_searchTermination,J48_binarySplits,DecisionTable_useIBk,JRip_usePruning,JRip_folds,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,JRip_minNo,GreedyStepwise_searchBackwards,J48_pruning,BestFirst_direction,J48_numFolds,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,J48_subtreeRaising,J48_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,0.99986704,0001,0100,0035,0.00000000,"PART,DecisionTable,SimpleCart,DecisionTable_useIBk,J48,Aggregator,J48_useLaplace,DecisionTable_search,SimpleCart_heuristic,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,JRip,PART_binarySplits,DecisionTable_crossVal,JRip_usePruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_pruning,SimpleCart_numFoldsPruning,J48_collapseTree,PART_useMDLcorrection,SimpleCart_minNumObj,J48_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,JRip_minNo,PART_confidenceFactorValue,JRip_optimizations,J48_binarySplits,JRip_checkErrorRate,BestFirst_direction,J48_useMDLcorrection,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_confidenceFactorValue,BestFirst_searchTermination,JRip_folds,J48_numFolds,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.99986704,0002,0100,0035,0.00000000,"Aggregator,J48,J48_collapseTree,SimpleCart,J48_minNumObj,SimpleCart_minNumObj,JRip,PART,J48_useMDLcorrection,DecisionTable,J48_doNotMakeSplitPointActualValue,JRip_minNo,J48_useLaplace,SimpleCart_heuristic,JRip_usePruning,DecisionTable_crossVal,J48_binarySplits,SimpleCart_usePrune,DecisionTable_evaluationMeasure,J48_pruning,J48_numFolds,SimpleCart_numFoldsPruning,JRip_checkErrorRate,J48_subtreeRaising,JRip_optimizations,DecisionTable_search,BestFirst_searchTermination,PART_pruning,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_confidenceFactorValue,PART_minNumObj,DecisionTable_useIBk,PART_confidenceFactorValue,SimpleCart_useOneSE,JRip_folds,BestFirst_direction,GreedyStepwise_searchBackwards,PART_numFolds"
7,49,0.00000000,0.00000000,0.00000000,0.99986704,0002,0100,0035,0.00000000,"JRip,JRip_usePruning,JRip_checkErrorRate,DecisionTable,J48,JRip_optimizations,PART,J48_collapseTree,JRip_folds,J48_pruning,PART_pruning,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_useMDLcorrection,JRip_minNo,DecisionTable_search,J48_numFolds,SimpleCart,BestFirst_direction,Aggregator,PART_confidenceFactorValue,J48_useLaplace,DecisionTable_evaluationMeasure,PART_minNumObj,J48_confidenceFactorValue,SimpleCart_heuristic,DecisionTable_useIBk,J48_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_useMDLcorrection,PART_numFolds,J48_binarySplits,PART_binarySplits,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning"
8,49,0.00000000,0.00000000,0.00000000,0.99986704,0001,0100,0035,0.00000000,"J48,J48_useLaplace,J48_minNumObj,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart,Aggregator,DecisionTable,DecisionTable_useIBk,J48_binarySplits,PART,J48_numFolds,JRip,SimpleCart_minNumObj,JRip_minNo,J48_collapseTree,PART_pruning,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_minNumObj,J48_useMDLcorrection,JRip_usePruning,PART_numFolds,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_crossVal,DecisionTable_search,PART_binarySplits,JRip_optimizations,JRip_checkErrorRate,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,JRip_folds,PART_useMDLcorrection,PART_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,BestFirst_direction,SimpleCart_useOneSE"
9,49,0.00000000,0.00000000,0.00000000,0.99986704,0001,0100,0035,0.00000000,"PART,Aggregator,JRip,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip_usePruning,JRip_folds,SimpleCart,PART_confidenceFactorValue,JRip_minNo,PART_binarySplits,DecisionTable,JRip_checkErrorRate,J48,DecisionTable_evaluationMeasure,PART_minNumObj,SimpleCart_minNumObj,J48_useMDLcorrection,PART_useMDLcorrection,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_minNumObj,J48_collapseTree,PART_numFolds,J48_useLaplace,SimpleCart_heuristic,DecisionTable_search,JRip_optimizations,SimpleCart_usePrune,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,J48_pruning,SimpleCart_useOneSE,BestFirst_direction,J48_numFolds,BestFirst_searchTermination,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,SimpleCart_numFoldsPruning"
