gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99732753,0006,0100,0035,0.00000000,"SimpleCart,J48,SimpleCart_heuristic,SimpleCart_usePrune,PART,J48_minNumObj,PART_pruning,J48_binarySplits,JRip,PART_binarySplits,Aggregator,JRip_checkErrorRate,J48_useLaplace,PART_numFolds,SimpleCart_useOneSE,J48_pruning,PART_confidenceFactorValue,DecisionTable,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_subtreeRaising,J48_collapseTree,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_numFolds,PART_minNumObj,JRip_usePruning,JRip_folds,J48_confidenceFactorValue,DecisionTable_crossVal,DecisionTable_useIBk,JRip_optimizations,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards"
1,49,0.00000000,0.00000000,0.00000000,0.99732753,0007,0100,0035,0.00000000,"Aggregator,J48,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_useIBk,J48_minNumObj,J48_collapseTree,DecisionTable_search,J48_useMDLcorrection,DecisionTable_evaluationMeasure,JRip,J48_useLaplace,JRip_usePruning,BestFirst_searchTermination,PART,SimpleCart,DecisionTable_crossVal,JRip_minNo,J48_pruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_direction,J48_confidenceFactorValue,J48_binarySplits,PART_minNumObj,SimpleCart_heuristic,J48_numFolds,PART_useMDLcorrection,JRip_optimizations,JRip_checkErrorRate,SimpleCart_usePrune,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,PART_binarySplits,PART_pruning,J48_subtreeRaising,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.99853752,0006,0100,0035,0.00000000,"PART,DecisionTable,DecisionTable_useIBk,PART_pruning,JRip,PART_confidenceFactorValue,PART_numFolds,JRip_usePruning,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,Aggregator,SimpleCart,DecisionTable_crossVal,PART_minNumObj,JRip_folds,J48,SimpleCart_heuristic,J48_binarySplits,PART_useMDLcorrection,PART_binarySplits,J48_collapseTree,SimpleCart_usePrune,DecisionTable_search,JRip_optimizations,JRip_minNo,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,BestFirst_searchTermination,J48_pruning,J48_useLaplace,SimpleCart_minNumObj,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_numFolds,BestFirst_direction"
3,49,0.00000000,0.00000000,0.00000000,0.99853752,0006,0100,0035,0.00000000,"SimpleCart,PART,PART_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_heuristic,PART_confidenceFactorValue,Aggregator,PART_binarySplits,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable,DecisionTable_crossVal,DecisionTable_search,SimpleCart_useOneSE,PART_minNumObj,J48,J48_collapseTree,PART_useMDLcorrection,JRip,BestFirst_direction,PART_numFolds,DecisionTable_useIBk,SimpleCart_numFoldsPruning,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_pruning,J48_confidenceFactorValue,J48_minNumObj,J48_useLaplace,DecisionTable_evaluationMeasure,J48_useMDLcorrection,BestFirst_searchTermination,JRip_minNo,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,JRip_usePruning,J48_doNotMakeSplitPointActualValue,J48_numFolds,J48_subtreeRaising,JRip_folds,JRip_optimizations"
4,49,0.00000000,0.00000000,0.00000000,0.99853752,0006,0100,0035,0.00000000,"Aggregator,J48,PART,J48_minNumObj,J48_useMDLcorrection,J48_useLaplace,PART_pruning,PART_doNotMakeSplitPointActualValue,J48_collapseTree,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,JRip,PART_minNumObj,PART_numFolds,DecisionTable,J48_binarySplits,PART_useMDLcorrection,SimpleCart,J48_pruning,DecisionTable_search,JRip_minNo,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_checkErrorRate,PART_binarySplits,JRip_usePruning,J48_numFolds,SimpleCart_minNumObj,J48_subtreeRaising,DecisionTable_crossVal,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_heuristic,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,BestFirst_direction,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
5,49,0.00000000,0.00000000,0.00000000,0.99853752,0006,0100,0035,0.00000000,"Aggregator,J48,PART,J48_minNumObj,PART_minNumObj,DecisionTable,SimpleCart,JRip,JRip_usePruning,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_useIBk,PART_useMDLcorrection,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_collapseTree,J48_pruning,PART_pruning,JRip_checkErrorRate,J48_useLaplace,SimpleCart_heuristic,J48_useMDLcorrection,J48_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart_minNumObj,J48_subtreeRaising,JRip_optimizations,BestFirst_direction,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_useOneSE,JRip_minNo,JRip_folds,PART_numFolds,J48_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards"
6,49,0.00000000,0.00000000,0.00000000,0.99853752,0010,0100,0071,0.22047264,"SimpleCart,PART,PART_binarySplits,DecisionTable,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_minNumObj,DecisionTable_useIBk,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_crossVal,BestFirst_searchTermination,J48,J48_useMDLcorrection,J48_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_pruning,J48_numFolds,Aggregator,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_confidenceFactorValue,J48_confidenceFactorValue,PART_numFolds,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_folds,J48_subtreeRaising,J48_binarySplits,J48_useLaplace,JRip_minNo,J48_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_minNumObj"
7,49,0.00000000,0.00000000,0.00000000,0.99853752,0007,0100,0071,0.22047264,"PART,PART_binarySplits,DecisionTable,SimpleCart,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,Aggregator,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_pruning,PART_numFolds,SimpleCart_useOneSE,DecisionTable_search,JRip,BestFirst_direction,PART_useMDLcorrection,JRip_usePruning,JRip_optimizations,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48,J48_useLaplace,J48_useMDLcorrection,JRip_checkErrorRate,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_folds,J48_binarySplits,PART_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable_crossVal,J48_numFolds,J48_collapseTree,J48_minNumObj,PART_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.99882662,0007,0100,0071,0.22047264,"SimpleCart,SimpleCart_heuristic,PART,DecisionTable,PART_binarySplits,DecisionTable_search,BestFirst_searchTermination,DecisionTable_useIBk,J48,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,J48_numFolds,PART_pruning,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,J48_useLaplace,PART_numFolds,DecisionTable_evaluationMeasure,JRip,BestFirst_direction,JRip_checkErrorRate,JRip_usePruning,PART_useMDLcorrection,JRip_folds,JRip_minNo,J48_binarySplits,PART_minNumObj,JRip_optimizations,J48_confidenceFactorValue,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,Aggregator,PART_confidenceFactorValue,J48_minNumObj"
9,49,0.00000000,0.00000000,0.00000000,0.99882662,0006,0100,0071,0.22047264,"PART,PART_binarySplits,SimpleCart,DecisionTable,SimpleCart_heuristic,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,Aggregator,BestFirst_searchTermination,DecisionTable_useIBk,J48,J48_minNumObj,J48_pruning,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_numFolds,DecisionTable_crossVal,SimpleCart_useOneSE,J48_confidenceFactorValue,PART_useMDLcorrection,PART_numFolds,J48_useLaplace,DecisionTable_evaluationMeasure,J48_subtreeRaising,BestFirst_direction,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_optimizations,JRip_folds,PART_minNumObj,J48_binarySplits,JRip_minNo"
