gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.73522246,0008,0100,0035,0.00000000,"PART,Aggregator,PART_minNumObj,PART_binarySplits,PART_useMDLcorrection,JRip,J48,J48_collapseTree,JRip_usePruning,JRip_folds,PART_pruning,DecisionTable,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_search,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_pruning,SimpleCart,JRip_optimizations,SimpleCart_usePrune,J48_binarySplits,SimpleCart_minNumObj,J48_numFolds,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,DecisionTable_crossVal,PART_numFolds,JRip_minNo,J48_subtreeRaising,J48_useLaplace,JRip_checkErrorRate,DecisionTable_useIBk,SimpleCart_heuristic,BestFirst_direction,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.73819851,0009,0100,0035,0.00000000,"DecisionTable,SimpleCart,Aggregator,DecisionTable_evaluationMeasure,J48,J48_useMDLcorrection,PART,JRip,J48_binarySplits,PART_binarySplits,SimpleCart_minNumObj,DecisionTable_crossVal,PART_useMDLcorrection,JRip_minNo,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,BestFirst_searchTermination,J48_pruning,J48_minNumObj,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_minNumObj,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_useLaplace,PART_pruning,J48_confidenceFactorValue,JRip_usePruning,BestFirst_direction,PART_numFolds,JRip_folds,SimpleCart_numFoldsPruning,J48_numFolds,JRip_optimizations,J48_subtreeRaising,PART_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.73819851,0007,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,Aggregator,PART,BestFirst_searchTermination,SimpleCart,JRip,SimpleCart_heuristic,JRip_usePruning,JRip_optimizations,PART_binarySplits,SimpleCart_usePrune,DecisionTable_useIBk,DecisionTable_evaluationMeasure,BestFirst_direction,PART_useMDLcorrection,SimpleCart_useOneSE,PART_minNumObj,J48,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_pruning,J48_subtreeRaising,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_minNumObj,PART_pruning,J48_minNumObj,JRip_folds,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_minNo,J48_binarySplits,J48_collapseTree,PART_numFolds,J48_confidenceFactorValue,J48_useMDLcorrection"
3,49,0.00000000,0.00000000,0.00000000,0.73819851,0009,0100,0035,0.00000000,"Aggregator,JRip,JRip_checkErrorRate,J48,SimpleCart,JRip_minNo,DecisionTable,DecisionTable_crossVal,PART,DecisionTable_useIBk,JRip_usePruning,DecisionTable_search,SimpleCart_minNumObj,J48_collapseTree,DecisionTable_evaluationMeasure,PART_pruning,J48_binarySplits,J48_pruning,PART_numFolds,SimpleCart_usePrune,J48_minNumObj,BestFirst_searchTermination,J48_useMDLcorrection,JRip_folds,GreedyStepwise_searchBackwards,SimpleCart_heuristic,J48_useLaplace,PART_doNotMakeSplitPointActualValue,BestFirst_direction,PART_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,PART_useMDLcorrection,J48_subtreeRaising,JRip_optimizations,PART_minNumObj,J48_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.74156278,0007,0100,0035,0.00000000,"J48,J48_useLaplace,J48_binarySplits,J48_minNumObj,J48_pruning,J48_useMDLcorrection,PART,PART_useMDLcorrection,JRip,DecisionTable,SimpleCart,SimpleCart_usePrune,DecisionTable_evaluationMeasure,JRip_usePruning,J48_subtreeRaising,SimpleCart_heuristic,JRip_minNo,Aggregator,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_collapseTree,DecisionTable_crossVal,JRip_optimizations,JRip_folds,DecisionTable_search,JRip_checkErrorRate,BestFirst_searchTermination,DecisionTable_useIBk,GreedyStepwise_searchBackwards,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_numFolds,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,BestFirst_direction,PART_confidenceFactorValue,SimpleCart_minNumObj,PART_numFolds,GreedyStepwise_conservativeForwardSelection"
5,49,0.00000000,0.00000000,0.00000000,0.74156278,0008,0100,0035,0.00000000,"PART,SimpleCart,Aggregator,J48,JRip,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_minNumObj,JRip_minNo,J48_useMDLcorrection,PART_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable,SimpleCart_minNumObj,J48_binarySplits,DecisionTable_crossVal,PART_pruning,JRip_checkErrorRate,DecisionTable_search,PART_useMDLcorrection,SimpleCart_heuristic,BestFirst_direction,J48_useLaplace,J48_collapseTree,SimpleCart_usePrune,PART_numFolds,BestFirst_searchTermination,J48_pruning,JRip_usePruning,GreedyStepwise_searchBackwards,DecisionTable_useIBk,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_numFolds,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_folds"
6,49,0.00000000,0.00000000,0.00000000,0.74156278,0009,0100,0035,0.00000000,"SimpleCart,JRip,SimpleCart_heuristic,PART,PART_minNumObj,SimpleCart_minNumObj,PART_binarySplits,DecisionTable,JRip_minNo,PART_doNotMakeSplitPointActualValue,Aggregator,PART_pruning,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,SimpleCart_usePrune,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_numFolds,J48,JRip_usePruning,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_useIBk,J48_minNumObj,J48_useMDLcorrection,JRip_folds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_binarySplits,J48_collapseTree,JRip_optimizations,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
7,49,0.00000000,0.00000000,0.00000000,0.74156278,0008,0100,0035,0.00000000,"PART,JRip,PART_pruning,J48,SimpleCart,PART_confidenceFactorValue,DecisionTable,J48_minNumObj,PART_useMDLcorrection,DecisionTable_useIBk,J48_binarySplits,J48_useLaplace,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_minNo,Aggregator,SimpleCart_heuristic,JRip_usePruning,J48_collapseTree,SimpleCart_minNumObj,JRip_optimizations,DecisionTable_search,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,PART_minNumObj,PART_numFolds,JRip_checkErrorRate,DecisionTable_crossVal,J48_useMDLcorrection,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_numFolds,SimpleCart_useOneSE"
8,49,0.00000000,0.00000000,0.00000000,0.74156278,0008,0100,0035,0.00000000,"JRip,PART,PART_pruning,DecisionTable,PART_binarySplits,SimpleCart,Aggregator,PART_useMDLcorrection,J48,SimpleCart_minNumObj,J48_binarySplits,DecisionTable_crossVal,J48_collapseTree,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_search,BestFirst_direction,JRip_checkErrorRate,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_useLaplace,PART_numFolds,SimpleCart_numFoldsPruning,J48_numFolds,JRip_usePruning,JRip_folds,JRip_minNo,DecisionTable_evaluationMeasure,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,SimpleCart_useOneSE,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_minNumObj,J48_confidenceFactorValue,JRip_optimizations"
9,49,0.00000000,0.00000000,0.00000000,0.74156278,0008,0100,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,JRip,DecisionTable,PART,PART_minNumObj,DecisionTable_useIBk,J48,SimpleCart_heuristic,DecisionTable_crossVal,DecisionTable_search,JRip_checkErrorRate,Aggregator,BestFirst_searchTermination,JRip_usePruning,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_useMDLcorrection,PART_binarySplits,JRip_optimizations,SimpleCart_usePrune,J48_binarySplits,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,DecisionTable_evaluationMeasure,J48_useLaplace,SimpleCart_numFoldsPruning,J48_minNumObj,J48_pruning,J48_collapseTree,PART_confidenceFactorValue,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,JRip_folds,PART_numFolds,J48_subtreeRaising,J48_numFolds"
