gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.75889347,0011,0100,0035,0.00000000,"DecisionTable,J48,JRip,J48_useLaplace,Aggregator,J48_useMDLcorrection,J48_pruning,JRip_minNo,SimpleCart,DecisionTable_search,PART,J48_collapseTree,J48_binarySplits,PART_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,DecisionTable_crossVal,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_binarySplits,J48_subtreeRaising,J48_minNumObj,SimpleCart_heuristic,JRip_checkErrorRate,PART_pruning,DecisionTable_evaluationMeasure,JRip_usePruning,J48_numFolds,PART_confidenceFactorValue,J48_confidenceFactorValue,BestFirst_direction,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_usePrune,JRip_optimizations,JRip_folds,PART_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
1,49,0.00000000,0.00000000,0.00000000,0.75889347,0010,0100,0035,0.00000000,"DecisionTable,JRip,J48,DecisionTable_crossVal,DecisionTable_search,DecisionTable_useIBk,BestFirst_searchTermination,J48_pruning,DecisionTable_evaluationMeasure,JRip_minNo,JRip_checkErrorRate,J48_numFolds,J48_confidenceFactorValue,J48_useMDLcorrection,J48_useLaplace,PART,SimpleCart,J48_binarySplits,PART_binarySplits,PART_useMDLcorrection,BestFirst_direction,JRip_usePruning,J48_subtreeRaising,Aggregator,GreedyStepwise_searchBackwards,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,SimpleCart_heuristic,J48_minNumObj,PART_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_folds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_minNumObj,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_numFolds,PART_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.75889347,0010,0100,0035,0.00000000,"PART,JRip,JRip_minNo,PART_pruning,JRip_checkErrorRate,Aggregator,PART_numFolds,J48,J48_binarySplits,JRip_usePruning,JRip_optimizations,PART_minNumObj,PART_useMDLcorrection,DecisionTable,PART_confidenceFactorValue,J48_useLaplace,SimpleCart,PART_binarySplits,J48_minNumObj,DecisionTable_search,JRip_folds,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,BestFirst_direction,GreedyStepwise_searchBackwards,J48_collapseTree,J48_subtreeRaising,SimpleCart_heuristic,BestFirst_searchTermination,DecisionTable_crossVal,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,J48_numFolds,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
3,49,0.00000000,0.00000000,0.00000000,0.75889347,0010,0100,0035,0.00000000,"SimpleCart,J48,JRip,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_collapseTree,J48_useMDLcorrection,Aggregator,PART,J48_useLaplace,JRip_minNo,SimpleCart_numFoldsPruning,JRip_usePruning,SimpleCart_useOneSE,DecisionTable,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_checkErrorRate,J48_pruning,J48_minNumObj,J48_binarySplits,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_useMDLcorrection,J48_numFolds,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,DecisionTable_crossVal,JRip_folds,JRip_optimizations,PART_binarySplits,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,PART_numFolds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction"
4,49,0.00000000,0.00000000,0.00000000,0.75889347,0010,0100,0035,0.00000000,"Aggregator,J48,J48_useLaplace,J48_pruning,J48_collapseTree,DecisionTable,J48_minNumObj,PART,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,SimpleCart,SimpleCart_heuristic,JRip,PART_binarySplits,J48_binarySplits,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_numFolds,J48_confidenceFactorValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable_useIBk,DecisionTable_search,PART_minNumObj,BestFirst_direction,PART_useMDLcorrection,JRip_checkErrorRate,SimpleCart_usePrune,JRip_minNo,BestFirst_searchTermination,SimpleCart_minNumObj,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,JRip_optimizations,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,0.75889347,0010,0100,0035,0.00000000,"PART,SimpleCart,Aggregator,SimpleCart_usePrune,SimpleCart_useOneSE,PART_minNumObj,SimpleCart_heuristic,PART_pruning,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48,JRip,JRip_minNo,DecisionTable,J48_binarySplits,SimpleCart_minNumObj,DecisionTable_crossVal,JRip_checkErrorRate,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_useLaplace,J48_collapseTree,J48_pruning,J48_minNumObj,DecisionTable_search,J48_confidenceFactorValue,PART_numFolds,J48_useMDLcorrection,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_usePruning,DecisionTable_useIBk,JRip_folds,BestFirst_direction,GreedyStepwise_searchBackwards,J48_numFolds,JRip_optimizations"
6,49,0.00000000,0.00000000,0.00000000,0.75889347,0009,0100,0035,0.00000000,"DecisionTable,SimpleCart,DecisionTable_useIBk,SimpleCart_minNumObj,PART,DecisionTable_evaluationMeasure,J48,Aggregator,DecisionTable_crossVal,J48_binarySplits,J48_pruning,JRip,SimpleCart_usePrune,PART_binarySplits,SimpleCart_heuristic,PART_useMDLcorrection,J48_subtreeRaising,PART_minNumObj,DecisionTable_search,SimpleCart_numFoldsPruning,BestFirst_direction,JRip_usePruning,JRip_optimizations,J48_useLaplace,PART_pruning,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART_numFolds,JRip_folds,J48_useMDLcorrection,SimpleCart_useOneSE,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_minNo,J48_minNumObj,JRip_checkErrorRate,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_confidenceFactorValue"
7,49,0.00000000,0.00000000,0.00000000,0.76727205,0010,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,PART,PART_pruning,PART_numFolds,J48,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,Aggregator,JRip,DecisionTable,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_searchBackwards,J48_binarySplits,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,J48_useMDLcorrection,DecisionTable_evaluationMeasure,J48_useLaplace,JRip_minNo,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_useIBk,PART_useMDLcorrection,J48_pruning,SimpleCart_usePrune,BestFirst_searchTermination,JRip_usePruning,BestFirst_direction,J48_collapseTree,JRip_checkErrorRate,J48_confidenceFactorValue,J48_subtreeRaising,JRip_optimizations,SimpleCart_useOneSE,JRip_folds,J48_numFolds,SimpleCart_numFoldsPruning"
8,49,0.00000000,0.00000000,0.00000000,0.76727205,0010,0100,0035,0.00000000,"JRip,J48,PART,SimpleCart,J48_minNumObj,JRip_checkErrorRate,SimpleCart_usePrune,PART_pruning,PART_minNumObj,DecisionTable,PART_confidenceFactorValue,PART_numFolds,J48_useMDLcorrection,J48_pruning,Aggregator,SimpleCart_useOneSE,JRip_usePruning,J48_subtreeRaising,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_useLaplace,J48_collapseTree,SimpleCart_heuristic,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_minNo,JRip_optimizations,J48_numFolds,J48_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,JRip_folds,SimpleCart_minNumObj,DecisionTable_useIBk,SimpleCart_numFoldsPruning,BestFirst_direction,DecisionTable_crossVal,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination"
9,49,0.00000000,0.00000000,0.00000000,0.76727205,0009,0100,0035,0.00000000,"DecisionTable,Aggregator,JRip,JRip_checkErrorRate,DecisionTable_crossVal,SimpleCart,JRip_usePruning,DecisionTable_evaluationMeasure,PART,JRip_minNo,SimpleCart_usePrune,DecisionTable_search,PART_binarySplits,GreedyStepwise_searchBackwards,JRip_folds,SimpleCart_useOneSE,PART_pruning,BestFirst_direction,SimpleCart_heuristic,J48,J48_collapseTree,J48_useLaplace,DecisionTable_useIBk,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip_optimizations,PART_minNumObj,PART_numFolds,J48_useMDLcorrection,BestFirst_searchTermination,J48_minNumObj,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
