gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.92797212,0009,0100,0035,0.00000000,"JRip,SimpleCart,SimpleCart_heuristic,JRip_usePruning,PART,PART_useMDLcorrection,DecisionTable,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_minNo,J48,J48_pruning,Aggregator,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip_checkErrorRate,J48_confidenceFactorValue,DecisionTable_search,BestFirst_direction,PART_pruning,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_folds,J48_subtreeRaising,SimpleCart_usePrune,JRip_optimizations,J48_useLaplace,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_numFolds,DecisionTable_useIBk,J48_collapseTree,GreedyStepwise_searchBackwards,PART_minNumObj,PART_confidenceFactorValue,J48_useMDLcorrection,PART_numFolds,SimpleCart_numFoldsPruning,BestFirst_searchTermination"
1,49,0.00000000,0.00000000,0.00000000,0.92797212,0008,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,JRip,PART_useMDLcorrection,PART_binarySplits,Aggregator,J48,J48_useMDLcorrection,J48_minNumObj,J48_collapseTree,J48_pruning,SimpleCart,SimpleCart_usePrune,DecisionTable,DecisionTable_crossVal,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip_usePruning,J48_subtreeRaising,J48_useLaplace,PART_minNumObj,DecisionTable_search,JRip_checkErrorRate,J48_numFolds,PART_pruning,JRip_minNo,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_binarySplits,JRip_folds,PART_numFolds,BestFirst_direction,SimpleCart_useOneSE,DecisionTable_useIBk,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip_optimizations,GreedyStepwise_conservativeForwardSelection"
2,49,0.00000000,0.00000000,0.00000000,0.92797212,0007,0100,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,PART,J48_useMDLcorrection,J48_pruning,J48_numFolds,PART_doNotMakeSplitPointActualValue,DecisionTable,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_binarySplits,SimpleCart,PART_pruning,PART_minNumObj,J48_minNumObj,PART_confidenceFactorValue,J48_collapseTree,JRip,DecisionTable_search,Aggregator,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable_crossVal,J48_subtreeRaising,J48_binarySplits,J48_useLaplace,BestFirst_searchTermination,SimpleCart_heuristic,JRip_minNo,GreedyStepwise_searchBackwards,DecisionTable_useIBk,PART_numFolds,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,BestFirst_direction,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_optimizations,SimpleCart_useOneSE,JRip_folds"
3,49,0.00000000,0.00000000,0.00000000,0.92900845,0008,0100,0035,0.00000000,"PART,DecisionTable,DecisionTable_evaluationMeasure,JRip,JRip_usePruning,SimpleCart,JRip_minNo,PART_minNumObj,Aggregator,PART_useMDLcorrection,SimpleCart_minNumObj,JRip_folds,DecisionTable_crossVal,J48,JRip_optimizations,DecisionTable_useIBk,J48_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_binarySplits,PART_pruning,DecisionTable_search,J48_pruning,BestFirst_direction,PART_numFolds,JRip_checkErrorRate,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_useMDLcorrection,J48_binarySplits,J48_collapseTree,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_confidenceFactorValue,BestFirst_searchTermination,SimpleCart_useOneSE,J48_subtreeRaising,J48_numFolds"
4,49,0.00000000,0.00000000,0.00000000,0.92900845,0007,0100,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,J48_binarySplits,JRip,Aggregator,PART,JRip_minNo,JRip_usePruning,PART_useMDLcorrection,PART_pruning,J48_pruning,SimpleCart,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,JRip_folds,J48_numFolds,J48_useLaplace,JRip_checkErrorRate,J48_minNumObj,DecisionTable,J48_subtreeRaising,J48_useMDLcorrection,SimpleCart_heuristic,J48_collapseTree,PART_binarySplits,DecisionTable_crossVal,JRip_optimizations,PART_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_usePrune,DecisionTable_useIBk,PART_numFolds,DecisionTable_search,J48_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection"
5,49,0.00000000,0.00000000,0.00000000,0.92900845,0006,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,SimpleCart,JRip_minNo,PART,PART_doNotMakeSplitPointActualValue,Aggregator,PART_binarySplits,J48,SimpleCart_heuristic,JRip_usePruning,J48_binarySplits,J48_pruning,DecisionTable,J48_subtreeRaising,J48_useLaplace,DecisionTable_useIBk,J48_collapseTree,PART_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_usePrune,PART_pruning,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,J48_useMDLcorrection,DecisionTable_evaluationMeasure,PART_minNumObj,JRip_folds,JRip_optimizations,DecisionTable_search,J48_minNumObj,DecisionTable_crossVal,PART_numFolds,J48_confidenceFactorValue,J48_numFolds,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards"
6,49,0.00000000,0.00000000,0.00000000,0.92900845,0009,0100,0071,0.23912523,"DecisionTable,J48,PART,JRip,SimpleCart,J48_binarySplits,DecisionTable_crossVal,SimpleCart_heuristic,J48_useMDLcorrection,PART_useMDLcorrection,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_numFolds,JRip_usePruning,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,DecisionTable_useIBk,J48_subtreeRaising,J48_confidenceFactorValue,J48_useLaplace,SimpleCart_minNumObj,J48_collapseTree,PART_confidenceFactorValue,J48_minNumObj,PART_minNumObj,JRip_optimizations,BestFirst_direction,Aggregator,J48_doNotMakeSplitPointActualValue,JRip_minNo,JRip_folds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_checkErrorRate,PART_binarySplits,SimpleCart_useOneSE"
7,49,0.00000000,0.00000000,0.00000000,0.92907556,0006,0100,0071,0.23912523,"JRip,DecisionTable,SimpleCart,J48,PART,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_collapseTree,DecisionTable_useIBk,DecisionTable_crossVal,J48_minNumObj,PART_pruning,J48_useLaplace,SimpleCart_heuristic,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,J48_numFolds,JRip_usePruning,JRip_folds,JRip_minNo,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_binarySplits,SimpleCart_useOneSE,JRip_checkErrorRate,JRip_optimizations,PART_useMDLcorrection,DecisionTable_search,BestFirst_searchTermination,Aggregator,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,PART_numFolds,J48_binarySplits,PART_confidenceFactorValue,PART_minNumObj"
8,49,0.00000000,0.00000000,0.00000000,0.92907556,0005,0100,0071,0.23912523,"J48,SimpleCart,PART,DecisionTable,JRip,J48_binarySplits,DecisionTable_crossVal,PART_pruning,PART_useMDLcorrection,J48_pruning,J48_numFolds,DecisionTable_evaluationMeasure,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_useLaplace,JRip_minNo,JRip_folds,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_optimizations,DecisionTable_search,BestFirst_searchTermination,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,Aggregator,BestFirst_direction,SimpleCart_numFoldsPruning,J48_subtreeRaising,PART_binarySplits,JRip_checkErrorRate,GreedyStepwise_searchBackwards,PART_numFolds,DecisionTable_useIBk,J48_useMDLcorrection,PART_minNumObj,PART_confidenceFactorValue,J48_minNumObj"
9,49,0.00000000,0.00000000,0.00000000,0.92907556,0005,0100,0071,0.23912523,"PART,J48,DecisionTable,SimpleCart,JRip,DecisionTable_search,J48_binarySplits,SimpleCart_heuristic,J48_pruning,PART_useMDLcorrection,J48_subtreeRaising,JRip_minNo,BestFirst_searchTermination,J48_confidenceFactorValue,J48_useLaplace,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,PART_binarySplits,JRip_checkErrorRate,JRip_optimizations,Aggregator,BestFirst_direction,J48_collapseTree,DecisionTable_crossVal,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,PART_pruning,PART_confidenceFactorValue,PART_minNumObj,J48_useMDLcorrection,GreedyStepwise_searchBackwards,PART_numFolds,DecisionTable_useIBk"
10,49,0.00000000,0.00000000,0.00000000,0.92907556,0005,0100,0071,0.23912523,"JRip,J48,SimpleCart,PART,DecisionTable,J48_useMDLcorrection,JRip_usePruning,JRip_checkErrorRate,DecisionTable_evaluationMeasure,SimpleCart_usePrune,DecisionTable_search,GreedyStepwise_searchBackwards,PART_useMDLcorrection,J48_useLaplace,PART_pruning,PART_numFolds,J48_binarySplits,DecisionTable_useIBk,PART_confidenceFactorValue,JRip_optimizations,DecisionTable_crossVal,J48_pruning,J48_minNumObj,PART_minNumObj,Aggregator,J48_confidenceFactorValue,J48_collapseTree,BestFirst_direction,J48_numFolds,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_useOneSE,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_minNo,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART_binarySplits"
11,49,0.00000000,0.00000000,0.00000000,0.92907556,0010,0100,0073,0.28337346,"SimpleCart,J48,J48_pruning,SimpleCart_usePrune,SimpleCart_heuristic,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART,JRip,PART_pruning,PART_useMDLcorrection,JRip_usePruning,JRip_optimizations,J48_confidenceFactorValue,J48_collapseTree,PART_binarySplits,JRip_folds,Aggregator,J48_doNotMakeSplitPointActualValue,DecisionTable,PART_doNotMakeSplitPointActualValue,DecisionTable_search,DecisionTable_evaluationMeasure,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,JRip_minNo,J48_useMDLcorrection,J48_minNumObj,GreedyStepwise_searchBackwards,PART_numFolds,J48_binarySplits,PART_minNumObj,SimpleCart_minNumObj,J48_numFolds,DecisionTable_useIBk,J48_useLaplace,JRip_checkErrorRate,PART_confidenceFactorValue,SimpleCart_useOneSE"
12,49,0.00000000,0.00000000,0.00000000,0.92925939,0003,0100,0073,0.28337346,"SimpleCart,J48,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_collapseTree,J48_binarySplits,J48_useLaplace,SimpleCart_minNumObj,J48_useMDLcorrection,J48_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART,PART_pruning,JRip,PART_minNumObj,PART_numFolds,JRip_usePruning,PART_useMDLcorrection,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_optimizations,PART_binarySplits,JRip_folds,Aggregator,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_crossVal,JRip_minNo,DecisionTable_useIBk,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue"
13,49,0.00000000,0.00000000,0.00000000,0.93290145,0004,0100,0073,0.28337346,"J48,SimpleCart,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_collapseTree,SimpleCart_minNumObj,J48_pruning,J48_subtreeRaising,J48_binarySplits,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_heuristic,J48_numFolds,J48_useLaplace,SimpleCart_numFoldsPruning,PART,PART_pruning,PART_minNumObj,PART_useMDLcorrection,PART_numFolds,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_optimizations,JRip_folds,DecisionTable,PART_binarySplits,DecisionTable_search,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,GreedyStepwise_searchBackwards,Aggregator,BestFirst_direction,DecisionTable_crossVal,JRip_minNo,J48_useMDLcorrection,PART_confidenceFactorValue,SimpleCart_useOneSE"
14,49,0.00000000,0.00000000,0.00000000,0.93290145,0004,0100,0073,0.28337346,"J48,SimpleCart,SimpleCart_heuristic,J48_useLaplace,J48_pruning,BestFirst_searchTermination,J48_numFolds,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART,JRip,JRip_checkErrorRate,PART_pruning,JRip_usePruning,PART_useMDLcorrection,JRip_optimizations,J48_confidenceFactorValue,JRip_folds,J48_collapseTree,PART_binarySplits,DecisionTable,DecisionTable_search,PART_doNotMakeSplitPointActualValue,Aggregator,BestFirst_direction,DecisionTable_useIBk,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,JRip_minNo,J48_useMDLcorrection,J48_minNumObj,GreedyStepwise_searchBackwards,PART_minNumObj,SimpleCart_minNumObj,PART_confidenceFactorValue,SimpleCart_useOneSE,PART_numFolds,J48_binarySplits"
15,49,0.00000000,0.00000000,0.00000000,0.93290145,0003,0100,0073,0.28337346,"J48,SimpleCart,J48_binarySplits,SimpleCart_minNumObj,PART_numFolds,PART_minNumObj,J48_pruning,BestFirst_searchTermination,J48_numFolds,J48_subtreeRaising,J48_useLaplace,J48_minNumObj,J48_confidenceFactorValue,DecisionTable_useIBk,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_optimizations,J48_collapseTree,PART_binarySplits,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,DecisionTable,Aggregator,PART_doNotMakeSplitPointActualValue,BestFirst_direction,DecisionTable_search,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART,JRip,JRip_usePruning,PART_pruning,PART_useMDLcorrection,JRip_minNo,DecisionTable_crossVal,J48_useMDLcorrection,SimpleCart_useOneSE,PART_confidenceFactorValue"
16,49,0.00000000,0.00000000,0.00000000,0.93290145,0006,0100,0072,0.24731893,"J48,DecisionTable,J48_minNumObj,J48_useLaplace,J48_collapseTree,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_useMDLcorrection,J48_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_usePruning,JRip_minNo,JRip_optimizations,JRip_checkErrorRate,SimpleCart_minNumObj,SimpleCart_heuristic,Aggregator,JRip_folds,PART,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,PART_confidenceFactorValue,PART_minNumObj,PART_numFolds,BestFirst_direction,SimpleCart_useOneSE,DecisionTable_evaluationMeasure"
17,49,0.00000000,0.00000000,0.00000000,0.93290145,0005,0100,0072,0.24731893,"DecisionTable,J48,J48_useMDLcorrection,DecisionTable_evaluationMeasure,J48_binarySplits,J48_minNumObj,DecisionTable_useIBk,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_collapseTree,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_search,JRip,GreedyStepwise_searchBackwards,PART_binarySplits,PART_pruning,PART_numFolds,JRip_optimizations,Aggregator,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,SimpleCart_minNumObj,JRip_usePruning,J48_subtreeRaising,SimpleCart_heuristic,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_minNo,PART,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,JRip_folds,BestFirst_direction,BestFirst_searchTermination,DecisionTable_crossVal,PART_minNumObj"
