gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,1.00000000,0075,0100,0035,0.00000000,"JRip,SimpleCart,Aggregator,JRip_usePruning,SimpleCart_minNumObj,DecisionTable,J48,JRip_folds,PART,J48_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable_evaluationMeasure,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_binarySplits,DecisionTable_useIBk,J48_minNumObj,JRip_optimizations,SimpleCart_heuristic,J48_collapseTree,PART_binarySplits,J48_useLaplace,J48_pruning,SimpleCart_usePrune,PART_useMDLcorrection,PART_pruning,J48_numFolds,PART_minNumObj,DecisionTable_search,DecisionTable_crossVal,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_numFolds,PART_confidenceFactorValue,J48_confidenceFactorValue,SimpleCart_useOneSE,BestFirst_direction,J48_subtreeRaising,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection"
1,49,0.00000000,0.00000000,0.00000000,1.00000000,0055,0100,0035,0.00000000,"J48,JRip,J48_doNotMakeSplitPointActualValue,SimpleCart,J48_pruning,J48_useMDLcorrection,SimpleCart_usePrune,J48_collapseTree,J48_minNumObj,JRip_checkErrorRate,J48_useLaplace,SimpleCart_heuristic,DecisionTable,J48_binarySplits,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_numFolds,DecisionTable_useIBk,J48_confidenceFactorValue,PART,DecisionTable_search,JRip_minNo,GreedyStepwise_conservativeForwardSelection,Aggregator,SimpleCart_useOneSE,JRip_usePruning,J48_subtreeRaising,BestFirst_direction,PART_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_minNumObj,JRip_folds,BestFirst_searchTermination,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_pruning,JRip_optimizations,PART_confidenceFactorValue,PART_numFolds"
2,49,0.00000000,0.00000000,0.00000000,1.00000000,0059,0100,0035,0.00000000,"J48,J48_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart,J48_minNumObj,SimpleCart_usePrune,Aggregator,J48_useLaplace,DecisionTable,J48_pruning,SimpleCart_minNumObj,J48_useMDLcorrection,SimpleCart_useOneSE,JRip,PART,DecisionTable_crossVal,DecisionTable_search,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_subtreeRaising,J48_collapseTree,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_useMDLcorrection,JRip_minNo,GreedyStepwise_conservativeForwardSelection,PART_pruning,J48_numFolds,JRip_usePruning,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,BestFirst_direction,JRip_checkErrorRate,GreedyStepwise_searchBackwards,PART_minNumObj,PART_binarySplits,PART_numFolds,PART_confidenceFactorValue,JRip_optimizations,JRip_folds"
3,49,0.00000000,0.00000000,0.00000000,1.00000000,0063,0100,0035,0.00000000,"SimpleCart,Aggregator,PART,PART_minNumObj,J48,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_pruning,PART_useMDLcorrection,SimpleCart_minNumObj,DecisionTable,JRip,JRip_checkErrorRate,PART_binarySplits,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,J48_useLaplace,J48_collapseTree,JRip_usePruning,JRip_optimizations,DecisionTable_evaluationMeasure,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_numFoldsPruning,J48_pruning,DecisionTable_search,JRip_minNo,J48_numFolds,DecisionTable_crossVal,PART_numFolds,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,BestFirst_direction,JRip_folds,SimpleCart_useOneSE,BestFirst_searchTermination"
4,49,0.00000000,0.00000000,0.00000000,1.00000000,0065,0100,0035,0.00000000,"JRip,JRip_usePruning,J48,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart,JRip_checkErrorRate,DecisionTable,DecisionTable_crossVal,Aggregator,J48_pruning,J48_useLaplace,DecisionTable_search,GreedyStepwise_searchBackwards,PART,JRip_minNo,JRip_folds,J48_confidenceFactorValue,PART_binarySplits,J48_subtreeRaising,J48_collapseTree,PART_minNumObj,JRip_optimizations,SimpleCart_minNumObj,J48_binarySplits,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,BestFirst_direction,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_numFolds,SimpleCart_usePrune,BestFirst_searchTermination,SimpleCart_heuristic,PART_pruning,PART_useMDLcorrection,PART_numFolds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,1.00000000,0060,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart_heuristic,JRip,DecisionTable_useIBk,J48,SimpleCart_usePrune,PART,PART_minNumObj,J48_pruning,DecisionTable_crossVal,PART_binarySplits,BestFirst_searchTermination,JRip_checkErrorRate,J48_minNumObj,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_searchBackwards,J48_useLaplace,BestFirst_direction,JRip_minNo,JRip_usePruning,JRip_folds,PART_pruning,JRip_optimizations,J48_collapseTree,SimpleCart_useOneSE,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,1.00000000,0066,0100,0071,0.23318525,"JRip,PART,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_minNo,PART_minNumObj,PART_binarySplits,PART_useMDLcorrection,PART_pruning,PART_numFolds,DecisionTable,SimpleCart,Aggregator,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_optimizations,J48,JRip_folds,DecisionTable_useIBk,J48_binarySplits,J48_pruning,J48_collapseTree,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_numFolds,DecisionTable_search,SimpleCart_heuristic,BestFirst_searchTermination,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48_minNumObj,J48_confidenceFactorValue,SimpleCart_useOneSE,PART_confidenceFactorValue,BestFirst_direction"
7,49,0.00000000,0.00000000,0.00000000,1.00000000,0060,0100,0071,0.23318525,"PART,PART_doNotMakeSplitPointActualValue,JRip,JRip_checkErrorRate,JRip_minNo,PART_pruning,PART_useMDLcorrection,PART_confidenceFactorValue,BestFirst_direction,PART_numFolds,DecisionTable,Aggregator,PART_minNumObj,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,JRip_usePruning,DecisionTable_useIBk,DecisionTable_search,BestFirst_searchTermination,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,SimpleCart_useOneSE,JRip_optimizations,JRip_folds,J48,PART_binarySplits,J48_useMDLcorrection,J48_pruning,J48_useLaplace,J48_collapseTree,J48_binarySplits,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_numFolds,GreedyStepwise_searchBackwards,J48_minNumObj,J48_confidenceFactorValue,DecisionTable_crossVal"
8,49,0.00000000,0.00000000,0.00000000,1.00000000,0060,0100,0071,0.23318525,"JRip,JRip_checkErrorRate,PART,PART_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_minNo,JRip_usePruning,JRip_folds,PART_binarySplits,SimpleCart_numFoldsPruning,PART_pruning,PART_numFolds,PART_useMDLcorrection,SimpleCart,SimpleCart_usePrune,Aggregator,DecisionTable,SimpleCart_minNumObj,SimpleCart_useOneSE,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_heuristic,JRip_optimizations,J48,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_binarySplits,J48_collapseTree,J48_useLaplace,J48_minNumObj,J48_useMDLcorrection,J48_confidenceFactorValue,J48_numFolds,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,DecisionTable_evaluationMeasure,BestFirst_direction,PART_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,1.00000000,0061,0144,0071,0.23318525,"PART,PART_doNotMakeSplitPointActualValue,JRip,JRip_checkErrorRate,PART_pruning,PART_useMDLcorrection,PART_numFolds,PART_minNumObj,DecisionTable,JRip_minNo,SimpleCart,Aggregator,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,JRip_usePruning,J48_numFolds,DecisionTable_search,SimpleCart_heuristic,GreedyStepwise_searchBackwards,BestFirst_searchTermination,DecisionTable_evaluationMeasure,J48_useMDLcorrection,J48_pruning,DecisionTable_crossVal,DecisionTable_useIBk,J48_subtreeRaising,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,JRip_folds,J48,PART_binarySplits,J48_collapseTree,J48_binarySplits,J48_minNumObj,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart_useOneSE,BestFirst_direction,PART_confidenceFactorValue"
