gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99636650,0031,0100,0035,0.00000000,"DecisionTable,JRip,JRip_checkErrorRate,SimpleCart,SimpleCart_heuristic,JRip_minNo,SimpleCart_usePrune,PART,PART_pruning,Aggregator,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_usePruning,DecisionTable_evaluationMeasure,J48,PART_confidenceFactorValue,PART_useMDLcorrection,DecisionTable_crossVal,DecisionTable_search,SimpleCart_minNumObj,PART_binarySplits,SimpleCart_numFoldsPruning,J48_useLaplace,PART_numFolds,GreedyStepwise_searchBackwards,PART_minNumObj,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_folds,SimpleCart_useOneSE,BestFirst_searchTermination,J48_minNumObj,J48_pruning,JRip_optimizations,J48_collapseTree,J48_binarySplits,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue"
1,49,0.00000000,0.00000000,0.00000000,0.99641768,0029,0100,0035,0.00000000,"Aggregator,JRip,J48,J48_pruning,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_minNo,DecisionTable,J48_useLaplace,PART,DecisionTable_useIBk,DecisionTable_crossVal,PART_minNumObj,J48_numFolds,SimpleCart,J48_confidenceFactorValue,PART_pruning,PART_binarySplits,PART_confidenceFactorValue,J48_subtreeRaising,JRip_usePruning,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48_minNumObj,J48_collapseTree,PART_useMDLcorrection,DecisionTable_search,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_heuristic,GreedyStepwise_searchBackwards,PART_numFolds,JRip_folds,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_useOneSE,BestFirst_searchTermination,BestFirst_direction,SimpleCart_numFoldsPruning"
2,49,0.00000000,0.00000000,0.00000000,0.99641768,0030,0100,0035,0.00000000,"PART,DecisionTable,DecisionTable_evaluationMeasure,Aggregator,PART_useMDLcorrection,PART_pruning,PART_numFolds,DecisionTable_search,J48,BestFirst_direction,J48_binarySplits,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_confidenceFactorValue,JRip,PART_binarySplits,JRip_usePruning,SimpleCart,GreedyStepwise_searchBackwards,DecisionTable_useIBk,DecisionTable_crossVal,J48_useLaplace,J48_collapseTree,J48_minNumObj,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,JRip_optimizations,J48_useMDLcorrection,JRip_folds,BestFirst_searchTermination,SimpleCart_usePrune,J48_pruning,SimpleCart_heuristic,JRip_checkErrorRate,JRip_minNo,J48_subtreeRaising,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_numFolds,J48_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.99641768,0030,0100,0035,0.00000000,"Aggregator,DecisionTable,PART,PART_pruning,DecisionTable_search,PART_useMDLcorrection,J48,PART_numFolds,JRip,JRip_minNo,BestFirst_direction,J48_pruning,BestFirst_searchTermination,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_subtreeRaising,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,PART_binarySplits,PART_confidenceFactorValue,J48_collapseTree,SimpleCart,PART_minNumObj,J48_minNumObj,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48_numFolds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_useMDLcorrection,JRip_usePruning,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_binarySplits,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_optimizations,SimpleCart_useOneSE,JRip_folds"
4,49,0.00000000,0.00000000,0.00000000,0.99644728,0030,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,SimpleCart,J48,JRip,DecisionTable_useIBk,SimpleCart_usePrune,Aggregator,BestFirst_direction,SimpleCart_numFoldsPruning,J48_binarySplits,DecisionTable_evaluationMeasure,JRip_checkErrorRate,PART,GreedyStepwise_searchBackwards,JRip_minNo,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_useLaplace,SimpleCart_heuristic,J48_pruning,PART_minNumObj,SimpleCart_minNumObj,PART_binarySplits,J48_collapseTree,JRip_folds,J48_minNumObj,JRip_optimizations,J48_useMDLcorrection,PART_useMDLcorrection,SimpleCart_useOneSE,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,J48_confidenceFactorValue,J48_numFolds,PART_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,0.99644728,0028,0100,0035,0.00000000,"Aggregator,JRip,JRip_minNo,JRip_usePruning,SimpleCart,JRip_folds,JRip_optimizations,SimpleCart_minNumObj,J48,SimpleCart_heuristic,JRip_checkErrorRate,J48_binarySplits,PART,J48_useMDLcorrection,J48_useLaplace,DecisionTable,PART_binarySplits,DecisionTable_evaluationMeasure,J48_collapseTree,J48_pruning,PART_minNumObj,SimpleCart_usePrune,J48_subtreeRaising,J48_numFolds,SimpleCart_useOneSE,DecisionTable_crossVal,J48_minNumObj,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_doNotMakeSplitPointActualValue,PART_numFolds,J48_confidenceFactorValue,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_search,PART_confidenceFactorValue,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
6,49,0.00000000,0.00000000,0.00000000,0.99644728,0027,0100,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_crossVal,PART,DecisionTable_useIBk,JRip,PART_minNumObj,J48,SimpleCart,PART_useMDLcorrection,J48_useLaplace,DecisionTable_evaluationMeasure,DecisionTable_search,J48_useMDLcorrection,JRip_usePruning,JRip_optimizations,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_binarySplits,SimpleCart_usePrune,JRip_folds,J48_minNumObj,GreedyStepwise_searchBackwards,J48_pruning,JRip_minNo,J48_subtreeRaising,J48_collapseTree,PART_pruning,PART_confidenceFactorValue,J48_binarySplits,SimpleCart_heuristic,BestFirst_direction,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_numFolds,PART_numFolds"
7,49,0.00000000,0.00000000,0.00000000,0.99663712,0030,0100,0035,0.00000000,"PART,JRip,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_heuristic,JRip_usePruning,PART_useMDLcorrection,J48,Aggregator,SimpleCart_minNumObj,PART_pruning,PART_binarySplits,JRip_optimizations,PART_confidenceFactorValue,PART_minNumObj,DecisionTable,J48_pruning,JRip_checkErrorRate,J48_numFolds,DecisionTable_search,JRip_folds,JRip_minNo,J48_subtreeRaising,DecisionTable_useIBk,GreedyStepwise_searchBackwards,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,BestFirst_direction,J48_useLaplace,J48_useMDLcorrection,PART_numFolds,J48_minNumObj,SimpleCart_usePrune,J48_confidenceFactorValue,J48_collapseTree,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_useOneSE"
8,49,0.00000000,0.00000000,0.00000000,0.99675312,0028,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,J48,DecisionTable,PART,JRip,PART_binarySplits,J48_binarySplits,SimpleCart_useOneSE,J48_collapseTree,J48_useLaplace,J48_pruning,Aggregator,J48_numFolds,JRip_checkErrorRate,PART_minNumObj,SimpleCart_minNumObj,J48_useMDLcorrection,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_useIBk,JRip_minNo,PART_pruning,PART_useMDLcorrection,SimpleCart_numFoldsPruning,DecisionTable_search,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip_usePruning,J48_subtreeRaising,BestFirst_direction,PART_confidenceFactorValue,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_numFolds,JRip_folds"
9,49,0.00000000,0.00000000,0.00000000,0.99675312,0028,0100,0035,0.00000000,"Aggregator,JRip,J48,J48_pruning,J48_numFolds,J48_binarySplits,JRip_usePruning,J48_useMDLcorrection,PART,JRip_minNo,DecisionTable,J48_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_heuristic,JRip_optimizations,DecisionTable_search,BestFirst_searchTermination,J48_minNumObj,SimpleCart_usePrune,DecisionTable_evaluationMeasure,BestFirst_direction,PART_binarySplits,PART_useMDLcorrection,J48_useLaplace,SimpleCart_numFoldsPruning,J48_collapseTree,SimpleCart_useOneSE,JRip_checkErrorRate,J48_subtreeRaising,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,J48_confidenceFactorValue,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip_folds,PART_numFolds,PART_minNumObj,DecisionTable_crossVal,PART_confidenceFactorValue"
