gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99954051,0278,0100,0035,0.00000000,"Aggregator,PART,PART_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable,JRip,DecisionTable_useIBk,SimpleCart,DecisionTable_search,DecisionTable_crossVal,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,SimpleCart_minNumObj,BestFirst_direction,DecisionTable_evaluationMeasure,J48,JRip_checkErrorRate,J48_minNumObj,J48_pruning,PART_pruning,J48_confidenceFactorValue,SimpleCart_heuristic,J48_collapseTree,JRip_minNo,J48_useLaplace,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_binarySplits,J48_numFolds,SimpleCart_useOneSE,J48_useMDLcorrection,J48_subtreeRaising,JRip_folds,JRip_optimizations,PART_numFolds,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
1,49,0.00000000,0.00000000,0.00000000,0.99954051,0223,0100,0035,0.00000000,"PART,PART_minNumObj,PART_useMDLcorrection,Aggregator,PART_binarySplits,PART_pruning,DecisionTable,J48,J48_doNotMakeSplitPointActualValue,SimpleCart,JRip,J48_binarySplits,DecisionTable_search,DecisionTable_evaluationMeasure,J48_pruning,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,DecisionTable_crossVal,J48_minNumObj,J48_useLaplace,PART_confidenceFactorValue,JRip_minNo,J48_useMDLcorrection,PART_numFolds,J48_numFolds,J48_subtreeRaising,DecisionTable_useIBk,J48_collapseTree,SimpleCart_usePrune,JRip_usePruning,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_numFoldsPruning,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_checkErrorRate,SimpleCart_useOneSE,BestFirst_searchTermination,JRip_folds,JRip_optimizations"
2,49,0.00000000,0.00000000,0.00000000,0.99954051,0226,0100,0035,0.00000000,"J48,J48_minNumObj,J48_useMDLcorrection,SimpleCart,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable,SimpleCart_heuristic,J48_collapseTree,PART,DecisionTable_crossVal,J48_pruning,JRip,DecisionTable_useIBk,Aggregator,PART_minNumObj,J48_subtreeRaising,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable_search,J48_numFolds,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,J48_binarySplits,J48_useLaplace,SimpleCart_usePrune,BestFirst_searchTermination,SimpleCart_useOneSE,PART_pruning,PART_binarySplits,JRip_checkErrorRate,GreedyStepwise_searchBackwards,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_direction,PART_confidenceFactorValue,PART_numFolds,SimpleCart_numFoldsPruning,JRip_optimizations"
3,49,0.00000000,0.00000000,0.00000000,0.99954051,0231,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,PART,JRip,JRip_minNo,DecisionTable,DecisionTable_useIBk,J48,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_binarySplits,J48_useMDLcorrection,SimpleCart_heuristic,JRip_usePruning,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,PART_useMDLcorrection,JRip_checkErrorRate,PART_minNumObj,DecisionTable_search,J48_minNumObj,Aggregator,J48_useLaplace,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_binarySplits,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,PART_pruning,JRip_optimizations,J48_doNotMakeSplitPointActualValue,J48_pruning,BestFirst_direction,BestFirst_searchTermination,PART_numFolds,J48_numFolds,JRip_folds,J48_confidenceFactorValue,J48_subtreeRaising,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.99956654,0201,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_usePrune,SimpleCart_heuristic,J48,SimpleCart_numFoldsPruning,J48_minNumObj,PART,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_pruning,DecisionTable,SimpleCart_useOneSE,J48_collapseTree,PART_binarySplits,JRip,J48_useMDLcorrection,DecisionTable_useIBk,SimpleCart_minNumObj,J48_useLaplace,PART_useMDLcorrection,J48_pruning,PART_confidenceFactorValue,JRip_checkErrorRate,J48_subtreeRaising,DecisionTable_crossVal,JRip_usePruning,DecisionTable_evaluationMeasure,JRip_minNo,PART_minNumObj,JRip_folds,PART_doNotMakeSplitPointActualValue,PART_numFolds,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_confidenceFactorValue,JRip_optimizations"
5,49,0.00000000,0.00000000,0.00000000,0.99956654,0211,0100,0035,0.00000000,"JRip,JRip_minNo,Aggregator,SimpleCart,SimpleCart_minNumObj,PART,PART_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_collapseTree,DecisionTable,DecisionTable_evaluationMeasure,JRip_usePruning,J48_minNumObj,SimpleCart_useOneSE,PART_binarySplits,JRip_folds,PART_pruning,DecisionTable_search,DecisionTable_useIBk,J48_useMDLcorrection,PART_numFolds,JRip_optimizations,DecisionTable_crossVal,J48_pruning,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_confidenceFactorValue,J48_numFolds,J48_binarySplits,J48_confidenceFactorValue,J48_useLaplace,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
6,49,0.00000000,0.00000000,0.00000000,0.99956654,0218,0100,0063,0.28308737,"PART,JRip,JRip_usePruning,J48,PART_useMDLcorrection,JRip_checkErrorRate,DecisionTable,J48_useLaplace,SimpleCart,J48_collapseTree,DecisionTable_useIBk,DecisionTable_search,SimpleCart_heuristic,JRip_optimizations,BestFirst_direction,BestFirst_searchTermination,PART_pruning,PART_minNumObj,JRip_folds,PART_confidenceFactorValue,JRip_minNo,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_pruning,J48_confidenceFactorValue,J48_binarySplits,J48_numFolds,DecisionTable_evaluationMeasure,SimpleCart_usePrune,J48_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable_crossVal,PART_numFolds,Aggregator,J48_subtreeRaising,PART_binarySplits"
7,49,0.00000000,0.00000000,0.00000000,0.99956654,0232,0100,0063,0.28308737,"PART,SimpleCart,DecisionTable,J48,JRip,JRip_usePruning,DecisionTable_search,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_useIBk,J48_collapseTree,SimpleCart_heuristic,J48_useLaplace,GreedyStepwise_searchBackwards,JRip_folds,J48_pruning,JRip_minNo,BestFirst_searchTermination,JRip_optimizations,PART_minNumObj,PART_pruning,SimpleCart_minNumObj,BestFirst_direction,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_binarySplits,J48_minNumObj,J48_useMDLcorrection,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_numFolds,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,Aggregator,J48_numFolds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
8,49,0.00000000,0.00000000,0.00000000,0.99958561,0225,0100,0063,0.28308737,"DecisionTable,PART,J48,SimpleCart,J48_collapseTree,JRip,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_useIBk,J48_useLaplace,JRip_usePruning,DecisionTable_search,SimpleCart_heuristic,PART_binarySplits,J48_minNumObj,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,JRip_folds,JRip_minNo,J48_pruning,J48_numFolds,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,J48_binarySplits,JRip_optimizations,PART_minNumObj,BestFirst_direction,J48_confidenceFactorValue,PART_pruning,BestFirst_searchTermination,SimpleCart_useOneSE,PART_confidenceFactorValue,DecisionTable_crossVal,PART_numFolds,Aggregator,J48_subtreeRaising,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue"
9,49,0.00000000,0.00000000,0.00000000,0.99958561,0245,0100,0063,0.28308737,"DecisionTable,DecisionTable_search,PART,SimpleCart,DecisionTable_useIBk,SimpleCart_heuristic,J48,JRip,PART_useMDLcorrection,JRip_checkErrorRate,J48_collapseTree,JRip_usePruning,J48_useLaplace,JRip_minNo,BestFirst_searchTermination,JRip_folds,J48_pruning,JRip_optimizations,J48_confidenceFactorValue,SimpleCart_minNumObj,PART_minNumObj,J48_binarySplits,BestFirst_direction,GreedyStepwise_searchBackwards,PART_pruning,PART_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_numFolds,Aggregator,DecisionTable_crossVal"
