individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,null,6,false,unpruned,null,false,false,null,true,true,3,false,true,null,MajorityVotingAggregator,false,true,8,2,null,null,false,null,null,false,5,null,null,0.9998992784776715,-PART -J -doNotMakeSplitPointActualValue -B -M 6 -U -SimpleCart -H -M 8 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -JRip -P -N 2 -J48 -U -M 5 -J 
gen_000_ind_000,false,reducedErrorPruning,true,true,null,10,false,true,null,null,true,true,null,false,null,null,true,null,true,false,null,weka.attributeSelection.GreedyStepwise,null,true,3,false,null,auc,MajorityVotingAggregator,false,false,7,6,null,null,false,5,true,false,9,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 10 -I -E auc -GreedyStepwise -C -B -SimpleCart -C 1.0 -S 1 -M 7 -H -A -N 3 -Aggregator MajorityVotingAggregator -JRip -E -N 6 -P -J48 -M 9 -J -O -R -Q 1 -N 5 
gen_000_ind_001,true,confidenceFactor,true,true,0.05,null,false,true,null,null,true,false,0.25,true,8,6,true,confidenceFactor,null,true,false,null,true,true,5,true,true,null,CompetenceBasedAggregator,false,false,5,7,10,null,true,null,null,false,9,null,null,null,-PART -J -M 6 -C 0.05 -B -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 5 -A -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 7 -O 8 -F 10 -J48 -M 9 -O -C 0.25 
gen_000_ind_002,true,confidenceFactor,false,false,null,1,false,true,1,7,true,true,0.05,true,6,9,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,acc,RuleExtractorAggregator,true,true,9,2,9,7,false,null,null,true,4,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -I -E acc -PART -J -M 9 -R -Q 1 -N 7 -SimpleCart -U -M 9 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 7 -JRip -N 2 -O 6 -F 9 -J48 -M 4 -doNotMakeSplitPointActualValue -A -J -C 0.05 -S 
gen_000_ind_003,false,reducedErrorPruning,false,false,null,7,false,true,null,null,true,true,null,true,4,4,null,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,RuleExtractorAggregator,false,true,4,6,8,null,false,7,false,false,2,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 7 -I -E mae -PART -M 4 -U -SimpleCart -U -M 4 -Aggregator RuleExtractorAggregator -JRip -E -N 6 -O 4 -F 8 -J48 -M 2 -J -R -Q 1 -S -N 7 
gen_000_ind_004,true,confidenceFactor,true,false,0.45,7,false,true,null,null,true,true,0.25,true,10,2,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,true,acc,RuleExtractorAggregator,false,false,5,5,5,null,false,null,true,true,2,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 7 -I -E acc -GreedyStepwise -C -PART -M 2 -C 0.45 -B -SimpleCart -C 1.0 -S 1 -M 5 -N 10 -Aggregator RuleExtractorAggregator -JRip -N 5 -O 10 -F 5 -J48 -M 2 -doNotMakeSplitPointActualValue -J -O -C 0.25 -S 
gen_000_ind_005,true,reducedErrorPruning,null,true,0.35,9,false,true,null,null,true,true,null,true,6,10,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,auc,MajorityVotingAggregator,true,true,null,7,2,null,true,3,false,false,5,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -E auc -PART -M 10 -C 0.35 -Aggregator MajorityVotingAggregator -JRip -N 7 -O 6 -F 2 -J48 -M 5 -A -R -Q 1 -N 3 
gen_000_ind_006,true,reducedErrorPruning,true,false,0.35,null,false,true,null,null,true,false,null,true,3,6,false,confidenceFactor,null,true,false,null,false,true,10,false,true,null,CompetenceBasedAggregator,true,true,4,10,3,null,true,10,null,false,10,null,null,null,-PART -J -M 6 -C 0.35 -B -SimpleCart -C 1.0 -S 1 -M 4 -H -N 10 -Aggregator CompetenceBasedAggregator -JRip -N 10 -O 3 -F 3 -J48 -M 10 -A -R -Q 1 -S -N 10 
gen_000_ind_007,true,reducedErrorPruning,false,false,null,8,true,true,1,3,true,true,null,true,7,7,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,CompetenceBasedAggregator,false,true,5,2,9,null,true,9,null,false,8,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 8 -I -E rmse -PART -M 7 -U -SimpleCart -U -M 5 -H -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 3 -JRip -N 2 -O 7 -F 9 -J48 -M 8 -B -R -Q 1 -S -N 9 
gen_000_ind_008,true,confidenceFactor,false,false,null,5,true,true,1,7,true,true,0.15,true,5,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,CompetenceBasedAggregator,false,false,2,7,9,7,true,null,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -I -E mae -PART -M 2 -R -Q 1 -N 7 -SimpleCart -U -M 2 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 7 -JRip -N 7 -O 5 -F 9 -J48 -M 6 -B -O -C 0.15 -S 
