gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.95175439,0048,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,DecisionTable_useIBk,SimpleCart,GreedyStepwise_conservativeForwardSelection,Aggregator,DecisionTable_crossVal,SimpleCart_usePrune,BestFirst_searchTermination,JRip,GreedyStepwise_searchBackwards,SimpleCart_heuristic,PART,J48,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,JRip_usePruning,SimpleCart_numFoldsPruning,BestFirst_direction,SimpleCart_useOneSE,PART_minNumObj,JRip_checkErrorRate,JRip_folds,J48_pruning,J48_numFolds,J48_minNumObj,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_optimizations,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_binarySplits,J48_binarySplits,JRip_minNo,PART_pruning,J48_collapseTree,PART_numFolds,PART_confidenceFactorValue,J48_confidenceFactorValue"
1,49,0.00000000,0.00000000,0.00000000,0.95175439,0050,0100,0035,0.00000000,"JRip,SimpleCart,SimpleCart_heuristic,JRip_checkErrorRate,DecisionTable,JRip_usePruning,SimpleCart_minNumObj,JRip_optimizations,DecisionTable_crossVal,JRip_folds,Aggregator,SimpleCart_usePrune,J48,J48_doNotMakeSplitPointActualValue,PART,PART_pruning,JRip_minNo,DecisionTable_search,BestFirst_direction,SimpleCart_numFoldsPruning,PART_useMDLcorrection,SimpleCart_useOneSE,PART_binarySplits,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_minNumObj,BestFirst_searchTermination,PART_numFolds,DecisionTable_useIBk,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,J48_numFolds,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_confidenceFactorValue,J48_collapseTree,J48_subtreeRaising,J48_confidenceFactorValue,J48_binarySplits"
2,49,0.00000000,0.00000000,0.00000000,0.95175439,0042,0100,0035,0.00000000,"Aggregator,JRip,J48,J48_collapseTree,JRip_minNo,PART,PART_useMDLcorrection,J48_useLaplace,DecisionTable,SimpleCart,JRip_checkErrorRate,J48_pruning,J48_useMDLcorrection,J48_confidenceFactorValue,JRip_usePruning,DecisionTable_useIBk,DecisionTable_crossVal,J48_numFolds,J48_binarySplits,SimpleCart_heuristic,SimpleCart_usePrune,JRip_folds,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_evaluationMeasure,DecisionTable_search,PART_minNumObj,PART_binarySplits,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip_optimizations,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,PART_numFolds,BestFirst_searchTermination"
3,49,0.00000000,0.00000000,0.00000000,0.95175439,0038,0100,0035,0.00000000,"SimpleCart,J48,J48_collapseTree,J48_doNotMakeSplitPointActualValue,JRip,DecisionTable,J48_useLaplace,SimpleCart_heuristic,DecisionTable_evaluationMeasure,J48_pruning,Aggregator,PART,J48_binarySplits,PART_minNumObj,SimpleCart_minNumObj,SimpleCart_usePrune,J48_minNumObj,DecisionTable_useIBk,DecisionTable_crossVal,J48_useMDLcorrection,JRip_checkErrorRate,JRip_usePruning,DecisionTable_search,SimpleCart_numFoldsPruning,JRip_minNo,PART_pruning,PART_confidenceFactorValue,J48_subtreeRaising,JRip_folds,PART_useMDLcorrection,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,BestFirst_direction,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,JRip_optimizations,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_numFolds"
4,49,0.00000000,0.00000000,0.00000000,0.95175439,0040,0100,0035,0.00000000,"J48,J48_pruning,SimpleCart,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_useLaplace,JRip,J48_doNotMakeSplitPointActualValue,PART,J48_subtreeRaising,J48_binarySplits,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,Aggregator,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_heuristic,J48_numFolds,J48_minNumObj,J48_collapseTree,DecisionTable,JRip_checkErrorRate,DecisionTable_search,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,JRip_minNo,JRip_usePruning,PART_useMDLcorrection,PART_pruning,DecisionTable_evaluationMeasure,PART_minNumObj,DecisionTable_crossVal,JRip_folds,BestFirst_direction,DecisionTable_useIBk,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_optimizations,PART_confidenceFactorValue,PART_numFolds"
5,49,0.00000000,0.00000000,0.00000000,0.95175439,0040,0100,0035,0.00000000,"DecisionTable,Aggregator,J48,DecisionTable_search,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart,PART,J48_pruning,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,JRip,SimpleCart_numFoldsPruning,PART_pruning,J48_minNumObj,J48_binarySplits,J48_useLaplace,PART_numFolds,JRip_checkErrorRate,PART_binarySplits,J48_confidenceFactorValue,BestFirst_direction,PART_confidenceFactorValue,SimpleCart_heuristic,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,DecisionTable_crossVal,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_collapseTree,JRip_minNo,J48_useMDLcorrection,J48_numFolds,PART_minNumObj,JRip_usePruning,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
6,49,0.00000000,0.00000000,0.00000000,0.95175439,0039,0100,0035,0.00000000,"J48,J48_useMDLcorrection,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,JRip,J48_subtreeRaising,PART,PART_pruning,J48_binarySplits,Aggregator,JRip_usePruning,PART_confidenceFactorValue,JRip_folds,JRip_minNo,SimpleCart,J48_numFolds,PART_numFolds,DecisionTable,PART_minNumObj,J48_collapseTree,J48_minNumObj,PART_binarySplits,JRip_optimizations,SimpleCart_heuristic,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable_crossVal,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,SimpleCart_usePrune,DecisionTable_evaluationMeasure,BestFirst_direction,SimpleCart_numFoldsPruning,BestFirst_searchTermination,SimpleCart_useOneSE,GreedyStepwise_searchBackwards"
7,49,0.00000000,0.00000000,0.00000000,0.95175439,0033,0100,0035,0.00000000,"JRip,DecisionTable,DecisionTable_crossVal,SimpleCart,JRip_checkErrorRate,Aggregator,PART,PART_binarySplits,DecisionTable_evaluationMeasure,PART_minNumObj,JRip_minNo,J48,JRip_usePruning,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_search,DecisionTable_useIBk,GreedyStepwise_searchBackwards,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_useLaplace,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_folds,PART_pruning,SimpleCart_usePrune,J48_pruning,J48_subtreeRaising,J48_minNumObj,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,J48_binarySplits,BestFirst_searchTermination,BestFirst_direction,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.95175439,0040,0100,0035,0.00000000,"DecisionTable,Aggregator,PART,DecisionTable_crossVal,DecisionTable_search,DecisionTable_evaluationMeasure,J48,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,PART_useMDLcorrection,PART_minNumObj,BestFirst_direction,PART_doNotMakeSplitPointActualValue,J48_pruning,PART_binarySplits,J48_collapseTree,GreedyStepwise_searchBackwards,DecisionTable_useIBk,J48_binarySplits,PART_pruning,J48_subtreeRaising,JRip,J48_doNotMakeSplitPointActualValue,SimpleCart,JRip_usePruning,BestFirst_searchTermination,J48_numFolds,JRip_minNo,SimpleCart_minNumObj,JRip_optimizations,J48_useMDLcorrection,J48_useLaplace,J48_confidenceFactorValue,SimpleCart_heuristic,SimpleCart_usePrune,JRip_checkErrorRate,JRip_folds,PART_numFolds,PART_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
9,49,0.00000000,0.00000000,0.00000000,0.95175439,0036,0100,0035,0.00000000,"SimpleCart,DecisionTable,PART,Aggregator,PART_pruning,PART_minNumObj,SimpleCart_minNumObj,SimpleCart_heuristic,JRip,PART_numFolds,JRip_usePruning,PART_useMDLcorrection,SimpleCart_usePrune,DecisionTable_crossVal,J48,SimpleCart_useOneSE,J48_pruning,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_search,PART_binarySplits,J48_confidenceFactorValue,DecisionTable_useIBk,BestFirst_direction,JRip_minNo,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_collapseTree,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip_checkErrorRate,J48_minNumObj,BestFirst_searchTermination,JRip_optimizations,JRip_folds,J48_numFolds,J48_subtreeRaising"
