individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,null,true,null,null,5,null,true,null,null,false,true,null,true,null,10,true,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,8,false,true,acc,MajorityVotingAggregator,null,null,7,5,null,null,null,null,true,null,null,true,null,0.9874382688992139,-DecisionTable -I -S weka.attributeSelection.GreedyStepwise -X 5 -E acc -GreedyStepwise -C -B -PART -J -B -U -M 10 -SimpleCart -M 7 -C 1.0 -S 1 -A -H -N 8 -Aggregator MajorityVotingAggregator -JRip -P -N 5 -E 
gen_000_ind_000,true,reducedErrorPruning,true,true,null,9,false,true,0,3,true,true,null,false,2,null,true,null,false,true,null,weka.attributeSelection.BestFirst,null,true,5,false,null,acc,RuleExtractorAggregator,false,true,2,10,2,null,true,4,null,false,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 9 -E acc -SimpleCart -C 1.0 -S 1 -H -M 2 -N 5 -A -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 3 -JRip -N 10 -F 2 -O 2 -J48 -R -Q 1 -N 4 -M 5 
gen_000_ind_001,true,unpruned,false,null,null,6,false,true,null,null,true,true,null,true,null,9,null,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,MajorityVotingAggregator,false,false,6,4,null,8,false,null,false,false,9,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 6 -E auc -I -PART -R -Q 1 -B -M 9 -N 8 -doNotMakeSplitPointActualValue -SimpleCart -U -M 6 -Aggregator MajorityVotingAggregator -JRip -N 4 -P -J48 -O -J -U -M 9 
gen_000_ind_002,true,unpruned,true,null,0.15,6,true,true,null,null,true,true,null,true,9,10,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,mae,RuleExtractorAggregator,true,false,2,3,5,null,true,null,false,false,7,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 6 -E mae -I -GreedyStepwise -B -PART -C 0.15 -M 10 -SimpleCart -C 1.0 -S 1 -M 2 -N 4 -A -Aggregator RuleExtractorAggregator -JRip -N 3 -F 5 -O 9 -J48 -O -A -B -U -M 7 
gen_000_ind_003,false,confidenceFactor,true,true,null,3,false,true,1,7,true,true,0.25,true,2,2,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,10,true,false,rmse,CompetenceBasedAggregator,false,true,8,3,7,null,false,null,null,true,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 3 -E rmse -PART -U -M 2 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 8 -N 10 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 7 -JRip -N 3 -E -F 7 -O 2 -J48 -J -C 0.25 -doNotMakeSplitPointActualValue -M 5 
gen_000_ind_004,false,reducedErrorPruning,true,true,null,10,false,true,2,1,true,true,null,true,1,9,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,4,false,false,auc,RuleExtractorAggregator,false,true,2,7,5,10,false,7,null,false,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 10 -E auc -PART -J -R -Q 1 -M 9 -N 10 -SimpleCart -C 1.0 -S 1 -H -M 2 -N 4 -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 1 -JRip -N 7 -E -F 5 -O 1 -J48 -J -R -Q 1 -N 7 -M 9 
gen_000_ind_005,false,unpruned,false,null,null,9,false,true,null,null,true,true,null,true,null,10,null,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,true,false,4,2,null,null,true,null,false,true,3,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -E auc -I -GreedyStepwise -B -PART -U -B -M 10 -SimpleCart -U -H -M 4 -Aggregator MajorityVotingAggregator -JRip -N 2 -P -E -J48 -O -A -U -doNotMakeSplitPointActualValue -M 3 
gen_000_ind_006,null,unpruned,true,null,null,2,true,false,1,5,true,true,null,true,null,5,false,unpruned,true,null,false,weka.attributeSelection.BestFirst,true,true,5,false,false,acc,MajorityVotingAggregator,false,false,10,null,null,null,false,null,null,false,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 2 -E acc -I -PART -J -U -M 5 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -H -M 10 -N 5 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 5 -J48 -O -J -B -U -M 5 
gen_000_ind_007,false,reducedErrorPruning,null,false,null,7,true,true,null,null,true,true,null,true,2,2,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,auc,CompetenceBasedAggregator,false,true,null,2,10,10,false,10,false,false,10,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 7 -E auc -GreedyStepwise -B -PART -J -R -Q 1 -B -M 2 -N 10 -doNotMakeSplitPointActualValue -Aggregator CompetenceBasedAggregator -JRip -N 2 -E -F 10 -O 2 -J48 -J -B -R -Q 1 -N 10 -M 10 -S 
gen_000_ind_008,true,confidenceFactor,true,true,null,4,true,true,2,4,true,true,0.35,true,null,2,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,6,true,false,auc,RuleExtractorAggregator,true,true,8,7,null,null,false,null,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E auc -PART -U -M 2 -SimpleCart -C 1.0 -S 1 -M 8 -N 6 -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 4 -JRip -N 7 -P -J48 -J -A -B -C 0.35 -M 3 
