gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.98464218,0328,0100,0035,0.00000000,"J48,JRip,JRip_minNo,JRip_checkErrorRate,PART,SimpleCart,PART_useMDLcorrection,DecisionTable,J48_useMDLcorrection,J48_useLaplace,J48_pruning,J48_minNumObj,PART_pruning,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,DecisionTable_evaluationMeasure,PART_minNumObj,Aggregator,J48_collapseTree,PART_doNotMakeSplitPointActualValue,DecisionTable_search,PART_confidenceFactorValue,DecisionTable_useIBk,JRip_usePruning,J48_binarySplits,JRip_optimizations,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds,SimpleCart_heuristic,GreedyStepwise_searchBackwards,DecisionTable_crossVal,SimpleCart_usePrune,SimpleCart_minNumObj,J48_numFolds,PART_binarySplits,BestFirst_direction,BestFirst_searchTermination,JRip_folds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
1,49,0.00000000,0.00000000,0.00000000,0.98659700,0264,0100,0035,0.00000000,"J48,J48_useMDLcorrection,DecisionTable,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,JRip,J48_useLaplace,J48_subtreeRaising,PART,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_collapseTree,J48_numFolds,SimpleCart,J48_binarySplits,DecisionTable_useIBk,SimpleCart_minNumObj,Aggregator,DecisionTable_search,SimpleCart_usePrune,PART_useMDLcorrection,PART_pruning,JRip_usePruning,JRip_folds,PART_binarySplits,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,GreedyStepwise_searchBackwards,JRip_minNo,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,BestFirst_searchTermination,PART_minNumObj,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart_useOneSE,BestFirst_direction"
2,49,0.00000000,0.00000000,0.00000000,0.98659700,0259,0100,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_binarySplits,JRip,DecisionTable,DecisionTable_search,J48_pruning,JRip_usePruning,J48_useLaplace,J48_numFolds,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,J48_useMDLcorrection,Aggregator,BestFirst_direction,PART,SimpleCart,JRip_minNo,JRip_checkErrorRate,J48_minNumObj,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,JRip_optimizations,JRip_folds,SimpleCart_usePrune,PART_binarySplits,PART_useMDLcorrection,J48_confidenceFactorValue,BestFirst_searchTermination,DecisionTable_useIBk,PART_pruning,SimpleCart_numFoldsPruning,J48_subtreeRaising,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_useOneSE,PART_confidenceFactorValue,PART_numFolds"
3,49,0.00000000,0.00000000,0.00000000,0.98659700,0284,0100,0035,0.00000000,"PART,J48,J48_minNumObj,J48_pruning,J48_collapseTree,PART_useMDLcorrection,DecisionTable,J48_binarySplits,DecisionTable_search,PART_binarySplits,JRip,BestFirst_direction,J48_confidenceFactorValue,J48_useLaplace,Aggregator,J48_numFolds,J48_useMDLcorrection,PART_pruning,SimpleCart,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,SimpleCart_heuristic,BestFirst_searchTermination,DecisionTable_useIBk,SimpleCart_minNumObj,PART_numFolds,PART_confidenceFactorValue,JRip_minNo,SimpleCart_usePrune,JRip_folds,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_numFoldsPruning"
4,49,0.00000000,0.00000000,0.00000000,0.98659700,0258,0100,0035,0.00000000,"Aggregator,SimpleCart,J48,J48_minNumObj,J48_useLaplace,J48_pruning,JRip,SimpleCart_usePrune,SimpleCart_minNumObj,PART,J48_subtreeRaising,SimpleCart_useOneSE,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_numFoldsPruning,DecisionTable,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART_minNumObj,PART_useMDLcorrection,PART_binarySplits,J48_confidenceFactorValue,JRip_minNo,JRip_checkErrorRate,J48_collapseTree,DecisionTable_useIBk,DecisionTable_search,PART_pruning,JRip_usePruning,JRip_optimizations,DecisionTable_evaluationMeasure,J48_binarySplits,DecisionTable_crossVal,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,PART_numFolds,GreedyStepwise_searchBackwards,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,0.98659700,0238,0100,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip,J48_pruning,J48_numFolds,Aggregator,SimpleCart,JRip_minNo,J48_subtreeRaising,DecisionTable,PART,J48_useMDLcorrection,PART_binarySplits,DecisionTable_search,SimpleCart_heuristic,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,J48_binarySplits,PART_minNumObj,J48_useLaplace,BestFirst_searchTermination,J48_collapseTree,JRip_usePruning,JRip_folds,BestFirst_direction,SimpleCart_usePrune,PART_pruning,SimpleCart_minNumObj,PART_confidenceFactorValue,PART_useMDLcorrection,J48_confidenceFactorValue,DecisionTable_crossVal,PART_numFolds,DecisionTable_useIBk,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_useOneSE"
6,49,0.00000000,0.00000000,0.00000000,0.98659700,0254,0100,0035,0.00000000,"JRip,JRip_usePruning,JRip_optimizations,DecisionTable,JRip_folds,JRip_checkErrorRate,J48,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_search,SimpleCart,J48_minNumObj,PART,GreedyStepwise_searchBackwards,J48_collapseTree,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_binarySplits,Aggregator,DecisionTable_evaluationMeasure,PART_pruning,J48_useLaplace,J48_binarySplits,SimpleCart_useOneSE,JRip_minNo,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_confidenceFactorValue,BestFirst_direction,J48_pruning,PART_minNumObj,SimpleCart_heuristic,J48_numFolds,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart_minNumObj,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_numFolds,J48_subtreeRaising"
7,49,0.00000000,0.00000000,0.00000000,0.98659700,0211,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,JRip_minNo,PART,DecisionTable,J48,J48_minNumObj,J48_binarySplits,PART_pruning,JRip_usePruning,SimpleCart,Aggregator,JRip_optimizations,SimpleCart_heuristic,DecisionTable_search,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_usePrune,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART_useMDLcorrection,PART_minNumObj,PART_numFolds,JRip_folds,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_minNumObj,J48_collapseTree,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_numFoldsPruning,J48_numFolds,J48_subtreeRaising"
8,49,0.00000000,0.00000000,0.00000000,0.98659700,0215,0100,0035,0.00000000,"SimpleCart,J48,J48_doNotMakeSplitPointActualValue,DecisionTable,PART,DecisionTable_useIBk,J48_collapseTree,J48_pruning,DecisionTable_search,JRip,J48_subtreeRaising,J48_binarySplits,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,Aggregator,PART_minNumObj,J48_minNumObj,JRip_minNo,PART_useMDLcorrection,J48_useMDLcorrection,J48_useLaplace,BestFirst_searchTermination,SimpleCart_usePrune,SimpleCart_heuristic,JRip_usePruning,SimpleCart_minNumObj,J48_numFolds,PART_binarySplits,PART_pruning,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_folds,JRip_optimizations,PART_numFolds,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
9,49,0.00000000,0.00000000,0.00000000,0.98659700,0232,0100,0035,0.00000000,"J48,DecisionTable,JRip,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable_useIBk,J48_collapseTree,JRip_checkErrorRate,JRip_usePruning,J48_pruning,J48_minNumObj,J48_binarySplits,PART,SimpleCart,SimpleCart_usePrune,DecisionTable_search,Aggregator,JRip_minNo,PART_pruning,PART_binarySplits,DecisionTable_evaluationMeasure,J48_useLaplace,JRip_optimizations,PART_numFolds,PART_confidenceFactorValue,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip_folds,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,BestFirst_direction,SimpleCart_heuristic,J48_subtreeRaising,BestFirst_searchTermination,J48_numFolds,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,PART_minNumObj,SimpleCart_useOneSE"
