gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.78049155,0016,0100,0035,0.00000000,"JRip,Aggregator,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_usePruning,PART_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,JRip_optimizations,J48,JRip_minNo,SimpleCart,SimpleCart_heuristic,J48_useMDLcorrection,SimpleCart_minNumObj,J48_minNumObj,J48_binarySplits,DecisionTable_search,PART_useMDLcorrection,BestFirst_searchTermination,DecisionTable_useIBk,PART_pruning,GreedyStepwise_searchBackwards,J48_useLaplace,PART_confidenceFactorValue,PART_numFolds,DecisionTable_crossVal,JRip_folds,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_collapseTree,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_numFolds,BestFirst_direction,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.78049155,0014,0100,0035,0.00000000,"PART,J48,J48_useMDLcorrection,PART_minNumObj,Aggregator,J48_collapseTree,SimpleCart,SimpleCart_usePrune,PART_useMDLcorrection,JRip,PART_doNotMakeSplitPointActualValue,DecisionTable,J48_useLaplace,DecisionTable_crossVal,PART_pruning,J48_binarySplits,JRip_minNo,PART_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_minNumObj,SimpleCart_heuristic,PART_numFolds,SimpleCart_numFoldsPruning,J48_pruning,SimpleCart_minNumObj,JRip_usePruning,JRip_checkErrorRate,DecisionTable_evaluationMeasure,DecisionTable_search,JRip_folds,DecisionTable_useIBk,PART_confidenceFactorValue,J48_subtreeRaising,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_optimizations,BestFirst_direction,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_conservativeForwardSelection"
2,49,0.00000000,0.00000000,0.00000000,0.80599078,0014,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,DecisionTable_evaluationMeasure,PART,PART_useMDLcorrection,DecisionTable_search,SimpleCart,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip,DecisionTable_crossVal,JRip_minNo,PART_minNumObj,JRip_checkErrorRate,JRip_usePruning,Aggregator,J48,J48_collapseTree,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,BestFirst_direction,SimpleCart_minNumObj,PART_pruning,PART_binarySplits,JRip_optimizations,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_heuristic,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,JRip_folds,SimpleCart_useOneSE,J48_useLaplace,J48_pruning,J48_numFolds,SimpleCart_numFoldsPruning,PART_numFolds,J48_subtreeRaising,J48_binarySplits,J48_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.80599078,0015,0100,0035,0.00000000,"Aggregator,PART,PART_pruning,J48,PART_minNumObj,JRip,PART_numFolds,J48_binarySplits,JRip_usePruning,PART_useMDLcorrection,JRip_minNo,SimpleCart,JRip_folds,J48_useLaplace,DecisionTable,PART_binarySplits,J48_collapseTree,DecisionTable_useIBk,J48_useMDLcorrection,J48_pruning,JRip_checkErrorRate,J48_minNumObj,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,SimpleCart_heuristic,SimpleCart_usePrune,JRip_optimizations,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_numFolds,SimpleCart_useOneSE,J48_confidenceFactorValue,DecisionTable_crossVal,SimpleCart_numFoldsPruning,DecisionTable_search,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction"
4,49,0.00000000,0.00000000,0.00000000,0.80599078,0016,0100,0035,0.00000000,"SimpleCart,DecisionTable,SimpleCart_minNumObj,PART,SimpleCart_heuristic,Aggregator,JRip,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48,PART_useMDLcorrection,DecisionTable_useIBk,PART_binarySplits,SimpleCart_usePrune,DecisionTable_crossVal,DecisionTable_search,J48_useMDLcorrection,BestFirst_direction,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_collapseTree,JRip_checkErrorRate,PART_pruning,SimpleCart_useOneSE,J48_minNumObj,J48_useLaplace,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_pruning,J48_binarySplits,JRip_usePruning,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,J48_numFolds,PART_numFolds,J48_subtreeRaising,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,0.80599078,0015,0100,0035,0.00000000,"Aggregator,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_crossVal,JRip,PART,SimpleCart_numFoldsPruning,SimpleCart_heuristic,J48,J48_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_pruning,PART_minNumObj,JRip_minNo,J48_binarySplits,J48_pruning,DecisionTable_search,SimpleCart_useOneSE,J48_useMDLcorrection,PART_useMDLcorrection,JRip_usePruning,J48_numFolds,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,JRip_checkErrorRate,BestFirst_searchTermination,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_numFolds,J48_collapseTree,J48_confidenceFactorValue,JRip_folds,J48_useLaplace,J48_subtreeRaising,PART_confidenceFactorValue,JRip_optimizations,BestFirst_direction"
6,49,0.00000000,0.00000000,0.00000000,0.80599078,0014,0100,0035,0.00000000,"PART,PART_useMDLcorrection,JRip,PART_doNotMakeSplitPointActualValue,JRip_usePruning,SimpleCart,JRip_checkErrorRate,DecisionTable,SimpleCart_usePrune,DecisionTable_search,PART_pruning,PART_numFolds,JRip_minNo,SimpleCart_minNumObj,PART_binarySplits,BestFirst_direction,Aggregator,GreedyStepwise_conservativeForwardSelection,J48,DecisionTable_evaluationMeasure,J48_collapseTree,SimpleCart_useOneSE,PART_minNumObj,JRip_folds,JRip_optimizations,DecisionTable_useIBk,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,SimpleCart_heuristic,BestFirst_searchTermination,DecisionTable_crossVal,J48_minNumObj,J48_useLaplace,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_pruning,PART_confidenceFactorValue,J48_useMDLcorrection,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds"
7,49,0.00000000,0.00000000,0.00000000,0.80599078,0014,0100,0035,0.00000000,"DecisionTable,JRip,JRip_checkErrorRate,Aggregator,DecisionTable_useIBk,JRip_minNo,J48,DecisionTable_search,DecisionTable_evaluationMeasure,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_usePruning,PART,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_searchBackwards,J48_binarySplits,JRip_optimizations,J48_collapseTree,J48_pruning,SimpleCart,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,PART_pruning,J48_subtreeRaising,JRip_folds,J48_minNumObj,SimpleCart_minNumObj,BestFirst_searchTermination,SimpleCart_heuristic,PART_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_numFoldsPruning,PART_minNumObj,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,PART_numFolds,PART_binarySplits,J48_confidenceFactorValue,J48_numFolds"
8,49,0.00000000,0.00000000,0.00000000,0.80599078,0015,0100,0035,0.00000000,"J48,J48_useMDLcorrection,J48_pruning,J48_numFolds,J48_minNumObj,DecisionTable,DecisionTable_search,Aggregator,BestFirst_direction,SimpleCart,JRip,J48_subtreeRaising,J48_binarySplits,DecisionTable_useIBk,J48_useLaplace,JRip_usePruning,J48_collapseTree,PART,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,JRip_checkErrorRate,JRip_folds,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart_usePrune,BestFirst_searchTermination,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip_minNo,JRip_optimizations,PART_pruning,SimpleCart_useOneSE,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds"
9,49,0.00000000,0.00000000,0.00000000,0.80599078,0014,0100,0035,0.00000000,"Aggregator,J48,J48_useLaplace,JRip,PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_usePruning,SimpleCart,JRip_minNo,DecisionTable,SimpleCart_minNumObj,J48_binarySplits,DecisionTable_crossVal,SimpleCart_heuristic,J48_useMDLcorrection,PART_minNumObj,J48_pruning,J48_collapseTree,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,PART_binarySplits,JRip_optimizations,JRip_folds,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_useOneSE,PART_pruning,PART_confidenceFactorValue,DecisionTable_search,DecisionTable_evaluationMeasure,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,BestFirst_searchTermination,PART_numFolds,BestFirst_direction,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
