individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,false,null,0.15,5,true,true,0,8,true,true,null,true,1,2,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,null,false,true,mae,MajorityVotingAggregator,false,true,3,2,4,null,false,null,null,false,2,null,null,0.9954837632523583,-DecisionTable -S weka.attributeSelection.BestFirst -I -X 5 -E mae -PART -C 0.15 -M 2 -doNotMakeSplitPointActualValue -J -B -SimpleCart -U -M 3 -H -Aggregator MajorityVotingAggregator -BestFirst -N 8 -D 0 -JRip -F 4 -N 2 -O 1 -J48 -J -B -U -M 2 
gen_000_ind_000,true,unpruned,true,null,null,9,false,true,2,7,true,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,6,false,null,auc,CompetenceBasedAggregator,false,true,8,7,null,null,true,null,null,true,6,null,null,null,-DecisionTable -X 9 -E auc -S weka.attributeSelection.BestFirst -SimpleCart -C 1.0 -S 1 -N 6 -M 8 -H -Aggregator CompetenceBasedAggregator -BestFirst -N 7 -D 2 -JRip -N 7 -P -J48 -doNotMakeSplitPointActualValue -M 6 -U 
gen_000_ind_001,true,confidenceFactor,null,false,null,9,true,true,1,10,true,true,0.25,true,3,8,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,mae,RuleExtractorAggregator,false,true,null,4,8,null,false,null,null,false,9,null,null,null,-DecisionTable -X 9 -E mae -S weka.attributeSelection.BestFirst -I -PART -U -M 8 -B -Aggregator RuleExtractorAggregator -BestFirst -N 10 -D 1 -JRip -N 4 -O 3 -F 8 -J48 -J -B -M 9 -C 0.25 -S 
gen_000_ind_002,true,unpruned,false,null,0.25,5,true,true,0,2,true,true,null,true,null,9,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,true,auc,RuleExtractorAggregator,false,true,2,8,null,null,true,null,null,false,7,null,null,null,-DecisionTable -X 5 -E auc -S weka.attributeSelection.BestFirst -PART -C 0.25 -J -doNotMakeSplitPointActualValue -M 9 -B -SimpleCart -U -M 2 -H -Aggregator RuleExtractorAggregator -BestFirst -N 2 -D 0 -JRip -N 8 -P -J48 -B -M 7 -U 
gen_000_ind_003,true,unpruned,true,null,0.35,8,false,true,2,6,true,true,null,true,3,2,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,5,true,true,auc,RuleExtractorAggregator,false,true,4,7,6,null,false,null,null,true,5,null,null,null,-DecisionTable -X 8 -E auc -S weka.attributeSelection.BestFirst -PART -C 0.35 -M 2 -B -SimpleCart -C 1.0 -S 1 -N 5 -M 4 -Aggregator RuleExtractorAggregator -BestFirst -N 6 -D 2 -JRip -N 7 -O 3 -F 6 -J48 -doNotMakeSplitPointActualValue -J -M 5 -U 
gen_000_ind_004,true,confidenceFactor,true,true,null,8,false,true,1,9,true,true,0.35,true,7,4,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,5,false,false,mae,RuleExtractorAggregator,false,true,7,9,7,10,true,null,null,true,10,null,null,null,-DecisionTable -X 8 -E mae -S weka.attributeSelection.BestFirst -PART -R -Q 1 -doNotMakeSplitPointActualValue -M 4 -N 10 -SimpleCart -C 1.0 -S 1 -N 5 -M 7 -H -A -Aggregator RuleExtractorAggregator -BestFirst -N 9 -D 1 -JRip -N 9 -O 7 -F 7 -J48 -doNotMakeSplitPointActualValue -M 10 -C 0.35 
gen_000_ind_005,true,reducedErrorPruning,null,true,null,9,false,true,1,7,true,true,null,true,null,9,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,RuleExtractorAggregator,false,true,null,9,null,2,true,7,null,true,6,null,null,null,-DecisionTable -X 9 -E auc -S weka.attributeSelection.BestFirst -PART -R -Q 1 -J -M 9 -B -N 2 -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 1 -JRip -N 9 -P -J48 -doNotMakeSplitPointActualValue -M 6 -R -Q 1 -N 7 
gen_000_ind_006,false,confidenceFactor,null,true,0.45,1,false,true,null,null,true,true,0.35,true,3,8,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,auc,MajorityVotingAggregator,true,true,null,5,8,null,false,null,true,false,6,true,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -C 0.45 -doNotMakeSplitPointActualValue -M 8 -B -Aggregator MajorityVotingAggregator -JRip -N 5 -E -O 3 -F 8 -J48 -A -J -M 6 -C 0.35 
gen_000_ind_007,true,confidenceFactor,true,false,null,9,false,true,null,null,true,true,0.35,true,2,6,false,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,9,true,false,rmse,RuleExtractorAggregator,false,true,4,5,9,null,true,null,false,true,9,false,null,null,-DecisionTable -X 9 -E rmse -S weka.attributeSelection.GreedyStepwise -I -PART -U -J -M 6 -SimpleCart -C 1.0 -S 1 -N 9 -M 4 -Aggregator RuleExtractorAggregator -JRip -N 5 -O 2 -F 9 -J48 -doNotMakeSplitPointActualValue -M 9 -C 0.35 -S 
gen_000_ind_008,true,confidenceFactor,false,false,null,4,true,true,1,7,true,true,0.25,false,10,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,false,null,auc,CompetenceBasedAggregator,true,true,5,2,10,null,true,null,null,false,2,null,null,null,-DecisionTable -X 4 -E auc -S weka.attributeSelection.BestFirst -SimpleCart -U -M 5 -H -Aggregator CompetenceBasedAggregator -BestFirst -N 7 -D 1 -JRip -N 2 -O 10 -F 10 -J48 -A -B -M 2 -C 0.25 -S 
