gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99647116,0301,0100,0035,0.00000000,"J48,J48_collapseTree,JRip,J48_minNumObj,PART,J48_binarySplits,PART_minNumObj,SimpleCart,J48_useMDLcorrection,JRip_minNo,PART_useMDLcorrection,DecisionTable,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_useLaplace,Aggregator,JRip_usePruning,J48_pruning,PART_binarySplits,DecisionTable_crossVal,DecisionTable_useIBk,JRip_optimizations,J48_subtreeRaising,PART_pruning,JRip_folds,JRip_checkErrorRate,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_search,DecisionTable_evaluationMeasure,PART_numFolds,PART_confidenceFactorValue,SimpleCart_useOneSE,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.99691728,0227,0100,0035,0.00000000,"J48,J48_useLaplace,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART,SimpleCart,DecisionTable,SimpleCart_minNumObj,DecisionTable_useIBk,J48_binarySplits,PART_minNumObj,J48_pruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,PART_useMDLcorrection,BestFirst_searchTermination,PART_binarySplits,PART_doNotMakeSplitPointActualValue,Aggregator,SimpleCart_usePrune,JRip,JRip_checkErrorRate,J48_minNumObj,J48_subtreeRaising,PART_pruning,PART_numFolds,SimpleCart_heuristic,DecisionTable_crossVal,PART_confidenceFactorValue,J48_numFolds,GreedyStepwise_searchBackwards,BestFirst_direction,J48_confidenceFactorValue,JRip_minNo,JRip_usePruning,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
2,49,0.00000000,0.00000000,0.00000000,0.99745102,0239,0100,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,Aggregator,SimpleCart,JRip,DecisionTable_useIBk,DecisionTable_crossVal,J48,JRip_usePruning,DecisionTable_search,J48_useLaplace,GreedyStepwise_searchBackwards,PART,J48_minNumObj,JRip_folds,J48_useMDLcorrection,SimpleCart_heuristic,J48_binarySplits,J48_collapseTree,PART_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip_optimizations,BestFirst_searchTermination,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,JRip_checkErrorRate,BestFirst_direction,J48_confidenceFactorValue,PART_pruning,J48_numFolds,SimpleCart_useOneSE,PART_binarySplits,PART_confidenceFactorValue,PART_numFolds"
3,49,0.00000000,0.00000000,0.00000000,0.99745102,0248,0100,0035,0.00000000,"SimpleCart,PART,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable,DecisionTable_crossVal,PART_minNumObj,J48,J48_useLaplace,JRip,SimpleCart_usePrune,JRip_checkErrorRate,Aggregator,SimpleCart_numFoldsPruning,J48_minNumObj,J48_collapseTree,DecisionTable_evaluationMeasure,PART_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_search,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_useMDLcorrection,PART_pruning,J48_useMDLcorrection,BestFirst_direction,JRip_usePruning,J48_pruning,JRip_optimizations,JRip_minNo,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_confidenceFactorValue,J48_confidenceFactorValue,J48_subtreeRaising,BestFirst_searchTermination,JRip_folds,GreedyStepwise_searchBackwards,PART_numFolds,J48_numFolds"
4,49,0.00000000,0.00000000,0.00000000,0.99783286,0300,0100,0035,0.00000000,"J48,J48_binarySplits,J48_pruning,J48_useLaplace,J48_collapseTree,J48_minNumObj,J48_confidenceFactorValue,JRip,DecisionTable,SimpleCart,DecisionTable_useIBk,J48_useMDLcorrection,J48_subtreeRaising,PART,Aggregator,DecisionTable_crossVal,PART_binarySplits,J48_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_search,J48_numFolds,SimpleCart_usePrune,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,JRip_usePruning,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,PART_minNumObj,JRip_checkErrorRate,BestFirst_direction,SimpleCart_heuristic,BestFirst_searchTermination,JRip_folds,JRip_minNo,SimpleCart_numFoldsPruning,PART_useMDLcorrection,PART_numFolds,JRip_optimizations,GreedyStepwise_conservativeForwardSelection"
5,49,0.00000000,0.00000000,0.00000000,0.99783286,0185,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,BestFirst_direction,Aggregator,DecisionTable_evaluationMeasure,JRip,SimpleCart,SimpleCart_usePrune,JRip_usePruning,JRip_folds,JRip_checkErrorRate,SimpleCart_heuristic,PART,SimpleCart_useOneSE,PART_binarySplits,JRip_minNo,J48,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,DecisionTable_crossVal,DecisionTable_useIBk,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_minNumObj,PART_minNumObj,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_minNumObj,J48_collapseTree,PART_pruning,J48_useMDLcorrection,J48_subtreeRaising,J48_binarySplits,J48_useLaplace,PART_confidenceFactorValue,J48_numFolds,J48_confidenceFactorValue,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.99803548,0229,0100,0068,0.22902337,"PART,Aggregator,J48,JRip,J48_useLaplace,SimpleCart,JRip_usePruning,JRip_checkErrorRate,J48_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_folds,SimpleCart_minNumObj,SimpleCart_heuristic,PART_useMDLcorrection,JRip_minNo,PART_minNumObj,PART_binarySplits,J48_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_pruning,J48_confidenceFactorValue,J48_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_subtreeRaising,DecisionTable,DecisionTable_crossVal,SimpleCart_useOneSE,BestFirst_direction,SimpleCart_numFoldsPruning,BestFirst_searchTermination,SimpleCart_usePrune,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_numFolds,J48_collapseTree,DecisionTable_search,DecisionTable_useIBk"
7,49,0.00000000,0.00000000,0.00000000,0.99803548,0236,0100,0068,0.22902337,"PART,Aggregator,SimpleCart,J48,JRip,J48_useLaplace,JRip_usePruning,JRip_checkErrorRate,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_optimizations,PART_minNumObj,DecisionTable,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_binarySplits,JRip_minNo,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,J48_collapseTree,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_useMDLcorrection,PART_numFolds,DecisionTable_crossVal,PART_confidenceFactorValue,BestFirst_direction,SimpleCart_minNumObj,JRip_folds"
8,49,0.00000000,0.00000000,0.00000000,0.99803548,0238,0100,0068,0.22902337,"SimpleCart,JRip,JRip_usePruning,JRip_checkErrorRate,Aggregator,J48,PART,J48_useLaplace,J48_useMDLcorrection,JRip_folds,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_binarySplits,PART_pruning,PART_numFolds,PART_binarySplits,SimpleCart_usePrune,SimpleCart_useOneSE,PART_minNumObj,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_optimizations,DecisionTable,DecisionTable_crossVal,PART_confidenceFactorValue,J48_pruning,J48_subtreeRaising,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_numFolds,DecisionTable_useIBk,J48_collapseTree,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,J48_minNumObj,SimpleCart_numFoldsPruning,J48_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.99803548,0237,0100,0068,0.22902337,"Aggregator,SimpleCart,PART,J48,JRip,JRip_usePruning,JRip_checkErrorRate,J48_useLaplace,J48_useMDLcorrection,SimpleCart_heuristic,JRip_folds,SimpleCart_minNumObj,J48_minNumObj,PART_minNumObj,J48_binarySplits,PART_useMDLcorrection,JRip_minNo,JRip_optimizations,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_crossVal,DecisionTable_search,BestFirst_searchTermination,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,SimpleCart_useOneSE,BestFirst_direction,J48_pruning,PART_binarySplits,J48_subtreeRaising,J48_numFolds,DecisionTable_evaluationMeasure,J48_collapseTree,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards"
