gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,1.00000000,0027,0100,0035,0.00000000,"J48,PART,J48_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart,PART_binarySplits,J48_useLaplace,PART_minNumObj,SimpleCart_minNumObj,JRip,J48_collapseTree,JRip_checkErrorRate,SimpleCart_heuristic,PART_pruning,PART_confidenceFactorValue,Aggregator,JRip_usePruning,DecisionTable,DecisionTable_crossVal,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,PART_numFolds,J48_pruning,J48_subtreeRaising,J48_useMDLcorrection,DecisionTable_evaluationMeasure,PART_useMDLcorrection,GreedyStepwise_searchBackwards,DecisionTable_useIBk,J48_confidenceFactorValue,JRip_optimizations,SimpleCart_usePrune,JRip_folds,J48_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,BestFirst_direction,BestFirst_searchTermination"
1,49,0.00000000,0.00000000,0.00000000,1.00000000,0028,0100,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_useIBk,SimpleCart,PART,SimpleCart_usePrune,DecisionTable_crossVal,SimpleCart_numFoldsPruning,PART_pruning,SimpleCart_minNumObj,J48,PART_useMDLcorrection,DecisionTable_search,DecisionTable_evaluationMeasure,PART_binarySplits,JRip,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useMDLcorrection,PART_numFolds,JRip_usePruning,JRip_minNo,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_collapseTree,J48_pruning,J48_numFolds,PART_minNumObj,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,PART_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_optimizations,J48_binarySplits,J48_subtreeRaising,JRip_folds,J48_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,1.00000000,0030,0100,0035,0.00000000,"PART,PART_useMDLcorrection,PART_pruning,DecisionTable,DecisionTable_useIBk,PART_confidenceFactorValue,J48,PART_numFolds,Aggregator,JRip,DecisionTable_evaluationMeasure,J48_useMDLcorrection,JRip_checkErrorRate,SimpleCart,J48_binarySplits,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_minNumObj,DecisionTable_search,PART_binarySplits,BestFirst_searchTermination,J48_useLaplace,J48_pruning,J48_collapseTree,JRip_usePruning,JRip_folds,JRip_minNo,SimpleCart_heuristic,GreedyStepwise_searchBackwards,BestFirst_direction,SimpleCart_minNumObj,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_useOneSE,J48_subtreeRaising,JRip_optimizations"
3,49,0.00000000,0.00000000,0.00000000,1.00000000,0026,0100,0035,0.00000000,"PART,PART_binarySplits,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48,PART_pruning,JRip,Aggregator,JRip_usePruning,SimpleCart,DecisionTable,PART_confidenceFactorValue,J48_pruning,J48_subtreeRaising,SimpleCart_heuristic,JRip_minNo,DecisionTable_crossVal,J48_confidenceFactorValue,J48_useMDLcorrection,JRip_checkErrorRate,JRip_optimizations,J48_binarySplits,J48_collapseTree,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_minNumObj,J48_numFolds,DecisionTable_useIBk,J48_useLaplace,PART_numFolds,SimpleCart_usePrune,JRip_folds,SimpleCart_minNumObj,DecisionTable_search,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards"
4,49,0.00000000,0.00000000,0.00000000,1.00000000,0027,0100,0035,0.00000000,"SimpleCart,J48,J48_useMDLcorrection,PART,PART_minNumObj,JRip,J48_binarySplits,DecisionTable,PART_binarySplits,DecisionTable_useIBk,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,DecisionTable_evaluationMeasure,JRip_checkErrorRate,Aggregator,JRip_minNo,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_heuristic,J48_collapseTree,PART_pruning,PART_useMDLcorrection,J48_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable_search,PART_confidenceFactorValue,J48_minNumObj,JRip_usePruning,J48_confidenceFactorValue,J48_useLaplace,GreedyStepwise_searchBackwards,J48_subtreeRaising,PART_numFolds,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,BestFirst_searchTermination,BestFirst_direction,J48_numFolds,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,1.00000000,0027,0100,0035,0.00000000,"PART,PART_binarySplits,SimpleCart,PART_pruning,J48,PART_minNumObj,Aggregator,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable,J48_minNumObj,JRip,SimpleCart_minNumObj,J48_collapseTree,J48_useMDLcorrection,PART_useMDLcorrection,JRip_minNo,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_pruning,DecisionTable_search,SimpleCart_heuristic,BestFirst_direction,BestFirst_searchTermination,SimpleCart_usePrune,JRip_checkErrorRate,DecisionTable_useIBk,PART_numFolds,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_numFolds,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_useOneSE,JRip_optimizations,JRip_folds"
6,49,0.00000000,0.00000000,0.00000000,1.00000000,0029,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48,JRip,Aggregator,J48_useMDLcorrection,J48_useLaplace,DecisionTable_useIBk,J48_minNumObj,J48_binarySplits,SimpleCart,DecisionTable_search,SimpleCart_heuristic,PART,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,J48_pruning,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_confidenceFactorValue,PART_minNumObj,PART_useMDLcorrection,JRip_checkErrorRate,PART_pruning,J48_collapseTree,JRip_usePruning,J48_subtreeRaising,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_numFolds,PART_numFolds,SimpleCart_useOneSE,PART_binarySplits,JRip_folds,PART_confidenceFactorValue"
7,49,0.00000000,0.00000000,0.00000000,1.00000000,0026,0100,0035,0.00000000,"JRip,JRip_minNo,JRip_usePruning,J48,DecisionTable,Aggregator,JRip_optimizations,J48_binarySplits,SimpleCart,JRip_checkErrorRate,J48_useLaplace,DecisionTable_useIBk,PART,JRip_folds,PART_minNumObj,SimpleCart_heuristic,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART_pruning,J48_collapseTree,J48_minNumObj,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_useMDLcorrection,PART_numFolds,PART_useMDLcorrection,J48_subtreeRaising,DecisionTable_search,J48_numFolds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,PART_binarySplits,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction"
8,49,0.00000000,0.00000000,0.00000000,1.00000000,0029,0100,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_crossVal,SimpleCart,PART,J48,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip,PART_minNumObj,JRip_minNo,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_minNumObj,DecisionTable_useIBk,J48_collapseTree,SimpleCart_heuristic,PART_pruning,J48_pruning,JRip_usePruning,DecisionTable_search,PART_useMDLcorrection,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_binarySplits,DecisionTable_evaluationMeasure,PART_binarySplits,J48_numFolds,J48_useMDLcorrection,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,JRip_folds,BestFirst_searchTermination,PART_numFolds,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,JRip_optimizations,BestFirst_direction"
9,49,0.00000000,0.00000000,0.00000000,1.00000000,0027,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,JRip,DecisionTable_search,PART,SimpleCart,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_minNo,J48,PART_useMDLcorrection,PART_binarySplits,PART_pruning,SimpleCart_usePrune,J48_minNumObj,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,Aggregator,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_useMDLcorrection,J48_collapseTree,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_crossVal,JRip_usePruning,J48_pruning,JRip_checkErrorRate,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_heuristic,PART_numFolds,J48_binarySplits,J48_useLaplace,J48_subtreeRaising,JRip_folds"
