gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99903928,0383,0100,0035,0.00000000,"SimpleCart,PART,SimpleCart_minNumObj,PART_useMDLcorrection,SimpleCart_heuristic,Aggregator,PART_doNotMakeSplitPointActualValue,J48,DecisionTable,SimpleCart_usePrune,JRip,J48_binarySplits,PART_minNumObj,J48_collapseTree,PART_pruning,PART_binarySplits,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_pruning,PART_confidenceFactorValue,J48_subtreeRaising,JRip_checkErrorRate,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_numFoldsPruning,J48_numFolds,DecisionTable_search,J48_useLaplace,JRip_usePruning,JRip_minNo,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,JRip_folds,PART_numFolds,JRip_optimizations,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction"
1,49,0.00000000,0.00000000,0.00000000,0.99903928,0357,0100,0035,0.00000000,"JRip,DecisionTable,J48,PART,J48_binarySplits,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_minNo,Aggregator,DecisionTable_crossVal,PART_binarySplits,J48_pruning,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_pruning,PART_minNumObj,JRip_usePruning,J48_useLaplace,JRip_folds,J48_collapseTree,DecisionTable_useIBk,J48_useMDLcorrection,SimpleCart,JRip_optimizations,PART_confidenceFactorValue,J48_confidenceFactorValue,DecisionTable_search,J48_numFolds,PART_useMDLcorrection,BestFirst_direction,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,PART_numFolds,SimpleCart_minNumObj,SimpleCart_heuristic,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_useOneSE"
2,49,0.00000000,0.00000000,0.00000000,0.99903928,0332,0100,0035,0.00000000,"J48,J48_pruning,Aggregator,SimpleCart,SimpleCart_heuristic,JRip,J48_collapseTree,JRip_minNo,JRip_usePruning,SimpleCart_minNumObj,JRip_folds,DecisionTable,J48_subtreeRaising,J48_minNumObj,PART,PART_minNumObj,J48_binarySplits,J48_useMDLcorrection,PART_binarySplits,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_numFolds,J48_useLaplace,DecisionTable_useIBk,DecisionTable_crossVal,JRip_optimizations,DecisionTable_search,SimpleCart_useOneSE,PART_useMDLcorrection,BestFirst_direction,PART_pruning,DecisionTable_evaluationMeasure,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,PART_numFolds"
3,49,0.00000000,0.00000000,0.00000000,0.99903928,0374,0100,0035,0.00000000,"JRip,SimpleCart,DecisionTable,Aggregator,SimpleCart_usePrune,JRip_checkErrorRate,PART,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_minNo,SimpleCart_numFoldsPruning,JRip_usePruning,J48,PART_minNumObj,JRip_optimizations,J48_pruning,J48_useLaplace,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_useMDLcorrection,JRip_folds,SimpleCart_useOneSE,J48_subtreeRaising,SimpleCart_heuristic,DecisionTable_search,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_useMDLcorrection,J48_collapseTree,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_binarySplits,BestFirst_direction,J48_minNumObj,PART_numFolds,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.99903928,0368,0100,0035,0.00000000,"SimpleCart,JRip,JRip_checkErrorRate,J48,JRip_minNo,PART,DecisionTable,DecisionTable_useIBk,SimpleCart_minNumObj,DecisionTable_search,PART_pruning,J48_doNotMakeSplitPointActualValue,Aggregator,SimpleCart_heuristic,J48_useMDLcorrection,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_usePruning,J48_useLaplace,J48_minNumObj,SimpleCart_usePrune,J48_collapseTree,BestFirst_direction,J48_pruning,PART_useMDLcorrection,J48_subtreeRaising,JRip_folds,SimpleCart_useOneSE,PART_minNumObj,J48_binarySplits,DecisionTable_crossVal,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48_numFolds,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,PART_numFolds,JRip_optimizations,J48_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,0.99906453,0400,0100,0035,0.00000000,"JRip,SimpleCart,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,JRip_checkErrorRate,J48,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,JRip_minNo,Aggregator,J48_minNumObj,PART,BestFirst_searchTermination,PART_minNumObj,J48_binarySplits,SimpleCart_heuristic,DecisionTable_crossVal,SimpleCart_usePrune,JRip_folds,J48_useLaplace,J48_collapseTree,DecisionTable_useIBk,BestFirst_direction,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_useOneSE,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_useMDLcorrection,J48_pruning,SimpleCart_numFoldsPruning,JRip_optimizations,J48_confidenceFactorValue,PART_binarySplits,J48_subtreeRaising,J48_numFolds,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.99906453,0350,0100,0067,0.24321348,"JRip,PART,SimpleCart,J48,PART_useMDLcorrection,J48_useMDLcorrection,DecisionTable,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_minNumObj,J48_collapseTree,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_useLaplace,DecisionTable_crossVal,DecisionTable_useIBk,JRip_minNo,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,JRip_usePruning,J48_pruning,JRip_optimizations,J48_minNumObj,PART_binarySplits,DecisionTable_search,J48_binarySplits,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_numFolds,Aggregator,SimpleCart_useOneSE,JRip_folds,SimpleCart_minNumObj,J48_subtreeRaising,BestFirst_searchTermination,J48_confidenceFactorValue,JRip_checkErrorRate"
7,49,0.00000000,0.00000000,0.00000000,0.99906453,0342,0100,0067,0.24321348,"JRip,DecisionTable,PART,J48,SimpleCart,SimpleCart_usePrune,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_binarySplits,JRip_minNo,DecisionTable_evaluationMeasure,PART_binarySplits,PART_pruning,PART_numFolds,DecisionTable_useIBk,J48_collapseTree,JRip_usePruning,J48_pruning,JRip_folds,J48_subtreeRaising,DecisionTable_crossVal,SimpleCart_minNumObj,PART_confidenceFactorValue,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_heuristic,J48_useLaplace,SimpleCart_useOneSE,Aggregator,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,J48_minNumObj,JRip_optimizations"
8,49,0.00000000,0.00000000,0.00000000,0.99907520,0333,0100,0067,0.24321348,"DecisionTable,J48,SimpleCart,JRip,J48_useMDLcorrection,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,SimpleCart_usePrune,JRip_usePruning,SimpleCart_heuristic,JRip_checkErrorRate,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,PART_binarySplits,J48_binarySplits,JRip_minNo,BestFirst_searchTermination,SimpleCart_useOneSE,J48_collapseTree,DecisionTable_evaluationMeasure,PART_pruning,PART_numFolds,J48_pruning,DecisionTable_useIBk,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_numFolds,GreedyStepwise_searchBackwards,J48_useLaplace,Aggregator,JRip_folds,SimpleCart_minNumObj,DecisionTable_crossVal,J48_subtreeRaising,BestFirst_direction,JRip_optimizations,J48_minNumObj"
9,49,0.00000000,0.00000000,0.00000000,0.99907520,0301,0139,0067,0.24321348,"JRip,SimpleCart,DecisionTable,J48,PART,J48_useMDLcorrection,SimpleCart_usePrune,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_usePruning,JRip_folds,SimpleCart_minNumObj,JRip_minNo,DecisionTable_crossVal,J48_subtreeRaising,PART_numFolds,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_pruning,J48_collapseTree,PART_confidenceFactorValue,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_binarySplits,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,BestFirst_direction,SimpleCart_heuristic,J48_useLaplace,JRip_optimizations,J48_minNumObj,J48_binarySplits,GreedyStepwise_searchBackwards,J48_numFolds,Aggregator,SimpleCart_useOneSE"
