individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.05,true,null,5,null,unpruned,null,false,false,null,false,true,null,true,true,null,CompetenceBasedAggregator,true,false,2,7,null,null,true,null,null,true,5,null,null,0.9920654545454546,-PART -B -U -M 5 -J -SimpleCart -M 2 -U -Aggregator CompetenceBasedAggregator -JRip -P -N 7 -J48 -B -O -A -doNotMakeSplitPointActualValue -C 0.05 -M 5 
gen_000_ind_000,true,unpruned,true,null,null,9,false,true,null,null,true,true,null,true,6,4,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,auc,CompetenceBasedAggregator,false,false,2,5,8,null,false,null,true,true,7,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -I -E auc -GreedyStepwise -B -C -PART -M 4 -doNotMakeSplitPointActualValue -U -SimpleCart -C 1.0 -S 1 -M 2 -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 5 -F 8 -O 6 -J48 -U -O -M 7 -J -doNotMakeSplitPointActualValue 
gen_000_ind_001,true,reducedErrorPruning,true,true,0.05,1,true,true,null,null,true,true,null,true,null,2,true,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,7,true,false,auc,MajorityVotingAggregator,false,true,5,2,null,null,true,4,false,false,8,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 1 -I -E auc -GreedyStepwise -B -PART -M 2 -J -C 0.05 -SimpleCart -C 1.0 -S 1 -M 5 -N 7 -A -Aggregator MajorityVotingAggregator -JRip -N 2 -P -J48 -R -Q 1 -B -M 8 -N 4 
gen_000_ind_002,false,unpruned,true,null,0.15,1,false,true,null,null,true,true,null,true,null,2,false,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,true,true,4,false,true,rmse,CompetenceBasedAggregator,true,true,4,2,null,null,true,null,false,true,8,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 1 -I -E rmse -PART -M 2 -J -doNotMakeSplitPointActualValue -C 0.15 -B -SimpleCart -C 1.0 -S 1 -M 4 -H -N 4 -Aggregator CompetenceBasedAggregator -JRip -N 2 -P -E -J48 -U -M 8 -doNotMakeSplitPointActualValue -A 
gen_000_ind_003,true,confidenceFactor,false,true,0.05,10,false,true,1,8,true,true,0.35,true,1,6,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,false,2,4,4,null,true,null,null,true,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 10 -E auc -PART -M 6 -J -C 0.05 -SimpleCart -U -M 2 -BestFirst -D 1 -N 8 -Aggregator RuleExtractorAggregator -JRip -N 4 -F 4 -O 1 -J48 -C 0.35 -O -M 6 -doNotMakeSplitPointActualValue 
gen_000_ind_004,true,confidenceFactor,false,true,0.05,1,false,true,0,9,true,true,0.05,true,4,5,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,rmse,RuleExtractorAggregator,false,true,2,8,3,null,true,null,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -I -E rmse -PART -M 5 -J -C 0.05 -B -SimpleCart -U -M 2 -BestFirst -D 0 -N 9 -Aggregator RuleExtractorAggregator -JRip -N 8 -F 3 -O 4 -J48 -C 0.05 -M 6 
gen_000_ind_005,true,unpruned,true,null,0.15,5,false,true,1,1,true,true,null,true,null,10,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,2,true,true,auc,MajorityVotingAggregator,true,false,4,2,null,null,false,null,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -E auc -PART -M 10 -doNotMakeSplitPointActualValue -C 0.15 -B -SimpleCart -C 1.0 -S 1 -M 4 -N 2 -BestFirst -D 1 -N 1 -Aggregator MajorityVotingAggregator -JRip -N 2 -P -J48 -U -O -M 3 -J -A 
gen_000_ind_006,true,unpruned,true,null,null,10,false,true,null,null,true,true,null,true,null,5,false,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,true,rmse,CompetenceBasedAggregator,false,false,2,10,null,4,false,null,false,false,4,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 10 -I -E rmse -GreedyStepwise -B -PART -M 5 -R -Q 1 -B -N 4 -SimpleCart -C 1.0 -S 1 -M 2 -H -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 10 -P -J48 -U -O -M 4 -J 
gen_000_ind_007,false,unpruned,false,null,null,4,false,true,0,10,true,true,null,true,9,5,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,rmse,MajorityVotingAggregator,false,false,2,3,8,null,false,null,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -I -E rmse -PART -M 5 -J -U -B -SimpleCart -U -M 2 -BestFirst -D 0 -N 10 -Aggregator MajorityVotingAggregator -JRip -N 3 -E -F 8 -O 9 -J48 -U -O -M 3 -J 
gen_000_ind_008,true,unpruned,false,null,null,6,false,true,1,5,true,true,null,true,10,5,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,MajorityVotingAggregator,false,true,6,5,10,null,false,null,null,true,8,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 6 -I -E rmse -PART -M 5 -J -U -SimpleCart -U -M 6 -BestFirst -D 1 -N 5 -Aggregator MajorityVotingAggregator -JRip -N 5 -F 10 -O 10 -J48 -U -M 8 -J -doNotMakeSplitPointActualValue 
