gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99975229,0048,0100,0035,0.00000000,"J48,J48_binarySplits,J48_useMDLcorrection,SimpleCart,SimpleCart_heuristic,Aggregator,J48_pruning,J48_collapseTree,SimpleCart_usePrune,J48_minNumObj,DecisionTable,PART,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip,J48_useLaplace,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48_numFolds,PART_useMDLcorrection,PART_pruning,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_useOneSE,JRip_checkErrorRate,JRip_usePruning,DecisionTable_search,GreedyStepwise_searchBackwards,PART_numFolds,JRip_minNo,DecisionTable_crossVal,PART_confidenceFactorValue,PART_minNumObj,JRip_optimizations,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_folds"
1,49,0.00000000,0.00000000,0.00000000,0.99977782,0041,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,J48,J48_minNumObj,PART,J48_collapseTree,J48_pruning,PART_binarySplits,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_useMDLcorrection,Aggregator,J48_binarySplits,DecisionTable,J48_numFolds,JRip_minNo,JRip_usePruning,PART_minNumObj,PART_useMDLcorrection,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,SimpleCart,J48_confidenceFactorValue,SimpleCart_minNumObj,JRip_folds,SimpleCart_heuristic,DecisionTable_evaluationMeasure,JRip_optimizations,DecisionTable_useIBk,DecisionTable_crossVal,DecisionTable_search,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_numFolds,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,BestFirst_searchTermination,BestFirst_direction"
2,49,0.00000000,0.00000000,0.00000000,0.99977782,0043,0100,0035,0.00000000,"J48,J48_collapseTree,J48_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable,JRip,J48_binarySplits,Aggregator,DecisionTable_evaluationMeasure,PART,SimpleCart,JRip_checkErrorRate,DecisionTable_crossVal,DecisionTable_useIBk,J48_pruning,J48_useLaplace,PART_useMDLcorrection,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_useMDLcorrection,SimpleCart_heuristic,PART_binarySplits,JRip_minNo,J48_numFolds,SimpleCart_minNumObj,JRip_usePruning,DecisionTable_search,SimpleCart_usePrune,PART_pruning,BestFirst_searchTermination,JRip_optimizations,J48_confidenceFactorValue,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_numFolds,BestFirst_direction,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip_folds"
3,49,0.00000000,0.00000000,0.00000000,0.99977782,0034,0100,0035,0.00000000,"DecisionTable,J48,DecisionTable_useIBk,JRip,DecisionTable_crossVal,Aggregator,JRip_minNo,SimpleCart,DecisionTable_search,JRip_checkErrorRate,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,PART,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,J48_binarySplits,J48_minNumObj,J48_collapseTree,JRip_usePruning,J48_pruning,J48_subtreeRaising,J48_useMDLcorrection,PART_binarySplits,BestFirst_searchTermination,J48_useLaplace,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_minNumObj,JRip_folds,PART_pruning,PART_useMDLcorrection,BestFirst_direction,JRip_optimizations,PART_numFolds,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.99986919,0036,0100,0035,0.00000000,"JRip,JRip_minNo,Aggregator,JRip_usePruning,DecisionTable,JRip_checkErrorRate,PART,DecisionTable_crossVal,SimpleCart,J48,JRip_optimizations,J48_useLaplace,DecisionTable_useIBk,SimpleCart_heuristic,PART_minNumObj,PART_pruning,JRip_folds,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,SimpleCart_usePrune,DecisionTable_evaluationMeasure,J48_collapseTree,J48_pruning,DecisionTable_search,J48_useMDLcorrection,PART_binarySplits,PART_useMDLcorrection,PART_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,BestFirst_searchTermination,J48_numFolds,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,0.99986919,0041,0100,0035,0.00000000,"PART,SimpleCart,J48,PART_pruning,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,Aggregator,SimpleCart_numFoldsPruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_collapseTree,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip,DecisionTable,J48_pruning,J48_useMDLcorrection,J48_useLaplace,JRip_checkErrorRate,PART_minNumObj,J48_binarySplits,J48_minNumObj,DecisionTable_useIBk,J48_subtreeRaising,SimpleCart_useOneSE,DecisionTable_search,J48_numFolds,PART_confidenceFactorValue,JRip_minNo,DecisionTable_evaluationMeasure,PART_numFolds,JRip_usePruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,DecisionTable_crossVal,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip_optimizations,JRip_folds"
6,49,0.00000000,0.00000000,0.00000000,0.99986919,0042,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable,J48,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart,PART_pruning,JRip,PART_useMDLcorrection,J48_useLaplace,PART_binarySplits,PART_confidenceFactorValue,J48_binarySplits,Aggregator,J48_useMDLcorrection,J48_minNumObj,DecisionTable_useIBk,J48_pruning,SimpleCart_usePrune,J48_collapseTree,PART_numFolds,J48_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_search,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_minNo,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_usePruning,JRip_checkErrorRate,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_searchTermination"
7,49,0.00000000,0.00000000,0.00000000,0.99986919,0040,0100,0035,0.00000000,"JRip,SimpleCart,Aggregator,J48,J48_collapseTree,PART,PART_minNumObj,DecisionTable,JRip_usePruning,J48_pruning,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip_minNo,SimpleCart_heuristic,PART_confidenceFactorValue,J48_useMDLcorrection,J48_numFolds,DecisionTable_search,DecisionTable_crossVal,J48_minNumObj,JRip_folds,BestFirst_direction,J48_useLaplace,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_binarySplits,GreedyStepwise_searchBackwards,PART_useMDLcorrection,DecisionTable_useIBk,BestFirst_searchTermination,PART_binarySplits,JRip_optimizations,J48_subtreeRaising,PART_numFolds,SimpleCart_useOneSE"
8,49,0.00000000,0.00000000,0.00000000,0.99986919,0039,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,PART,SimpleCart,PART_pruning,JRip,SimpleCart_heuristic,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable_search,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48,JRip_usePruning,J48_collapseTree,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,DecisionTable_useIBk,GreedyStepwise_searchBackwards,BestFirst_direction,PART_binarySplits,Aggregator,J48_useLaplace,BestFirst_searchTermination,PART_confidenceFactorValue,J48_pruning,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,PART_numFolds,J48_minNumObj,J48_numFolds,JRip_folds,JRip_optimizations,JRip_checkErrorRate,J48_useMDLcorrection,JRip_minNo,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,J48_subtreeRaising"
9,49,0.00000000,0.00000000,0.00000000,0.99987296,0042,0100,0035,0.00000000,"Aggregator,PART,JRip,J48,SimpleCart,J48_useMDLcorrection,JRip_usePruning,SimpleCart_usePrune,J48_useLaplace,DecisionTable,PART_pruning,JRip_minNo,DecisionTable_crossVal,J48_pruning,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_collapseTree,SimpleCart_numFoldsPruning,PART_minNumObj,SimpleCart_minNumObj,JRip_optimizations,J48_confidenceFactorValue,PART_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_search,SimpleCart_heuristic,PART_numFolds,J48_numFolds,PART_confidenceFactorValue,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_subtreeRaising,JRip_checkErrorRate,J48_minNumObj,SimpleCart_useOneSE,J48_binarySplits,JRip_folds,GreedyStepwise_searchBackwards"
