gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"JRip,JRip_usePruning,SimpleCart,JRip_checkErrorRate,JRip_optimizations,DecisionTable,SimpleCart_minNumObj,JRip_minNo,SimpleCart_heuristic,JRip_folds,J48,J48_useLaplace,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,Aggregator,SimpleCart_usePrune,SimpleCart_numFoldsPruning,DecisionTable_crossVal,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_minNumObj,J48_pruning,DecisionTable_evaluationMeasure,J48_collapseTree,J48_useMDLcorrection,PART_binarySplits,DecisionTable_search,J48_minNumObj,SimpleCart_useOneSE,J48_numFolds,BestFirst_searchTermination,PART_pruning,J48_confidenceFactorValue,PART_numFolds,PART_confidenceFactorValue,J48_subtreeRaising,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
1,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"JRip,Aggregator,JRip_checkErrorRate,DecisionTable,DecisionTable_useIBk,JRip_usePruning,SimpleCart,PART,J48,JRip_folds,J48_useMDLcorrection,PART_minNumObj,JRip_minNo,DecisionTable_evaluationMeasure,J48_collapseTree,J48_binarySplits,SimpleCart_usePrune,PART_pruning,PART_binarySplits,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip_optimizations,J48_useLaplace,PART_confidenceFactorValue,PART_useMDLcorrection,J48_pruning,DecisionTable_crossVal,DecisionTable_search,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_heuristic,PART_numFolds,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
2,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"Aggregator,J48,PART,JRip,PART_useMDLcorrection,JRip_minNo,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_binarySplits,DecisionTable,DecisionTable_useIBk,PART_minNumObj,SimpleCart,JRip_checkErrorRate,J48_pruning,J48_minNumObj,J48_useLaplace,PART_pruning,J48_collapseTree,PART_doNotMakeSplitPointActualValue,DecisionTable_search,PART_confidenceFactorValue,DecisionTable_crossVal,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_binarySplits,J48_numFolds,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_minNumObj,JRip_folds,JRip_optimizations,BestFirst_searchTermination,PART_numFolds,BestFirst_direction,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
3,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,J48,J48_minNumObj,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip,J48_binarySplits,J48_collapseTree,J48_useLaplace,PART_binarySplits,PART_pruning,JRip_minNo,Aggregator,DecisionTable,DecisionTable_crossVal,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,JRip_checkErrorRate,PART_numFolds,J48_useMDLcorrection,JRip_usePruning,PART_minNumObj,SimpleCart_useOneSE,PART_confidenceFactorValue,J48_pruning,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,JRip_folds,DecisionTable_search,SimpleCart_numFoldsPruning,DecisionTable_useIBk,SimpleCart_heuristic,J48_subtreeRaising,JRip_optimizations,J48_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards"
4,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"J48,SimpleCart,DecisionTable,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART,JRip,DecisionTable_search,BestFirst_searchTermination,J48_pruning,J48_numFolds,SimpleCart_usePrune,SimpleCart_minNumObj,Aggregator,JRip_minNo,SimpleCart_heuristic,J48_useLaplace,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_binarySplits,J48_useMDLcorrection,PART_useMDLcorrection,GreedyStepwise_searchBackwards,J48_minNumObj,J48_collapseTree,BestFirst_direction,JRip_checkErrorRate,PART_pruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_usePruning,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,J48_confidenceFactorValue,JRip_folds,SimpleCart_numFoldsPruning,PART_numFolds,SimpleCart_useOneSE"
5,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"PART,SimpleCart,DecisionTable,PART_minNumObj,PART_useMDLcorrection,PART_binarySplits,J48,DecisionTable_crossVal,JRip,SimpleCart_minNumObj,J48_collapseTree,JRip_minNo,DecisionTable_useIBk,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART_pruning,J48_useLaplace,Aggregator,J48_pruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,DecisionTable_search,PART_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_useMDLcorrection,JRip_checkErrorRate,J48_confidenceFactorValue,JRip_optimizations,PART_numFolds,BestFirst_searchTermination,SimpleCart_useOneSE,J48_subtreeRaising,PART_confidenceFactorValue,J48_numFolds,JRip_folds,BestFirst_direction"
6,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"PART,SimpleCart,JRip,PART_minNumObj,J48,JRip_minNo,J48_doNotMakeSplitPointActualValue,Aggregator,JRip_usePruning,PART_binarySplits,JRip_optimizations,JRip_folds,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_search,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_pruning,PART_useMDLcorrection,J48_minNumObj,J48_useLaplace,SimpleCart_usePrune,DecisionTable_crossVal,SimpleCart_numFoldsPruning,DecisionTable_useIBk,DecisionTable_evaluationMeasure,BestFirst_searchTermination,PART_pruning,SimpleCart_heuristic,J48_binarySplits,JRip_checkErrorRate,J48_collapseTree,SimpleCart_minNumObj,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_numFolds,PART_numFolds"
7,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"Aggregator,PART,JRip,PART_binarySplits,JRip_minNo,DecisionTable,PART_useMDLcorrection,JRip_usePruning,J48,PART_minNumObj,J48_pruning,J48_numFolds,JRip_optimizations,JRip_checkErrorRate,DecisionTable_crossVal,SimpleCart,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_collapseTree,SimpleCart_usePrune,PART_pruning,J48_useLaplace,SimpleCart_useOneSE,J48_confidenceFactorValue,SimpleCart_heuristic,PART_numFolds,PART_confidenceFactorValue,J48_subtreeRaising,DecisionTable_search,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,JRip_folds,SimpleCart_minNumObj,J48_minNumObj,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards"
8,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"J48,PART,J48_pruning,PART_pruning,J48_minNumObj,PART_confidenceFactorValue,J48_confidenceFactorValue,JRip,PART_useMDLcorrection,PART_numFolds,PART_binarySplits,SimpleCart,PART_doNotMakeSplitPointActualValue,DecisionTable,J48_numFolds,Aggregator,J48_useLaplace,JRip_usePruning,J48_useMDLcorrection,SimpleCart_usePrune,DecisionTable_crossVal,J48_subtreeRaising,J48_collapseTree,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_minNo,DecisionTable_search,JRip_checkErrorRate,PART_minNumObj,J48_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_folds,DecisionTable_useIBk,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,SimpleCart_heuristic,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
9,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"DecisionTable,J48,J48_useMDLcorrection,J48_minNumObj,JRip,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_useLaplace,J48_collapseTree,Aggregator,PART,DecisionTable_search,PART_binarySplits,J48_pruning,SimpleCart,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_useIBk,BestFirst_searchTermination,J48_subtreeRaising,JRip_usePruning,J48_binarySplits,SimpleCart_minNumObj,JRip_minNo,PART_useMDLcorrection,SimpleCart_usePrune,PART_pruning,JRip_checkErrorRate,PART_numFolds,SimpleCart_numFoldsPruning,J48_numFolds,PART_confidenceFactorValue,PART_minNumObj,SimpleCart_heuristic,JRip_optimizations,SimpleCart_useOneSE,JRip_folds"
10,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"SimpleCart,JRip,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable,PART,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_useIBk,DecisionTable_crossVal,PART_binarySplits,SimpleCart_heuristic,PART_useMDLcorrection,J48,Aggregator,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_pruning,JRip_minNo,PART_confidenceFactorValue,J48_numFolds,JRip_usePruning,J48_useMDLcorrection,DecisionTable_search,SimpleCart_useOneSE,PART_numFolds,JRip_folds,J48_subtreeRaising,J48_minNumObj,PART_minNumObj,BestFirst_direction,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_useLaplace,J48_binarySplits,JRip_optimizations,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
11,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"J48,JRip,SimpleCart,J48_useLaplace,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART,J48_minNumObj,J48_binarySplits,J48_pruning,SimpleCart_heuristic,Aggregator,J48_doNotMakeSplitPointActualValue,J48_numFolds,PART_pruning,PART_binarySplits,SimpleCart_useOneSE,JRip_minNo,DecisionTable,J48_collapseTree,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,PART_numFolds,SimpleCart_minNumObj,DecisionTable_search,JRip_checkErrorRate,JRip_usePruning,JRip_optimizations,J48_confidenceFactorValue,J48_subtreeRaising,DecisionTable_evaluationMeasure,PART_useMDLcorrection,PART_minNumObj,PART_confidenceFactorValue,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination"
12,49,0.00000000,0.00000000,0.00000000,0.76797167,0001,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,J48,J48_binarySplits,J48_useLaplace,JRip_minNo,Aggregator,J48_collapseTree,PART,J48_pruning,DecisionTable,JRip_usePruning,SimpleCart,J48_minNumObj,J48_numFolds,SimpleCart_heuristic,PART_minNumObj,PART_binarySplits,PART_pruning,JRip_folds,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48_useMDLcorrection,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,SimpleCart_minNumObj,DecisionTable_search,DecisionTable_crossVal,PART_useMDLcorrection,BestFirst_direction,JRip_optimizations,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_numFolds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_useOneSE"
