individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,confidenceFactor,true,true,null,5,true,true,2,2,true,true,0.05,true,null,3,false,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,9,false,true,auc,MajorityVotingAggregator,true,false,8,6,null,5,true,null,null,true,8,null,null,0.8416597081100685,-DecisionTable -E auc -X 5 -S weka.attributeSelection.BestFirst -PART -M 3 -doNotMakeSplitPointActualValue -R -Q 1 -B -N 5 -J -SimpleCart -M 8 -H -C 1.0 -S 1 -N 9 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 2 -JRip -E -P -N 6 -J48 -C 0.05 -M 8 -A -O -doNotMakeSplitPointActualValue -B 
gen_000_ind_000,true,confidenceFactor,true,false,0.45,3,true,true,null,null,true,true,0.35,true,null,8,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,6,false,false,auc,CompetenceBasedAggregator,false,false,2,9,null,null,true,null,true,false,2,true,null,null,-DecisionTable -I -E auc -X 3 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -C 0.45 -M 8 -doNotMakeSplitPointActualValue -SimpleCart -M 2 -C 1.0 -S 1 -N 6 -H -Aggregator CompetenceBasedAggregator -JRip -N 9 -P -J48 -O -M 2 -B -C 0.35 -S 
gen_000_ind_001,true,unpruned,true,null,0.05,9,true,true,1,8,true,true,null,true,null,8,false,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,10,true,false,mae,RuleExtractorAggregator,true,false,6,5,null,null,false,null,null,true,2,null,null,null,-DecisionTable -E mae -X 9 -S weka.attributeSelection.BestFirst -PART -J -C 0.05 -M 8 -doNotMakeSplitPointActualValue -SimpleCart -M 6 -C 1.0 -S 1 -N 10 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 8 -JRip -N 5 -P -J48 -O -doNotMakeSplitPointActualValue -A -M 2 -B -U -J 
gen_000_ind_002,false,reducedErrorPruning,null,false,null,8,false,true,null,null,true,true,null,true,4,9,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,acc,CompetenceBasedAggregator,false,false,null,2,5,8,true,2,false,false,5,true,null,null,-DecisionTable -E acc -X 8 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -B -J -R -Q 1 -M 9 -N 8 -Aggregator CompetenceBasedAggregator -JRip -E -N 2 -O 4 -F 5 -J48 -O -M 5 -R -Q 1 -S -N 2 
gen_000_ind_003,true,reducedErrorPruning,true,true,null,2,true,true,null,null,true,true,null,true,9,9,true,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,10,false,false,acc,CompetenceBasedAggregator,false,true,5,2,8,3,true,7,true,false,10,true,null,null,-DecisionTable -E acc -X 2 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -J -R -Q 1 -M 9 -N 3 -doNotMakeSplitPointActualValue -SimpleCart -M 5 -C 1.0 -S 1 -N 10 -H -A -Aggregator CompetenceBasedAggregator -JRip -N 2 -O 9 -F 8 -J48 -M 10 -B -R -Q 1 -N 7 
gen_000_ind_004,true,reducedErrorPruning,true,false,null,7,false,true,null,null,true,true,null,true,8,5,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,6,false,false,rmse,RuleExtractorAggregator,false,true,9,10,8,null,true,6,false,false,9,false,null,null,-DecisionTable -I -E rmse -X 7 -S weka.attributeSelection.GreedyStepwise -PART -U -M 5 -doNotMakeSplitPointActualValue -SimpleCart -M 9 -C 1.0 -S 1 -N 6 -H -A -Aggregator RuleExtractorAggregator -JRip -N 10 -O 8 -F 8 -J48 -M 9 -R -Q 1 -S -N 6 
gen_000_ind_005,false,confidenceFactor,null,true,0.35,null,false,true,null,null,true,false,0.05,true,5,3,null,confidenceFactor,null,true,true,null,false,false,null,null,true,null,RuleExtractorAggregator,true,true,null,5,10,null,true,null,null,false,5,null,null,null,-PART -B -C 0.35 -M 3 -Aggregator RuleExtractorAggregator -JRip -E -N 5 -O 5 -F 10 -J48 -A -M 5 -C 0.05 
gen_000_ind_006,null,reducedErrorPruning,null,false,null,4,true,false,null,null,true,true,null,true,null,3,null,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,CompetenceBasedAggregator,false,true,null,null,null,5,true,4,true,true,2,false,null,null,-DecisionTable -E auc -X 4 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -R -Q 1 -M 3 -N 5 -doNotMakeSplitPointActualValue -Aggregator CompetenceBasedAggregator -J48 -doNotMakeSplitPointActualValue -M 2 -B -R -Q 1 -S -N 4 
gen_000_ind_007,true,null,false,null,null,8,null,true,1,5,false,true,null,false,2,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,MajorityVotingAggregator,null,null,5,2,3,null,null,null,null,null,null,null,null,null,-DecisionTable -I -E auc -X 8 -S weka.attributeSelection.BestFirst -SimpleCart -M 5 -U -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 5 -JRip -N 2 -O 2 -F 3 
gen_000_ind_008,false,reducedErrorPruning,true,true,0.45,3,true,true,1,6,true,true,null,true,6,9,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,3,true,false,rmse,MajorityVotingAggregator,false,false,6,2,4,null,true,10,null,true,4,null,null,null,-DecisionTable -E rmse -X 3 -S weka.attributeSelection.BestFirst -PART -J -C 0.45 -M 9 -SimpleCart -M 6 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 6 -JRip -E -N 2 -O 6 -F 4 -J48 -O -doNotMakeSplitPointActualValue -M 4 -B -R -Q 1 -N 10 
