gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.98558784,0288,0100,0035,0.00000000,"SimpleCart,Aggregator,J48,J48_minNumObj,J48_pruning,PART,PART_pruning,SimpleCart_minNumObj,DecisionTable,J48_subtreeRaising,J48_collapseTree,PART_confidenceFactorValue,SimpleCart_usePrune,PART_binarySplits,J48_useLaplace,DecisionTable_crossVal,PART_minNumObj,SimpleCart_heuristic,JRip,JRip_minNo,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_useMDLcorrection,J48_binarySplits,PART_numFolds,JRip_folds,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,JRip_checkErrorRate,J48_numFolds,DecisionTable_search,JRip_optimizations,BestFirst_direction,DecisionTable_useIBk,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,BestFirst_searchTermination"
1,49,0.00000000,0.00000000,0.00000000,0.98672131,0629,0100,0035,0.00000000,"PART,JRip,J48,JRip_minNo,JRip_usePruning,DecisionTable,JRip_optimizations,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,SimpleCart,PART_minNumObj,JRip_folds,PART_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_pruning,JRip_checkErrorRate,J48_collapseTree,DecisionTable_search,J48_subtreeRaising,J48_numFolds,PART_confidenceFactorValue,J48_useMDLcorrection,PART_useMDLcorrection,PART_numFolds,PART_binarySplits,J48_minNumObj,J48_binarySplits,BestFirst_searchTermination,Aggregator,DecisionTable_crossVal,GreedyStepwise_searchBackwards,J48_useLaplace,J48_confidenceFactorValue,SimpleCart_minNumObj,BestFirst_direction,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE"
2,49,0.00000000,0.00000000,0.00000000,0.98939466,0276,0100,0035,0.00000000,"Aggregator,JRip,JRip_checkErrorRate,JRip_usePruning,DecisionTable,J48,JRip_folds,J48_useLaplace,SimpleCart,SimpleCart_heuristic,PART,PART_useMDLcorrection,J48_collapseTree,PART_binarySplits,SimpleCart_minNumObj,J48_useMDLcorrection,J48_pruning,DecisionTable_search,DecisionTable_crossVal,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,JRip_minNo,DecisionTable_evaluationMeasure,J48_minNumObj,PART_pruning,J48_doNotMakeSplitPointActualValue,JRip_optimizations,J48_subtreeRaising,J48_binarySplits,J48_confidenceFactorValue,SimpleCart_usePrune,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_numFolds,PART_confidenceFactorValue,BestFirst_direction,PART_numFolds,SimpleCart_useOneSE"
3,49,0.00000000,0.00000000,0.00000000,0.98939466,0161,0100,0035,0.00000000,"JRip,Aggregator,PART,PART_useMDLcorrection,PART_binarySplits,DecisionTable,JRip_usePruning,JRip_folds,J48,SimpleCart,J48_pruning,JRip_checkErrorRate,SimpleCart_minNumObj,DecisionTable_useIBk,J48_subtreeRaising,DecisionTable_search,SimpleCart_usePrune,J48_useLaplace,J48_useMDLcorrection,JRip_minNo,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_numFolds,PART_minNumObj,SimpleCart_heuristic,J48_collapseTree,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,PART_pruning,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_binarySplits,SimpleCart_useOneSE,J48_minNumObj,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction,GreedyStepwise_searchBackwards,PART_numFolds"
4,49,0.00000000,0.00000000,0.00000000,0.98939466,0320,0100,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,J48_minNumObj,Aggregator,DecisionTable,J48_useLaplace,JRip,PART,PART_minNumObj,SimpleCart,DecisionTable_evaluationMeasure,PART_pruning,J48_useMDLcorrection,DecisionTable_search,J48_collapseTree,PART_binarySplits,JRip_checkErrorRate,BestFirst_direction,SimpleCart_usePrune,SimpleCart_heuristic,DecisionTable_crossVal,BestFirst_searchTermination,JRip_usePruning,JRip_optimizations,DecisionTable_useIBk,J48_binarySplits,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_pruning,SimpleCart_minNumObj,PART_numFolds,JRip_minNo,J48_subtreeRaising,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,JRip_folds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_numFolds"
5,49,0.00000000,0.00000000,0.00000000,0.98939466,0231,0100,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,DecisionTable,DecisionTable_crossVal,JRip,Aggregator,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_useIBk,JRip_checkErrorRate,J48,PART,PART_binarySplits,J48_minNumObj,DecisionTable_evaluationMeasure,JRip_minNo,DecisionTable_search,J48_useLaplace,SimpleCart_useOneSE,JRip_usePruning,J48_useMDLcorrection,PART_useMDLcorrection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_binarySplits,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_pruning,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,BestFirst_direction,JRip_optimizations,J48_pruning,J48_collapseTree,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_subtreeRaising,JRip_folds,PART_numFolds,J48_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.98939466,0310,0100,0035,0.00000000,"Aggregator,JRip,DecisionTable,JRip_checkErrorRate,PART,DecisionTable_search,SimpleCart,JRip_minNo,J48,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_usePruning,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,J48_pruning,DecisionTable_useIBk,PART_useMDLcorrection,J48_collapseTree,SimpleCart_heuristic,J48_useLaplace,PART_minNumObj,SimpleCart_minNumObj,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_binarySplits,J48_binarySplits,SimpleCart_numFoldsPruning,J48_minNumObj,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,PART_pruning,BestFirst_direction,J48_confidenceFactorValue,JRip_optimizations,PART_numFolds,JRip_folds,PART_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
7,49,0.00000000,0.00000000,0.00000000,0.98939466,0249,0100,0035,0.00000000,"DecisionTable,JRip,DecisionTable_search,SimpleCart,PART,DecisionTable_useIBk,PART_pruning,DecisionTable_crossVal,PART_minNumObj,SimpleCart_usePrune,PART_numFolds,DecisionTable_evaluationMeasure,J48,GreedyStepwise_conservativeForwardSelection,Aggregator,J48_binarySplits,JRip_checkErrorRate,PART_useMDLcorrection,JRip_usePruning,PART_binarySplits,J48_pruning,BestFirst_direction,SimpleCart_numFoldsPruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_heuristic,JRip_minNo,SimpleCart_minNumObj,PART_confidenceFactorValue,J48_confidenceFactorValue,J48_minNumObj,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_collapseTree,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_folds,JRip_optimizations,J48_numFolds"
8,49,0.00000000,0.00000000,0.00000000,0.98939466,0212,0100,0035,0.00000000,"Aggregator,SimpleCart,PART,J48,DecisionTable,DecisionTable_evaluationMeasure,JRip,J48_pruning,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,PART_minNumObj,JRip_minNo,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,PART_pruning,PART_binarySplits,J48_numFolds,SimpleCart_usePrune,SimpleCart_heuristic,PART_useMDLcorrection,J48_confidenceFactorValue,J48_collapseTree,J48_binarySplits,JRip_usePruning,J48_useMDLcorrection,DecisionTable_crossVal,JRip_folds,J48_useLaplace,BestFirst_direction,J48_subtreeRaising,PART_confidenceFactorValue,BestFirst_searchTermination,SimpleCart_numFoldsPruning,PART_numFolds,SimpleCart_useOneSE,JRip_optimizations"
9,49,0.00000000,0.00000000,0.00000000,0.98939466,0233,0100,0035,0.00000000,"Aggregator,PART,PART_useMDLcorrection,PART_minNumObj,DecisionTable,JRip,PART_binarySplits,JRip_minNo,PART_pruning,SimpleCart,J48,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_binarySplits,PART_confidenceFactorValue,J48_useLaplace,DecisionTable_search,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_usePruning,JRip_checkErrorRate,J48_minNumObj,DecisionTable_evaluationMeasure,PART_numFolds,DecisionTable_useIBk,SimpleCart_usePrune,J48_pruning,JRip_folds,J48_collapseTree,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,J48_numFolds,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,SimpleCart_useOneSE,JRip_optimizations,J48_subtreeRaising"
