individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,reducedErrorPruning,false,true,null,7,true,true,1,5,true,true,null,true,4,6,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,null,false,true,acc,MajorityVotingAggregator,false,true,4,10,4,null,false,5,null,true,9,null,null,0.9868991964937911,-DecisionTable -X 7 -S weka.attributeSelection.BestFirst -E acc -PART -B -doNotMakeSplitPointActualValue -M 6 -J -U -SimpleCart -U -H -M 4 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 5 -JRip -N 10 -E -F 4 -O 4 -J48 -doNotMakeSplitPointActualValue -R -Q 1 -B -M 9 -J -N 5 
gen_000_ind_000,false,null,null,null,null,6,null,true,0,1,false,true,null,true,null,8,null,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,RuleExtractorAggregator,null,null,null,3,null,3,null,null,null,null,null,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 6 -I -E auc -PART -doNotMakeSplitPointActualValue -R -Q 1 -J -N 3 -M 8 -Aggregator RuleExtractorAggregator -BestFirst -N 1 -D 0 -JRip -N 3 -P -E 
gen_000_ind_001,null,confidenceFactor,false,true,null,9,true,false,null,null,true,true,0.45,false,null,null,null,null,false,null,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,rmse,CompetenceBasedAggregator,true,true,9,null,null,null,true,null,false,false,10,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -E rmse -SimpleCart -M 9 -U -H -Aggregator CompetenceBasedAggregator -J48 -M 10 -C 0.45 -A -B 
gen_000_ind_002,true,confidenceFactor,false,true,null,2,true,true,1,1,true,true,0.35,true,10,3,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,RuleExtractorAggregator,false,true,2,9,8,null,false,null,null,true,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 2 -I -E auc -PART -U -M 3 -SimpleCart -M 2 -U -H -Aggregator RuleExtractorAggregator -BestFirst -N 1 -D 1 -JRip -N 9 -O 10 -F 8 -J48 -M 2 -doNotMakeSplitPointActualValue -C 0.35 -B -J 
gen_000_ind_003,false,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.45,true,9,6,null,reducedErrorPruning,null,true,false,null,false,true,null,false,true,null,CompetenceBasedAggregator,true,false,2,2,7,3,false,null,null,false,6,null,null,null,-PART -R -Q 1 -J -N 3 -M 6 -B -SimpleCart -M 2 -U -H -Aggregator CompetenceBasedAggregator -JRip -N 2 -O 9 -E -F 7 -J48 -O -M 6 -C 0.45 -A -J 
gen_000_ind_004,false,unpruned,false,null,null,5,true,true,0,2,true,true,null,true,1,2,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,CompetenceBasedAggregator,true,false,6,4,5,null,true,null,null,true,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -E acc -PART -U -J -M 2 -SimpleCart -M 6 -U -H -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 0 -JRip -N 4 -O 1 -E -F 5 -J48 -O -M 2 -doNotMakeSplitPointActualValue -U -A -B 
gen_000_ind_005,true,reducedErrorPruning,false,true,0.15,null,false,true,null,null,true,false,null,true,null,6,null,confidenceFactor,null,false,false,null,false,true,null,false,true,null,CompetenceBasedAggregator,false,true,4,7,null,null,true,3,null,false,2,null,null,null,-PART -C 0.15 -J -M 6 -B -SimpleCart -M 4 -U -H -Aggregator CompetenceBasedAggregator -JRip -N 7 -P -J48 -M 2 -R -Q 1 -N 3 
gen_000_ind_006,false,confidenceFactor,true,true,0.45,5,false,true,2,2,true,true,0.15,true,1,2,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,7,false,false,mae,CompetenceBasedAggregator,false,true,4,2,10,null,true,null,null,false,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -E mae -PART -C 0.45 -M 2 -SimpleCart -M 4 -C 1.0 -S 1 -H -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 2 -JRip -N 2 -O 1 -E -F 10 -J48 -M 9 -C 0.15 
gen_000_ind_007,true,reducedErrorPruning,true,true,null,6,true,true,null,null,true,true,null,true,7,4,false,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,4,false,false,rmse,RuleExtractorAggregator,false,false,2,9,10,null,true,2,false,false,8,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 6 -E rmse -PART -doNotMakeSplitPointActualValue -U -M 4 -SimpleCart -M 2 -C 1.0 -S 1 -H -N 4 -Aggregator RuleExtractorAggregator -JRip -N 9 -O 7 -F 10 -J48 -O -M 8 -R -Q 1 -B -N 2 
gen_000_ind_008,false,confidenceFactor,true,true,0.15,7,false,true,2,4,true,true,0.45,true,6,3,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,5,false,true,auc,MajorityVotingAggregator,false,true,4,7,3,null,true,null,null,false,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 7 -E auc -PART -C 0.15 -J -M 3 -B -SimpleCart -M 4 -C 1.0 -S 1 -H -N 5 -Aggregator MajorityVotingAggregator -BestFirst -N 4 -D 2 -JRip -N 7 -O 6 -E -F 3 -J48 -M 5 -C 0.45 
