gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.95767928,0314,0100,0035,0.00000000,"Aggregator,SimpleCart,JRip,SimpleCart_minNumObj,J48,J48_useLaplace,SimpleCart_usePrune,JRip_minNo,SimpleCart_heuristic,JRip_usePruning,JRip_folds,PART,J48_pruning,DecisionTable,PART_binarySplits,J48_numFolds,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,PART_pruning,J48_minNumObj,PART_minNumObj,J48_collapseTree,J48_binarySplits,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,DecisionTable_crossVal,SimpleCart_useOneSE,J48_subtreeRaising,DecisionTable_search,JRip_checkErrorRate,PART_numFolds,J48_useMDLcorrection,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_useMDLcorrection,JRip_optimizations,BestFirst_direction,DecisionTable_useIBk,DecisionTable_evaluationMeasure"
1,49,0.00000000,0.00000000,0.00000000,0.95767928,0368,0100,0035,0.00000000,"JRip,DecisionTable,SimpleCart,J48,J48_useLaplace,JRip_minNo,DecisionTable_useIBk,J48_minNumObj,Aggregator,J48_binarySplits,J48_collapseTree,PART,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_usePruning,DecisionTable_evaluationMeasure,JRip_checkErrorRate,PART_pruning,J48_pruning,PART_numFolds,SimpleCart_usePrune,DecisionTable_search,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_minNumObj,J48_useMDLcorrection,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_folds,PART_binarySplits,J48_subtreeRaising,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_numFolds,J48_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.95767928,0357,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,DecisionTable,PART,DecisionTable_useIBk,PART_minNumObj,SimpleCart,DecisionTable_search,Aggregator,DecisionTable_crossVal,PART_binarySplits,DecisionTable_evaluationMeasure,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_minNo,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,J48,JRip_usePruning,PART_useMDLcorrection,J48_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,J48_collapseTree,SimpleCart_useOneSE,J48_binarySplits,J48_pruning,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,JRip_folds,J48_numFolds,JRip_optimizations,J48_confidenceFactorValue,J48_minNumObj,J48_useLaplace,SimpleCart_numFoldsPruning,PART_numFolds,J48_subtreeRaising"
3,49,0.00000000,0.00000000,0.00000000,0.95767928,0320,0100,0035,0.00000000,"Aggregator,JRip,DecisionTable,JRip_usePruning,JRip_folds,J48,SimpleCart,J48_pruning,J48_useMDLcorrection,PART,SimpleCart_heuristic,J48_numFolds,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,DecisionTable_useIBk,PART_useMDLcorrection,J48_subtreeRaising,PART_minNumObj,JRip_optimizations,J48_useLaplace,JRip_minNo,DecisionTable_search,J48_collapseTree,PART_binarySplits,DecisionTable_crossVal,BestFirst_searchTermination,PART_pruning,PART_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,J48_binarySplits,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_direction,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.95767928,0332,0100,0035,0.00000000,"JRip,DecisionTable,JRip_usePruning,J48,DecisionTable_useIBk,Aggregator,PART,J48_useMDLcorrection,SimpleCart,SimpleCart_usePrune,JRip_optimizations,SimpleCart_useOneSE,J48_collapseTree,DecisionTable_evaluationMeasure,J48_pruning,JRip_checkErrorRate,DecisionTable_search,DecisionTable_crossVal,JRip_minNo,J48_useLaplace,JRip_folds,SimpleCart_heuristic,J48_confidenceFactorValue,J48_numFolds,PART_minNumObj,J48_minNumObj,PART_pruning,J48_binarySplits,PART_numFolds,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,SimpleCart_minNumObj,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_subtreeRaising,BestFirst_searchTermination"
5,49,0.00000000,0.00000000,0.00000000,0.95767928,0340,0100,0035,0.00000000,"Aggregator,J48,SimpleCart,J48_collapseTree,JRip,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART,PART_pruning,J48_binarySplits,JRip_checkErrorRate,DecisionTable,J48_useMDLcorrection,PART_binarySplits,J48_useLaplace,DecisionTable_useIBk,SimpleCart_usePrune,JRip_usePruning,PART_numFolds,PART_confidenceFactorValue,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_useMDLcorrection,PART_minNumObj,DecisionTable_search,J48_subtreeRaising,J48_numFolds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,DecisionTable_crossVal,JRip_optimizations,JRip_folds,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
6,49,0.00000000,0.00000000,0.00000000,0.95767928,0313,0100,0035,0.00000000,"J48,PART,J48_doNotMakeSplitPointActualValue,Aggregator,J48_minNumObj,PART_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart,J48_binarySplits,SimpleCart_minNumObj,DecisionTable,PART_pruning,SimpleCart_usePrune,J48_collapseTree,J48_useMDLcorrection,SimpleCart_numFoldsPruning,PART_useMDLcorrection,J48_pruning,J48_useLaplace,DecisionTable_useIBk,J48_numFolds,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip,PART_binarySplits,SimpleCart_useOneSE,JRip_checkErrorRate,J48_subtreeRaising,DecisionTable_search,SimpleCart_heuristic,JRip_minNo,PART_numFolds,DecisionTable_crossVal,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_confidenceFactorValue,JRip_usePruning,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,JRip_folds"
7,49,0.00000000,0.00000000,0.00000000,0.95767928,0308,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,J48,PART,J48_pruning,Aggregator,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable,J48_confidenceFactorValue,J48_useLaplace,J48_subtreeRaising,J48_minNumObj,J48_numFolds,PART_pruning,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_collapseTree,SimpleCart_usePrune,SimpleCart_useOneSE,JRip,J48_useMDLcorrection,DecisionTable_search,JRip_checkErrorRate,DecisionTable_crossVal,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,PART_binarySplits,PART_minNumObj,JRip_minNo,PART_numFolds,DecisionTable_evaluationMeasure,BestFirst_direction,JRip_usePruning,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,JRip_optimizations,BestFirst_searchTermination,JRip_folds,GreedyStepwise_searchBackwards"
8,49,0.00000000,0.00000000,0.00000000,0.95767928,0334,0100,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,SimpleCart,Aggregator,DecisionTable_useIBk,PART,PART_binarySplits,J48,JRip,J48_minNumObj,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip_minNo,SimpleCart_heuristic,DecisionTable_search,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_usePrune,JRip_checkErrorRate,PART_minNumObj,J48_collapseTree,J48_pruning,PART_pruning,J48_binarySplits,J48_useMDLcorrection,PART_useMDLcorrection,BestFirst_direction,JRip_usePruning,SimpleCart_numFoldsPruning,BestFirst_searchTermination,JRip_optimizations,PART_confidenceFactorValue,J48_subtreeRaising,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,JRip_folds,J48_numFolds,PART_numFolds"
9,49,0.00000000,0.00000000,0.00000000,0.95767928,0328,0100,0035,0.00000000,"J48,DecisionTable,DecisionTable_crossVal,J48_minNumObj,J48_useLaplace,J48_pruning,DecisionTable_useIBk,J48_confidenceFactorValue,J48_binarySplits,SimpleCart,DecisionTable_evaluationMeasure,Aggregator,PART,JRip,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_numFolds,PART_binarySplits,DecisionTable_search,JRip_minNo,J48_collapseTree,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,PART_pruning,J48_subtreeRaising,JRip_checkErrorRate,SimpleCart_heuristic,PART_useMDLcorrection,BestFirst_direction,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_usePrune,PART_minNumObj,JRip_usePruning,PART_numFolds,JRip_folds,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_numFoldsPruning"
