classifier,someClassifier-J48,someClassifier-J48,someClassifier-JRip,someClassifier-JRip,someClassifier-Individual,someClassifier-Individual,someClassifier-PART,someClassifier-PART,someClassifier-SimpleCart,someClassifier-SimpleCart,someClassifier-DecisionTable,someClassifier-DecisionTable
metric,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
banana,0.9500409792176208,0.0,0.905084100236289,0.0,0.9587334816472983,0.0,0.9289898673234857,0.0,,,,
banknotes,,,,,0.9969773245557421,0.0,0.9869637709220773,0.0,,,,
car,,,,,0.997361995431193,0.0,0.9759875869852441,0.0,0.9888017974375952,0.0,,
contraceptive,,,,,0.7253012633633222,0.0,,,0.6984416359220192,0.0,,
diabetic,,,,,0.728868885251864,0.0,0.6764184397163121,0.0,,,,
flare,,,,,0.9234621623284078,0.0,0.8948199498540284,0.0,,,,
krvskp,,,,,0.9982588227169585,0.0,,,,,,
page-blocks,,,0.9103274880049191,0.0,0.9885337364175685,0.0,0.9309742277098476,0.0,,,,
penbased,0.9867838838866347,0.0,0.9862531596874883,0.0,0.9991315218584245,0.0,0.986607231070764,0.0,0.9868272089629657,0.0,,
phoneme,0.9142571987605006,0.0,,,0.9445829537790397,0.0,0.870624528928808,0.0,0.8760157962845405,0.0,,
ring,,,0.9250589756342164,0.0,0.9836549172222586,0.0,0.9540920747501005,0.0,,,0.8088813959305424,0.0
seismicbumps,,,,,0.7056630440079926,0.0,,,,,,
splice,,,0.9389759859213559,0.0,0.9902033188422804,0.0,0.9600674286302359,0.0,,,,
steelfaults,,,,,1.0,0.0,,,,,0.9999976563342254,0.0
texture,0.9772314727272728,0.0,0.973387490909091,0.0,0.9970947454545454,0.0,0.9714346727272727,0.0,0.9724786363636362,0.0,,
thyroid,,,0.9931931143241313,0.0,0.9997484630465067,0.0,0.9910946784109461,0.0,,,,
titanic,,,,,0.7581674359773077,0.0,,,,,,
turkiye,0.8178121986048462,0.0,,,0.8531589428871184,0.0,0.8261494286742439,0.0,,,0.83541323554236,0.0
twonorm,0.8874702328146161,0.0,0.9117168521148041,0.0,0.9676649896994088,0.0,0.9268293894422575,0.0,,,0.8768431622781929,0.0
waveform,0.899726822412772,0.0,0.8674871664804877,0.0,0.9493470357408623,0.0,0.879361753601683,0.0,0.8887556398214819,0.0,0.854299858213868,0.0
