gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.94606846,0016,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,J48,Aggregator,PART,J48_useLaplace,PART_pruning,J48_collapseTree,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable,PART_binarySplits,SimpleCart_numFoldsPruning,PART_minNumObj,JRip,J48_pruning,J48_numFolds,J48_subtreeRaising,DecisionTable_search,SimpleCart_useOneSE,PART_numFolds,PART_doNotMakeSplitPointActualValue,J48_minNumObj,PART_useMDLcorrection,J48_useMDLcorrection,DecisionTable_useIBk,J48_binarySplits,JRip_checkErrorRate,JRip_minNo,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_crossVal,DecisionTable_evaluationMeasure,JRip_usePruning,BestFirst_direction,JRip_folds,JRip_optimizations"
1,49,0.00000000,0.00000000,0.00000000,0.94606846,0014,0100,0035,0.00000000,"PART,JRip,DecisionTable,Aggregator,SimpleCart,JRip_minNo,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,PART_pruning,J48,SimpleCart_minNumObj,J48_useMDLcorrection,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48_minNumObj,JRip_usePruning,PART_numFolds,J48_binarySplits,J48_collapseTree,JRip_optimizations,DecisionTable_search,DecisionTable_crossVal,PART_useMDLcorrection,PART_confidenceFactorValue,PART_minNumObj,PART_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,JRip_folds,SimpleCart_useOneSE,BestFirst_searchTermination,J48_pruning,J48_numFolds,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,BestFirst_direction,J48_subtreeRaising"
2,49,0.00000000,0.00000000,0.00000000,0.94606846,0016,0100,0035,0.00000000,"PART,PART_binarySplits,J48,JRip,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable,JRip_minNo,DecisionTable_search,PART_useMDLcorrection,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48_binarySplits,J48_minNumObj,SimpleCart,J48_pruning,Aggregator,SimpleCart_heuristic,PART_pruning,J48_useMDLcorrection,J48_useLaplace,PART_numFolds,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_optimizations,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_collapseTree,J48_confidenceFactorValue,J48_numFolds,JRip_checkErrorRate,BestFirst_searchTermination,BestFirst_direction,JRip_folds,J48_subtreeRaising,SimpleCart_usePrune,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
3,49,0.00000000,0.00000000,0.00000000,0.94606846,0016,0100,0035,0.00000000,"Aggregator,SimpleCart,DecisionTable,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART,PART_pruning,J48,JRip,PART_confidenceFactorValue,DecisionTable_useIBk,J48_pruning,J48_confidenceFactorValue,SimpleCart_useOneSE,DecisionTable_search,J48_minNumObj,SimpleCart_numFoldsPruning,PART_useMDLcorrection,JRip_minNo,PART_binarySplits,J48_useLaplace,J48_binarySplits,SimpleCart_heuristic,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_collapseTree,J48_numFolds,PART_minNumObj,JRip_usePruning,PART_numFolds,JRip_checkErrorRate,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,BestFirst_direction,JRip_folds,JRip_optimizations"
4,49,0.00000000,0.00000000,0.00000000,0.94606846,0015,0100,0035,0.00000000,"Aggregator,DecisionTable,J48,J48_collapseTree,J48_pruning,PART,DecisionTable_search,J48_binarySplits,BestFirst_direction,J48_confidenceFactorValue,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48_minNumObj,SimpleCart_usePrune,SimpleCart_minNumObj,JRip,PART_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_heuristic,J48_useMDLcorrection,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_usePruning,PART_minNumObj,PART_pruning,GreedyStepwise_searchBackwards,J48_numFolds,BestFirst_searchTermination,JRip_optimizations,PART_binarySplits,JRip_checkErrorRate,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_minNo,PART_numFolds,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,0.94606846,0015,0100,0035,0.00000000,"Aggregator,PART,PART_pruning,SimpleCart,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_confidenceFactorValue,JRip,PART_binarySplits,JRip_checkErrorRate,JRip_minNo,DecisionTable,DecisionTable_search,PART_minNumObj,PART_numFolds,J48,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,GreedyStepwise_searchBackwards,JRip_usePruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_useMDLcorrection,BestFirst_searchTermination,DecisionTable_crossVal,J48_useLaplace,JRip_optimizations,JRip_folds,J48_minNumObj,J48_pruning,DecisionTable_evaluationMeasure,BestFirst_direction,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_useMDLcorrection,J48_numFolds,J48_subtreeRaising"
6,49,0.00000000,0.00000000,0.00000000,0.94606846,0017,0100,0035,0.00000000,"J48,J48_minNumObj,J48_pruning,PART,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart,J48_collapseTree,J48_useMDLcorrection,DecisionTable,Aggregator,PART_binarySplits,JRip,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_minNo,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_binarySplits,PART_pruning,J48_numFolds,SimpleCart_heuristic,PART_confidenceFactorValue,PART_minNumObj,DecisionTable_search,DecisionTable_evaluationMeasure,DecisionTable_crossVal,JRip_usePruning,SimpleCart_usePrune,JRip_checkErrorRate,GreedyStepwise_searchBackwards,DecisionTable_useIBk,BestFirst_searchTermination,SimpleCart_numFoldsPruning,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_numFolds,JRip_folds,JRip_optimizations"
7,49,0.00000000,0.00000000,0.00000000,0.94606846,0013,0100,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,Aggregator,JRip,PART,PART_binarySplits,PART_minNumObj,J48,SimpleCart_heuristic,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_pruning,JRip_usePruning,JRip_minNo,DecisionTable_search,JRip_checkErrorRate,DecisionTable_useIBk,J48_binarySplits,GreedyStepwise_searchBackwards,J48_useMDLcorrection,JRip_optimizations,BestFirst_searchTermination,PART_pruning,J48_collapseTree,J48_confidenceFactorValue,J48_subtreeRaising,PART_confidenceFactorValue,JRip_folds,PART_numFolds,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,DecisionTable_evaluationMeasure,BestFirst_direction"
8,49,0.00000000,0.00000000,0.00000000,0.94606846,0015,0100,0035,0.00000000,"J48,J48_pruning,DecisionTable,DecisionTable_useIBk,J48_numFolds,DecisionTable_evaluationMeasure,JRip,Aggregator,J48_minNumObj,PART,J48_collapseTree,PART_minNumObj,DecisionTable_crossVal,J48_binarySplits,SimpleCart,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,DecisionTable_search,BestFirst_searchTermination,J48_useLaplace,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,PART_useMDLcorrection,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,JRip_minNo,J48_subtreeRaising,JRip_folds,PART_pruning,SimpleCart_usePrune,BestFirst_direction,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_confidenceFactorValue,PART_numFolds"
9,49,0.00000000,0.00000000,0.00000000,0.94606846,0014,0100,0035,0.00000000,"Aggregator,SimpleCart,JRip,DecisionTable,SimpleCart_minNumObj,PART,PART_useMDLcorrection,J48,JRip_checkErrorRate,PART_minNumObj,J48_pruning,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_minNo,J48_subtreeRaising,SimpleCart_usePrune,J48_numFolds,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_useLaplace,SimpleCart_numFoldsPruning,J48_minNumObj,JRip_usePruning,DecisionTable_evaluationMeasure,DecisionTable_search,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_pruning,J48_binarySplits,PART_numFolds,J48_confidenceFactorValue,J48_collapseTree,BestFirst_direction,SimpleCart_useOneSE,JRip_optimizations,JRip_folds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_confidenceFactorValue"
