gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99980056,0002,0100,0035,0.00000000,"Aggregator,DecisionTable,JRip,DecisionTable_useIBk,DecisionTable_crossVal,JRip_checkErrorRate,JRip_minNo,DecisionTable_search,SimpleCart,PART,J48,J48_pruning,DecisionTable_evaluationMeasure,BestFirst_direction,J48_confidenceFactorValue,JRip_usePruning,PART_minNumObj,J48_minNumObj,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_useLaplace,GreedyStepwise_searchBackwards,JRip_folds,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_pruning,J48_binarySplits,J48_collapseTree,PART_binarySplits,JRip_optimizations,PART_numFolds,PART_confidenceFactorValue"
1,49,0.00000000,0.00000000,0.00000000,0.99980056,0002,0100,0035,0.00000000,"SimpleCart,J48,JRip,SimpleCart_heuristic,JRip_usePruning,JRip_checkErrorRate,DecisionTable,J48_doNotMakeSplitPointActualValue,JRip_folds,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_minNumObj,SimpleCart_usePrune,DecisionTable_crossVal,PART,Aggregator,SimpleCart_minNumObj,J48_useMDLcorrection,JRip_minNo,PART_useMDLcorrection,J48_binarySplits,DecisionTable_search,J48_collapseTree,J48_useLaplace,JRip_optimizations,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_minNumObj,J48_pruning,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,J48_subtreeRaising,PART_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,BestFirst_searchTermination,BestFirst_direction,PART_confidenceFactorValue,J48_numFolds"
2,49,0.00000000,0.00000000,0.00000000,0.99980056,0002,0100,0035,0.00000000,"DecisionTable,JRip,J48,PART,J48_useMDLcorrection,SimpleCart,PART_useMDLcorrection,SimpleCart_usePrune,PART_binarySplits,JRip_usePruning,PART_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_heuristic,Aggregator,JRip_minNo,DecisionTable_crossVal,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_collapseTree,DecisionTable_useIBk,J48_binarySplits,PART_pruning,JRip_checkErrorRate,DecisionTable_search,JRip_folds,J48_numFolds,BestFirst_searchTermination,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,J48_minNumObj,BestFirst_direction,J48_useLaplace,J48_subtreeRaising,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_searchBackwards,PART_numFolds,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection"
3,49,0.00000000,0.00000000,0.00000000,0.99980056,0002,0100,0035,0.00000000,"JRip,JRip_usePruning,DecisionTable,SimpleCart,JRip_optimizations,DecisionTable_search,JRip_folds,GreedyStepwise_searchBackwards,PART,BestFirst_direction,SimpleCart_minNumObj,PART_useMDLcorrection,PART_binarySplits,DecisionTable_crossVal,DecisionTable_useIBk,Aggregator,J48,JRip_minNo,SimpleCart_heuristic,SimpleCart_usePrune,PART_minNumObj,J48_collapseTree,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,JRip_checkErrorRate,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds,J48_useLaplace,J48_binarySplits,J48_minNumObj,J48_pruning,J48_useMDLcorrection,J48_numFolds,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,J48_subtreeRaising"
4,49,0.00000000,0.00000000,0.00000000,0.99980056,0001,0100,0035,0.00000000,"Aggregator,JRip,DecisionTable,PART,PART_minNumObj,JRip_minNo,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_checkErrorRate,DecisionTable_useIBk,PART_binarySplits,JRip_usePruning,PART_pruning,SimpleCart,J48,DecisionTable_search,GreedyStepwise_searchBackwards,J48_useLaplace,J48_collapseTree,SimpleCart_usePrune,DecisionTable_evaluationMeasure,J48_minNumObj,PART_useMDLcorrection,JRip_folds,J48_pruning,J48_numFolds,J48_doNotMakeSplitPointActualValue,PART_numFolds,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_minNumObj,SimpleCart_heuristic,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,SimpleCart_numFoldsPruning,BestFirst_direction,PART_confidenceFactorValue,BestFirst_searchTermination,J48_confidenceFactorValue,J48_subtreeRaising"
5,49,0.00000000,0.00000000,0.00000000,0.99980056,0002,0100,0035,0.00000000,"Aggregator,SimpleCart,DecisionTable,DecisionTable_crossVal,JRip,J48,J48_pruning,DecisionTable_evaluationMeasure,PART,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_useMDLcorrection,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_pruning,DecisionTable_search,SimpleCart_minNumObj,J48_numFolds,J48_useMDLcorrection,SimpleCart_usePrune,BestFirst_searchTermination,SimpleCart_heuristic,DecisionTable_useIBk,J48_binarySplits,SimpleCart_numFoldsPruning,J48_minNumObj,JRip_minNo,PART_confidenceFactorValue,J48_confidenceFactorValue,JRip_usePruning,PART_numFolds,JRip_folds,BestFirst_direction,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_binarySplits,GreedyStepwise_searchBackwards,JRip_optimizations"
6,49,0.00000000,0.00000000,0.00000000,0.99980056,0001,0100,0035,0.00000000,"PART,DecisionTable,J48,DecisionTable_crossVal,JRip,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,SimpleCart,Aggregator,J48_minNumObj,J48_useMDLcorrection,J48_useLaplace,J48_pruning,PART_useMDLcorrection,SimpleCart_usePrune,DecisionTable_search,PART_pruning,PART_minNumObj,PART_binarySplits,JRip_minNo,JRip_usePruning,JRip_optimizations,J48_binarySplits,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,JRip_checkErrorRate,BestFirst_searchTermination,J48_collapseTree,SimpleCart_heuristic,SimpleCart_useOneSE,J48_numFolds,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,BestFirst_direction,JRip_folds,J48_confidenceFactorValue,PART_numFolds,J48_subtreeRaising,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection"
7,49,0.00000000,0.00000000,0.00000000,0.99980056,0002,0100,0035,0.00000000,"SimpleCart,Aggregator,JRip,PART,SimpleCart_usePrune,PART_minNumObj,JRip_checkErrorRate,DecisionTable,SimpleCart_heuristic,J48,J48_useMDLcorrection,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_usePruning,PART_useMDLcorrection,DecisionTable_evaluationMeasure,JRip_optimizations,DecisionTable_crossVal,J48_collapseTree,JRip_minNo,SimpleCart_numFoldsPruning,J48_binarySplits,JRip_folds,DecisionTable_useIBk,PART_binarySplits,PART_pruning,J48_useLaplace,SimpleCart_useOneSE,J48_pruning,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_search,BestFirst_searchTermination,J48_numFolds,PART_confidenceFactorValue,BestFirst_direction,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.99980056,0002,0100,0035,0.00000000,"PART,SimpleCart,DecisionTable,DecisionTable_crossVal,SimpleCart_heuristic,J48,J48_useLaplace,PART_doNotMakeSplitPointActualValue,Aggregator,DecisionTable_useIBk,JRip,DecisionTable_evaluationMeasure,JRip_minNo,JRip_checkErrorRate,J48_minNumObj,J48_collapseTree,SimpleCart_minNumObj,DecisionTable_search,PART_useMDLcorrection,J48_binarySplits,SimpleCart_usePrune,J48_pruning,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_binarySplits,PART_minNumObj,J48_numFolds,SimpleCart_numFoldsPruning,J48_useMDLcorrection,J48_confidenceFactorValue,JRip_usePruning,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_subtreeRaising,PART_numFolds,JRip_optimizations,JRip_folds"
9,49,0.00000000,0.00000000,0.00000000,0.99980056,0001,0100,0035,0.00000000,"JRip,DecisionTable,DecisionTable_useIBk,SimpleCart,SimpleCart_usePrune,JRip_checkErrorRate,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,JRip_minNo,PART,Aggregator,SimpleCart_heuristic,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48,DecisionTable_search,J48_minNumObj,BestFirst_direction,J48_useLaplace,PART_pruning,JRip_usePruning,J48_useMDLcorrection,J48_collapseTree,JRip_folds,PART_confidenceFactorValue,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,PART_minNumObj,SimpleCart_useOneSE,J48_binarySplits,PART_binarySplits,PART_numFolds,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_optimizations,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
