gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.70706195,0011,0100,0035,0.00000000,"JRip,J48,SimpleCart,Aggregator,J48_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable,J48_useLaplace,J48_useMDLcorrection,J48_pruning,SimpleCart_minNumObj,J48_subtreeRaising,JRip_minNo,J48_numFolds,DecisionTable_crossVal,JRip_checkErrorRate,DecisionTable_search,BestFirst_direction,J48_collapseTree,JRip_usePruning,PART,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,J48_minNumObj,SimpleCart_usePrune,JRip_optimizations,SimpleCart_numFoldsPruning,PART_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_confidenceFactorValue,PART_minNumObj,PART_pruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_folds,PART_useMDLcorrection,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue"
1,49,0.00000000,0.00000000,0.00000000,0.70706195,0008,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,PART,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_useIBk,PART_pruning,GreedyStepwise_conservativeForwardSelection,PART_numFolds,Aggregator,J48,GreedyStepwise_searchBackwards,JRip,J48_collapseTree,PART_binarySplits,SimpleCart,DecisionTable_crossVal,BestFirst_direction,PART_confidenceFactorValue,JRip_minNo,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_binarySplits,J48_useLaplace,J48_useMDLcorrection,JRip_checkErrorRate,J48_minNumObj,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_pruning,JRip_usePruning,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_subtreeRaising,J48_numFolds,JRip_folds,JRip_optimizations,J48_confidenceFactorValue,SimpleCart_numFoldsPruning"
2,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0035,0.00000000,"Aggregator,J48,SimpleCart,J48_pruning,J48_useMDLcorrection,J48_subtreeRaising,J48_collapseTree,J48_useLaplace,JRip,PART,PART_minNumObj,SimpleCart_usePrune,SimpleCart_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,JRip_usePruning,J48_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable_search,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_checkErrorRate,J48_numFolds,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,J48_binarySplits,PART_binarySplits,JRip_folds,PART_pruning,DecisionTable_crossVal,JRip_minNo,SimpleCart_numFoldsPruning,PART_numFolds,DecisionTable_useIBk,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,PART_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART,DecisionTable_useIBk,JRip,J48,PART_pruning,J48_pruning,DecisionTable_search,PART_minNumObj,SimpleCart,JRip_checkErrorRate,J48_collapseTree,J48_numFolds,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_usePruning,J48_subtreeRaising,PART_useMDLcorrection,J48_useMDLcorrection,J48_binarySplits,J48_minNumObj,PART_confidenceFactorValue,J48_useLaplace,PART_binarySplits,SimpleCart_minNumObj,JRip_minNo,J48_doNotMakeSplitPointActualValue,BestFirst_direction,PART_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,SimpleCart_usePrune,JRip_optimizations,JRip_folds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
4,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0035,0.00000000,"JRip,JRip_minNo,JRip_usePruning,PART,JRip_checkErrorRate,J48,J48_useLaplace,J48_doNotMakeSplitPointActualValue,PART_minNumObj,PART_pruning,J48_collapseTree,JRip_folds,J48_binarySplits,J48_pruning,PART_useMDLcorrection,SimpleCart,J48_subtreeRaising,J48_minNumObj,PART_doNotMakeSplitPointActualValue,Aggregator,DecisionTable,SimpleCart_minNumObj,PART_binarySplits,J48_useMDLcorrection,JRip_optimizations,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_heuristic,J48_numFolds,SimpleCart_usePrune,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,PART_numFolds,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
5,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0035,0.00000000,"JRip,JRip_minNo,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,DecisionTable,DecisionTable_search,Aggregator,DecisionTable_crossVal,J48,J48_collapseTree,J48_minNumObj,DecisionTable_useIBk,JRip_folds,J48_useMDLcorrection,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,SimpleCart,BestFirst_searchTermination,J48_pruning,J48_numFolds,PART,GreedyStepwise_searchBackwards,PART_binarySplits,PART_minNumObj,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,BestFirst_direction,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,PART_pruning,J48_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.70706195,0013,0166,0063,0.26137303,"Aggregator,PART,SimpleCart,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable,JRip,DecisionTable_useIBk,JRip_checkErrorRate,JRip_usePruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip_folds,DecisionTable_crossVal,PART_minNumObj,PART_useMDLcorrection,BestFirst_searchTermination,JRip_minNo,J48,J48_binarySplits,J48_useMDLcorrection,J48_useLaplace,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_numFolds,PART_pruning,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,J48_confidenceFactorValue,BestFirst_direction,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_pruning,J48_subtreeRaising,SimpleCart_minNumObj,JRip_optimizations,PART_binarySplits,J48_minNumObj,PART_numFolds,J48_collapseTree"
7,49,0.00000000,0.00000000,0.00000000,0.70706195,0010,0100,0063,0.26137303,"DecisionTable,SimpleCart,Aggregator,JRip,JRip_usePruning,PART,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,SimpleCart_heuristic,JRip_minNo,JRip_folds,PART_useMDLcorrection,J48,DecisionTable_crossVal,DecisionTable_search,PART_minNumObj,J48_binarySplits,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_binarySplits,PART_pruning,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_direction,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_minNumObj,JRip_optimizations,J48_minNumObj,PART_numFolds"
8,49,0.00000000,0.00000000,0.00000000,0.70706195,0010,0138,0063,0.26137303,"Aggregator,JRip,SimpleCart,DecisionTable,JRip_usePruning,PART,DecisionTable_useIBk,SimpleCart_heuristic,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useLaplace,JRip_minNo,DecisionTable_crossVal,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,JRip_optimizations,PART_binarySplits,J48_subtreeRaising,J48_confidenceFactorValue,BestFirst_direction,J48_pruning,J48_numFolds,PART_pruning,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,PART_numFolds,PART_useMDLcorrection,JRip_folds,DecisionTable_search,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48,J48_collapseTree,J48_useMDLcorrection,BestFirst_searchTermination,DecisionTable_evaluationMeasure,J48_minNumObj"
9,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0063,0.26137303,"PART,SimpleCart,Aggregator,PART_doNotMakeSplitPointActualValue,JRip,JRip_usePruning,DecisionTable,SimpleCart_heuristic,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_crossVal,PART_useMDLcorrection,JRip_folds,DecisionTable_search,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48,JRip_minNo,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,DecisionTable_evaluationMeasure,J48_useMDLcorrection,J48_useLaplace,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_numFolds,SimpleCart_usePrune,GreedyStepwise_searchBackwards,BestFirst_direction,PART_pruning,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,JRip_optimizations,PART_binarySplits,J48_subtreeRaising,J48_collapseTree,PART_numFolds,J48_minNumObj"
10,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0063,0.26137303,"PART,JRip,SimpleCart,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,Aggregator,DecisionTable,JRip_checkErrorRate,DecisionTable_useIBk,JRip_usePruning,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_useMDLcorrection,DecisionTable_evaluationMeasure,PART_pruning,PART_binarySplits,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48,PART_confidenceFactorValue,J48_pruning,J48_subtreeRaising,J48_useMDLcorrection,J48_numFolds,J48_confidenceFactorValue,J48_collapseTree,PART_numFolds,J48_minNumObj"
11,49,0.00000000,0.00000000,0.00000000,0.70706195,0010,0100,0071,0.25525241,"PART,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_folds,PART_binarySplits,JRip_optimizations,Aggregator,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,J48,J48_collapseTree,J48_pruning,J48_subtreeRaising,J48_useLaplace,J48_minNumObj,J48_binarySplits,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_numFolds,PART_useMDLcorrection,DecisionTable,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,PART_numFolds,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_searchTermination,JRip_minNo"
12,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0071,0.25525241,"JRip,PART,JRip_checkErrorRate,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,Aggregator,PART_binarySplits,PART_pruning,PART_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,PART_confidenceFactorValue,J48,J48_binarySplits,J48_minNumObj,J48_pruning,J48_useLaplace,J48_collapseTree,J48_numFolds,PART_useMDLcorrection,J48_useMDLcorrection,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_useIBk,BestFirst_direction,JRip_minNo,DecisionTable_crossVal,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip_folds,SimpleCart_numFoldsPruning,J48_subtreeRaising"
13,49,0.00000000,0.00000000,0.00000000,0.70706195,0008,0100,0071,0.25525241,"JRip,PART,JRip_checkErrorRate,JRip_minNo,PART_pruning,PART_doNotMakeSplitPointActualValue,JRip_usePruning,PART_minNumObj,JRip_optimizations,Aggregator,PART_binarySplits,PART_useMDLcorrection,PART_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,PART_confidenceFactorValue,J48,J48_minNumObj,J48_collapseTree,J48_binarySplits,J48_pruning,J48_useLaplace,J48_confidenceFactorValue,J48_numFolds,J48_useMDLcorrection,DecisionTable,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,DecisionTable_useIBk,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_subtreeRaising,DecisionTable_crossVal,JRip_folds"
14,49,0.00000000,0.00000000,0.00000000,0.70706195,0008,0100,0071,0.25525241,"PART,JRip,JRip_checkErrorRate,PART_binarySplits,JRip_minNo,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,SimpleCart,SimpleCart_heuristic,JRip_usePruning,SimpleCart_usePrune,JRip_optimizations,Aggregator,PART_minNumObj,SimpleCart_minNumObj,PART_confidenceFactorValue,J48,J48_binarySplits,J48_minNumObj,J48_useLaplace,J48_collapseTree,J48_pruning,J48_numFolds,DecisionTable,SimpleCart_useOneSE,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_search,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,BestFirst_direction,BestFirst_searchTermination,DecisionTable_evaluationMeasure,JRip_folds,DecisionTable_crossVal,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards"
15,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0071,0.25525241,"PART,JRip,JRip_checkErrorRate,PART_useMDLcorrection,JRip_minNo,PART_pruning,PART_confidenceFactorValue,J48,J48_useLaplace,J48_minNumObj,J48_collapseTree,J48_binarySplits,J48_pruning,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART_numFolds,DecisionTable_search,JRip_usePruning,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,BestFirst_direction,SimpleCart_usePrune,SimpleCart_useOneSE,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_folds,PART_binarySplits,DecisionTable_crossVal,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,J48_subtreeRaising,PART_minNumObj,JRip_optimizations,Aggregator"
16,49,0.00000000,0.00000000,0.00000000,0.70706195,0011,0114,0072,0.23218358,"PART,J48,PART_doNotMakeSplitPointActualValue,J48_collapseTree,J48_pruning,J48_numFolds,SimpleCart,Aggregator,BestFirst_direction,DecisionTable_evaluationMeasure,JRip_usePruning,J48_useLaplace,J48_minNumObj,JRip_optimizations,DecisionTable,DecisionTable_search,DecisionTable_crossVal,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_subtreeRaising,JRip,JRip_checkErrorRate,JRip_minNo,JRip_folds,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_pruning,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_numFolds,J48_binarySplits,PART_useMDLcorrection,J48_useMDLcorrection,SimpleCart_minNumObj,PART_minNumObj,DecisionTable_useIBk,SimpleCart_heuristic,J48_confidenceFactorValue,PART_binarySplits"
17,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0120,0072,0.23218358,"PART,J48,PART_doNotMakeSplitPointActualValue,J48_minNumObj,PART_minNumObj,J48_useMDLcorrection,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_binarySplits,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_collapseTree,J48_subtreeRaising,J48_numFolds,SimpleCart,SimpleCart_minNumObj,SimpleCart_heuristic,Aggregator,PART_numFolds,DecisionTable_useIBk,DecisionTable_evaluationMeasure,JRip_usePruning,BestFirst_direction,JRip_optimizations,DecisionTable,DecisionTable_search,BestFirst_searchTermination,JRip,JRip_checkErrorRate,JRip_minNo,JRip_folds,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_pruning,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,DecisionTable_crossVal"
18,49,0.00000000,0.00000000,0.00000000,0.70706195,0008,0100,0072,0.23218358,"J48,PART,PART_doNotMakeSplitPointActualValue,J48_minNumObj,PART_minNumObj,J48_useMDLcorrection,PART_binarySplits,J48_useLaplace,PART_pruning,PART_numFolds,J48_binarySplits,PART_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_collapseTree,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,BestFirst_searchTermination,JRip,JRip_minNo,JRip_checkErrorRate,JRip_folds,GreedyStepwise_searchBackwards,JRip_optimizations,DecisionTable,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,DecisionTable_useIBk,SimpleCart_minNumObj,SimpleCart_useOneSE,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_usePrune,DecisionTable_evaluationMeasure,J48_numFolds,SimpleCart,JRip_usePruning,BestFirst_direction,Aggregator"
19,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0100,0072,0.23218358,"PART,J48,PART_doNotMakeSplitPointActualValue,J48_pruning,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_minNumObj,J48_useLaplace,PART_binarySplits,J48_confidenceFactorValue,J48_collapseTree,SimpleCart_heuristic,JRip_optimizations,J48_minNumObj,DecisionTable,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_search,BestFirst_searchTermination,J48_subtreeRaising,JRip,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,JRip_minNo,JRip_folds,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_usePruning,J48_binarySplits,PART_numFolds,J48_useMDLcorrection,J48_numFolds,Aggregator,BestFirst_direction,DecisionTable_evaluationMeasure,SimpleCart"
20,49,0.00000000,0.00000000,0.00000000,0.70706195,0008,0100,0072,0.23218358,"J48,PART,PART_doNotMakeSplitPointActualValue,J48_collapseTree,J48_binarySplits,J48_minNumObj,PART_useMDLcorrection,J48_pruning,J48_numFolds,Aggregator,SimpleCart,SimpleCart_minNumObj,PART_minNumObj,PART_pruning,PART_numFolds,J48_useMDLcorrection,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart_heuristic,PART_binarySplits,J48_useLaplace,J48_subtreeRaising,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,DecisionTable,DecisionTable_search,BestFirst_searchTermination,DecisionTable_crossVal,DecisionTable_useIBk,BestFirst_direction,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,JRip,GreedyStepwise_searchBackwards,JRip_usePruning,JRip_checkErrorRate,JRip_minNo,JRip_optimizations,JRip_folds"
21,49,0.00000000,0.00000000,0.00000000,0.70706195,0012,0100,0071,0.23622812,"JRip,DecisionTable,PART,SimpleCart,PART_useMDLcorrection,JRip_checkErrorRate,SimpleCart_heuristic,SimpleCart_usePrune,JRip_usePruning,JRip_optimizations,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_minNumObj,PART_minNumObj,SimpleCart_numFoldsPruning,DecisionTable_useIBk,JRip_folds,JRip_minNo,J48,J48_minNumObj,J48_useLaplace,J48_useMDLcorrection,J48_collapseTree,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,J48_numFolds,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_binarySplits,PART_confidenceFactorValue,PART_numFolds,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,Aggregator"
22,49,0.00000000,0.00000000,0.00000000,0.70706195,0009,0148,0071,0.23622812,"SimpleCart,PART,JRip,DecisionTable,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,DecisionTable_useIBk,BestFirst_direction,JRip_usePruning,JRip_optimizations,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_minNumObj,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_confidenceFactorValue,J48_useMDLcorrection,J48_minNumObj,BestFirst_searchTermination,J48_useLaplace,JRip_minNo,JRip_folds,SimpleCart_usePrune,J48,J48_binarySplits,J48_collapseTree,PART_pruning,PART_numFolds,J48_pruning,GreedyStepwise_searchBackwards,Aggregator,J48_subtreeRaising,J48_numFolds,PART_binarySplits,J48_doNotMakeSplitPointActualValue"
23,49,0.00000000,0.00000000,0.00000000,0.70706195,0008,0100,0071,0.23622812,"PART,DecisionTable,SimpleCart,JRip,PART_useMDLcorrection,JRip_minNo,PART_minNumObj,JRip_checkErrorRate,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,DecisionTable_useIBk,DecisionTable_crossVal,PART_pruning,PART_binarySplits,PART_numFolds,Aggregator,JRip_usePruning,DecisionTable_search,JRip_optimizations,BestFirst_direction,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,JRip_folds,PART_confidenceFactorValue,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_minNumObj,J48_subtreeRaising,BestFirst_searchTermination,J48_useMDLcorrection,J48_numFolds,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree"
