gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.69055420,0014,0100,0035,0.00000000,"J48,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_binarySplits,JRip,J48_minNumObj,JRip_checkErrorRate,SimpleCart,J48_confidenceFactorValue,J48_numFolds,SimpleCart_usePrune,SimpleCart_useOneSE,J48_collapseTree,DecisionTable,SimpleCart_numFoldsPruning,SimpleCart_heuristic,Aggregator,JRip_usePruning,JRip_minNo,SimpleCart_minNumObj,J48_subtreeRaising,J48_useMDLcorrection,PART,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,DecisionTable_search,PART_minNumObj,PART_binarySplits,DecisionTable_useIBk,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_direction,PART_useMDLcorrection,JRip_optimizations,PART_pruning,PART_confidenceFactorValue,PART_numFolds"
1,49,0.00000000,0.00000000,0.00000000,0.69055420,0012,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,PART,Aggregator,JRip,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,JRip_checkErrorRate,PART_minNumObj,J48,PART_useMDLcorrection,J48_useLaplace,PART_binarySplits,J48_minNumObj,SimpleCart_useOneSE,DecisionTable,JRip_usePruning,SimpleCart_heuristic,DecisionTable_evaluationMeasure,DecisionTable_search,J48_pruning,SimpleCart_minNumObj,JRip_minNo,JRip_folds,J48_useMDLcorrection,J48_collapseTree,JRip_optimizations,PART_pruning,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,J48_binarySplits,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,PART_numFolds,BestFirst_direction,DecisionTable_useIBk,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.69055420,0013,0100,0035,0.00000000,"Aggregator,PART,J48,JRip,J48_doNotMakeSplitPointActualValue,DecisionTable,SimpleCart,PART_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_usePrune,DecisionTable_crossVal,J48_useLaplace,SimpleCart_useOneSE,JRip_usePruning,J48_pruning,DecisionTable_search,J48_minNumObj,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_binarySplits,J48_binarySplits,PART_useMDLcorrection,J48_useMDLcorrection,PART_minNumObj,JRip_checkErrorRate,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,PART_pruning,BestFirst_searchTermination,SimpleCart_heuristic,DecisionTable_useIBk,JRip_folds,SimpleCart_numFoldsPruning,J48_numFolds,BestFirst_direction,J48_subtreeRaising,PART_numFolds,J48_confidenceFactorValue,JRip_optimizations,PART_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.69055420,0013,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,J48,JRip,SimpleCart_minNumObj,DecisionTable,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,DecisionTable_search,DecisionTable_useIBk,J48_useMDLcorrection,PART,Aggregator,GreedyStepwise_conservativeForwardSelection,J48_pruning,JRip_minNo,DecisionTable_evaluationMeasure,SimpleCart_usePrune,J48_collapseTree,J48_binarySplits,SimpleCart_useOneSE,JRip_usePruning,GreedyStepwise_searchBackwards,J48_minNumObj,J48_useLaplace,JRip_optimizations,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,BestFirst_direction,J48_subtreeRaising,J48_numFolds,SimpleCart_numFoldsPruning,PART_binarySplits,PART_pruning,PART_useMDLcorrection,PART_minNumObj,BestFirst_searchTermination,J48_confidenceFactorValue,JRip_folds,PART_numFolds,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.69055420,0012,0100,0035,0.00000000,"J48,Aggregator,JRip,J48_pruning,J48_subtreeRaising,DecisionTable,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_collapseTree,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,SimpleCart,PART,GreedyStepwise_searchBackwards,J48_useMDLcorrection,J48_useLaplace,JRip_usePruning,PART_useMDLcorrection,J48_numFolds,JRip_folds,J48_minNumObj,JRip_optimizations,DecisionTable_useIBk,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,JRip_minNo,PART_minNumObj,SimpleCart_minNumObj,SimpleCart_usePrune,BestFirst_searchTermination,PART_binarySplits,BestFirst_direction,PART_pruning,SimpleCart_heuristic,SimpleCart_useOneSE,PART_numFolds,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,0.69055420,0012,0100,0035,0.00000000,"PART,DecisionTable,Aggregator,DecisionTable_evaluationMeasure,JRip,DecisionTable_search,DecisionTable_crossVal,J48,JRip_usePruning,J48_useLaplace,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_checkErrorRate,DecisionTable_useIBk,PART_pruning,SimpleCart,PART_useMDLcorrection,J48_minNumObj,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_pruning,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,PART_binarySplits,SimpleCart_heuristic,J48_collapseTree,SimpleCart_minNumObj,BestFirst_searchTermination,JRip_folds,J48_binarySplits,BestFirst_direction,JRip_minNo,SimpleCart_usePrune,JRip_optimizations,J48_subtreeRaising,PART_numFolds,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_numFolds,SimpleCart_numFoldsPruning"
6,49,0.00000000,0.00000000,0.00000000,0.69055420,0012,0100,0035,0.00000000,"Aggregator,DecisionTable,J48,DecisionTable_evaluationMeasure,SimpleCart,PART,SimpleCart_usePrune,J48_minNumObj,DecisionTable_useIBk,SimpleCart_useOneSE,JRip,DecisionTable_search,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,SimpleCart_numFoldsPruning,PART_binarySplits,JRip_minNo,J48_pruning,GreedyStepwise_searchBackwards,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_minNumObj,J48_useLaplace,J48_subtreeRaising,PART_minNumObj,J48_binarySplits,PART_pruning,BestFirst_searchTermination,J48_collapseTree,PART_confidenceFactorValue,JRip_usePruning,BestFirst_direction,JRip_folds,PART_numFolds,J48_numFolds,JRip_checkErrorRate,J48_confidenceFactorValue,JRip_optimizations"
7,49,0.00000000,0.00000000,0.00000000,0.69055420,0013,0100,0035,0.00000000,"SimpleCart,J48,PART,DecisionTable,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_minNumObj,DecisionTable_crossVal,SimpleCart_useOneSE,DecisionTable_useIBk,J48_pruning,PART_minNumObj,J48_collapseTree,JRip,PART_binarySplits,J48_useLaplace,SimpleCart_minNumObj,J48_subtreeRaising,PART_useMDLcorrection,Aggregator,J48_binarySplits,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable_search,GreedyStepwise_searchBackwards,J48_useMDLcorrection,J48_confidenceFactorValue,PART_pruning,SimpleCart_numFoldsPruning,J48_numFolds,PART_numFolds,JRip_usePruning,BestFirst_searchTermination,JRip_folds,JRip_checkErrorRate,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip_optimizations"
8,49,0.00000000,0.00000000,0.00000000,0.69055420,0011,0100,0035,0.00000000,"DecisionTable,JRip,JRip_checkErrorRate,Aggregator,J48,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart,J48_useLaplace,SimpleCart_minNumObj,J48_minNumObj,PART,JRip_minNo,J48_pruning,JRip_usePruning,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_collapseTree,JRip_optimizations,PART_binarySplits,J48_useMDLcorrection,DecisionTable_useIBk,J48_confidenceFactorValue,PART_minNumObj,DecisionTable_search,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_folds,SimpleCart_heuristic,SimpleCart_usePrune,PART_pruning,J48_numFolds,BestFirst_searchTermination,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.69055420,0012,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,Aggregator,PART_pruning,PART_numFolds,PART_confidenceFactorValue,PART_binarySplits,DecisionTable,JRip,JRip_minNo,PART_minNumObj,J48,JRip_checkErrorRate,DecisionTable_useIBk,SimpleCart,PART_useMDLcorrection,J48_useLaplace,JRip_usePruning,DecisionTable_search,J48_collapseTree,J48_minNumObj,DecisionTable_evaluationMeasure,J48_useMDLcorrection,GreedyStepwise_searchBackwards,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,SimpleCart_minNumObj,J48_pruning,SimpleCart_heuristic,BestFirst_direction,J48_numFolds,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,JRip_optimizations,JRip_folds,BestFirst_searchTermination,J48_subtreeRaising,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
