gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.93959452,0007,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,Aggregator,SimpleCart,DecisionTable_useIBk,GreedyStepwise_searchBackwards,BestFirst_direction,J48,J48_useLaplace,SimpleCart_usePrune,DecisionTable_crossVal,JRip,DecisionTable_evaluationMeasure,PART,J48_pruning,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART_binarySplits,JRip_minNo,SimpleCart_heuristic,J48_collapseTree,PART_minNumObj,SimpleCart_minNumObj,J48_subtreeRaising,JRip_usePruning,J48_binarySplits,SimpleCart_numFoldsPruning,JRip_folds,JRip_optimizations,J48_minNumObj,PART_useMDLcorrection,PART_pruning,PART_numFolds,SimpleCart_useOneSE,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,J48_numFolds,PART_confidenceFactorValue"
1,49,0.00000000,0.00000000,0.00000000,0.93959452,0007,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,Aggregator,DecisionTable,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,J48,PART,PART_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_search,J48_useMDLcorrection,BestFirst_searchTermination,J48_minNumObj,SimpleCart_usePrune,JRip,PART_pruning,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_numFolds,PART_binarySplits,JRip_minNo,J48_binarySplits,DecisionTable_crossVal,DecisionTable_useIBk,J48_collapseTree,PART_useMDLcorrection,J48_pruning,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,JRip_checkErrorRate,PART_minNumObj,PART_confidenceFactorValue,JRip_usePruning,BestFirst_direction,JRip_optimizations,J48_numFolds,JRip_folds,J48_subtreeRaising"
2,49,0.00000000,0.00000000,0.00000000,0.93959452,0007,0100,0035,0.00000000,"PART,J48,J48_useLaplace,J48_pruning,Aggregator,J48_collapseTree,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable,PART_binarySplits,SimpleCart,J48_confidenceFactorValue,J48_binarySplits,J48_subtreeRaising,DecisionTable_search,BestFirst_direction,SimpleCart_heuristic,JRip,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_numFolds,PART_useMDLcorrection,J48_minNumObj,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_numFolds,SimpleCart_usePrune,JRip_checkErrorRate,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_useOneSE,PART_confidenceFactorValue,JRip_minNo,BestFirst_searchTermination,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,JRip_folds"
3,49,0.00000000,0.00000000,0.00000000,0.93959452,0006,0100,0035,0.00000000,"SimpleCart,DecisionTable,SimpleCart_heuristic,Aggregator,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_binarySplits,DecisionTable_search,JRip,PART_numFolds,J48,PART_minNumObj,SimpleCart_usePrune,JRip_checkErrorRate,SimpleCart_minNumObj,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_minNumObj,JRip_usePruning,JRip_folds,J48_pruning,PART_confidenceFactorValue,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,J48_numFolds,J48_collapseTree,BestFirst_searchTermination,JRip_minNo,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_direction,J48_binarySplits,SimpleCart_numFoldsPruning,J48_useLaplace,J48_subtreeRaising,J48_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.93959452,0006,0100,0035,0.00000000,"JRip,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,JRip_checkErrorRate,J48,JRip_usePruning,J48_useMDLcorrection,JRip_folds,J48_collapseTree,PART_pruning,J48_useLaplace,SimpleCart,J48_minNumObj,JRip_minNo,DecisionTable,J48_pruning,Aggregator,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48_confidenceFactorValue,SimpleCart_usePrune,DecisionTable_search,J48_binarySplits,SimpleCart_heuristic,JRip_optimizations,SimpleCart_minNumObj,DecisionTable_useIBk,GreedyStepwise_searchBackwards,BestFirst_direction,J48_numFolds,PART_numFolds,SimpleCart_useOneSE,DecisionTable_crossVal,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,BestFirst_searchTermination"
5,49,0.00000000,0.00000000,0.00000000,0.93959452,0007,0100,0035,0.00000000,"SimpleCart,J48,JRip,Aggregator,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,DecisionTable,J48_collapseTree,J48_minNumObj,SimpleCart_usePrune,J48_binarySplits,SimpleCart_minNumObj,J48_useLaplace,JRip_minNo,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_checkErrorRate,J48_pruning,J48_confidenceFactorValue,PART,DecisionTable_useIBk,J48_useMDLcorrection,J48_numFolds,SimpleCart_useOneSE,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART_pruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip_folds,GreedyStepwise_searchBackwards,PART_binarySplits,PART_useMDLcorrection,PART_confidenceFactorValue,JRip_optimizations,PART_minNumObj,J48_subtreeRaising,PART_numFolds,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,BestFirst_direction"
6,49,0.00000000,0.00000000,0.00000000,0.93959452,0007,0100,0035,0.00000000,"J48,Aggregator,J48_useLaplace,PART,PART_binarySplits,DecisionTable,PART_pruning,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useMDLcorrection,PART_confidenceFactorValue,J48_collapseTree,SimpleCart,J48_binarySplits,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,J48_pruning,PART_numFolds,JRip,DecisionTable_search,SimpleCart_minNumObj,J48_numFolds,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,JRip_minNo,JRip_checkErrorRate,PART_useMDLcorrection,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,DecisionTable_useIBk,SimpleCart_usePrune,PART_minNumObj,JRip_folds,BestFirst_direction,SimpleCart_useOneSE,SimpleCart_heuristic,JRip_optimizations,J48_subtreeRaising,BestFirst_searchTermination,SimpleCart_numFoldsPruning"
7,49,0.00000000,0.00000000,0.00000000,0.93959452,0007,0100,0035,0.00000000,"Aggregator,PART,J48,J48_pruning,PART_pruning,DecisionTable,DecisionTable_evaluationMeasure,PART_numFolds,PART_useMDLcorrection,SimpleCart,PART_confidenceFactorValue,JRip,DecisionTable_search,J48_numFolds,J48_confidenceFactorValue,PART_binarySplits,J48_subtreeRaising,JRip_usePruning,DecisionTable_useIBk,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_binarySplits,J48_collapseTree,BestFirst_direction,PART_minNumObj,JRip_folds,J48_minNumObj,JRip_checkErrorRate,JRip_optimizations,SimpleCart_heuristic,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_minNumObj,JRip_minNo,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
8,49,0.00000000,0.00000000,0.00000000,0.93959452,0006,0100,0035,0.00000000,"SimpleCart,DecisionTable,J48,SimpleCart_usePrune,PART,J48_pruning,DecisionTable_evaluationMeasure,Aggregator,PART_pruning,J48_subtreeRaising,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_heuristic,J48_numFolds,DecisionTable_search,J48_doNotMakeSplitPointActualValue,JRip,JRip_minNo,PART_numFolds,SimpleCart_minNumObj,DecisionTable_useIBk,J48_minNumObj,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_useLaplace,SimpleCart_numFoldsPruning,J48_collapseTree,J48_useMDLcorrection,J48_binarySplits,DecisionTable_crossVal,J48_confidenceFactorValue,PART_minNumObj,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,JRip_usePruning,JRip_folds,JRip_optimizations"
9,49,0.00000000,0.00000000,0.00000000,0.93959452,0006,0100,0035,0.00000000,"DecisionTable,J48,DecisionTable_evaluationMeasure,J48_collapseTree,JRip,J48_useMDLcorrection,J48_pruning,JRip_usePruning,JRip_minNo,Aggregator,SimpleCart,J48_numFolds,J48_subtreeRaising,J48_useLaplace,DecisionTable_useIBk,PART,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_search,BestFirst_direction,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_checkErrorRate,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_minNumObj,PART_pruning,JRip_optimizations,GreedyStepwise_searchBackwards,SimpleCart_heuristic,JRip_folds,BestFirst_searchTermination,PART_binarySplits,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,PART_useMDLcorrection,PART_confidenceFactorValue,SimpleCart_useOneSE,PART_numFolds"
10,49,0.00000000,0.00000000,0.00000000,0.93959452,0007,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,DecisionTable,PART_binarySplits,PART_pruning,DecisionTable_crossVal,PART_numFolds,DecisionTable_useIBk,Aggregator,DecisionTable_search,BestFirst_direction,PART_useMDLcorrection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip,J48,JRip_checkErrorRate,J48_pruning,SimpleCart,PART_minNumObj,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_minNo,J48_confidenceFactorValue,J48_minNumObj,J48_useMDLcorrection,J48_binarySplits,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,J48_numFolds,JRip_usePruning,SimpleCart_usePrune,J48_useLaplace,SimpleCart_minNumObj,J48_collapseTree,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
