gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99995134,0076,0100,0035,0.00000000,"J48,DecisionTable,J48_doNotMakeSplitPointActualValue,DecisionTable_search,J48_useMDLcorrection,J48_binarySplits,J48_collapseTree,DecisionTable_useIBk,SimpleCart,DecisionTable_crossVal,J48_useLaplace,BestFirst_direction,PART,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_minNumObj,Aggregator,PART_useMDLcorrection,DecisionTable_evaluationMeasure,PART_minNumObj,SimpleCart_heuristic,PART_binarySplits,JRip,SimpleCart_minNumObj,J48_pruning,JRip_minNo,J48_numFolds,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART_pruning,JRip_checkErrorRate,JRip_usePruning,PART_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
1,49,0.00000000,0.00000000,0.00000000,0.99995134,0062,0100,0035,0.00000000,"J48,J48_useLaplace,SimpleCart,Aggregator,DecisionTable,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_minNumObj,DecisionTable_search,J48_useMDLcorrection,JRip,DecisionTable_evaluationMeasure,J48_pruning,J48_confidenceFactorValue,BestFirst_direction,SimpleCart_usePrune,PART,PART_binarySplits,DecisionTable_useIBk,J48_minNumObj,J48_subtreeRaising,PART_pruning,PART_useMDLcorrection,PART_numFolds,SimpleCart_heuristic,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_minNo,DecisionTable_crossVal,J48_numFolds,JRip_checkErrorRate,SimpleCart_useOneSE,JRip_usePruning,PART_minNumObj,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,JRip_folds,JRip_optimizations"
2,49,0.00000000,0.00000000,0.00000000,0.99995134,0067,0100,0035,0.00000000,"Aggregator,PART,JRip,DecisionTable,DecisionTable_useIBk,PART_binarySplits,SimpleCart,J48,JRip_minNo,JRip_checkErrorRate,DecisionTable_crossVal,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_usePruning,PART_pruning,J48_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_search,SimpleCart_heuristic,J48_useMDLcorrection,J48_useLaplace,BestFirst_direction,J48_pruning,BestFirst_searchTermination,PART_confidenceFactorValue,J48_minNumObj,J48_collapseTree,PART_numFolds,JRip_optimizations,JRip_folds,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_numFolds"
3,49,0.00000000,0.00000000,0.00000000,0.99995134,0067,0100,0035,0.00000000,"DecisionTable,Aggregator,SimpleCart,PART,PART_minNumObj,DecisionTable_useIBk,SimpleCart_minNumObj,J48,JRip,J48_binarySplits,DecisionTable_crossVal,DecisionTable_search,DecisionTable_evaluationMeasure,JRip_usePruning,J48_minNumObj,JRip_minNo,J48_collapseTree,JRip_optimizations,BestFirst_direction,J48_pruning,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_useMDLcorrection,PART_pruning,PART_binarySplits,JRip_checkErrorRate,PART_numFolds,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_numFolds,JRip_folds,J48_confidenceFactorValue,SimpleCart_useOneSE,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.99995134,0069,0100,0035,0.00000000,"Aggregator,DecisionTable,JRip,DecisionTable_search,PART,PART_useMDLcorrection,JRip_checkErrorRate,J48,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart,J48_useMDLcorrection,J48_useLaplace,JRip_minNo,J48_minNumObj,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,DecisionTable_useIBk,PART_binarySplits,J48_pruning,PART_pruning,BestFirst_direction,J48_confidenceFactorValue,JRip_usePruning,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_numFolds,PART_numFolds,PART_minNumObj,J48_collapseTree,J48_subtreeRaising,SimpleCart_usePrune,SimpleCart_heuristic,PART_confidenceFactorValue,JRip_optimizations,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,0.99995134,0056,0100,0035,0.00000000,"Aggregator,J48,PART,PART_binarySplits,J48_collapseTree,SimpleCart,JRip,SimpleCart_heuristic,PART_pruning,DecisionTable,J48_useLaplace,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_pruning,DecisionTable_useIBk,JRip_minNo,J48_subtreeRaising,PART_minNumObj,J48_useMDLcorrection,JRip_checkErrorRate,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_binarySplits,SimpleCart_numFoldsPruning,J48_minNumObj,DecisionTable_evaluationMeasure,J48_numFolds,DecisionTable_crossVal,JRip_optimizations,DecisionTable_search,BestFirst_searchTermination,PART_confidenceFactorValue,PART_numFolds,J48_confidenceFactorValue,JRip_folds,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
6,49,0.00000000,0.00000000,0.00000000,0.99995134,0069,0100,0035,0.00000000,"Aggregator,J48,J48_pruning,J48_subtreeRaising,J48_minNumObj,SimpleCart,JRip,J48_doNotMakeSplitPointActualValue,PART,J48_useMDLcorrection,DecisionTable,JRip_checkErrorRate,DecisionTable_search,SimpleCart_minNumObj,JRip_minNo,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,BestFirst_searchTermination,PART_pruning,SimpleCart_heuristic,J48_binarySplits,DecisionTable_crossVal,J48_useLaplace,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,DecisionTable_useIBk,JRip_usePruning,PART_minNumObj,SimpleCart_usePrune,J48_numFolds,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_binarySplits,JRip_folds,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,JRip_optimizations,PART_numFolds"
7,49,0.00000000,0.00000000,0.00000000,0.99995134,0069,0100,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,SimpleCart,JRip,Aggregator,DecisionTable_crossVal,SimpleCart_heuristic,DecisionTable_useIBk,JRip_minNo,PART,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,J48,SimpleCart_usePrune,JRip_usePruning,SimpleCart_minNumObj,DecisionTable_search,J48_useLaplace,PART_minNumObj,J48_binarySplits,PART_useMDLcorrection,J48_collapseTree,J48_pruning,J48_subtreeRaising,PART_pruning,J48_minNumObj,BestFirst_direction,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,SimpleCart_numFoldsPruning,JRip_optimizations,JRip_folds,J48_numFolds,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,PART_confidenceFactorValue,BestFirst_searchTermination,PART_numFolds"
8,49,0.00000000,0.00000000,0.00000000,0.99995134,0066,0100,0035,0.00000000,"JRip,JRip_minNo,DecisionTable,DecisionTable_useIBk,DecisionTable_search,Aggregator,DecisionTable_crossVal,GreedyStepwise_searchBackwards,J48,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,BestFirst_direction,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_binarySplits,J48_useLaplace,PART,DecisionTable_evaluationMeasure,PART_binarySplits,JRip_usePruning,SimpleCart,J48_useMDLcorrection,BestFirst_searchTermination,PART_useMDLcorrection,PART_minNumObj,J48_minNumObj,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,J48_pruning,PART_pruning,J48_subtreeRaising,SimpleCart_usePrune,JRip_folds,JRip_optimizations,SimpleCart_minNumObj,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue,J48_numFolds"
9,49,0.00000000,0.00000000,0.00000000,0.99995134,0066,0100,0035,0.00000000,"Aggregator,DecisionTable,PART,DecisionTable_useIBk,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_heuristic,J48,BestFirst_direction,JRip,J48_pruning,PART_binarySplits,J48_useMDLcorrection,SimpleCart_usePrune,JRip_minNo,PART_minNumObj,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_crossVal,J48_binarySplits,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,PART_pruning,J48_collapseTree,J48_useLaplace,J48_numFolds,JRip_checkErrorRate,J48_minNumObj,SimpleCart_numFoldsPruning,JRip_usePruning,SimpleCart_minNumObj,PART_numFolds,J48_confidenceFactorValue,SimpleCart_useOneSE,PART_confidenceFactorValue,JRip_optimizations,JRip_folds"
