gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.96761541,0044,0100,0035,0.00000000,"JRip,PART,PART_useMDLcorrection,JRip_usePruning,PART_doNotMakeSplitPointActualValue,Aggregator,DecisionTable,PART_pruning,PART_minNumObj,PART_binarySplits,JRip_minNo,SimpleCart,JRip_checkErrorRate,SimpleCart_usePrune,DecisionTable_search,BestFirst_direction,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,JRip_optimizations,SimpleCart_heuristic,BestFirst_searchTermination,PART_numFolds,J48,GreedyStepwise_conservativeForwardSelection,JRip_folds,J48_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_pruning,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,J48_subtreeRaising,SimpleCart_useOneSE,J48_collapseTree,J48_numFolds,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue"
1,49,0.00000000,0.00000000,0.00000000,0.96761541,0041,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,DecisionTable,SimpleCart_usePrune,PART,PART_minNumObj,PART_pruning,Aggregator,DecisionTable_crossVal,SimpleCart_numFoldsPruning,J48,PART_confidenceFactorValue,SimpleCart_useOneSE,PART_numFolds,DecisionTable_search,SimpleCart_minNumObj,JRip,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_collapseTree,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_useLaplace,J48_pruning,PART_binarySplits,JRip_minNo,J48_confidenceFactorValue,BestFirst_direction,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_minNumObj,BestFirst_searchTermination,J48_useMDLcorrection,JRip_usePruning,J48_binarySplits,J48_subtreeRaising,J48_numFolds,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_folds,JRip_optimizations"
2,49,0.00000000,0.00000000,0.00000000,0.96761541,0039,0100,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,PART,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,J48,Aggregator,JRip,PART_binarySplits,PART_minNumObj,DecisionTable_search,J48_useMDLcorrection,SimpleCart,BestFirst_direction,J48_minNumObj,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,DecisionTable_crossVal,PART_numFolds,J48_pruning,PART_useMDLcorrection,J48_subtreeRaising,JRip_checkErrorRate,J48_numFolds,J48_useLaplace,SimpleCart_minNumObj,JRip_minNo,J48_doNotMakeSplitPointActualValue,J48_collapseTree,JRip_usePruning,BestFirst_searchTermination,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_usePrune,JRip_folds,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_useOneSE"
3,49,0.00000000,0.00000000,0.00000000,0.96761541,0037,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,JRip,J48,SimpleCart_minNumObj,JRip_usePruning,J48_useLaplace,DecisionTable,PART,J48_useMDLcorrection,JRip_minNo,SimpleCart_usePrune,JRip_optimizations,J48_collapseTree,Aggregator,PART_minNumObj,J48_minNumObj,PART_pruning,J48_pruning,SimpleCart_useOneSE,DecisionTable_search,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_binarySplits,J48_subtreeRaising,PART_useMDLcorrection,PART_binarySplits,J48_confidenceFactorValue,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_folds,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,PART_numFolds,J48_numFolds,BestFirst_searchTermination"
4,49,0.00000000,0.00000000,0.00000000,0.96761541,0037,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,SimpleCart,Aggregator,JRip,JRip_usePruning,J48,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,J48_binarySplits,J48_useMDLcorrection,PART,SimpleCart_minNumObj,PART_useMDLcorrection,JRip_folds,SimpleCart_heuristic,JRip_minNo,SimpleCart_usePrune,PART_binarySplits,BestFirst_direction,J48_minNumObj,JRip_checkErrorRate,PART_minNumObj,JRip_optimizations,J48_collapseTree,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,J48_pruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,J48_numFolds,J48_subtreeRaising"
5,50,0.00000000,0.00000000,0.00000000,0.98435128,0036,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable,PART,PART_binarySplits,PART_minNumObj,DecisionTable_evaluationMeasure,JRip,J48,J48_collapseTree,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_useMDLcorrection,SimpleCart_numFoldsPruning,PART_pruning,J48_minNumObj,DecisionTable_search,DecisionTable_crossVal,BestFirst_searchTermination,DecisionTable_useIBk,SimpleCart_useOneSE,J48_useMDLcorrection,PART_confidenceFactorValue,JRip_usePruning,JRip_optimizations,BestFirst_direction,J48_useLaplace,JRip_minNo,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_binarySplits,GreedyStepwise_searchBackwards,PART_numFolds,J48_numFolds,JRip_folds,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_subtreeRaising"
6,49,0.00000000,0.00000000,0.00000000,0.98435128,0025,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,DecisionTable,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,J48,J48_doNotMakeSplitPointActualValue,Aggregator,SimpleCart_minNumObj,JRip,PART,DecisionTable_useIBk,SimpleCart_numFoldsPruning,J48_useLaplace,J48_pruning,JRip_minNo,PART_useMDLcorrection,SimpleCart_heuristic,J48_confidenceFactorValue,PART_minNumObj,DecisionTable_search,JRip_usePruning,DecisionTable_crossVal,JRip_checkErrorRate,J48_collapseTree,J48_minNumObj,J48_numFolds,JRip_optimizations,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,J48_useMDLcorrection,PART_pruning,JRip_folds,J48_subtreeRaising,PART_binarySplits,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,PART_numFolds,PART_confidenceFactorValue"
7,49,0.00000000,0.00000000,0.00000000,0.96761541,0037,0100,0035,0.00000000,"Aggregator,JRip,J48,JRip_minNo,J48_doNotMakeSplitPointActualValue,DecisionTable,J48_minNumObj,JRip_checkErrorRate,J48_collapseTree,DecisionTable_crossVal,J48_useMDLcorrection,J48_binarySplits,SimpleCart,DecisionTable_search,PART,J48_useLaplace,PART_binarySplits,GreedyStepwise_searchBackwards,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_useMDLcorrection,SimpleCart_usePrune,JRip_usePruning,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,BestFirst_direction,J48_pruning,PART_minNumObj,J48_numFolds,SimpleCart_heuristic,PART_pruning,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,JRip_folds,JRip_optimizations,PART_numFolds,PART_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.98435128,0026,0100,0035,0.00000000,"DecisionTable,JRip,DecisionTable_crossVal,J48,PART,JRip_minNo,PART_pruning,SimpleCart,SimpleCart_usePrune,J48_pruning,J48_collapseTree,DecisionTable_search,J48_binarySplits,Aggregator,BestFirst_direction,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,DecisionTable_useIBk,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_minNumObj,BestFirst_searchTermination,PART_minNumObj,JRip_checkErrorRate,JRip_usePruning,SimpleCart_numFoldsPruning,J48_useMDLcorrection,J48_numFolds,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,PART_binarySplits,SimpleCart_useOneSE,J48_subtreeRaising,PART_confidenceFactorValue,J48_useLaplace,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,PART_numFolds,JRip_folds,JRip_optimizations"
9,49,0.00000000,0.00000000,0.00000000,0.96761541,0041,0100,0072,0.21289175,"PART,J48,JRip,JRip_checkErrorRate,J48_useLaplace,J48_useMDLcorrection,J48_minNumObj,PART_minNumObj,J48_pruning,J48_collapseTree,PART_pruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart,PART_binarySplits,J48_binarySplits,SimpleCart_minNumObj,DecisionTable,JRip_usePruning,J48_doNotMakeSplitPointActualValue,Aggregator,J48_subtreeRaising,PART_useMDLcorrection,DecisionTable_search,SimpleCart_usePrune,JRip_folds,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48_numFolds,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip_minNo,BestFirst_searchTermination,BestFirst_direction,DecisionTable_crossVal,SimpleCart_numFoldsPruning,JRip_optimizations"
