gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99882960,0294,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,Aggregator,J48,J48_minNumObj,SimpleCart,PART,PART_pruning,JRip,PART_useMDLcorrection,DecisionTable_evaluationMeasure,JRip_minNo,DecisionTable_search,DecisionTable_crossVal,JRip_checkErrorRate,J48_pruning,J48_binarySplits,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_minNumObj,J48_useLaplace,GreedyStepwise_searchBackwards,SimpleCart_heuristic,SimpleCart_minNumObj,PART_confidenceFactorValue,PART_numFolds,PART_binarySplits,J48_collapseTree,BestFirst_direction,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,J48_numFolds,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
1,49,0.00000000,0.00000000,0.00000000,0.99882960,0271,0100,0035,0.00000000,"J48,DecisionTable,Aggregator,J48_useMDLcorrection,JRip,J48_binarySplits,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,J48_minNumObj,JRip_minNo,DecisionTable_evaluationMeasure,BestFirst_searchTermination,PART,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,SimpleCart,BestFirst_direction,PART_pruning,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_crossVal,PART_useMDLcorrection,J48_pruning,J48_useLaplace,J48_collapseTree,JRip_optimizations,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart_minNumObj,J48_numFolds,PART_minNumObj,JRip_folds,PART_numFolds,SimpleCart_heuristic,PART_binarySplits,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
2,49,0.00000000,0.00000000,0.00000000,0.99882960,0287,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,JRip,JRip_checkErrorRate,PART,J48,J48_useMDLcorrection,DecisionTable,J48_doNotMakeSplitPointActualValue,DecisionTable_search,J48_collapseTree,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_useLaplace,J48_pruning,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,SimpleCart_usePrune,PART_minNumObj,Aggregator,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48_numFolds,JRip_usePruning,GreedyStepwise_searchBackwards,PART_useMDLcorrection,J48_subtreeRaising,JRip_minNo,JRip_optimizations,PART_pruning,J48_confidenceFactorValue,BestFirst_direction,PART_binarySplits,BestFirst_searchTermination,J48_minNumObj,J48_binarySplits,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_numFolds,JRip_folds"
3,49,0.00000000,0.00000000,0.00000000,0.99882960,0284,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,J48,J48_useMDLcorrection,SimpleCart_minNumObj,Aggregator,JRip,SimpleCart_numFoldsPruning,JRip_checkErrorRate,DecisionTable,DecisionTable_search,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,SimpleCart_heuristic,PART,J48_binarySplits,PART_minNumObj,DecisionTable_crossVal,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_useLaplace,BestFirst_searchTermination,J48_confidenceFactorValue,BestFirst_direction,JRip_optimizations,J48_collapseTree,JRip_folds,JRip_minNo,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_minNumObj,PART_pruning,PART_binarySplits,DecisionTable_evaluationMeasure,J48_numFolds,PART_useMDLcorrection,PART_numFolds,J48_subtreeRaising,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.99882960,0252,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable,DecisionTable_useIBk,JRip,JRip_usePruning,J48,J48_minNumObj,PART,PART_useMDLcorrection,PART_binarySplits,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,DecisionTable_crossVal,J48_binarySplits,JRip_checkErrorRate,JRip_optimizations,J48_pruning,J48_collapseTree,PART_minNumObj,J48_numFolds,J48_confidenceFactorValue,J48_useLaplace,GreedyStepwise_searchBackwards,JRip_minNo,PART_doNotMakeSplitPointActualValue,JRip_folds,BestFirst_direction,J48_useMDLcorrection,SimpleCart_useOneSE,PART_pruning,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_subtreeRaising,PART_numFolds"
5,49,0.00000000,0.00000000,0.00000000,0.99882960,0314,0100,0035,0.00000000,"JRip,Aggregator,JRip_minNo,J48,DecisionTable,J48_pruning,DecisionTable_evaluationMeasure,J48_subtreeRaising,PART,PART_binarySplits,DecisionTable_crossVal,JRip_usePruning,J48_confidenceFactorValue,DecisionTable_search,GreedyStepwise_searchBackwards,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_numFolds,BestFirst_direction,J48_binarySplits,SimpleCart,JRip_checkErrorRate,SimpleCart_heuristic,J48_useLaplace,J48_minNumObj,JRip_optimizations,DecisionTable_useIBk,PART_pruning,PART_doNotMakeSplitPointActualValue,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,BestFirst_searchTermination,PART_useMDLcorrection,SimpleCart_minNumObj,JRip_folds,PART_confidenceFactorValue,PART_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
6,49,0.00000000,0.00000000,0.00000000,0.99882960,0323,0100,0067,0.23565029,"JRip,PART,SimpleCart,DecisionTable,PART_binarySplits,J48,PART_useMDLcorrection,SimpleCart_heuristic,J48_useMDLcorrection,J48_collapseTree,SimpleCart_usePrune,J48_useLaplace,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART_pruning,PART_numFolds,J48_pruning,DecisionTable_search,Aggregator,JRip_usePruning,JRip_optimizations,J48_minNumObj,JRip_minNo,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_numFolds,JRip_folds,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48_binarySplits,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,BestFirst_searchTermination,BestFirst_direction"
7,49,0.00000000,0.00000000,0.00000000,0.99882960,0300,0100,0067,0.23565029,"SimpleCart,PART,JRip,J48,DecisionTable,J48_useMDLcorrection,SimpleCart_heuristic,PART_useMDLcorrection,PART_binarySplits,J48_binarySplits,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_optimizations,JRip_minNo,J48_minNumObj,JRip_folds,PART_pruning,PART_confidenceFactorValue,DecisionTable_crossVal,PART_numFolds,DecisionTable_search,J48_pruning,J48_confidenceFactorValue,BestFirst_searchTermination,PART_minNumObj,GreedyStepwise_searchBackwards,J48_numFolds,SimpleCart_minNumObj,J48_useLaplace,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,Aggregator,SimpleCart_usePrune,SimpleCart_numFoldsPruning,BestFirst_direction,SimpleCart_useOneSE,JRip_checkErrorRate,J48_collapseTree,J48_subtreeRaising"
8,49,0.00000000,0.00000000,0.00000000,0.99882960,0306,0100,0067,0.23565029,"J48,DecisionTable,JRip,SimpleCart,SimpleCart_heuristic,PART,J48_useMDLcorrection,PART_useMDLcorrection,PART_binarySplits,PART_minNumObj,SimpleCart_usePrune,JRip_checkErrorRate,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_minNumObj,J48_numFolds,DecisionTable_crossVal,J48_collapseTree,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,J48_useLaplace,PART_doNotMakeSplitPointActualValue,JRip_optimizations,JRip_minNo,PART_pruning,PART_confidenceFactorValue,PART_numFolds,JRip_usePruning,DecisionTable_search,Aggregator,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_folds,DecisionTable_useIBk,BestFirst_direction,J48_binarySplits"
9,49,0.00000000,0.00000000,0.00000000,0.99882960,0297,0100,0067,0.23565029,"PART,JRip,J48,PART_useMDLcorrection,SimpleCart,DecisionTable,SimpleCart_heuristic,PART_binarySplits,J48_useMDLcorrection,SimpleCart_usePrune,J48_pruning,JRip_usePruning,JRip_checkErrorRate,J48_minNumObj,J48_numFolds,JRip_folds,J48_collapseTree,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_minNumObj,JRip_optimizations,J48_subtreeRaising,SimpleCart_numFoldsPruning,JRip_minNo,J48_confidenceFactorValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable_search,Aggregator,BestFirst_direction,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_useOneSE"
