gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.91118931,0044,0100,0035,0.00000000,"PART,PART_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable,JRip,J48,J48_collapseTree,J48_minNumObj,SimpleCart,PART_minNumObj,JRip_usePruning,PART_pruning,DecisionTable_useIBk,J48_binarySplits,Aggregator,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,JRip_folds,JRip_minNo,PART_numFolds,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_useLaplace,JRip_checkErrorRate,DecisionTable_crossVal,J48_pruning,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,J48_useMDLcorrection,SimpleCart_heuristic,JRip_optimizations,J48_numFolds,GreedyStepwise_searchBackwards,BestFirst_direction,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_subtreeRaising"
1,49,0.00000000,0.00000000,0.00000000,0.91118931,0046,0100,0035,0.00000000,"Aggregator,SimpleCart,J48,DecisionTable,J48_binarySplits,PART,DecisionTable_evaluationMeasure,PART_minNumObj,JRip,DecisionTable_crossVal,J48_pruning,DecisionTable_search,J48_confidenceFactorValue,PART_binarySplits,SimpleCart_usePrune,BestFirst_searchTermination,J48_subtreeRaising,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_minNo,BestFirst_direction,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_usePruning,J48_useMDLcorrection,GreedyStepwise_searchBackwards,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,J48_minNumObj,J48_useLaplace,PART_useMDLcorrection,PART_pruning,SimpleCart_useOneSE,J48_numFolds,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_folds,PART_numFolds"
2,49,0.00000000,0.00000000,0.00000000,0.91118931,0043,0100,0035,0.00000000,"PART,SimpleCart,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_useIBk,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable_search,DecisionTable_evaluationMeasure,PART_minNumObj,PART_binarySplits,JRip,GreedyStepwise_searchBackwards,BestFirst_direction,Aggregator,DecisionTable_crossVal,JRip_usePruning,BestFirst_searchTermination,J48,PART_pruning,J48_useLaplace,SimpleCart_usePrune,SimpleCart_heuristic,JRip_minNo,PART_numFolds,JRip_optimizations,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_useMDLcorrection,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,JRip_checkErrorRate,J48_binarySplits,J48_subtreeRaising,PART_confidenceFactorValue,J48_collapseTree,J48_confidenceFactorValue,J48_minNumObj,SimpleCart_numFoldsPruning"
3,49,0.00000000,0.00000000,0.00000000,0.91118931,0040,0100,0035,0.00000000,"Aggregator,SimpleCart,J48,J48_binarySplits,SimpleCart_heuristic,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_useMDLcorrection,J48_minNumObj,DecisionTable,SimpleCart_minNumObj,J48_useLaplace,J48_doNotMakeSplitPointActualValue,DecisionTable_search,SimpleCart_usePrune,PART,BestFirst_searchTermination,JRip,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_crossVal,BestFirst_direction,JRip_minNo,J48_subtreeRaising,J48_collapseTree,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_pruning,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,PART_confidenceFactorValue,PART_binarySplits,PART_numFolds,JRip_usePruning,DecisionTable_useIBk,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,JRip_folds,PART_minNumObj,JRip_optimizations"
4,49,0.00000000,0.00000000,0.00000000,0.91118931,0047,0100,0035,0.00000000,"DecisionTable,SimpleCart,DecisionTable_search,BestFirst_searchTermination,Aggregator,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_usePrune,PART,J48,JRip,PART_minNumObj,J48_collapseTree,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable_evaluationMeasure,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_usePruning,J48_binarySplits,JRip_folds,J48_useLaplace,PART_useMDLcorrection,SimpleCart_useOneSE,PART_binarySplits,J48_pruning,JRip_optimizations,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_minNumObj,PART_pruning,J48_subtreeRaising,JRip_minNo,JRip_checkErrorRate,PART_numFolds,PART_confidenceFactorValue,J48_numFolds,J48_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,0.91118931,0044,0100,0035,0.00000000,"PART,SimpleCart,Aggregator,SimpleCart_heuristic,PART_binarySplits,SimpleCart_minNumObj,JRip,J48,PART_minNumObj,J48_useMDLcorrection,JRip_usePruning,PART_doNotMakeSplitPointActualValue,DecisionTable,J48_collapseTree,JRip_optimizations,JRip_minNo,DecisionTable_useIBk,PART_pruning,DecisionTable_crossVal,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,PART_numFolds,JRip_checkErrorRate,J48_useLaplace,J48_pruning,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_binarySplits,PART_confidenceFactorValue,JRip_folds,DecisionTable_search,J48_numFolds,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,BestFirst_searchTermination,SimpleCart_numFoldsPruning,BestFirst_direction,GreedyStepwise_searchBackwards"
6,49,0.00000000,0.00000000,0.00000000,0.91118931,0033,0100,0035,0.00000000,"J48,JRip,J48_doNotMakeSplitPointActualValue,SimpleCart,JRip_minNo,Aggregator,SimpleCart_heuristic,PART,J48_minNumObj,J48_binarySplits,SimpleCart_usePrune,J48_pruning,J48_confidenceFactorValue,J48_useMDLcorrection,JRip_checkErrorRate,J48_useLaplace,DecisionTable,PART_useMDLcorrection,DecisionTable_search,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_collapseTree,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,JRip_usePruning,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_folds,J48_subtreeRaising,DecisionTable_crossVal,PART_pruning,SimpleCart_useOneSE,PART_binarySplits,PART_numFolds,J48_numFolds,JRip_optimizations,BestFirst_direction,BestFirst_searchTermination,PART_confidenceFactorValue"
7,49,0.00000000,0.00000000,0.00000000,0.91118931,0037,0100,0035,0.00000000,"J48,J48_useLaplace,J48_useMDLcorrection,DecisionTable,DecisionTable_evaluationMeasure,SimpleCart,J48_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_usePrune,SimpleCart_numFoldsPruning,DecisionTable_crossVal,J48_collapseTree,Aggregator,JRip,DecisionTable_useIBk,PART,SimpleCart_minNumObj,J48_minNumObj,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_pruning,PART_binarySplits,J48_subtreeRaising,PART_pruning,BestFirst_direction,GreedyStepwise_searchBackwards,PART_minNumObj,BestFirst_searchTermination,JRip_checkErrorRate,SimpleCart_useOneSE,PART_useMDLcorrection,PART_confidenceFactorValue,JRip_minNo,PART_numFolds,J48_numFolds,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,J48_confidenceFactorValue,JRip_folds,JRip_optimizations"
8,49,0.00000000,0.00000000,0.00000000,0.91118931,0043,0100,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_evaluationMeasure,JRip,DecisionTable_useIBk,SimpleCart,DecisionTable_search,J48,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useMDLcorrection,PART,JRip_minNo,PART_binarySplits,JRip_checkErrorRate,JRip_usePruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_minNumObj,PART_useMDLcorrection,J48_useLaplace,DecisionTable_crossVal,SimpleCart_usePrune,SimpleCart_heuristic,JRip_folds,J48_pruning,SimpleCart_minNumObj,PART_pruning,J48_binarySplits,PART_numFolds,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,BestFirst_direction,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.91118931,0047,0100,0035,0.00000000,"SimpleCart,Aggregator,J48,SimpleCart_usePrune,DecisionTable,J48_collapseTree,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_minNumObj,PART,JRip,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,DecisionTable_useIBk,PART_minNumObj,SimpleCart_useOneSE,PART_useMDLcorrection,J48_binarySplits,PART_binarySplits,J48_useMDLcorrection,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,PART_pruning,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_useLaplace,JRip_minNo,SimpleCart_numFoldsPruning,DecisionTable_crossVal,GreedyStepwise_searchBackwards,JRip_checkErrorRate,J48_subtreeRaising,JRip_usePruning,PART_confidenceFactorValue,JRip_folds,PART_numFolds,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_confidenceFactorValue,JRip_optimizations"
10,49,0.00000000,0.00000000,0.00000000,0.91118931,0034,0100,0035,0.00000000,"PART,PART_minNumObj,DecisionTable,J48,J48_minNumObj,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_binarySplits,J48_doNotMakeSplitPointActualValue,Aggregator,DecisionTable_crossVal,DecisionTable_search,J48_useLaplace,JRip,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,SimpleCart,PART_pruning,PART_numFolds,PART_binarySplits,BestFirst_direction,DecisionTable_useIBk,J48_collapseTree,BestFirst_searchTermination,SimpleCart_heuristic,J48_pruning,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,SimpleCart_minNumObj,JRip_minNo,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_folds,JRip_checkErrorRate,J48_numFolds,J48_confidenceFactorValue,SimpleCart_useOneSE,JRip_optimizations,J48_subtreeRaising"
11,49,0.00000000,0.00000000,0.00000000,0.91118931,0039,0100,0035,0.00000000,"JRip,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,PART,JRip_minNo,DecisionTable,PART_useMDLcorrection,SimpleCart_usePrune,PART_pruning,JRip_checkErrorRate,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,Aggregator,SimpleCart_numFoldsPruning,J48,J48_collapseTree,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_minNumObj,JRip_optimizations,DecisionTable_search,PART_binarySplits,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip_folds,PART_minNumObj,BestFirst_searchTermination,J48_useLaplace,DecisionTable_useIBk,J48_pruning,GreedyStepwise_searchBackwards,PART_numFolds,BestFirst_direction,J48_binarySplits,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue"
12,49,0.00000000,0.00000000,0.00000000,0.91118931,0038,0100,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_search,PART,JRip,SimpleCart_minNumObj,PART_pruning,SimpleCart_usePrune,DecisionTable_evaluationMeasure,JRip_minNo,Aggregator,SimpleCart_useOneSE,J48,DecisionTable_crossVal,J48_binarySplits,SimpleCart_heuristic,J48_minNumObj,JRip_checkErrorRate,J48_collapseTree,JRip_usePruning,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_useIBk,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_useLaplace,PART_useMDLcorrection,J48_numFolds,SimpleCart_numFoldsPruning,PART_binarySplits,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_confidenceFactorValue,PART_confidenceFactorValue,PART_numFolds,JRip_folds,J48_useMDLcorrection,JRip_optimizations"
13,49,0.00000000,0.00000000,0.00000000,0.91118931,0037,0100,0035,0.00000000,"DecisionTable,PART,PART_doNotMakeSplitPointActualValue,JRip,PART_pruning,PART_useMDLcorrection,PART_binarySplits,SimpleCart,SimpleCart_heuristic,DecisionTable_useIBk,JRip_minNo,JRip_usePruning,DecisionTable_evaluationMeasure,J48,DecisionTable_crossVal,PART_minNumObj,Aggregator,J48_binarySplits,DecisionTable_search,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_collapseTree,J48_pruning,PART_numFolds,JRip_optimizations,J48_numFolds,J48_minNumObj,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,SimpleCart_usePrune,JRip_folds,SimpleCart_minNumObj,BestFirst_direction,J48_useMDLcorrection,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
14,49,0.00000000,0.00000000,0.00000000,0.91118931,0045,0100,0035,0.00000000,"PART,PART_minNumObj,SimpleCart,JRip,JRip_usePruning,JRip_folds,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_minNo,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_checkErrorRate,DecisionTable,Aggregator,DecisionTable_crossVal,J48,J48_collapseTree,PART_pruning,J48_useLaplace,DecisionTable_evaluationMeasure,JRip_optimizations,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_pruning,DecisionTable_search,PART_numFolds,J48_binarySplits,J48_useMDLcorrection,SimpleCart_numFoldsPruning,DecisionTable_useIBk,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_subtreeRaising,J48_minNumObj,BestFirst_direction,PART_confidenceFactorValue,J48_numFolds,BestFirst_searchTermination"
15,49,0.00000000,0.00000000,0.00000000,0.91118931,0035,0100,0035,0.00000000,"PART,Aggregator,PART_useMDLcorrection,J48,SimpleCart,JRip,PART_minNumObj,J48_minNumObj,SimpleCart_usePrune,DecisionTable,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,J48_collapseTree,DecisionTable_search,GreedyStepwise_searchBackwards,PART_binarySplits,JRip_usePruning,JRip_minNo,PART_pruning,JRip_optimizations,J48_binarySplits,DecisionTable_useIBk,DecisionTable_crossVal,PART_numFolds,J48_useMDLcorrection,J48_pruning,JRip_folds,JRip_checkErrorRate,BestFirst_direction,J48_numFolds,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_subtreeRaising"
16,49,0.00000000,0.00000000,0.00000000,0.91118931,0045,0100,0035,0.00000000,"J48,SimpleCart,PART,Aggregator,PART_useMDLcorrection,J48_binarySplits,J48_pruning,PART_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_usePrune,JRip,J48_minNumObj,DecisionTable,PART_pruning,J48_useLaplace,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_binarySplits,J48_useMDLcorrection,JRip_usePruning,PART_confidenceFactorValue,JRip_folds,SimpleCart_heuristic,DecisionTable_evaluationMeasure,JRip_minNo,J48_numFolds,SimpleCart_numFoldsPruning,JRip_optimizations,DecisionTable_search,JRip_checkErrorRate,DecisionTable_useIBk,SimpleCart_useOneSE,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination"
17,49,0.00000000,0.00000000,0.00000000,0.91118931,0039,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_heuristic,SimpleCart_usePrune,PART,SimpleCart_useOneSE,DecisionTable,J48,SimpleCart_minNumObj,J48_useLaplace,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_search,DecisionTable_evaluationMeasure,J48_minNumObj,PART_binarySplits,JRip,JRip_minNo,J48_binarySplits,PART_useMDLcorrection,BestFirst_searchTermination,BestFirst_direction,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_pruning,PART_pruning,GreedyStepwise_searchBackwards,PART_minNumObj,JRip_usePruning,SimpleCart_numFoldsPruning,J48_numFolds,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,PART_confidenceFactorValue,J48_subtreeRaising,PART_numFolds,JRip_optimizations,J48_confidenceFactorValue,JRip_folds"
