individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,true,null,null,5,true,true,null,null,true,true,null,true,8,8,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,acc,CompetenceBasedAggregator,false,true,6,2,4,10,false,null,false,false,10,false,null,0.9879064365078786,-DecisionTable -I -S weka.attributeSelection.GreedyStepwise -X 5 -E acc -PART -M 8 -R -Q 1 -N 10 -SimpleCart -M 6 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 2 -O 8 -F 4 -J48 -U -M 10 -B -J 
gen_000_ind_000,true,unpruned,true,null,null,5,true,true,null,null,true,true,null,true,8,8,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,acc,CompetenceBasedAggregator,false,true,6,2,4,10,false,null,false,false,10,false,null,null,-DecisionTable -I -S weka.attributeSelection.GreedyStepwise -X 5 -E acc -PART -M 8 -R -Q 1 -N 10 -SimpleCart -M 6 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 2 -O 8 -F 4 -J48 -U -M 10 -B -J 
gen_000_ind_001,true,confidenceFactor,true,true,null,5,false,true,0,1,true,true,0.45,true,null,2,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,5,false,true,mae,MajorityVotingAggregator,false,false,10,7,null,3,true,null,null,false,8,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -E mae -PART -M 2 -B -doNotMakeSplitPointActualValue -R -Q 1 -N 3 -SimpleCart -M 10 -C 1.0 -S 1 -H -N 5 -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 1 -JRip -P -N 7 -J48 -C 0.45 -M 8 -O 
gen_000_ind_002,true,unpruned,true,null,0.35,4,false,true,null,null,true,true,null,true,3,2,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,3,true,true,rmse,CompetenceBasedAggregator,true,true,2,9,8,null,true,null,false,true,10,false,null,null,-DecisionTable -I -S weka.attributeSelection.GreedyStepwise -X 4 -E rmse -PART -M 2 -B -J -doNotMakeSplitPointActualValue -C 0.35 -SimpleCart -M 2 -C 1.0 -S 1 -N 3 -Aggregator CompetenceBasedAggregator -JRip -N 9 -O 3 -F 8 -J48 -U -doNotMakeSplitPointActualValue -A -M 10 
gen_000_ind_003,true,confidenceFactor,false,true,null,5,true,true,1,5,true,true,0.05,true,10,8,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,CompetenceBasedAggregator,false,true,8,6,3,null,false,null,null,false,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -E auc -PART -M 8 -B -doNotMakeSplitPointActualValue -U -SimpleCart -M 8 -U -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 5 -JRip -N 6 -O 10 -F 3 -J48 -C 0.05 -M 9 -B -J 
gen_000_ind_004,true,confidenceFactor,false,true,null,5,true,true,1,9,true,true,0.05,true,3,2,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,MajorityVotingAggregator,false,false,7,7,7,null,false,null,null,false,6,null,null,null,-DecisionTable -I -S weka.attributeSelection.BestFirst -X 5 -E rmse -PART -M 2 -B -U -SimpleCart -M 7 -U -H -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 9 -JRip -N 7 -O 3 -F 7 -J48 -C 0.05 -M 6 -B -J -O 
gen_000_ind_005,true,confidenceFactor,true,true,null,3,true,true,null,null,true,true,0.05,true,null,9,true,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,3,false,false,acc,MajorityVotingAggregator,false,false,9,4,null,null,true,null,false,true,10,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 3 -E acc -PART -M 9 -J -doNotMakeSplitPointActualValue -U -SimpleCart -M 9 -C 1.0 -S 1 -H -A -N 3 -Aggregator MajorityVotingAggregator -JRip -P -N 4 -J48 -C 0.05 -doNotMakeSplitPointActualValue -M 10 -B -O 
gen_000_ind_006,true,unpruned,null,null,null,7,true,true,2,5,true,true,null,true,2,3,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,true,rmse,CompetenceBasedAggregator,true,false,null,7,7,null,false,null,null,false,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 7 -E rmse -PART -M 3 -B -doNotMakeSplitPointActualValue -U -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 5 -JRip -N 7 -O 2 -F 7 -J48 -U -A -M 5 -B -J -O 
gen_000_ind_007,true,confidenceFactor,null,false,0.35,3,false,true,2,5,true,true,0.45,true,9,2,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,true,true,null,3,3,null,false,null,null,false,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 3 -E auc -PART -M 2 -C 0.35 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 5 -JRip -N 3 -O 9 -F 3 -J48 -C 0.45 -A -M 5 -J -S 
gen_000_ind_008,false,reducedErrorPruning,false,true,null,1,false,true,1,7,true,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,false,null,auc,MajorityVotingAggregator,true,true,7,10,null,null,true,2,null,true,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -E auc -SimpleCart -M 7 -U -H -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 7 -JRip -E -P -N 10 -J48 -R -Q 1 -doNotMakeSplitPointActualValue -A -M 2 -N 2 
