gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.73014593,0023,0100,0035,0.00000000,"J48,PART,SimpleCart,PART_binarySplits,Aggregator,PART_pruning,PART_numFolds,SimpleCart_usePrune,J48_minNumObj,J48_binarySplits,J48_collapseTree,DecisionTable,DecisionTable_evaluationMeasure,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_search,SimpleCart_useOneSE,SimpleCart_heuristic,SimpleCart_minNumObj,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_minNumObj,J48_pruning,JRip,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_useMDLcorrection,J48_subtreeRaising,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,SimpleCart_numFoldsPruning,DecisionTable_crossVal,PART_confidenceFactorValue,JRip_minNo,JRip_checkErrorRate,JRip_usePruning,J48_confidenceFactorValue,JRip_folds,JRip_optimizations"
1,49,0.00000000,0.00000000,0.00000000,0.73014593,0020,0100,0035,0.00000000,"DecisionTable,PART,DecisionTable_crossVal,DecisionTable_useIBk,J48,DecisionTable_evaluationMeasure,PART_minNumObj,Aggregator,JRip,SimpleCart,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_search,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_minNumObj,JRip_usePruning,PART_binarySplits,SimpleCart_minNumObj,BestFirst_direction,BestFirst_searchTermination,J48_pruning,GreedyStepwise_searchBackwards,SimpleCart_usePrune,JRip_checkErrorRate,J48_collapseTree,J48_numFolds,JRip_folds,J48_useMDLcorrection,PART_pruning,SimpleCart_heuristic,J48_useLaplace,JRip_optimizations,JRip_minNo,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,SimpleCart_useOneSE,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds"
2,49,0.00000000,0.00000000,0.00000000,0.73014593,0020,0100,0035,0.00000000,"J48,DecisionTable,PART,Aggregator,SimpleCart,SimpleCart_usePrune,J48_collapseTree,J48_useLaplace,PART_binarySplits,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_useMDLcorrection,DecisionTable_search,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,PART_minNumObj,JRip,J48_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_heuristic,DecisionTable_useIBk,PART_pruning,J48_pruning,J48_minNumObj,J48_confidenceFactorValue,DecisionTable_crossVal,BestFirst_searchTermination,JRip_checkErrorRate,PART_useMDLcorrection,PART_numFolds,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,DecisionTable_evaluationMeasure,JRip_minNo,PART_confidenceFactorValue,J48_numFolds,JRip_usePruning,J48_subtreeRaising,JRip_optimizations,JRip_folds"
3,49,0.00000000,0.00000000,0.00000000,0.73014593,0019,0100,0035,0.00000000,"J48,PART,J48_minNumObj,J48_useMDLcorrection,PART_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart,J48_collapseTree,PART_pruning,J48_useLaplace,PART_useMDLcorrection,JRip,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_binarySplits,JRip_usePruning,JRip_checkErrorRate,PART_minNumObj,JRip_folds,SimpleCart_usePrune,SimpleCart_heuristic,Aggregator,PART_numFolds,DecisionTable,PART_confidenceFactorValue,SimpleCart_minNumObj,JRip_minNo,J48_numFolds,J48_subtreeRaising,JRip_optimizations,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,DecisionTable_search,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,DecisionTable_crossVal,BestFirst_searchTermination,DecisionTable_useIBk,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
4,49,0.00000000,0.00000000,0.00000000,0.73014593,0020,0100,0035,0.00000000,"Aggregator,J48,SimpleCart,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip,JRip_usePruning,J48_pruning,J48_subtreeRaising,J48_collapseTree,JRip_folds,JRip_optimizations,PART,DecisionTable,J48_binarySplits,DecisionTable_useIBk,PART_pruning,J48_useLaplace,JRip_minNo,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_confidenceFactorValue,SimpleCart_minNumObj,DecisionTable_search,PART_confidenceFactorValue,BestFirst_direction,J48_numFolds,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART_binarySplits,SimpleCart_usePrune,JRip_checkErrorRate,PART_numFolds,SimpleCart_heuristic,DecisionTable_crossVal,PART_minNumObj,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_useOneSE"
5,49,0.00000000,0.00000000,0.00000000,0.73014593,0019,0100,0035,0.00000000,"PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48,SimpleCart,J48_binarySplits,JRip,PART_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable,Aggregator,PART_minNumObj,J48_collapseTree,J48_useLaplace,J48_useMDLcorrection,PART_pruning,DecisionTable_crossVal,JRip_minNo,DecisionTable_useIBk,J48_pruning,PART_numFolds,DecisionTable_search,J48_minNumObj,SimpleCart_heuristic,JRip_usePruning,SimpleCart_usePrune,BestFirst_direction,JRip_checkErrorRate,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_numFolds,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,JRip_folds,J48_subtreeRaising,SimpleCart_numFoldsPruning"
6,49,0.00000000,0.00000000,0.00000000,0.73014593,0025,0109,0066,0.24973359,"SimpleCart,PART,DecisionTable,DecisionTable_search,JRip,JRip_usePruning,SimpleCart_usePrune,JRip_checkErrorRate,PART_pruning,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,BestFirst_direction,PART_binarySplits,PART_numFolds,JRip_minNo,PART_minNumObj,Aggregator,JRip_folds,J48_numFolds,GreedyStepwise_searchBackwards,PART_useMDLcorrection,J48_binarySplits,J48_minNumObj,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,BestFirst_searchTermination,SimpleCart_minNumObj,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48,J48_useLaplace,J48_collapseTree,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue"
7,49,0.00000000,0.00000000,0.00000000,0.73014593,0022,0100,0066,0.24973359,"PART,DecisionTable,SimpleCart,DecisionTable_search,JRip,JRip_usePruning,SimpleCart_usePrune,JRip_checkErrorRate,BestFirst_searchTermination,PART_pruning,SimpleCart_minNumObj,JRip_optimizations,BestFirst_direction,PART_useMDLcorrection,DecisionTable_evaluationMeasure,JRip_minNo,JRip_folds,SimpleCart_numFoldsPruning,DecisionTable_crossVal,PART_confidenceFactorValue,J48,J48_useLaplace,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,J48_pruning,J48_collapseTree,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_searchBackwards,DecisionTable_useIBk,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_binarySplits,J48_subtreeRaising,J48_minNumObj,PART_numFolds,J48_binarySplits,Aggregator,PART_minNumObj"
8,49,0.00000000,0.00000000,0.00000000,0.73014593,0020,0121,0066,0.24973359,"SimpleCart,PART,JRip,JRip_checkErrorRate,SimpleCart_usePrune,DecisionTable,JRip_usePruning,DecisionTable_search,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable_crossVal,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,J48,J48_collapseTree,J48_useLaplace,J48_doNotMakeSplitPointActualValue,BestFirst_direction,JRip_minNo,JRip_folds,DecisionTable_evaluationMeasure,J48_pruning,J48_numFolds,PART_binarySplits,GreedyStepwise_searchBackwards,PART_useMDLcorrection,DecisionTable_useIBk,J48_useMDLcorrection,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,BestFirst_searchTermination,PART_pruning,PART_minNumObj,J48_binarySplits,PART_numFolds,J48_minNumObj,J48_subtreeRaising,Aggregator"
9,49,0.00000000,0.00000000,0.00000000,0.73014593,0021,0100,0066,0.24973359,"DecisionTable,JRip,SimpleCart,PART,DecisionTable_search,SimpleCart_usePrune,JRip_usePruning,JRip_checkErrorRate,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,DecisionTable_crossVal,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,BestFirst_searchTermination,PART_pruning,PART_confidenceFactorValue,JRip_optimizations,J48,BestFirst_direction,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_collapseTree,J48_useMDLcorrection,DecisionTable_evaluationMeasure,J48_pruning,J48_confidenceFactorValue,SimpleCart_useOneSE,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_useMDLcorrection,JRip_minNo,J48_numFolds,JRip_folds,GreedyStepwise_searchBackwards,J48_minNumObj,PART_numFolds,J48_subtreeRaising,J48_binarySplits,Aggregator"
10,49,0.00000000,0.00000000,0.00000000,0.73014593,0022,0100,0066,0.24973359,"DecisionTable,JRip,PART,JRip_checkErrorRate,JRip_usePruning,SimpleCart,DecisionTable_search,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,DecisionTable_crossVal,SimpleCart_numFoldsPruning,PART_pruning,PART_confidenceFactorValue,J48,J48_doNotMakeSplitPointActualValue,JRip_optimizations,J48_collapseTree,BestFirst_direction,J48_useLaplace,J48_binarySplits,J48_minNumObj,PART_numFolds,JRip_minNo,PART_minNumObj,Aggregator,JRip_folds,DecisionTable_evaluationMeasure,J48_pruning,J48_subtreeRaising,J48_numFolds,PART_useMDLcorrection,PART_binarySplits,SimpleCart_heuristic,DecisionTable_useIBk,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_confidenceFactorValue,SimpleCart_useOneSE"
