individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,null,null,null,10,false,true,2,5,true,true,null,true,1,6,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,MajorityVotingAggregator,false,true,null,2,4,null,true,null,null,false,8,null,null,0.9927575638319439,-DecisionTable -X 10 -I -E auc -S weka.attributeSelection.BestFirst -PART -M 6 -B -U -BestFirst -N 5 -D 2 -Aggregator MajorityVotingAggregator -JRip -O 1 -N 2 -F 4 -J48 -M 8 -U 
gen_000_ind_000,true,unpruned,null,null,null,10,false,true,2,5,true,true,null,true,1,6,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,MajorityVotingAggregator,false,true,null,2,4,null,true,null,null,false,8,null,null,null,-DecisionTable -X 10 -I -E auc -S weka.attributeSelection.BestFirst -PART -M 6 -B -U -BestFirst -N 5 -D 2 -Aggregator MajorityVotingAggregator -JRip -O 1 -N 2 -F 4 -J48 -M 8 -U 
gen_000_ind_001,false,reducedErrorPruning,true,true,null,1,true,true,0,9,true,true,null,true,null,5,false,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,5,true,false,auc,MajorityVotingAggregator,false,true,7,6,null,3,false,2,null,true,2,null,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -M 5 -J -R -Q 1 -N 3 -SimpleCart -M 7 -C 1.0 -S 1 -N 5 -BestFirst -N 9 -D 0 -Aggregator MajorityVotingAggregator -JRip -P -N 6 -E -J48 -M 2 -R -Q 1 -N 2 -J -B -doNotMakeSplitPointActualValue 
gen_000_ind_002,false,null,false,null,0.45,8,null,true,null,null,false,true,null,true,2,3,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,MajorityVotingAggregator,null,null,10,8,3,null,null,null,true,null,null,false,null,null,-DecisionTable -X 8 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 3 -B -C 0.45 -SimpleCart -M 10 -U -Aggregator MajorityVotingAggregator -JRip -O 2 -N 8 -F 3 -E 
gen_000_ind_003,true,unpruned,false,null,0.25,6,true,true,1,7,true,true,null,true,2,5,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,mae,CompetenceBasedAggregator,true,true,4,2,7,null,false,null,null,false,6,null,null,null,-DecisionTable -X 6 -I -E mae -S weka.attributeSelection.BestFirst -PART -M 5 -B -C 0.25 -SimpleCart -M 4 -U -BestFirst -N 7 -D 1 -Aggregator CompetenceBasedAggregator -JRip -O 2 -N 2 -F 7 -J48 -M 6 -A -U -J -B 
gen_000_ind_004,true,confidenceFactor,true,true,null,null,true,true,null,null,true,false,0.45,true,null,8,false,unpruned,null,false,true,null,true,true,5,false,false,null,CompetenceBasedAggregator,false,true,2,3,null,null,false,null,null,true,9,null,null,null,-PART -doNotMakeSplitPointActualValue -M 8 -U -SimpleCart -H -M 2 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -JRip -P -N 3 -J48 -M 9 -C 0.45 -J -B -doNotMakeSplitPointActualValue 
gen_000_ind_005,true,reducedErrorPruning,true,false,null,3,false,true,0,5,true,true,null,true,8,7,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,5,false,true,auc,MajorityVotingAggregator,true,false,2,7,3,null,true,9,null,false,6,null,null,null,-DecisionTable -X 3 -E auc -S weka.attributeSelection.BestFirst -PART -M 7 -B -U -SimpleCart -H -M 2 -C 1.0 -S 1 -A -N 5 -BestFirst -N 5 -D 0 -Aggregator MajorityVotingAggregator -JRip -O 8 -N 7 -F 3 -J48 -M 6 -A -R -Q 1 -N 9 -O -S 
gen_000_ind_006,true,reducedErrorPruning,true,true,null,null,false,true,null,null,true,false,null,true,2,2,false,unpruned,null,true,true,null,true,true,3,true,true,null,MajorityVotingAggregator,false,false,7,4,5,null,true,7,null,false,4,null,null,null,-PART -doNotMakeSplitPointActualValue -M 2 -B -U -SimpleCart -M 7 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -JRip -O 2 -N 4 -F 5 -J48 -M 4 -R -Q 1 -N 7 -O 
gen_000_ind_007,false,unpruned,true,null,0.05,1,false,true,null,null,true,true,null,true,3,3,true,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,7,true,false,mae,CompetenceBasedAggregator,false,false,4,7,8,null,true,null,false,true,6,true,null,null,-DecisionTable -X 1 -I -E mae -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -M 3 -J -C 0.05 -SimpleCart -M 4 -C 1.0 -S 1 -A -N 7 -Aggregator CompetenceBasedAggregator -JRip -O 3 -N 7 -F 8 -E -J48 -M 6 -U -doNotMakeSplitPointActualValue -O 
gen_000_ind_008,true,confidenceFactor,false,true,0.25,7,true,true,1,4,true,true,0.25,true,null,10,null,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,null,true,true,mae,CompetenceBasedAggregator,true,false,8,2,null,null,true,null,null,false,7,null,null,null,-DecisionTable -X 7 -I -E mae -S weka.attributeSelection.BestFirst -PART -M 10 -B -J -C 0.25 -SimpleCart -M 8 -U -BestFirst -N 4 -D 1 -Aggregator CompetenceBasedAggregator -JRip -P -N 2 -J48 -M 7 -A -C 0.25 -B -O 
