gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.98392385,0333,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,Aggregator,DecisionTable_evaluationMeasure,J48,J48_useMDLcorrection,SimpleCart,J48_minNumObj,JRip,JRip_checkErrorRate,JRip_usePruning,SimpleCart_heuristic,J48_pruning,DecisionTable_useIBk,PART,PART_pruning,J48_subtreeRaising,J48_binarySplits,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_useLaplace,PART_minNumObj,J48_confidenceFactorValue,JRip_optimizations,BestFirst_direction,DecisionTable_crossVal,J48_collapseTree,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,PART_binarySplits,J48_numFolds,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,JRip_folds,PART_useMDLcorrection,PART_confidenceFactorValue,SimpleCart_useOneSE"
1,49,0.00000000,0.00000000,0.00000000,0.98392385,0280,0100,0035,0.00000000,"SimpleCart,JRip,JRip_usePruning,JRip_minNo,DecisionTable,PART,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,Aggregator,PART_binarySplits,J48,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_search,JRip_folds,J48_useLaplace,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,JRip_optimizations,PART_pruning,JRip_checkErrorRate,PART_minNumObj,DecisionTable_evaluationMeasure,J48_useMDLcorrection,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_searchBackwards,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,SimpleCart_useOneSE,PART_numFolds,J48_pruning,BestFirst_searchTermination,J48_binarySplits,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.98392385,0277,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,JRip,SimpleCart,J48,J48_useLaplace,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,Aggregator,J48_collapseTree,DecisionTable_search,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART,GreedyStepwise_searchBackwards,SimpleCart_heuristic,J48_minNumObj,J48_pruning,JRip_checkErrorRate,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,JRip_minNo,BestFirst_searchTermination,JRip_usePruning,J48_binarySplits,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_subtreeRaising,PART_binarySplits,J48_confidenceFactorValue,PART_minNumObj,PART_pruning,BestFirst_direction,JRip_optimizations,JRip_folds,PART_numFolds,PART_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.98392385,0276,0100,0035,0.00000000,"DecisionTable,JRip,JRip_checkErrorRate,DecisionTable_useIBk,DecisionTable_crossVal,JRip_usePruning,SimpleCart,JRip_folds,PART,J48,DecisionTable_search,J48_binarySplits,SimpleCart_heuristic,PART_useMDLcorrection,DecisionTable_evaluationMeasure,PART_binarySplits,Aggregator,SimpleCart_usePrune,PART_pruning,PART_confidenceFactorValue,J48_useLaplace,JRip_minNo,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_minNumObj,PART_minNumObj,BestFirst_searchTermination,SimpleCart_useOneSE,J48_useMDLcorrection,PART_numFolds,BestFirst_direction,J48_collapseTree,J48_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_pruning,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.98392385,0269,0100,0035,0.00000000,"JRip,Aggregator,DecisionTable,DecisionTable_useIBk,JRip_checkErrorRate,JRip_minNo,J48,DecisionTable_evaluationMeasure,JRip_usePruning,J48_useLaplace,SimpleCart,J48_pruning,PART,PART_binarySplits,J48_subtreeRaising,J48_confidenceFactorValue,J48_collapseTree,PART_pruning,DecisionTable_crossVal,J48_useMDLcorrection,JRip_folds,DecisionTable_search,J48_doNotMakeSplitPointActualValue,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,PART_minNumObj,J48_numFolds,BestFirst_searchTermination,JRip_optimizations,PART_confidenceFactorValue,SimpleCart_heuristic,SimpleCart_minNumObj,PART_useMDLcorrection,BestFirst_direction,PART_numFolds,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
5,49,0.00000000,0.00000000,0.00000000,0.98392385,0269,0100,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_search,PART,SimpleCart_usePrune,DecisionTable_crossVal,SimpleCart_minNumObj,J48,PART_useMDLcorrection,J48_useMDLcorrection,DecisionTable_useIBk,J48_binarySplits,PART_pruning,PART_confidenceFactorValue,PART_binarySplits,PART_minNumObj,J48_minNumObj,Aggregator,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_collapseTree,JRip,GreedyStepwise_searchBackwards,BestFirst_direction,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_useLaplace,BestFirst_searchTermination,JRip_checkErrorRate,J48_pruning,JRip_minNo,J48_confidenceFactorValue,JRip_usePruning,JRip_optimizations,PART_numFolds,JRip_folds,J48_subtreeRaising,J48_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.98392385,0310,0100,0035,0.00000000,"PART,PART_minNumObj,J48,J48_collapseTree,PART_pruning,PART_numFolds,DecisionTable,Aggregator,J48_binarySplits,J48_doNotMakeSplitPointActualValue,PART_binarySplits,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_useLaplace,J48_pruning,DecisionTable_search,SimpleCart,DecisionTable_useIBk,DecisionTable_crossVal,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_useMDLcorrection,JRip,J48_numFolds,SimpleCart_usePrune,J48_minNumObj,JRip_minNo,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,SimpleCart_minNumObj,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_useOneSE,JRip_folds,BestFirst_direction,JRip_checkErrorRate,JRip_optimizations"
7,49,0.00000000,0.00000000,0.00000000,0.98392385,0269,0100,0035,0.00000000,"PART,PART_useMDLcorrection,PART_minNumObj,Aggregator,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip,DecisionTable,SimpleCart,SimpleCart_usePrune,J48,J48_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_heuristic,JRip_checkErrorRate,J48_binarySplits,PART_pruning,SimpleCart_minNumObj,DecisionTable_useIBk,JRip_usePruning,J48_useLaplace,J48_pruning,SimpleCart_numFoldsPruning,J48_minNumObj,J48_collapseTree,DecisionTable_crossVal,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,JRip_folds,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_confidenceFactorValue,J48_useMDLcorrection,PART_confidenceFactorValue,BestFirst_direction,PART_numFolds,BestFirst_searchTermination,JRip_optimizations,GreedyStepwise_searchBackwards"
8,49,0.00000000,0.00000000,0.00000000,0.98392385,0307,0100,0035,0.00000000,"JRip,JRip_minNo,J48,PART,PART_pruning,Aggregator,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_optimizations,DecisionTable_crossVal,PART_binarySplits,J48_pruning,J48_useLaplace,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_search,J48_minNumObj,SimpleCart,J48_collapseTree,GreedyStepwise_searchBackwards,J48_useMDLcorrection,PART_numFolds,BestFirst_direction,PART_useMDLcorrection,J48_binarySplits,PART_minNumObj,DecisionTable_useIBk,JRip_folds,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
9,49,0.00000000,0.00000000,0.00000000,0.98392385,0330,0100,0035,0.00000000,"DecisionTable,Aggregator,SimpleCart,PART,DecisionTable_useIBk,SimpleCart_minNumObj,PART_pruning,DecisionTable_crossVal,PART_binarySplits,JRip,JRip_checkErrorRate,PART_numFolds,PART_minNumObj,PART_useMDLcorrection,J48,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_confidenceFactorValue,BestFirst_direction,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_minNumObj,J48_collapseTree,J48_useMDLcorrection,JRip_minNo,SimpleCart_useOneSE,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,JRip_folds,J48_binarySplits,J48_pruning,J48_subtreeRaising,JRip_optimizations,J48_confidenceFactorValue,J48_numFolds"
