gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,1.00000000,0048,0100,0035,0.00000000,"PART,SimpleCart,PART_binarySplits,PART_useMDLcorrection,SimpleCart_heuristic,PART_pruning,PART_numFolds,SimpleCart_minNumObj,DecisionTable,J48,SimpleCart_usePrune,JRip,PART_doNotMakeSplitPointActualValue,J48_collapseTree,PART_minNumObj,J48_doNotMakeSplitPointActualValue,Aggregator,J48_useMDLcorrection,DecisionTable_crossVal,J48_pruning,JRip_usePruning,J48_binarySplits,SimpleCart_numFoldsPruning,DecisionTable_search,J48_subtreeRaising,J48_useLaplace,BestFirst_direction,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_minNumObj,DecisionTable_useIBk,J48_numFolds,SimpleCart_useOneSE,JRip_folds,GreedyStepwise_searchBackwards,JRip_minNo,J48_confidenceFactorValue,JRip_checkErrorRate,JRip_optimizations,GreedyStepwise_conservativeForwardSelection"
1,49,0.00000000,0.00000000,0.00000000,1.00000000,0047,0100,0035,0.00000000,"J48,J48_minNumObj,J48_useMDLcorrection,DecisionTable,J48_binarySplits,DecisionTable_evaluationMeasure,J48_pruning,J48_doNotMakeSplitPointActualValue,PART,J48_useLaplace,JRip,J48_collapseTree,JRip_checkErrorRate,SimpleCart,SimpleCart_heuristic,JRip_usePruning,PART_minNumObj,J48_subtreeRaising,SimpleCart_usePrune,PART_useMDLcorrection,Aggregator,SimpleCart_numFoldsPruning,DecisionTable_crossVal,J48_confidenceFactorValue,DecisionTable_search,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_numFolds,BestFirst_direction,JRip_minNo,PART_binarySplits,JRip_optimizations,PART_pruning,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_folds,PART_numFolds,PART_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,1.00000000,0041,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_minNumObj,Aggregator,SimpleCart,DecisionTable,PART_binarySplits,DecisionTable_evaluationMeasure,J48,PART_pruning,J48_pruning,JRip,DecisionTable_crossVal,J48_useLaplace,DecisionTable_search,JRip_minNo,PART_confidenceFactorValue,J48_useMDLcorrection,SimpleCart_minNumObj,J48_subtreeRaising,JRip_checkErrorRate,SimpleCart_heuristic,J48_binarySplits,J48_minNumObj,BestFirst_searchTermination,SimpleCart_usePrune,J48_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_numFolds,GreedyStepwise_searchBackwards,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,J48_confidenceFactorValue,BestFirst_direction,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
3,49,0.00000000,0.00000000,0.00000000,1.00000000,0050,0100,0035,0.00000000,"PART,PART_useMDLcorrection,Aggregator,J48,J48_useMDLcorrection,PART_pruning,J48_pruning,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,DecisionTable,PART_doNotMakeSplitPointActualValue,J48_minNumObj,PART_binarySplits,J48_collapseTree,J48_confidenceFactorValue,JRip,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds,DecisionTable_useIBk,J48_binarySplits,J48_useLaplace,SimpleCart,J48_numFolds,JRip_checkErrorRate,DecisionTable_crossVal,SimpleCart_minNumObj,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip_minNo,SimpleCart_usePrune,DecisionTable_evaluationMeasure,JRip_usePruning,SimpleCart_heuristic,BestFirst_searchTermination,JRip_optimizations,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip_folds"
4,49,0.00000000,0.00000000,0.00000000,1.00000000,0046,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,Aggregator,SimpleCart_useOneSE,J48,J48_collapseTree,J48_useLaplace,J48_binarySplits,SimpleCart_heuristic,J48_pruning,JRip,J48_confidenceFactorValue,PART,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable,SimpleCart_minNumObj,J48_numFolds,J48_minNumObj,JRip_minNo,DecisionTable_search,JRip_usePruning,PART_minNumObj,SimpleCart_numFoldsPruning,PART_useMDLcorrection,DecisionTable_evaluationMeasure,PART_pruning,DecisionTable_useIBk,PART_binarySplits,JRip_checkErrorRate,J48_subtreeRaising,PART_numFolds,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,BestFirst_searchTermination,JRip_optimizations,GreedyStepwise_searchBackwards,JRip_folds,PART_confidenceFactorValue,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
5,49,0.00000000,0.00000000,0.00000000,1.00000000,0040,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,PART,PART_useMDLcorrection,PART_pruning,SimpleCart,JRip_minNo,SimpleCart_usePrune,JRip_usePruning,Aggregator,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_search,JRip_folds,J48,DecisionTable_useIBk,PART_numFolds,J48_binarySplits,PART_minNumObj,PART_binarySplits,SimpleCart_heuristic,BestFirst_searchTermination,J48_useMDLcorrection,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,DecisionTable_crossVal,J48_minNumObj,JRip_optimizations,J48_pruning,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_collapseTree,BestFirst_direction,J48_useLaplace,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
6,49,0.00000000,0.00000000,0.00000000,1.00000000,0037,0100,0035,0.00000000,"J48,J48_collapseTree,Aggregator,JRip,SimpleCart,J48_useMDLcorrection,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useLaplace,DecisionTable,J48_binarySplits,PART,DecisionTable_search,PART_binarySplits,J48_pruning,J48_numFolds,BestFirst_direction,DecisionTable_crossVal,J48_confidenceFactorValue,DecisionTable_useIBk,JRip_checkErrorRate,JRip_usePruning,GreedyStepwise_searchBackwards,PART_minNumObj,JRip_minNo,JRip_folds,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,BestFirst_searchTermination,J48_subtreeRaising,PART_pruning,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_numFolds,JRip_optimizations,SimpleCart_numFoldsPruning"
7,49,0.00000000,0.00000000,0.00000000,1.00000000,0042,0100,0035,0.00000000,"PART,J48,J48_binarySplits,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_pruning,PART_numFolds,DecisionTable,SimpleCart,PART_binarySplits,PART_useMDLcorrection,DecisionTable_useIBk,JRip,Aggregator,DecisionTable_crossVal,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_search,SimpleCart_usePrune,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,JRip_minNo,SimpleCart_heuristic,BestFirst_direction,J48_pruning,SimpleCart_minNumObj,JRip_usePruning,J48_minNumObj,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48_subtreeRaising,SimpleCart_useOneSE,BestFirst_searchTermination,J48_numFolds,SimpleCart_numFoldsPruning,JRip_optimizations,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip_folds"
8,49,0.00000000,0.00000000,0.00000000,1.00000000,0038,0100,0035,0.00000000,"J48,SimpleCart,J48_minNumObj,SimpleCart_minNumObj,J48_useMDLcorrection,Aggregator,SimpleCart_heuristic,JRip,DecisionTable,J48_useLaplace,JRip_usePruning,J48_doNotMakeSplitPointActualValue,JRip_optimizations,J48_binarySplits,J48_collapseTree,PART,DecisionTable_crossVal,J48_pruning,PART_binarySplits,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,DecisionTable_search,GreedyStepwise_searchBackwards,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_minNo,JRip_checkErrorRate,BestFirst_direction,JRip_folds,PART_minNumObj,SimpleCart_numFoldsPruning,BestFirst_searchTermination,SimpleCart_useOneSE,J48_numFolds,PART_pruning,PART_numFolds,J48_subtreeRaising,PART_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,1.00000000,0043,0100,0035,0.00000000,"J48,SimpleCart,J48_minNumObj,J48_binarySplits,SimpleCart_usePrune,PART,Aggregator,SimpleCart_heuristic,PART_binarySplits,DecisionTable,JRip,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_useOneSE,J48_numFolds,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable_crossVal,J48_useMDLcorrection,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_collapseTree,PART_pruning,PART_numFolds,DecisionTable_useIBk,JRip_usePruning,JRip_checkErrorRate,J48_subtreeRaising,DecisionTable_search,JRip_minNo,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,PART_confidenceFactorValue,BestFirst_searchTermination,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_direction"
