gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99820034,0355,0100,0035,0.00000000,"J48,J48_useMDLcorrection,Aggregator,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_collapseTree,SimpleCart,J48_binarySplits,PART,PART_doNotMakeSplitPointActualValue,DecisionTable,PART_minNumObj,SimpleCart_usePrune,J48_minNumObj,JRip,DecisionTable_search,JRip_checkErrorRate,J48_pruning,J48_subtreeRaising,PART_useMDLcorrection,JRip_minNo,J48_numFolds,PART_binarySplits,SimpleCart_minNumObj,PART_pruning,DecisionTable_crossVal,JRip_usePruning,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,BestFirst_searchTermination,JRip_folds,J48_confidenceFactorValue,JRip_optimizations,SimpleCart_useOneSE,BestFirst_direction,PART_confidenceFactorValue,PART_numFolds"
1,49,0.00000000,0.00000000,0.00000000,0.99820034,0310,0100,0035,0.00000000,"SimpleCart,Aggregator,JRip,JRip_usePruning,SimpleCart_minNumObj,JRip_minNo,SimpleCart_usePrune,PART,J48,PART_minNumObj,SimpleCart_useOneSE,DecisionTable,SimpleCart_heuristic,J48_useMDLcorrection,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_useIBk,JRip_folds,JRip_optimizations,J48_pruning,J48_minNumObj,PART_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_binarySplits,J48_useLaplace,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_numFolds,J48_collapseTree,PART_pruning,PART_numFolds,J48_confidenceFactorValue,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,J48_subtreeRaising,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.99820034,0299,0100,0035,0.00000000,"PART,DecisionTable,DecisionTable_evaluationMeasure,Aggregator,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip,PART_doNotMakeSplitPointActualValue,J48,BestFirst_searchTermination,BestFirst_direction,PART_binarySplits,JRip_checkErrorRate,PART_useMDLcorrection,J48_useLaplace,J48_collapseTree,PART_pruning,J48_binarySplits,SimpleCart,DecisionTable_useIBk,GreedyStepwise_searchBackwards,SimpleCart_heuristic,PART_numFolds,SimpleCart_minNumObj,PART_minNumObj,J48_useMDLcorrection,DecisionTable_crossVal,JRip_usePruning,J48_minNumObj,PART_confidenceFactorValue,JRip_minNo,J48_pruning,JRip_optimizations,J48_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_confidenceFactorValue,J48_subtreeRaising,JRip_folds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
3,49,0.00000000,0.00000000,0.00000000,0.99820034,0280,0100,0035,0.00000000,"PART,PART_binarySplits,SimpleCart,DecisionTable,PART_minNumObj,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable_useIBk,J48,JRip,J48_binarySplits,J48_pruning,J48_numFolds,J48_useLaplace,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_search,SimpleCart_usePrune,JRip_minNo,Aggregator,DecisionTable_crossVal,PART_pruning,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_minNumObj,J48_useMDLcorrection,JRip_usePruning,BestFirst_direction,J48_collapseTree,JRip_folds,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_confidenceFactorValue,JRip_checkErrorRate,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_searchTermination,PART_numFolds,JRip_optimizations"
4,49,0.00000000,0.00000000,0.00000000,0.99820034,0265,0100,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_evaluationMeasure,PART,PART_useMDLcorrection,PART_minNumObj,DecisionTable_crossVal,PART_binarySplits,Aggregator,SimpleCart_usePrune,J48,DecisionTable_useIBk,JRip,J48_binarySplits,SimpleCart_minNumObj,SimpleCart_heuristic,PART_pruning,SimpleCart_useOneSE,JRip_minNo,DecisionTable_search,J48_useLaplace,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,BestFirst_direction,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useMDLcorrection,PART_confidenceFactorValue,J48_pruning,BestFirst_searchTermination,JRip_checkErrorRate,JRip_usePruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,PART_numFolds,J48_numFolds,J48_subtreeRaising,JRip_optimizations,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,0.99820034,0241,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,DecisionTable,DecisionTable_evaluationMeasure,J48,SimpleCart_minNumObj,JRip,DecisionTable_useIBk,J48_useLaplace,Aggregator,SimpleCart_heuristic,PART,SimpleCart_numFoldsPruning,J48_collapseTree,JRip_usePruning,DecisionTable_crossVal,JRip_minNo,J48_binarySplits,J48_minNumObj,J48_pruning,JRip_folds,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_search,J48_useMDLcorrection,PART_pruning,J48_numFolds,BestFirst_searchTermination,PART_binarySplits,PART_useMDLcorrection,J48_confidenceFactorValue,PART_numFolds,PART_doNotMakeSplitPointActualValue,JRip_optimizations,PART_minNumObj,GreedyStepwise_searchBackwards,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,BestFirst_direction"
6,49,0.00000000,0.00000000,0.00000000,0.99820034,0287,0100,0069,0.23876584,"DecisionTable,J48,PART,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_search,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,PART_minNumObj,J48_collapseTree,PART_numFolds,DecisionTable_evaluationMeasure,J48_useLaplace,PART_binarySplits,J48_binarySplits,GreedyStepwise_searchBackwards,DecisionTable_useIBk,BestFirst_searchTermination,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart,SimpleCart_heuristic,J48_numFolds,JRip,SimpleCart_minNumObj,J48_useMDLcorrection,JRip_usePruning,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_folds,JRip_minNo,Aggregator,JRip_checkErrorRate,BestFirst_direction"
7,49,0.00000000,0.00000000,0.00000000,0.99820034,0216,0136,0069,0.23876584,"DecisionTable,J48,J48_doNotMakeSplitPointActualValue,PART,PART_useMDLcorrection,PART_minNumObj,J48_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,JRip,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_minNo,JRip_folds,JRip_checkErrorRate,JRip_optimizations,DecisionTable_useIBk,Aggregator,PART_binarySplits,J48_subtreeRaising,SimpleCart_useOneSE,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_numFolds,SimpleCart_heuristic,DecisionTable_search,J48_useLaplace,BestFirst_searchTermination,J48_numFolds,PART_pruning"
8,49,0.00000000,0.00000000,0.00000000,0.99820034,0241,0100,0069,0.23876584,"PART,DecisionTable,J48,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_pruning,J48_useLaplace,J48_pruning,J48_numFolds,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,SimpleCart,JRip,JRip_usePruning,SimpleCart_usePrune,SimpleCart_minNumObj,BestFirst_searchTermination,J48_binarySplits,J48_subtreeRaising,JRip_checkErrorRate,BestFirst_direction,J48_minNumObj,SimpleCart_heuristic,PART_minNumObj,PART_numFolds,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_useOneSE,DecisionTable_crossVal,SimpleCart_numFoldsPruning,JRip_folds,JRip_optimizations,Aggregator,JRip_minNo"
9,49,0.00000000,0.00000000,0.00000000,0.99820034,0254,0100,0069,0.23876584,"PART,J48,DecisionTable,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_pruning,DecisionTable_evaluationMeasure,J48_useLaplace,DecisionTable_crossVal,J48_numFolds,J48_useMDLcorrection,PART_pruning,J48_collapseTree,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,SimpleCart,JRip,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_usePruning,DecisionTable_useIBk,JRip_minNo,JRip_checkErrorRate,JRip_optimizations,Aggregator,BestFirst_direction,JRip_folds,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,SimpleCart_heuristic,PART_numFolds,J48_subtreeRaising,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_binarySplits,PART_confidenceFactorValue,J48_minNumObj,PART_minNumObj"
10,49,0.00000000,0.00000000,0.00000000,0.99820034,0218,0100,0069,0.23876584,"DecisionTable,PART,J48,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_collapseTree,PART_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_search,PART_minNumObj,J48_minNumObj,BestFirst_searchTermination,PART_binarySplits,J48_useMDLcorrection,BestFirst_direction,DecisionTable_crossVal,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart,JRip,JRip_usePruning,SimpleCart_minNumObj,SimpleCart_usePrune,J48_binarySplits,JRip_folds,GreedyStepwise_searchBackwards,JRip_optimizations,SimpleCart_numFoldsPruning,Aggregator,JRip_checkErrorRate,JRip_minNo,SimpleCart_useOneSE,SimpleCart_heuristic,J48_numFolds,PART_pruning,PART_numFolds,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection"
11,49,0.00000000,0.00000000,0.00000000,0.99820034,0245,0100,0073,0.25198250,"PART,PART_useMDLcorrection,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,PART_numFolds,PART_binarySplits,SimpleCart_numFoldsPruning,DecisionTable,JRip,JRip_checkErrorRate,DecisionTable_crossVal,DecisionTable_search,JRip_usePruning,JRip_folds,SimpleCart,BestFirst_direction,BestFirst_searchTermination,SimpleCart_heuristic,Aggregator,J48,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_subtreeRaising,J48_useMDLcorrection,GreedyStepwise_searchBackwards,J48_binarySplits,J48_minNumObj,J48_confidenceFactorValue,PART_confidenceFactorValue,JRip_optimizations,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,JRip_minNo,DecisionTable_useIBk,J48_useLaplace,J48_numFolds,GreedyStepwise_conservativeForwardSelection"
12,49,0.00000000,0.00000000,0.00000000,0.99820034,0217,0116,0073,0.25198250,"PART,PART_useMDLcorrection,PART_binarySplits,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_confidenceFactorValue,JRip_checkErrorRate,J48_minNumObj,JRip_usePruning,BestFirst_searchTermination,Aggregator,J48,SimpleCart_heuristic,GreedyStepwise_searchBackwards,J48_binarySplits,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_useMDLcorrection,JRip_optimizations,J48_doNotMakeSplitPointActualValue,J48_collapseTree,JRip_folds,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,DecisionTable,J48_pruning,J48_subtreeRaising,DecisionTable_crossVal,DecisionTable_search,DecisionTable_evaluationMeasure,JRip_minNo,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,J48_numFolds,BestFirst_direction,J48_useLaplace"
