gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99969555,0044,0100,0035,0.00000000,"SimpleCart,J48,SimpleCart_minNumObj,JRip,Aggregator,DecisionTable,PART,J48_doNotMakeSplitPointActualValue,J48_pruning,PART_useMDLcorrection,J48_binarySplits,J48_collapseTree,JRip_checkErrorRate,J48_confidenceFactorValue,PART_pruning,PART_confidenceFactorValue,J48_subtreeRaising,JRip_minNo,J48_useMDLcorrection,DecisionTable_search,SimpleCart_usePrune,J48_minNumObj,J48_useLaplace,DecisionTable_crossVal,SimpleCart_useOneSE,J48_numFolds,SimpleCart_heuristic,PART_minNumObj,JRip_usePruning,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,PART_numFolds,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,JRip_optimizations,BestFirst_searchTermination,JRip_folds"
1,49,0.00000000,0.00000000,0.00000000,0.99969555,0039,0100,0035,0.00000000,"DecisionTable,JRip,DecisionTable_evaluationMeasure,JRip_minNo,Aggregator,SimpleCart,J48,PART,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_collapseTree,J48_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_folds,SimpleCart_usePrune,PART_useMDLcorrection,PART_binarySplits,J48_binarySplits,JRip_checkErrorRate,SimpleCart_useOneSE,DecisionTable_search,SimpleCart_heuristic,JRip_optimizations,J48_pruning,J48_useLaplace,DecisionTable_useIBk,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_minNumObj,PART_pruning,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,BestFirst_direction,PART_numFolds,PART_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.99969555,0039,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,Aggregator,DecisionTable,PART,JRip,J48,PART_binarySplits,JRip_usePruning,SimpleCart_minNumObj,SimpleCart_usePrune,PART_pruning,DecisionTable_evaluationMeasure,J48_binarySplits,DecisionTable_crossVal,JRip_checkErrorRate,J48_minNumObj,J48_useLaplace,J48_useMDLcorrection,JRip_optimizations,PART_useMDLcorrection,J48_collapseTree,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_pruning,JRip_folds,SimpleCart_useOneSE,DecisionTable_useIBk,DecisionTable_search,PART_minNumObj,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_minNo,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_subtreeRaising,BestFirst_direction,GreedyStepwise_searchBackwards,J48_numFolds,GreedyStepwise_conservativeForwardSelection"
3,49,0.00000000,0.00000000,0.00000000,0.99969555,0036,0100,0035,0.00000000,"Aggregator,PART,SimpleCart,J48,SimpleCart_minNumObj,PART_binarySplits,SimpleCart_usePrune,PART_pruning,J48_useLaplace,PART_numFolds,SimpleCart_useOneSE,J48_binarySplits,JRip,J48_pruning,PART_minNumObj,JRip_checkErrorRate,J48_collapseTree,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_numFolds,DecisionTable,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_heuristic,J48_minNumObj,JRip_usePruning,J48_useMDLcorrection,SimpleCart_numFoldsPruning,JRip_folds,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip_optimizations,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction"
4,49,0.00000000,0.00000000,0.00000000,0.99969555,0035,0100,0035,0.00000000,"J48,J48_binarySplits,JRip,JRip_usePruning,PART,PART_minNumObj,J48_pruning,JRip_minNo,JRip_optimizations,J48_useLaplace,J48_doNotMakeSplitPointActualValue,Aggregator,PART_pruning,JRip_folds,J48_useMDLcorrection,PART_numFolds,SimpleCart,SimpleCart_usePrune,J48_minNumObj,DecisionTable,PART_binarySplits,SimpleCart_minNumObj,PART_confidenceFactorValue,J48_collapseTree,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_confidenceFactorValue,JRip_checkErrorRate,DecisionTable_crossVal,J48_subtreeRaising,PART_useMDLcorrection,SimpleCart_useOneSE,DecisionTable_search,SimpleCart_heuristic,DecisionTable_evaluationMeasure,DecisionTable_useIBk,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
5,49,0.00000000,0.00000000,0.00000000,0.99969555,0032,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,SimpleCart,PART,Aggregator,DecisionTable,J48,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_useIBk,JRip_minNo,PART_pruning,PART_binarySplits,SimpleCart_usePrune,J48_useMDLcorrection,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_folds,J48_minNumObj,J48_collapseTree,DecisionTable_crossVal,J48_binarySplits,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,PART_minNumObj,DecisionTable_search,J48_pruning,PART_numFolds,JRip_optimizations,J48_useLaplace,BestFirst_searchTermination,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,BestFirst_direction,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue"
6,49,0.00000000,0.00000000,0.00000000,0.99969555,0034,0100,0072,0.22503124,"PART,DecisionTable,DecisionTable_useIBk,DecisionTable_evaluationMeasure,PART_pruning,PART_numFolds,JRip,JRip_checkErrorRate,PART_useMDLcorrection,PART_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_usePruning,JRip_minNo,SimpleCart,SimpleCart_heuristic,JRip_optimizations,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,J48,J48_pruning,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_binarySplits,J48_useMDLcorrection,J48_minNumObj,J48_numFolds,PART_confidenceFactorValue,SimpleCart_usePrune,PART_binarySplits,Aggregator,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_subtreeRaising,DecisionTable_crossVal,JRip_folds,BestFirst_direction,SimpleCart_numFoldsPruning"
7,49,0.00000000,0.00000000,0.00000000,0.99969555,0034,0100,0072,0.22503124,"PART,DecisionTable,DecisionTable_useIBk,PART_pruning,PART_binarySplits,DecisionTable_evaluationMeasure,PART_numFolds,JRip,JRip_checkErrorRate,JRip_usePruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart,SimpleCart_heuristic,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,J48,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_minNumObj,J48_pruning,J48_collapseTree,J48_numFolds,J48_useMDLcorrection,J48_binarySplits,J48_useLaplace,Aggregator,PART_confidenceFactorValue,J48_confidenceFactorValue,SimpleCart_usePrune,PART_useMDLcorrection,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,DecisionTable_crossVal,J48_subtreeRaising,JRip_folds"
8,49,0.00000000,0.00000000,0.00000000,0.99969555,0029,0100,0072,0.22503124,"PART,DecisionTable,DecisionTable_useIBk,PART_minNumObj,PART_pruning,PART_numFolds,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_folds,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,PART_binarySplits,JRip_optimizations,J48,J48_pruning,J48_binarySplits,J48_useLaplace,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,JRip_minNo,J48_numFolds,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_searchBackwards,Aggregator,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_minNumObj,J48_useMDLcorrection,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_collapseTree,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart_heuristic,SimpleCart_numFoldsPruning,BestFirst_direction"
9,49,0.00000000,0.00000000,0.00000000,0.99969555,0027,0152,0072,0.22503124,"DecisionTable,DecisionTable_useIBk,PART,DecisionTable_crossVal,PART_binarySplits,PART_useMDLcorrection,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_folds,PART_numFolds,GreedyStepwise_searchBackwards,JRip,JRip_checkErrorRate,J48_pruning,J48_useLaplace,JRip_optimizations,J48,J48_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_minNo,JRip_usePruning,J48_confidenceFactorValue,J48_numFolds,Aggregator,PART_pruning,PART_confidenceFactorValue,J48_useMDLcorrection,J48_collapseTree,PART_minNumObj,BestFirst_searchTermination,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,J48_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic"
10,49,0.00000000,0.00000000,0.00000000,0.99969555,0025,0100,0072,0.22503124,"PART,DecisionTable,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_crossVal,PART_minNumObj,BestFirst_searchTermination,SimpleCart,SimpleCart_heuristic,PART_pruning,PART_numFolds,JRip,JRip_usePruning,JRip_minNo,JRip_checkErrorRate,JRip_folds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,SimpleCart_minNumObj,J48,J48_useMDLcorrection,J48_minNumObj,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_pruning,J48_useLaplace,J48_subtreeRaising,J48_collapseTree,J48_numFolds,J48_confidenceFactorValue,Aggregator,PART_useMDLcorrection,PART_binarySplits"
11,49,0.00000000,0.00000000,0.00000000,0.99969555,0025,0112,0074,0.27870977,"PART,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_confidenceFactorValue,PART_binarySplits,PART_numFolds,J48,J48_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,JRip_folds,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,J48_useLaplace,J48_useMDLcorrection,GreedyStepwise_searchBackwards,JRip,JRip_minNo,JRip_checkErrorRate,BestFirst_direction,J48_confidenceFactorValue,Aggregator,DecisionTable_useIBk,J48_minNumObj,BestFirst_searchTermination,DecisionTable_crossVal,J48_binarySplits,PART_minNumObj,J48_collapseTree,J48_pruning,J48_subtreeRaising,SimpleCart,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_useOneSE"
12,49,0.00000000,0.00000000,0.00000000,0.99969555,0023,0121,0074,0.27870977,"PART,PART_useMDLcorrection,PART_pruning,PART_numFolds,PART_binarySplits,J48,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_confidenceFactorValue,Aggregator,JRip_optimizations,J48_useMDLcorrection,J48_useLaplace,JRip_minNo,BestFirst_direction,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,JRip,JRip_usePruning,JRip_folds,DecisionTable,DecisionTable_search,J48_minNumObj,BestFirst_searchTermination,SimpleCart,PART_minNumObj,J48_collapseTree,DecisionTable_crossVal,J48_pruning,SimpleCart_heuristic,J48_binarySplits,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,J48_numFolds,DecisionTable_useIBk"
13,49,0.00000000,0.00000000,0.00000000,0.99969555,0027,0100,0074,0.27870977,"PART,PART_minNumObj,PART_binarySplits,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_doNotMakeSplitPointActualValue,J48,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,Aggregator,J48_minNumObj,J48_subtreeRaising,PART_useMDLcorrection,J48_numFolds,J48_collapseTree,J48_binarySplits,J48_useMDLcorrection,J48_useLaplace,JRip_checkErrorRate,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_minNumObj,BestFirst_searchTermination,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,JRip_usePruning,JRip_optimizations,JRip_folds,DecisionTable,DecisionTable_search,DecisionTable_useIBk,DecisionTable_crossVal,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip,DecisionTable_evaluationMeasure,JRip_minNo,BestFirst_direction"
14,49,0.00000000,0.00000000,0.00000000,0.99969555,0019,0100,0074,0.27870977,"PART,PART_binarySplits,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,PART_useMDLcorrection,PART_numFolds,PART_doNotMakeSplitPointActualValue,J48,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,Aggregator,J48_numFolds,J48_subtreeRaising,J48_minNumObj,J48_collapseTree,J48_binarySplits,J48_useMDLcorrection,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip,JRip_usePruning,JRip_optimizations,JRip_checkErrorRate,JRip_folds,JRip_minNo,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_crossVal"
15,49,0.00000000,0.00000000,0.00000000,0.99969555,0020,0111,0074,0.27870977,"PART,PART_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,J48,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART_confidenceFactorValue,J48_binarySplits,J48_collapseTree,J48_pruning,J48_confidenceFactorValue,Aggregator,J48_subtreeRaising,J48_numFolds,J48_minNumObj,DecisionTable_search,BestFirst_searchTermination,SimpleCart,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,DecisionTable_crossVal,JRip_checkErrorRate,JRip_optimizations,J48_useLaplace,GreedyStepwise_searchBackwards,JRip,JRip_usePruning,JRip_minNo,JRip_folds,DecisionTable,DecisionTable_useIBk,BestFirst_direction,DecisionTable_evaluationMeasure"
16,49,0.00000000,0.00000000,0.00000000,0.99969555,0017,0110,0075,0.33341527,"PART,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_useMDLcorrection,PART_pruning,PART_numFolds,JRip,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_usePruning,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_minNo,JRip_checkErrorRate,JRip_optimizations,JRip_folds,Aggregator,J48_confidenceFactorValue,J48,J48_binarySplits,J48_collapseTree,J48_useLaplace,J48_minNumObj,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,DecisionTable,DecisionTable_search,BestFirst_searchTermination,SimpleCart,DecisionTable_useIBk,BestFirst_direction,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_heuristic"
17,49,0.00000000,0.00000000,0.00000000,0.99969555,0018,0117,0075,0.33341527,"PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_pruning,PART_numFolds,JRip,JRip_minNo,JRip_checkErrorRate,JRip_usePruning,JRip_folds,Aggregator,JRip_optimizations,PART_confidenceFactorValue,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48,J48_useLaplace,J48_collapseTree,J48_binarySplits,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,DecisionTable_search,SimpleCart_usePrune,SimpleCart_useOneSE,J48_subtreeRaising,J48_minNumObj,BestFirst_searchTermination,SimpleCart,J48_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable,BestFirst_direction,DecisionTable_useIBk,J48_numFolds,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_heuristic,J48_useMDLcorrection"
18,49,0.00000000,0.00000000,0.00000000,0.99969555,0018,0103,0075,0.33341527,"PART,PART_minNumObj,PART_binarySplits,PART_pruning,PART_confidenceFactorValue,PART_numFolds,JRip,JRip_usePruning,JRip_minNo,JRip_checkErrorRate,JRip_optimizations,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_folds,Aggregator,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48,J48_collapseTree,J48_useLaplace,J48_binarySplits,J48_minNumObj,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,BestFirst_searchTermination,SimpleCart,DecisionTable,DecisionTable_useIBk,DecisionTable_search,BestFirst_direction,SimpleCart_minNumObj,SimpleCart_heuristic,DecisionTable_crossVal,DecisionTable_evaluationMeasure"
19,49,0.00000000,0.00000000,0.00000000,0.99969555,0014,0100,0075,0.33341527,"PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,PART_numFolds,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_folds,Aggregator,JRip_optimizations,JRip_minNo,PART_confidenceFactorValue,PART_minNumObj,J48,J48_collapseTree,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_binarySplits,J48_numFolds,J48_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart,BestFirst_direction,SimpleCart_heuristic,DecisionTable_useIBk,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
20,49,0.00000000,0.00000000,0.00000000,0.99969555,0022,0100,0075,0.33341527,"PART,PART_binarySplits,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_numFolds,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,JRip_minNo,JRip_folds,Aggregator,J48,J48_collapseTree,J48_minNumObj,J48_useLaplace,J48_binarySplits,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_searchTermination,DecisionTable_useIBk,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
21,49,0.00000000,0.00000000,0.00000000,0.99969555,0024,0114,0074,0.30945533,"SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART,J48,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,J48_useMDLcorrection,DecisionTable,J48_binarySplits,DecisionTable_crossVal,SimpleCart,J48_useLaplace,Aggregator,DecisionTable_evaluationMeasure,JRip,J48_pruning,JRip_usePruning,J48_subtreeRaising,JRip_optimizations,JRip_minNo,PART_pruning,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,JRip_checkErrorRate,J48_numFolds,PART_numFolds,PART_binarySplits,J48_minNumObj,DecisionTable_useIBk,J48_confidenceFactorValue,JRip_folds,SimpleCart_minNumObj"
22,49,0.00000000,0.00000000,0.00000000,0.99969555,0016,0156,0074,0.30945533,"J48_minNumObj,J48_confidenceFactorValue,DecisionTable_useIBk,BestFirst_direction,PART_numFolds,PART_binarySplits,J48_numFolds,JRip_checkErrorRate,JRip_optimizations,PART_pruning,PART_confidenceFactorValue,SimpleCart_heuristic,J48_pruning,J48_subtreeRaising,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,JRip_minNo,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_search,BestFirst_searchTermination,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart,J48,PART,J48_useLaplace,JRip,Aggregator,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_binarySplits,JRip_usePruning,JRip_folds,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
23,49,0.00000000,0.00000000,0.00000000,0.99969555,0012,0131,0074,0.30945533,"J48_numFolds,JRip_checkErrorRate,PART_numFolds,PART_binarySplits,J48_minNumObj,BestFirst_direction,J48_confidenceFactorValue,DecisionTable_useIBk,JRip_minNo,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,PART_pruning,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip_folds,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,JRip_optimizations,SimpleCart_heuristic,SimpleCart,SimpleCart_usePrune,DecisionTable,DecisionTable_search,BestFirst_searchTermination,PART,J48,J48_binarySplits,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_useMDLcorrection,DecisionTable_crossVal,JRip,PART_doNotMakeSplitPointActualValue,J48_useLaplace,JRip_usePruning,J48_pruning,Aggregator,J48_subtreeRaising"
24,49,0.00000000,0.00000000,0.00000000,0.99969555,0014,0128,0074,0.30945533,"SimpleCart_minNumObj,GreedyStepwise_searchBackwards,JRip_folds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,PART_numFolds,PART_binarySplits,J48_minNumObj,BestFirst_direction,JRip_checkErrorRate,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,PART_minNumObj,JRip_optimizations,PART_pruning,Aggregator,J48,J48_useLaplace,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip,JRip_minNo,JRip_usePruning,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,BestFirst_searchTermination,SimpleCart,DecisionTable_crossVal"
