gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_search,J48,SimpleCart_usePrune,J48_minNumObj,J48_useMDLcorrection,J48_useLaplace,JRip,JRip_checkErrorRate,DecisionTable_crossVal,SimpleCart_useOneSE,JRip_minNo,J48_doNotMakeSplitPointActualValue,Aggregator,BestFirst_searchTermination,SimpleCart_minNumObj,PART,J48_collapseTree,PART_minNumObj,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,JRip_usePruning,SimpleCart_heuristic,J48_binarySplits,J48_pruning,PART_useMDLcorrection,PART_binarySplits,J48_numFolds,SimpleCart_numFoldsPruning,PART_pruning,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_optimizations,JRip_folds,J48_subtreeRaising,J48_confidenceFactorValue,PART_numFolds"
1,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0035,0.00000000,"DecisionTable,PART,DecisionTable_useIBk,PART_minNumObj,JRip,Aggregator,J48,JRip_minNo,JRip_usePruning,PART_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart,SimpleCart_minNumObj,J48_collapseTree,DecisionTable_crossVal,JRip_optimizations,PART_pruning,PART_useMDLcorrection,JRip_checkErrorRate,J48_minNumObj,J48_useLaplace,J48_useMDLcorrection,JRip_folds,J48_pruning,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_numFolds,SimpleCart_useOneSE,J48_subtreeRaising,SimpleCart_heuristic,J48_binarySplits,GreedyStepwise_searchBackwards,BestFirst_direction,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,BestFirst_searchTermination,PART_numFolds"
2,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,Aggregator,JRip,JRip_minNo,PART,PART_pruning,DecisionTable_useIBk,SimpleCart_numFoldsPruning,JRip_checkErrorRate,J48,PART_useMDLcorrection,JRip_usePruning,PART_numFolds,SimpleCart_heuristic,DecisionTable_crossVal,J48_binarySplits,PART_minNumObj,J48_pruning,J48_useMDLcorrection,J48_minNumObj,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_confidenceFactorValue,JRip_folds,JRip_optimizations,PART_binarySplits,BestFirst_direction,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_subtreeRaising,J48_collapseTree,J48_numFolds,J48_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0035,0.00000000,"JRip,Aggregator,PART,J48,DecisionTable,DecisionTable_search,J48_pruning,BestFirst_direction,JRip_usePruning,J48_minNumObj,J48_numFolds,JRip_folds,J48_collapseTree,PART_minNumObj,GreedyStepwise_searchBackwards,SimpleCart,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_subtreeRaising,J48_useLaplace,JRip_minNo,J48_useMDLcorrection,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_optimizations,BestFirst_searchTermination,PART_pruning,SimpleCart_minNumObj,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48_binarySplits,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,SimpleCart_heuristic,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0035,0.00000000,"PART,PART_binarySplits,PART_pruning,DecisionTable,J48,J48_binarySplits,DecisionTable_evaluationMeasure,PART_numFolds,Aggregator,PART_confidenceFactorValue,SimpleCart,DecisionTable_useIBk,PART_useMDLcorrection,J48_pruning,SimpleCart_minNumObj,JRip,JRip_checkErrorRate,J48_collapseTree,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_crossVal,J48_useMDLcorrection,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_usePruning,DecisionTable_search,J48_useLaplace,SimpleCart_heuristic,J48_subtreeRaising,JRip_minNo,GreedyStepwise_conservativeForwardSelection,JRip_folds,SimpleCart_usePrune,SimpleCart_useOneSE,J48_numFolds,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,BestFirst_direction,BestFirst_searchTermination,JRip_optimizations,SimpleCart_numFoldsPruning"
5,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0035,0.00000000,"J48,PART,PART_binarySplits,PART_useMDLcorrection,J48_binarySplits,SimpleCart,J48_useLaplace,PART_pruning,J48_minNumObj,Aggregator,J48_doNotMakeSplitPointActualValue,DecisionTable,J48_pruning,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,JRip,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_confidenceFactorValue,J48_collapseTree,PART_minNumObj,PART_confidenceFactorValue,JRip_usePruning,J48_useMDLcorrection,SimpleCart_usePrune,PART_numFolds,DecisionTable_crossVal,J48_subtreeRaising,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_useOneSE,DecisionTable_search,JRip_optimizations,JRip_checkErrorRate,JRip_minNo,JRip_folds,SimpleCart_numFoldsPruning,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards"
6,49,0.00000000,0.00000000,0.00000000,0.76116488,0005,0101,0067,0.25593793,"JRip,PART,DecisionTable,DecisionTable_useIBk,J48,J48_useLaplace,J48_binarySplits,PART_binarySplits,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_collapseTree,J48_minNumObj,DecisionTable_evaluationMeasure,J48_numFolds,SimpleCart,SimpleCart_usePrune,Aggregator,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,DecisionTable_crossVal,JRip_minNo,JRip_checkErrorRate,JRip_usePruning,JRip_optimizations,SimpleCart_useOneSE,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,PART_pruning,PART_numFolds,PART_confidenceFactorValue,PART_minNumObj,JRip_folds"
7,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0067,0.25593793,"PART,PART_binarySplits,DecisionTable,JRip,J48,J48_binarySplits,J48_useLaplace,DecisionTable_useIBk,J48_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_minNo,PART_confidenceFactorValue,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_collapseTree,Aggregator,J48_subtreeRaising,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,PART_numFolds,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_folds,PART_minNumObj,JRip_optimizations,BestFirst_direction,SimpleCart_useOneSE,JRip_checkErrorRate,SimpleCart_numFoldsPruning,DecisionTable_crossVal"
8,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0156,0067,0.25593793,"DecisionTable,DecisionTable_useIBk,JRip,PART,J48,PART_binarySplits,J48_binarySplits,J48_useLaplace,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_checkErrorRate,J48_minNumObj,DecisionTable_search,BestFirst_searchTermination,JRip_minNo,PART_confidenceFactorValue,J48_useMDLcorrection,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_subtreeRaising,BestFirst_direction,JRip_optimizations,PART_pruning,PART_numFolds,J48_pruning,JRip_usePruning,J48_numFolds,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,Aggregator,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_useOneSE,PART_minNumObj,JRip_folds,SimpleCart_heuristic"
9,49,0.00000000,0.00000000,0.00000000,0.76116488,0001,0100,0067,0.25593793,"PART,J48,J48_useLaplace,J48_binarySplits,DecisionTable,JRip,PART_binarySplits,DecisionTable_useIBk,JRip_usePruning,JRip_optimizations,PART_useMDLcorrection,DecisionTable_search,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,BestFirst_direction,JRip_folds,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,J48_useMDLcorrection,PART_numFolds,J48_pruning,DecisionTable_evaluationMeasure,J48_subtreeRaising,J48_collapseTree,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,JRip_minNo,J48_minNumObj,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,J48_numFolds,Aggregator,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,SimpleCart_useOneSE"
10,49,0.00000000,0.00000000,0.00000000,0.76116488,0002,0124,0067,0.25593793,"PART,JRip,J48,J48_useLaplace,DecisionTable,J48_binarySplits,PART_binarySplits,DecisionTable_useIBk,DecisionTable_crossVal,BestFirst_searchTermination,J48_minNumObj,JRip_minNo,PART_confidenceFactorValue,J48_useMDLcorrection,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,JRip_usePruning,J48_pruning,J48_subtreeRaising,PART_pruning,JRip_checkErrorRate,J48_numFolds,Aggregator,J48_collapseTree,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,PART_numFolds,SimpleCart_heuristic,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_optimizations,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,JRip_folds,PART_minNumObj"
11,49,0.00000000,0.00000000,0.00000000,0.76116488,0003,0100,0071,0.21579285,"SimpleCart,J48,JRip,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_checkErrorRate,JRip_minNo,J48_minNumObj,SimpleCart_heuristic,J48_collapseTree,J48_pruning,J48_confidenceFactorValue,J48_useLaplace,J48_subtreeRaising,J48_numFolds,JRip_usePruning,JRip_folds,DecisionTable,DecisionTable_useIBk,DecisionTable_search,BestFirst_searchTermination,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_evaluationMeasure,PART_numFolds,PART_minNumObj,PART_useMDLcorrection,DecisionTable_crossVal,PART_binarySplits,PART_confidenceFactorValue,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,SimpleCart_useOneSE,Aggregator,GreedyStepwise_searchBackwards"
