individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,true,false,null,4,true,true,0,3,true,true,0.15,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,10,true,null,mae,CompetenceBasedAggregator,true,true,2,5,null,null,true,null,null,false,4,null,null,0.8470371151256858,-DecisionTable -E mae -X 4 -S weka.attributeSelection.BestFirst -SimpleCart -C 1.0 -S 1 -N 10 -M 2 -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 0 -JRip -N 5 -P -J48 -C 0.15 -A -M 4 -S -B 
gen_000_ind_000,true,confidenceFactor,true,false,null,4,true,true,0,3,true,true,0.15,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,10,true,null,mae,CompetenceBasedAggregator,true,true,2,5,null,null,true,null,null,false,4,null,null,null,-DecisionTable -E mae -X 4 -S weka.attributeSelection.BestFirst -SimpleCart -C 1.0 -S 1 -N 10 -M 2 -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 0 -JRip -N 5 -P -J48 -C 0.15 -A -M 4 -S -B 
gen_000_ind_001,true,reducedErrorPruning,false,true,null,1,false,true,null,null,true,true,null,true,3,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,acc,CompetenceBasedAggregator,true,false,2,10,9,5,true,3,true,false,2,true,null,null,-DecisionTable -E acc -X 1 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -R -Q 1 -M 2 -N 5 -SimpleCart -U -M 2 -Aggregator CompetenceBasedAggregator -JRip -N 10 -O 3 -F 9 -J48 -R -Q 1 -A -O -M 2 -N 3 
gen_000_ind_002,true,unpruned,true,null,0.35,10,false,true,1,3,true,true,null,true,null,9,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,5,true,false,mae,MajorityVotingAggregator,false,true,4,8,null,null,false,null,null,false,8,null,null,null,-DecisionTable -E mae -X 10 -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -C 0.35 -M 9 -SimpleCart -C 1.0 -S 1 -N 5 -M 4 -Aggregator MajorityVotingAggregator -BestFirst -N 3 -D 1 -JRip -N 8 -P -J48 -U -M 8 -J 
gen_000_ind_003,null,unpruned,true,null,0.15,6,true,false,1,3,true,true,null,true,null,3,true,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,7,true,true,auc,CompetenceBasedAggregator,false,true,10,null,null,null,true,null,null,true,4,null,null,null,-DecisionTable -E auc -X 6 -S weka.attributeSelection.BestFirst -PART -B -C 0.15 -M 3 -SimpleCart -C 1.0 -S 1 -N 7 -M 10 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 1 -J48 -doNotMakeSplitPointActualValue -U -M 4 -B 
gen_000_ind_004,null,unpruned,true,null,null,9,false,false,null,null,true,true,null,true,null,8,false,unpruned,true,null,true,weka.attributeSelection.GreedyStepwise,false,true,10,false,false,auc,CompetenceBasedAggregator,false,true,8,null,null,null,false,null,true,true,7,false,null,null,-DecisionTable -E auc -I -X 9 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -U -M 8 -SimpleCart -C 1.0 -S 1 -H -N 10 -M 8 -Aggregator CompetenceBasedAggregator -J48 -doNotMakeSplitPointActualValue -U -M 7 -J 
gen_000_ind_005,false,unpruned,null,null,null,9,true,true,2,2,true,true,null,true,7,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,MajorityVotingAggregator,true,true,null,2,5,4,true,null,null,true,2,null,null,null,-DecisionTable -E auc -I -X 9 -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 2 -N 4 -Aggregator MajorityVotingAggregator -BestFirst -N 2 -D 2 -JRip -N 2 -E -O 7 -F 5 -J48 -doNotMakeSplitPointActualValue -U -A -M 2 -B 
gen_000_ind_006,null,unpruned,false,null,0.35,6,true,false,null,null,true,true,null,true,null,6,null,confidenceFactor,true,null,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,CompetenceBasedAggregator,false,true,7,null,null,null,true,null,false,false,8,true,null,null,-DecisionTable -E auc -I -X 6 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -doNotMakeSplitPointActualValue -B -C 0.35 -M 6 -SimpleCart -U -M 7 -Aggregator CompetenceBasedAggregator -J48 -U -M 8 -B 
gen_000_ind_007,false,unpruned,false,null,0.25,6,false,true,null,null,true,true,null,true,10,9,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,mae,MajorityVotingAggregator,false,false,5,8,7,null,false,null,true,false,6,true,null,null,-DecisionTable -E mae -I -X 6 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -doNotMakeSplitPointActualValue -C 0.25 -M 9 -SimpleCart -U -M 5 -Aggregator MajorityVotingAggregator -JRip -N 8 -E -O 10 -F 7 -J48 -U -O -M 6 -J 
gen_000_ind_008,false,unpruned,false,null,null,2,false,true,null,null,true,true,null,true,5,7,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,CompetenceBasedAggregator,true,true,5,10,3,null,true,null,true,true,7,false,null,null,-DecisionTable -E auc -X 2 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -doNotMakeSplitPointActualValue -B -U -M 7 -SimpleCart -U -H -M 5 -Aggregator CompetenceBasedAggregator -JRip -N 10 -E -O 5 -F 3 -J48 -doNotMakeSplitPointActualValue -U -A -M 7 
