gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.97314344,0222,0100,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,JRip,JRip_usePruning,SimpleCart_heuristic,J48,PART,J48_binarySplits,DecisionTable,J48_useMDLcorrection,PART_pruning,J48_collapseTree,JRip_minNo,DecisionTable_useIBk,Aggregator,JRip_checkErrorRate,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_folds,JRip_optimizations,J48_useLaplace,J48_minNumObj,PART_useMDLcorrection,DecisionTable_search,DecisionTable_crossVal,PART_numFolds,SimpleCart_usePrune,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_minNumObj,BestFirst_searchTermination,SimpleCart_useOneSE,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.97314344,0219,0100,0035,0.00000000,"Aggregator,JRip,J48,J48_pruning,PART,J48_confidenceFactorValue,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_useIBk,SimpleCart,JRip_usePruning,DecisionTable_search,SimpleCart_minNumObj,PART_useMDLcorrection,J48_binarySplits,BestFirst_searchTermination,PART_minNumObj,JRip_checkErrorRate,PART_binarySplits,J48_collapseTree,J48_useMDLcorrection,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_heuristic,J48_subtreeRaising,J48_minNumObj,PART_pruning,SimpleCart_numFoldsPruning,BestFirst_direction,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,JRip_optimizations,JRip_folds,DecisionTable_crossVal,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,PART_numFolds"
2,49,0.00000000,0.00000000,0.00000000,0.97314344,0199,0100,0035,0.00000000,"Aggregator,SimpleCart,SimpleCart_heuristic,PART,PART_pruning,PART_minNumObj,SimpleCart_minNumObj,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_numFolds,JRip,JRip_checkErrorRate,J48,JRip_usePruning,DecisionTable,J48_minNumObj,SimpleCart_usePrune,PART_confidenceFactorValue,PART_binarySplits,SimpleCart_numFoldsPruning,J48_pruning,J48_binarySplits,JRip_optimizations,J48_useMDLcorrection,DecisionTable_crossVal,J48_collapseTree,DecisionTable_evaluationMeasure,J48_subtreeRaising,JRip_folds,JRip_minNo,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,DecisionTable_search,J48_numFolds,J48_useLaplace,DecisionTable_useIBk,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination"
3,49,0.00000000,0.00000000,0.00000000,0.97314344,0189,0100,0035,0.00000000,"Aggregator,J48,PART,J48_useMDLcorrection,DecisionTable,SimpleCart,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_pruning,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip,PART_minNumObj,JRip_checkErrorRate,J48_useLaplace,SimpleCart_heuristic,J48_binarySplits,DecisionTable_crossVal,JRip_usePruning,J48_subtreeRaising,JRip_minNo,DecisionTable_evaluationMeasure,J48_collapseTree,SimpleCart_minNumObj,JRip_optimizations,J48_numFolds,J48_minNumObj,PART_binarySplits,PART_pruning,SimpleCart_useOneSE,DecisionTable_search,JRip_folds,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,PART_numFolds,BestFirst_searchTermination,PART_confidenceFactorValue,BestFirst_direction"
4,49,0.00000000,0.00000000,0.00000000,0.97314344,0232,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,Aggregator,SimpleCart_minNumObj,JRip,PART,SimpleCart_usePrune,PART_binarySplits,PART_minNumObj,J48,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,DecisionTable,JRip_minNo,SimpleCart_numFoldsPruning,J48_pruning,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_binarySplits,J48_collapseTree,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_pruning,J48_numFolds,DecisionTable_useIBk,J48_useMDLcorrection,PART_useMDLcorrection,J48_useLaplace,JRip_folds,PART_numFolds,J48_subtreeRaising,J48_minNumObj,PART_confidenceFactorValue,JRip_optimizations,DecisionTable_search,DecisionTable_crossVal,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
5,49,0.00000000,0.00000000,0.00000000,0.97314344,0210,0100,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,J48,SimpleCart_usePrune,J48_pruning,Aggregator,PART,PART_binarySplits,DecisionTable,SimpleCart_heuristic,JRip,DecisionTable_useIBk,J48_collapseTree,J48_minNumObj,SimpleCart_numFoldsPruning,J48_binarySplits,J48_subtreeRaising,PART_pruning,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_numFolds,DecisionTable_crossVal,DecisionTable_search,PART_useMDLcorrection,JRip_minNo,PART_minNumObj,JRip_optimizations,DecisionTable_evaluationMeasure,J48_useMDLcorrection,SimpleCart_useOneSE,PART_numFolds,J48_useLaplace,PART_confidenceFactorValue,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_folds,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
6,49,0.00000000,0.00000000,0.00000000,0.97314344,0223,0100,0035,0.00000000,"PART,PART_useMDLcorrection,Aggregator,JRip,J48,J48_minNumObj,J48_useMDLcorrection,JRip_usePruning,J48_pruning,J48_binarySplits,JRip_checkErrorRate,PART_pruning,DecisionTable,DecisionTable_evaluationMeasure,PART_minNumObj,J48_subtreeRaising,J48_confidenceFactorValue,JRip_optimizations,DecisionTable_crossVal,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_collapseTree,SimpleCart,J48_useLaplace,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_folds,DecisionTable_search,SimpleCart_heuristic,SimpleCart_usePrune,J48_numFolds,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_numFolds,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,BestFirst_direction,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
7,49,0.00000000,0.00000000,0.00000000,0.97314344,0221,0100,0035,0.00000000,"SimpleCart,JRip,SimpleCart_heuristic,JRip_minNo,SimpleCart_usePrune,Aggregator,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,SimpleCart_numFoldsPruning,DecisionTable_search,PART,PART_pruning,JRip_usePruning,PART_minNumObj,PART_useMDLcorrection,BestFirst_searchTermination,J48,SimpleCart_minNumObj,PART_binarySplits,SimpleCart_useOneSE,DecisionTable_crossVal,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds,JRip_checkErrorRate,J48_useMDLcorrection,J48_useLaplace,J48_collapseTree,J48_binarySplits,JRip_folds,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_pruning,BestFirst_direction,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
8,49,0.00000000,0.00000000,0.00000000,0.97314344,0243,0100,0035,0.00000000,"PART,J48,J48_doNotMakeSplitPointActualValue,JRip,J48_collapseTree,J48_pruning,PART_minNumObj,J48_useMDLcorrection,PART_pruning,PART_binarySplits,PART_useMDLcorrection,DecisionTable,SimpleCart,Aggregator,J48_useLaplace,J48_minNumObj,J48_subtreeRaising,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_confidenceFactorValue,PART_numFolds,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart_heuristic,J48_binarySplits,JRip_checkErrorRate,DecisionTable_useIBk,DecisionTable_crossVal,JRip_minNo,JRip_optimizations,BestFirst_direction,J48_numFolds,SimpleCart_minNumObj,JRip_folds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
9,49,0.00000000,0.00000000,0.00000000,0.97314344,0250,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_usePrune,PART,PART_useMDLcorrection,PART_minNumObj,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48,PART_pruning,J48_binarySplits,J48_useMDLcorrection,DecisionTable_crossVal,J48_collapseTree,JRip,DecisionTable_search,SimpleCart_useOneSE,PART_numFolds,J48_minNumObj,BestFirst_direction,PART_binarySplits,SimpleCart_heuristic,JRip_checkErrorRate,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_useLaplace,J48_pruning,JRip_usePruning,DecisionTable_useIBk,J48_numFolds,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,JRip_minNo,BestFirst_searchTermination,JRip_folds,J48_subtreeRaising,J48_confidenceFactorValue,JRip_optimizations"
