gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.94370464,0305,0100,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART,DecisionTable_search,PART_pruning,JRip,J48,J48_doNotMakeSplitPointActualValue,SimpleCart,PART_binarySplits,GreedyStepwise_searchBackwards,J48_collapseTree,J48_binarySplits,PART_minNumObj,J48_pruning,JRip_checkErrorRate,JRip_minNo,PART_numFolds,J48_useLaplace,PART_useMDLcorrection,DecisionTable_useIBk,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,J48_confidenceFactorValue,J48_minNumObj,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_confidenceFactorValue,JRip_optimizations,J48_subtreeRaising,SimpleCart_usePrune,J48_numFolds,SimpleCart_numFoldsPruning,JRip_folds,SimpleCart_useOneSE"
1,49,0.00000000,0.00000000,0.00000000,0.94370464,0327,0100,0035,0.00000000,"PART,Aggregator,PART_pruning,PART_binarySplits,JRip,J48,PART_doNotMakeSplitPointActualValue,SimpleCart,J48_minNumObj,SimpleCart_heuristic,PART_useMDLcorrection,DecisionTable,PART_confidenceFactorValue,J48_useMDLcorrection,PART_numFolds,JRip_usePruning,PART_minNumObj,SimpleCart_minNumObj,J48_useLaplace,DecisionTable_evaluationMeasure,DecisionTable_search,J48_binarySplits,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_collapseTree,SimpleCart_numFoldsPruning,JRip_optimizations,JRip_minNo,J48_pruning,JRip_folds,J48_numFolds,DecisionTable_useIBk,BestFirst_direction,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,SimpleCart_useOneSE,BestFirst_searchTermination,J48_subtreeRaising"
2,49,0.00000000,0.00000000,0.00000000,0.94370464,0288,0100,0035,0.00000000,"DecisionTable,Aggregator,JRip,DecisionTable_useIBk,DecisionTable_evaluationMeasure,JRip_checkErrorRate,PART,SimpleCart,JRip_minNo,DecisionTable_crossVal,JRip_usePruning,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,PART_minNumObj,J48,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_minNumObj,J48_binarySplits,SimpleCart_heuristic,JRip_folds,BestFirst_searchTermination,PART_useMDLcorrection,J48_useMDLcorrection,SimpleCart_usePrune,PART_pruning,JRip_optimizations,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_confidenceFactorValue,BestFirst_direction,J48_minNumObj,J48_subtreeRaising,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning"
3,49,0.00000000,0.00000000,0.00000000,0.94370464,0280,0100,0035,0.00000000,"DecisionTable,SimpleCart,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART,Aggregator,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable_crossVal,PART_pruning,J48,DecisionTable_search,J48_useMDLcorrection,PART_numFolds,PART_minNumObj,PART_useMDLcorrection,J48_collapseTree,J48_pruning,BestFirst_searchTermination,JRip,PART_confidenceFactorValue,DecisionTable_useIBk,JRip_minNo,J48_subtreeRaising,GreedyStepwise_searchBackwards,BestFirst_direction,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,PART_binarySplits,SimpleCart_numFoldsPruning,JRip_checkErrorRate,SimpleCart_useOneSE,J48_minNumObj,JRip_usePruning,J48_confidenceFactorValue,J48_useLaplace,J48_numFolds,JRip_optimizations,JRip_folds"
4,49,0.00000000,0.00000000,0.00000000,0.94370464,0301,0100,0035,0.00000000,"JRip,SimpleCart,JRip_checkErrorRate,J48,J48_collapseTree,J48_minNumObj,PART,SimpleCart_heuristic,PART_minNumObj,J48_useMDLcorrection,DecisionTable,JRip_minNo,PART_binarySplits,PART_doNotMakeSplitPointActualValue,Aggregator,J48_pruning,J48_numFolds,J48_confidenceFactorValue,JRip_usePruning,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_minNumObj,J48_binarySplits,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_pruning,J48_subtreeRaising,DecisionTable_crossVal,PART_useMDLcorrection,JRip_optimizations,JRip_folds,DecisionTable_search,SimpleCart_useOneSE,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction,PART_numFolds,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination"
5,49,0.00000000,0.00000000,0.00000000,0.94370464,0303,0100,0035,0.00000000,"JRip,JRip_minNo,JRip_usePruning,JRip_optimizations,J48,J48_useLaplace,SimpleCart,J48_binarySplits,DecisionTable,DecisionTable_search,BestFirst_direction,SimpleCart_usePrune,Aggregator,J48_doNotMakeSplitPointActualValue,J48_pruning,GreedyStepwise_searchBackwards,DecisionTable_crossVal,J48_minNumObj,PART,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_minNumObj,DecisionTable_useIBk,J48_confidenceFactorValue,SimpleCart_heuristic,J48_subtreeRaising,PART_pruning,PART_useMDLcorrection,J48_collapseTree,JRip_folds,SimpleCart_minNumObj,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_useMDLcorrection,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_numFolds,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.94370464,0300,0120,0069,0.24212825,"J48,J48_doNotMakeSplitPointActualValue,SimpleCart,J48_useLaplace,SimpleCart_heuristic,J48_binarySplits,J48_collapseTree,J48_useMDLcorrection,J48_pruning,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_minNumObj,J48_numFolds,J48_subtreeRaising,J48_minNumObj,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,DecisionTable,DecisionTable_useIBk,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,Aggregator,PART,PART_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_numFolds,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_folds,JRip_minNo,JRip_optimizations,DecisionTable_evaluationMeasure"
7,49,0.00000000,0.00000000,0.00000000,0.94370464,0259,0115,0069,0.24212825,"J48,J48_doNotMakeSplitPointActualValue,SimpleCart,J48_binarySplits,SimpleCart_heuristic,J48_useLaplace,SimpleCart_usePrune,J48_collapseTree,SimpleCart_numFoldsPruning,J48_minNumObj,SimpleCart_useOneSE,SimpleCart_minNumObj,BestFirst_direction,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,J48_useMDLcorrection,PART_confidenceFactorValue,DecisionTable,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART,PART_doNotMakeSplitPointActualValue,Aggregator,PART_useMDLcorrection,PART_binarySplits,PART_pruning,GreedyStepwise_conservativeForwardSelection,PART_numFolds,DecisionTable_useIBk,JRip,JRip_checkErrorRate,JRip_minNo,JRip_usePruning,JRip_folds,JRip_optimizations,PART_minNumObj,DecisionTable_evaluationMeasure"
8,49,0.00000000,0.00000000,0.00000000,0.94370464,0304,0104,0069,0.24212825,"J48,J48_binarySplits,SimpleCart,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_heuristic,SimpleCart_minNumObj,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,PART_confidenceFactorValue,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_useIBk,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,Aggregator,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,PART_pruning,PART_numFolds,JRip,JRip_minNo,JRip_usePruning,JRip_folds,JRip_checkErrorRate,JRip_optimizations,DecisionTable_evaluationMeasure,PART_minNumObj"
9,49,0.00000000,0.00000000,0.00000000,0.94370464,0245,0106,0069,0.24212825,"J48,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart,J48_binarySplits,SimpleCart_heuristic,J48_collapseTree,SimpleCart_minNumObj,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_minNumObj,J48_useMDLcorrection,BestFirst_direction,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,DecisionTable,DecisionTable_useIBk,DecisionTable_search,BestFirst_searchTermination,Aggregator,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_pruning,PART_numFolds,JRip,JRip_checkErrorRate,JRip_minNo,JRip_usePruning,JRip_folds,JRip_optimizations"
