classifier,someClassifier-J48,someClassifier-J48,someClassifier-JRip,someClassifier-JRip,someClassifier-Individual,someClassifier-Individual,someClassifier-DecisionTable,someClassifier-DecisionTable,someClassifier-SimpleCart,someClassifier-SimpleCart,someClassifier-PART,someClassifier-PART
metric,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
banana,0.9399111094990028,0.0,0.8811527121419392,0.0,0.9530641860925718,0.0,,,,,,
banknotes,,,,,0.9971031797254851,0.0,,,,,,
car,,,0.9219190406101172,0.0,0.9942506199184646,0.0,,,,,,
contraceptive,,,,,0.7167313314933225,0.0,0.7142699841285256,0.0,0.6956269280936528,0.0,,
diabetic,0.6699490816512094,0.0,0.6347896587258289,0.0,0.7279596290234588,0.0,,,0.6940928653694611,0.0,,
flare,,,,,0.9223167545371344,0.0,0.9157775190176237,0.0,,,0.9027736942889925,0.0
krvskp,0.9964219052069735,0.0,,,0.9982729483242125,0.0,,,0.9977161639716186,0.0,0.9973022052034813,0.0
page-blocks,,,,,0.9827125320697169,0.0,,,,,,
penbased,,,,,0.9988278822549777,0.0,0.9564777675665382,0.0,,,0.9877813963641598,0.0
phoneme,0.8943504155335086,0.0,,,0.9323099184390393,0.0,,,0.877448827053375,0.0,,
ring,,,,,0.981367447203183,0.0,0.835168946600058,0.0,,,,
seismicbumps,,,,,0.7462559091573664,0.0,,,,,,
splice,0.9722305853405394,0.0,,,0.9857245322697059,0.0,,,,,,
steelfaults,,,,,1.0,0.0,,,,,,
texture,0.9771341272727273,0.0,,,0.9974014727272728,0.0,,,0.9778320727272728,0.0,,
thyroid,,,,,0.998569896243355,0.0,,,,,0.9909030662108763,0.0
titanic,0.7090065981366636,0.0,,,0.7572513427538489,0.0,0.7388327244923966,0.0,,,,
turkiye,,,,,0.8407506606180625,0.0,,,,,,
twonorm,,,,,0.9757343156763215,0.0,,,,,,
waveform,0.8905432049836589,0.0,,,0.9455567835084749,0.0,0.8702214031627146,0.0,0.8761613671142624,0.0,,
