gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.95079244,0015,0100,0035,0.00000000,"DecisionTable,J48,Aggregator,JRip,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,SimpleCart,J48_pruning,SimpleCart_usePrune,DecisionTable_search,J48_useMDLcorrection,J48_useLaplace,PART,DecisionTable_evaluationMeasure,JRip_checkErrorRate,J48_confidenceFactorValue,DecisionTable_crossVal,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,PART_minNumObj,SimpleCart_useOneSE,J48_collapseTree,J48_minNumObj,J48_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,J48_numFolds,PART_pruning,BestFirst_direction,JRip_minNo,SimpleCart_heuristic,GreedyStepwise_searchBackwards,JRip_usePruning,BestFirst_searchTermination,JRip_folds,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations"
1,49,0.00000000,0.00000000,0.00000000,0.95079244,0014,0100,0035,0.00000000,"DecisionTable,JRip,DecisionTable_useIBk,Aggregator,DecisionTable_search,JRip_usePruning,SimpleCart,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,JRip_minNo,JRip_folds,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,DecisionTable_crossVal,JRip_checkErrorRate,BestFirst_searchTermination,BestFirst_direction,PART,J48,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,J48_useLaplace,JRip_optimizations,PART_pruning,SimpleCart_numFoldsPruning,J48_minNumObj,PART_numFolds,PART_useMDLcorrection,SimpleCart_useOneSE,J48_pruning,PART_minNumObj,J48_confidenceFactorValue,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_collapseTree,PART_binarySplits,PART_confidenceFactorValue,J48_useMDLcorrection,J48_subtreeRaising"
2,49,0.00000000,0.00000000,0.00000000,0.95079244,0013,0100,0035,0.00000000,"J48,J48_pruning,J48_collapseTree,J48_minNumObj,J48_useLaplace,J48_confidenceFactorValue,J48_binarySplits,SimpleCart,J48_doNotMakeSplitPointActualValue,Aggregator,PART,JRip,SimpleCart_minNumObj,J48_subtreeRaising,J48_useMDLcorrection,SimpleCart_usePrune,DecisionTable,J48_numFolds,PART_minNumObj,PART_binarySplits,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,JRip_usePruning,DecisionTable_evaluationMeasure,JRip_minNo,JRip_checkErrorRate,DecisionTable_crossVal,DecisionTable_search,SimpleCart_useOneSE,BestFirst_searchTermination,SimpleCart_numFoldsPruning,JRip_optimizations,PART_numFolds,BestFirst_direction,JRip_folds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards"
3,49,0.00000000,0.00000000,0.00000000,0.95079244,0013,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,PART,Aggregator,SimpleCart_useOneSE,DecisionTable,DecisionTable_crossVal,PART_pruning,JRip,DecisionTable_search,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,J48,JRip_minNo,J48_pruning,JRip_checkErrorRate,PART_minNumObj,J48_useLaplace,JRip_usePruning,JRip_optimizations,J48_collapseTree,GreedyStepwise_searchBackwards,BestFirst_direction,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_useMDLcorrection,JRip_folds,J48_minNumObj,PART_numFolds,J48_useMDLcorrection,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_numFolds,J48_binarySplits"
4,49,0.00000000,0.00000000,0.00000000,0.95079244,0012,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart,PART,DecisionTable_search,Aggregator,J48,JRip,PART_binarySplits,JRip_usePruning,SimpleCart_heuristic,PART_useMDLcorrection,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_minNumObj,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,DecisionTable_useIBk,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_folds,JRip_optimizations,J48_useMDLcorrection,J48_minNumObj,PART_confidenceFactorValue,J48_binarySplits,SimpleCart_usePrune,BestFirst_direction,J48_pruning,J48_numFolds,JRip_checkErrorRate,PART_numFolds,J48_useLaplace,JRip_minNo,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning"
5,49,0.00000000,0.00000000,0.00000000,0.95079244,0014,0100,0035,0.00000000,"PART,DecisionTable,PART_useMDLcorrection,JRip,JRip_minNo,Aggregator,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,J48,J48_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_usePruning,JRip_folds,J48_binarySplits,PART_pruning,PART_minNumObj,PART_binarySplits,J48_pruning,DecisionTable_crossVal,J48_useMDLcorrection,J48_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart_usePrune,J48_collapseTree,PART_confidenceFactorValue,J48_numFolds,JRip_optimizations,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_subtreeRaising,BestFirst_direction,BestFirst_searchTermination"
6,49,0.00000000,0.00000000,0.00000000,0.95079244,0020,0100,0066,0.25982528,"DecisionTable,DecisionTable_search,Aggregator,PART,SimpleCart,J48,JRip,JRip_usePruning,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_optimizations,PART_pruning,PART_useMDLcorrection,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_minNumObj,JRip_folds,J48_binarySplits,DecisionTable_crossVal,J48_pruning,J48_confidenceFactorValue,PART_binarySplits,JRip_checkErrorRate,PART_minNumObj,DecisionTable_useIBk,BestFirst_searchTermination,JRip_minNo,BestFirst_direction,PART_numFolds,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,J48_subtreeRaising,SimpleCart_heuristic,J48_numFolds,J48_useLaplace,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
7,49,0.00000000,0.00000000,0.00000000,0.95079244,0014,0100,0066,0.25982528,"DecisionTable,Aggregator,SimpleCart,DecisionTable_search,JRip,J48,PART,JRip_usePruning,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_minNumObj,JRip_optimizations,JRip_folds,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,PART_pruning,DecisionTable_crossVal,PART_useMDLcorrection,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,PART_binarySplits,J48_subtreeRaising,J48_numFolds,JRip_checkErrorRate,DecisionTable_useIBk,PART_minNumObj,SimpleCart_heuristic,PART_numFolds,BestFirst_direction,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_collapseTree,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_minNo,PART_confidenceFactorValue,SimpleCart_numFoldsPruning"
8,49,0.00000000,0.00000000,0.00000000,0.95079244,0015,0100,0066,0.25982528,"SimpleCart,DecisionTable,PART,Aggregator,JRip,J48,DecisionTable_search,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_minNumObj,JRip_optimizations,PART_useMDLcorrection,PART_pruning,DecisionTable_crossVal,JRip_folds,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,J48_pruning,J48_binarySplits,J48_confidenceFactorValue,PART_binarySplits,DecisionTable_useIBk,J48_numFolds,J48_subtreeRaising,PART_minNumObj,JRip_checkErrorRate,J48_useLaplace,SimpleCart_heuristic,BestFirst_direction,PART_numFolds,J48_collapseTree,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,JRip_minNo,BestFirst_searchTermination,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.95079244,0018,0100,0066,0.25982528,"DecisionTable,PART,DecisionTable_search,Aggregator,SimpleCart,PART_doNotMakeSplitPointActualValue,JRip,J48,J48_useMDLcorrection,JRip_usePruning,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_folds,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,PART_binarySplits,J48_useLaplace,J48_numFolds,PART_minNumObj,JRip_checkErrorRate,DecisionTable_useIBk,J48_subtreeRaising,PART_useMDLcorrection,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_minNo,BestFirst_direction,J48_minNumObj,JRip_optimizations,GreedyStepwise_searchBackwards,DecisionTable_crossVal,PART_pruning,PART_numFolds,J48_collapseTree,SimpleCart_usePrune,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
