gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"J48,PART,PART_minNumObj,PART_useMDLcorrection,DecisionTable,JRip,DecisionTable_useIBk,PART_pruning,J48_useMDLcorrection,Aggregator,DecisionTable_search,J48_minNumObj,J48_pruning,PART_numFolds,BestFirst_searchTermination,PART_confidenceFactorValue,BestFirst_direction,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_collapseTree,J48_useLaplace,GreedyStepwise_searchBackwards,PART_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_minNumObj,J48_subtreeRaising,DecisionTable_crossVal,J48_binarySplits,JRip_minNo,DecisionTable_evaluationMeasure,JRip_usePruning,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
1,49,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"J48,DecisionTable,DecisionTable_crossVal,JRip,J48_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,DecisionTable_evaluationMeasure,Aggregator,J48_collapseTree,JRip_folds,DecisionTable_useIBk,PART,JRip_checkErrorRate,SimpleCart,PART_minNumObj,DecisionTable_search,PART_useMDLcorrection,J48_minNumObj,PART_doNotMakeSplitPointActualValue,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_pruning,J48_useMDLcorrection,SimpleCart_usePrune,BestFirst_direction,PART_binarySplits,J48_binarySplits,J48_subtreeRaising,JRip_minNo,SimpleCart_heuristic,SimpleCart_minNumObj,PART_pruning,PART_confidenceFactorValue,J48_numFolds,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_numFolds"
2,49,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"DecisionTable,J48,DecisionTable_search,DecisionTable_evaluationMeasure,Aggregator,SimpleCart,BestFirst_searchTermination,SimpleCart_heuristic,BestFirst_direction,J48_pruning,PART,DecisionTable_crossVal,J48_binarySplits,J48_subtreeRaising,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,PART_binarySplits,GreedyStepwise_searchBackwards,JRip,J48_useLaplace,PART_pruning,SimpleCart_minNumObj,SimpleCart_usePrune,J48_collapseTree,J48_useMDLcorrection,DecisionTable_useIBk,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,JRip_minNo,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,PART_minNumObj,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_folds,PART_numFolds,PART_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"J48,PART,J48_doNotMakeSplitPointActualValue,JRip,Aggregator,PART_minNumObj,J48_pruning,DecisionTable,PART_useMDLcorrection,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,JRip_minNo,J48_minNumObj,J48_useLaplace,DecisionTable_crossVal,J48_collapseTree,J48_useMDLcorrection,J48_numFolds,SimpleCart_useOneSE,PART_pruning,J48_binarySplits,JRip_checkErrorRate,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_search,JRip_usePruning,JRip_optimizations,SimpleCart_numFoldsPruning,J48_subtreeRaising,SimpleCart_minNumObj,DecisionTable_useIBk,JRip_folds,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_numFolds,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
4,49,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"DecisionTable,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,Aggregator,DecisionTable_search,BestFirst_searchTermination,J48,PART,PART_minNumObj,DecisionTable_useIBk,PART_useMDLcorrection,J48_minNumObj,J48_pruning,DecisionTable_crossVal,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip,J48_useMDLcorrection,SimpleCart_usePrune,PART_pruning,PART_binarySplits,JRip_minNo,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,J48_binarySplits,BestFirst_direction,J48_useLaplace,J48_collapseTree,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_useOneSE,JRip_optimizations,JRip_folds,J48_subtreeRaising,PART_numFolds,SimpleCart_numFoldsPruning"
5,49,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"SimpleCart,J48,J48_pruning,SimpleCart_minNumObj,J48_useMDLcorrection,J48_subtreeRaising,J48_numFolds,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,JRip,J48_useLaplace,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,Aggregator,PART,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_numFoldsPruning,DecisionTable_useIBk,PART_minNumObj,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_crossVal,J48_confidenceFactorValue,JRip_usePruning,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_optimizations,SimpleCart_useOneSE,JRip_minNo,PART_pruning,PART_useMDLcorrection,PART_binarySplits,JRip_folds,PART_numFolds,PART_confidenceFactorValue"
6,49,0.00000000,0.00000000,0.00000000,0.98989496,0003,0100,0035,0.00000000,"J48,J48_useMDLcorrection,SimpleCart,SimpleCart_minNumObj,PART,J48_doNotMakeSplitPointActualValue,DecisionTable,Aggregator,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_minNumObj,JRip,DecisionTable_useIBk,J48_binarySplits,PART_binarySplits,J48_useLaplace,J48_collapseTree,J48_pruning,PART_pruning,SimpleCart_usePrune,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_subtreeRaising,DecisionTable_search,PART_minNumObj,SimpleCart_useOneSE,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,SimpleCart_numFoldsPruning,PART_numFolds,JRip_usePruning,JRip_folds,JRip_minNo,J48_numFolds,BestFirst_searchTermination,BestFirst_direction,JRip_optimizations"
7,49,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,PART,PART_minNumObj,PART_binarySplits,J48,Aggregator,DecisionTable_useIBk,J48_useLaplace,JRip,J48_binarySplits,PART_useMDLcorrection,PART_pruning,SimpleCart,J48_collapseTree,PART_numFolds,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_searchBackwards,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,JRip_minNo,J48_minNumObj,PART_confidenceFactorValue,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_pruning,BestFirst_direction,BestFirst_searchTermination,SimpleCart_heuristic,J48_confidenceFactorValue,JRip_usePruning,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_optimizations,JRip_folds,J48_numFolds,SimpleCart_useOneSE,J48_subtreeRaising,SimpleCart_numFoldsPruning"
8,49,0.00000000,0.00000000,0.00000000,0.98989496,0001,0100,0035,0.00000000,"J48,JRip,J48_pruning,J48_numFolds,Aggregator,JRip_checkErrorRate,J48_minNumObj,J48_binarySplits,J48_useLaplace,SimpleCart,J48_doNotMakeSplitPointActualValue,J48_collapseTree,DecisionTable,SimpleCart_minNumObj,PART,J48_useMDLcorrection,J48_subtreeRaising,JRip_usePruning,PART_useMDLcorrection,JRip_minNo,DecisionTable_evaluationMeasure,JRip_optimizations,J48_confidenceFactorValue,SimpleCart_heuristic,PART_minNumObj,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,SimpleCart_usePrune,DecisionTable_search,PART_binarySplits,JRip_folds,PART_pruning,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,BestFirst_searchTermination,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction,PART_numFolds,GreedyStepwise_searchBackwards"
9,49,0.00000000,0.00000000,0.00000000,0.98989496,0002,0100,0035,0.00000000,"J48,J48_pruning,PART,Aggregator,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable,JRip,JRip_minNo,PART_useMDLcorrection,JRip_checkErrorRate,J48_confidenceFactorValue,PART_numFolds,J48_useMDLcorrection,SimpleCart,J48_useLaplace,SimpleCart_heuristic,J48_numFolds,PART_minNumObj,DecisionTable_search,J48_collapseTree,J48_minNumObj,DecisionTable_evaluationMeasure,BestFirst_searchTermination,PART_confidenceFactorValue,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_binarySplits,DecisionTable_useIBk,DecisionTable_crossVal,JRip_usePruning,SimpleCart_usePrune,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,BestFirst_direction,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_useOneSE,JRip_folds"
