gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99183777,0007,0100,0035,0.00000000,"PART,JRip,DecisionTable,PART_binarySplits,PART_minNumObj,SimpleCart,DecisionTable_crossVal,Aggregator,PART_doNotMakeSplitPointActualValue,J48,JRip_usePruning,SimpleCart_minNumObj,JRip_minNo,PART_useMDLcorrection,JRip_folds,J48_binarySplits,PART_pruning,DecisionTable_useIBk,DecisionTable_search,J48_pruning,JRip_checkErrorRate,SimpleCart_heuristic,PART_numFolds,J48_useMDLcorrection,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,J48_numFolds,DecisionTable_evaluationMeasure,J48_minNumObj,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,J48_collapseTree,J48_confidenceFactorValue,BestFirst_direction,J48_subtreeRaising,BestFirst_searchTermination,GreedyStepwise_searchBackwards"
1,49,0.00000000,0.00000000,0.00000000,0.99183777,0005,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,J48,PART,PART_minNumObj,JRip,SimpleCart_useOneSE,J48_collapseTree,J48_pruning,Aggregator,PART_binarySplits,JRip_usePruning,DecisionTable,DecisionTable_useIBk,DecisionTable_search,J48_binarySplits,SimpleCart_minNumObj,J48_subtreeRaising,JRip_minNo,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_numFolds,SimpleCart_numFoldsPruning,JRip_checkErrorRate,BestFirst_searchTermination,JRip_folds,J48_minNumObj,J48_useMDLcorrection,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,JRip_optimizations,DecisionTable_evaluationMeasure,J48_useLaplace,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_confidenceFactorValue,DecisionTable_crossVal,PART_numFolds,GreedyStepwise_searchBackwards,PART_confidenceFactorValue"
2,49,0.00000000,0.00000000,0.00000000,0.99183777,0005,0100,0035,0.00000000,"Aggregator,J48,JRip,JRip_usePruning,J48_useLaplace,JRip_checkErrorRate,J48_collapseTree,SimpleCart,J48_useMDLcorrection,J48_pruning,SimpleCart_minNumObj,DecisionTable,J48_doNotMakeSplitPointActualValue,DecisionTable_search,J48_subtreeRaising,JRip_minNo,J48_numFolds,DecisionTable_crossVal,JRip_optimizations,J48_binarySplits,PART,GreedyStepwise_conservativeForwardSelection,JRip_folds,PART_useMDLcorrection,SimpleCart_usePrune,J48_minNumObj,SimpleCart_heuristic,PART_binarySplits,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,DecisionTable_useIBk,PART_pruning,BestFirst_searchTermination,PART_minNumObj,PART_numFolds,SimpleCart_useOneSE,PART_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.99183777,0006,0100,0035,0.00000000,"J48,J48_minNumObj,J48_binarySplits,J48_collapseTree,J48_useMDLcorrection,Aggregator,SimpleCart,DecisionTable,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip,J48_useLaplace,JRip_usePruning,JRip_checkErrorRate,PART,PART_binarySplits,DecisionTable_search,J48_pruning,J48_numFolds,BestFirst_direction,DecisionTable_crossVal,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,JRip_minNo,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_subtreeRaising,JRip_folds,PART_useMDLcorrection,PART_pruning,J48_confidenceFactorValue,PART_numFolds,PART_minNumObj,SimpleCart_useOneSE,BestFirst_searchTermination,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.99183777,0006,0100,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,SimpleCart_heuristic,JRip,SimpleCart_usePrune,Aggregator,JRip_minNo,J48,J48_pruning,JRip_checkErrorRate,DecisionTable,J48_confidenceFactorValue,PART,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,SimpleCart_useOneSE,J48_numFolds,J48_minNumObj,PART_binarySplits,DecisionTable_useIBk,SimpleCart_numFoldsPruning,PART_pruning,J48_subtreeRaising,J48_binarySplits,J48_collapseTree,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,JRip_usePruning,DecisionTable_search,BestFirst_direction,PART_minNumObj,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,GreedyStepwise_searchBackwards,JRip_optimizations,PART_numFolds,BestFirst_searchTermination,JRip_folds"
5,49,0.00000000,0.00000000,0.00000000,0.99183777,0004,0100,0035,0.00000000,"JRip,SimpleCart,SimpleCart_heuristic,J48,PART,JRip_minNo,J48_useLaplace,J48_useMDLcorrection,DecisionTable,PART_minNumObj,J48_minNumObj,JRip_checkErrorRate,SimpleCart_usePrune,Aggregator,JRip_usePruning,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,PART_binarySplits,J48_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_search,JRip_optimizations,JRip_folds,J48_collapseTree,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,BestFirst_direction,J48_numFolds,DecisionTable_useIBk,PART_pruning,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.99183777,0005,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,BestFirst_searchTermination,JRip,Aggregator,GreedyStepwise_searchBackwards,PART,J48,PART_binarySplits,PART_minNumObj,PART_useMDLcorrection,JRip_checkErrorRate,PART_pruning,DecisionTable_evaluationMeasure,BestFirst_direction,JRip_minNo,DecisionTable_useIBk,PART_numFolds,J48_useMDLcorrection,SimpleCart,J48_useLaplace,DecisionTable_crossVal,J48_pruning,J48_minNumObj,J48_subtreeRaising,J48_numFolds,J48_binarySplits,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,SimpleCart_heuristic,J48_collapseTree,SimpleCart_minNumObj,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_optimizations,JRip_folds,SimpleCart_useOneSE"
7,49,0.00000000,0.00000000,0.00000000,0.99183777,0005,0100,0035,0.00000000,"DecisionTable,SimpleCart,SimpleCart_minNumObj,Aggregator,DecisionTable_crossVal,SimpleCart_usePrune,PART,DecisionTable_search,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,J48,J48_minNumObj,SimpleCart_heuristic,J48_pruning,JRip,BestFirst_searchTermination,J48_collapseTree,J48_numFolds,PART_binarySplits,J48_subtreeRaising,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_useLaplace,PART_doNotMakeSplitPointActualValue,JRip_minNo,JRip_checkErrorRate,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,PART_pruning,PART_minNumObj,BestFirst_direction,J48_binarySplits,J48_useMDLcorrection,JRip_optimizations,PART_numFolds,PART_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.99183777,0005,0100,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_evaluationMeasure,SimpleCart,SimpleCart_minNumObj,JRip,J48,PART,J48_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_search,PART_minNumObj,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_pruning,DecisionTable_useIBk,JRip_minNo,JRip_checkErrorRate,J48_subtreeRaising,BestFirst_searchTermination,J48_useMDLcorrection,PART_useMDLcorrection,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_minNumObj,JRip_usePruning,PART_binarySplits,J48_useLaplace,PART_confidenceFactorValue,J48_binarySplits,SimpleCart_numFoldsPruning,J48_collapseTree,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,PART_numFolds,J48_numFolds,JRip_optimizations,JRip_folds"
9,49,0.00000000,0.00000000,0.00000000,0.99183777,0005,0100,0035,0.00000000,"Aggregator,JRip,JRip_usePruning,JRip_optimizations,JRip_minNo,PART,DecisionTable,J48,DecisionTable_useIBk,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart,JRip_checkErrorRate,J48_collapseTree,J48_pruning,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,DecisionTable_evaluationMeasure,PART_pruning,J48_numFolds,J48_binarySplits,SimpleCart_heuristic,PART_minNumObj,DecisionTable_search,J48_minNumObj,J48_useMDLcorrection,BestFirst_searchTermination,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_minNumObj,DecisionTable_crossVal,SimpleCart_usePrune,J48_useLaplace,PART_numFolds,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection"
