gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.71468501,0011,0100,0035,0.00000000,"PART,PART_pruning,JRip,Aggregator,JRip_usePruning,PART_confidenceFactorValue,J48,J48_collapseTree,J48_minNumObj,PART_minNumObj,PART_binarySplits,JRip_folds,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,JRip_minNo,PART_useMDLcorrection,SimpleCart,J48_useLaplace,J48_pruning,SimpleCart_heuristic,DecisionTable,J48_numFolds,J48_useMDLcorrection,JRip_checkErrorRate,JRip_optimizations,J48_subtreeRaising,PART_numFolds,J48_confidenceFactorValue,DecisionTable_search,J48_binarySplits,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,BestFirst_direction,DecisionTable_useIBk,DecisionTable_crossVal,BestFirst_searchTermination,SimpleCart_useOneSE"
1,49,0.00000000,0.00000000,0.00000000,0.71468501,0010,0100,0035,0.00000000,"Aggregator,SimpleCart,PART,SimpleCart_usePrune,PART_minNumObj,J48,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_pruning,J48_binarySplits,SimpleCart_heuristic,PART_pruning,J48_subtreeRaising,SimpleCart_numFoldsPruning,JRip,JRip_checkErrorRate,JRip_minNo,DecisionTable,PART_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_useIBk,J48_useMDLcorrection,PART_useMDLcorrection,DecisionTable_search,J48_collapseTree,PART_numFolds,PART_confidenceFactorValue,PART_binarySplits,J48_useLaplace,DecisionTable_evaluationMeasure,DecisionTable_crossVal,JRip_usePruning,BestFirst_direction,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_searchTermination,JRip_optimizations"
2,49,0.00000000,0.00000000,0.00000000,0.71468501,0009,0100,0035,0.00000000,"SimpleCart,JRip,JRip_usePruning,PART,JRip_optimizations,SimpleCart_heuristic,SimpleCart_minNumObj,J48,JRip_minNo,J48_minNumObj,PART_binarySplits,PART_useMDLcorrection,J48_useLaplace,SimpleCart_usePrune,Aggregator,DecisionTable,DecisionTable_search,JRip_folds,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,BestFirst_searchTermination,J48_binarySplits,J48_useMDLcorrection,PART_minNumObj,PART_pruning,J48_doNotMakeSplitPointActualValue,J48_collapseTree,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_useIBk,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_numFolds,PART_numFolds,J48_confidenceFactorValue"
3,49,0.00000000,0.00000000,0.00000000,0.71468501,0009,0100,0035,0.00000000,"JRip,Aggregator,PART,PART_binarySplits,JRip_usePruning,J48,J48_useLaplace,J48_binarySplits,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_minNo,PART_pruning,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_folds,J48_pruning,PART_confidenceFactorValue,DecisionTable,SimpleCart,JRip_optimizations,DecisionTable_evaluationMeasure,J48_minNumObj,PART_minNumObj,SimpleCart_minNumObj,J48_numFolds,SimpleCart_heuristic,DecisionTable_search,J48_confidenceFactorValue,PART_numFolds,SimpleCart_usePrune,DecisionTable_crossVal,DecisionTable_useIBk,SimpleCart_useOneSE,J48_subtreeRaising,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_numFoldsPruning,BestFirst_searchTermination"
4,49,0.00000000,0.00000000,0.00000000,0.71468501,0009,0100,0035,0.00000000,"J48,JRip,J48_pruning,J48_binarySplits,DecisionTable,J48_subtreeRaising,SimpleCart,SimpleCart_usePrune,J48_minNumObj,Aggregator,DecisionTable_useIBk,PART,JRip_checkErrorRate,DecisionTable_search,PART_binarySplits,DecisionTable_evaluationMeasure,J48_collapseTree,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_crossVal,SimpleCart_numFoldsPruning,J48_useLaplace,BestFirst_searchTermination,J48_useMDLcorrection,PART_useMDLcorrection,SimpleCart_heuristic,PART_pruning,SimpleCart_useOneSE,JRip_usePruning,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_minNo,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_numFolds,PART_numFolds,JRip_folds,JRip_optimizations,PART_confidenceFactorValue"
5,49,0.00000000,0.00000000,0.00000000,0.71468501,0008,0100,0035,0.00000000,"JRip,J48,J48_binarySplits,JRip_usePruning,J48_useLaplace,JRip_folds,JRip_minNo,DecisionTable,J48_doNotMakeSplitPointActualValue,SimpleCart,DecisionTable_useIBk,J48_useMDLcorrection,SimpleCart_minNumObj,PART,Aggregator,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_optimizations,J48_pruning,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_minNumObj,J48_collapseTree,J48_subtreeRaising,DecisionTable_crossVal,PART_useMDLcorrection,PART_minNumObj,BestFirst_direction,BestFirst_searchTermination,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,PART_binarySplits,PART_pruning,J48_numFolds,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,PART_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.71468501,0009,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,JRip,J48,BestFirst_direction,DecisionTable_crossVal,SimpleCart,JRip_usePruning,J48_collapseTree,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,SimpleCart_usePrune,JRip_checkErrorRate,J48_binarySplits,J48_minNumObj,J48_useLaplace,PART,PART_minNumObj,Aggregator,PART_binarySplits,JRip_folds,BestFirst_searchTermination,J48_pruning,DecisionTable_useIBk,JRip_optimizations,JRip_minNo,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,J48_numFolds,PART_pruning,J48_useMDLcorrection,SimpleCart_minNumObj,PART_useMDLcorrection,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds,J48_subtreeRaising,PART_confidenceFactorValue"
7,49,0.00000000,0.00000000,0.00000000,0.71468501,0008,0100,0035,0.00000000,"PART,SimpleCart,J48,Aggregator,PART_minNumObj,SimpleCart_minNumObj,DecisionTable,PART_doNotMakeSplitPointActualValue,JRip,SimpleCart_usePrune,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,J48_useMDLcorrection,SimpleCart_heuristic,J48_useLaplace,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_binarySplits,PART_useMDLcorrection,J48_collapseTree,PART_pruning,J48_minNumObj,DecisionTable_useIBk,J48_binarySplits,J48_pruning,DecisionTable_search,JRip_checkErrorRate,JRip_minNo,JRip_usePruning,SimpleCart_useOneSE,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,JRip_optimizations,BestFirst_searchTermination,PART_numFolds,J48_numFolds,J48_subtreeRaising,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_folds"
8,49,0.00000000,0.00000000,0.00000000,0.71468501,0010,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_minNumObj,SimpleCart_heuristic,JRip,SimpleCart_usePrune,J48,SimpleCart_useOneSE,J48_collapseTree,DecisionTable,DecisionTable_crossVal,JRip_checkErrorRate,PART,J48_useMDLcorrection,DecisionTable_search,J48_doNotMakeSplitPointActualValue,PART_pruning,JRip_minNo,DecisionTable_useIBk,J48_binarySplits,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_pruning,JRip_usePruning,BestFirst_direction,J48_minNumObj,DecisionTable_evaluationMeasure,PART_numFolds,PART_confidenceFactorValue,PART_minNumObj,PART_useMDLcorrection,PART_binarySplits,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,JRip_folds,JRip_optimizations,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.71468501,0009,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,SimpleCart_usePrune,JRip,PART,Aggregator,J48,JRip_checkErrorRate,JRip_usePruning,DecisionTable,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,JRip_folds,JRip_optimizations,J48_minNumObj,PART_pruning,SimpleCart_numFoldsPruning,DecisionTable_search,BestFirst_direction,J48_useLaplace,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_pruning,J48_confidenceFactorValue,JRip_minNo,PART_doNotMakeSplitPointActualValue,PART_numFolds,PART_minNumObj,PART_confidenceFactorValue,J48_useMDLcorrection,PART_binarySplits,J48_collapseTree,DecisionTable_crossVal,PART_useMDLcorrection,J48_subtreeRaising,DecisionTable_useIBk,J48_binarySplits,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_numFolds"
