gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.72448980,0015,0100,0035,0.00000000,"J48,PART,J48_binarySplits,J48_useLaplace,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_useIBk,JRip,PART_pruning,PART_confidenceFactorValue,SimpleCart,J48_pruning,J48_minNumObj,JRip_checkErrorRate,JRip_minNo,JRip_usePruning,J48_collapseTree,SimpleCart_minNumObj,SimpleCart_heuristic,DecisionTable_crossVal,J48_useMDLcorrection,Aggregator,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,DecisionTable_search,PART_binarySplits,J48_numFolds,PART_minNumObj,PART_numFolds,SimpleCart_usePrune,DecisionTable_evaluationMeasure,JRip_optimizations,BestFirst_searchTermination,J48_subtreeRaising,SimpleCart_numFoldsPruning,JRip_folds,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
1,49,0.00000000,0.00000000,0.00000000,0.72448980,0013,0100,0035,0.00000000,"JRip,SimpleCart,SimpleCart_heuristic,Aggregator,JRip_minNo,PART,DecisionTable,SimpleCart_minNumObj,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_folds,J48,J48_minNumObj,DecisionTable_useIBk,J48_pruning,JRip_checkErrorRate,SimpleCart_usePrune,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_optimizations,J48_subtreeRaising,PART_minNumObj,SimpleCart_numFoldsPruning,J48_useLaplace,J48_confidenceFactorValue,PART_pruning,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,J48_numFolds,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_numFolds,PART_confidenceFactorValue,BestFirst_searchTermination"
2,49,0.00000000,0.00000000,0.00000000,0.72448980,0012,0100,0035,0.00000000,"J48,J48_binarySplits,JRip,J48_collapseTree,SimpleCart,Aggregator,JRip_checkErrorRate,SimpleCart_minNumObj,DecisionTable,J48_useMDLcorrection,J48_minNumObj,PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,JRip_minNo,J48_useLaplace,SimpleCart_usePrune,BestFirst_searchTermination,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,BestFirst_direction,PART_minNumObj,DecisionTable_useIBk,DecisionTable_crossVal,PART_binarySplits,JRip_optimizations,PART_pruning,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,JRip_folds,PART_confidenceFactorValue,PART_numFolds"
3,49,0.00000000,0.00000000,0.00000000,0.72448980,0015,0100,0035,0.00000000,"DecisionTable,SimpleCart,DecisionTable_useIBk,DecisionTable_search,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip,SimpleCart_minNumObj,J48,SimpleCart_usePrune,Aggregator,PART,BestFirst_searchTermination,J48_binarySplits,J48_collapseTree,BestFirst_direction,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_useLaplace,JRip_checkErrorRate,JRip_usePruning,SimpleCart_numFoldsPruning,JRip_minNo,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_minNumObj,SimpleCart_useOneSE,PART_binarySplits,J48_pruning,PART_pruning,PART_minNumObj,PART_useMDLcorrection,JRip_folds,PART_numFolds,JRip_optimizations,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,PART_confidenceFactorValue"
4,49,0.00000000,0.00000000,0.00000000,0.72448980,0012,0100,0035,0.00000000,"J48,Aggregator,J48_minNumObj,PART,J48_useLaplace,JRip,J48_collapseTree,JRip_minNo,J48_pruning,DecisionTable,J48_useMDLcorrection,J48_numFolds,PART_pruning,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_usePruning,J48_binarySplits,SimpleCart,J48_doNotMakeSplitPointActualValue,JRip_folds,J48_confidenceFactorValue,JRip_optimizations,DecisionTable_search,PART_minNumObj,SimpleCart_heuristic,PART_useMDLcorrection,SimpleCart_usePrune,PART_binarySplits,DecisionTable_useIBk,JRip_checkErrorRate,PART_numFolds,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48_subtreeRaising,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,BestFirst_direction"
5,49,0.00000000,0.00000000,0.00000000,0.72448980,0011,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,Aggregator,DecisionTable_evaluationMeasure,SimpleCart,SimpleCart_heuristic,J48,SimpleCart_usePrune,JRip,PART,J48_collapseTree,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_binarySplits,PART_pruning,JRip_minNo,J48_useMDLcorrection,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_search,PART_binarySplits,PART_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,DecisionTable_crossVal,PART_useMDLcorrection,JRip_usePruning,J48_minNumObj,J48_useLaplace,SimpleCart_minNumObj,BestFirst_searchTermination,J48_pruning,J48_confidenceFactorValue,J48_numFolds,JRip_optimizations,JRip_folds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,J48_subtreeRaising"
6,49,0.00000000,0.00000000,0.00000000,0.72448980,0013,0100,0035,0.00000000,"SimpleCart,J48,J48_pruning,Aggregator,SimpleCart_usePrune,SimpleCart_minNumObj,J48_collapseTree,SimpleCart_useOneSE,J48_binarySplits,JRip,JRip_checkErrorRate,J48_minNumObj,J48_useLaplace,DecisionTable,JRip_minNo,PART,J48_useMDLcorrection,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,SimpleCart_heuristic,J48_numFolds,PART_useMDLcorrection,PART_pruning,BestFirst_searchTermination,J48_subtreeRaising,BestFirst_direction,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_folds,DecisionTable_crossVal,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations"
7,49,0.00000000,0.00000000,0.00000000,0.72448980,0012,0100,0035,0.00000000,"J48,J48_pruning,J48_collapseTree,J48_confidenceFactorValue,DecisionTable,DecisionTable_evaluationMeasure,J48_useMDLcorrection,SimpleCart,SimpleCart_usePrune,DecisionTable_crossVal,J48_subtreeRaising,JRip,JRip_minNo,PART,PART_useMDLcorrection,PART_binarySplits,Aggregator,DecisionTable_search,BestFirst_searchTermination,J48_useLaplace,J48_minNumObj,J48_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,SimpleCart_heuristic,J48_binarySplits,SimpleCart_minNumObj,JRip_checkErrorRate,JRip_usePruning,DecisionTable_useIBk,BestFirst_direction,SimpleCart_useOneSE,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,JRip_folds,PART_numFolds,PART_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.72448980,0013,0100,0035,0.00000000,"SimpleCart,J48,JRip,JRip_checkErrorRate,DecisionTable,J48_minNumObj,Aggregator,DecisionTable_evaluationMeasure,PART,J48_useMDLcorrection,JRip_usePruning,J48_pruning,J48_confidenceFactorValue,DecisionTable_search,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,BestFirst_direction,J48_numFolds,DecisionTable_crossVal,JRip_minNo,DecisionTable_useIBk,PART_minNumObj,JRip_folds,GreedyStepwise_searchBackwards,PART_binarySplits,SimpleCart_minNumObj,J48_binarySplits,J48_collapseTree,J48_useLaplace,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,PART_pruning,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_numFolds,BestFirst_searchTermination,PART_useMDLcorrection,PART_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.72448980,0013,0100,0035,0.00000000,"SimpleCart,J48,DecisionTable,JRip,SimpleCart_heuristic,Aggregator,J48_minNumObj,SimpleCart_minNumObj,DecisionTable_search,BestFirst_direction,PART,J48_useLaplace,JRip_minNo,PART_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_useIBk,GreedyStepwise_searchBackwards,PART_binarySplits,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_usePruning,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_pruning,J48_collapseTree,JRip_folds,J48_binarySplits,J48_pruning,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,BestFirst_searchTermination,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_confidenceFactorValue,JRip_optimizations,PART_numFolds,J48_numFolds"
