gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.91850896,0010,0100,0035,0.00000000,"SimpleCart,J48,Aggregator,PART,SimpleCart_heuristic,DecisionTable,PART_doNotMakeSplitPointActualValue,PART_minNumObj,J48_binarySplits,SimpleCart_usePrune,SimpleCart_minNumObj,JRip,J48_minNumObj,SimpleCart_numFoldsPruning,JRip_checkErrorRate,DecisionTable_useIBk,PART_binarySplits,DecisionTable_crossVal,J48_useMDLcorrection,PART_pruning,J48_collapseTree,J48_pruning,JRip_minNo,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_confidenceFactorValue,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,JRip_usePruning,DecisionTable_search,PART_useMDLcorrection,J48_subtreeRaising,J48_numFolds,PART_numFolds,BestFirst_searchTermination,JRip_folds,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
1,49,0.00000000,0.00000000,0.00000000,0.91850896,0008,0100,0035,0.00000000,"PART,SimpleCart,PART_binarySplits,SimpleCart_heuristic,PART_useMDLcorrection,J48,JRip,JRip_checkErrorRate,PART_pruning,JRip_usePruning,J48_collapseTree,J48_useLaplace,J48_doNotMakeSplitPointActualValue,Aggregator,J48_minNumObj,SimpleCart_minNumObj,J48_useMDLcorrection,PART_minNumObj,PART_confidenceFactorValue,DecisionTable,J48_binarySplits,PART_doNotMakeSplitPointActualValue,JRip_optimizations,JRip_minNo,SimpleCart_usePrune,DecisionTable_crossVal,PART_numFolds,J48_pruning,DecisionTable_useIBk,JRip_folds,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable_search,BestFirst_direction,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_subtreeRaising,BestFirst_searchTermination"
2,49,0.00000000,0.00000000,0.00000000,0.91850896,0008,0100,0035,0.00000000,"SimpleCart,DecisionTable,PART,PART_binarySplits,J48,SimpleCart_usePrune,DecisionTable_search,J48_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_minNumObj,DecisionTable_crossVal,JRip,J48_useLaplace,SimpleCart_heuristic,BestFirst_direction,PART_minNumObj,J48_binarySplits,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,Aggregator,GreedyStepwise_searchBackwards,PART_numFolds,SimpleCart_useOneSE,J48_pruning,JRip_usePruning,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable_useIBk,BestFirst_searchTermination,J48_useMDLcorrection,J48_numFolds,PART_useMDLcorrection,J48_collapseTree,J48_minNumObj,J48_confidenceFactorValue,J48_subtreeRaising,JRip_folds,JRip_minNo,JRip_checkErrorRate,JRip_optimizations"
3,49,0.00000000,0.00000000,0.00000000,0.91850896,0008,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,DecisionTable_crossVal,PART,PART_useMDLcorrection,JRip,DecisionTable_search,J48,DecisionTable_evaluationMeasure,BestFirst_searchTermination,BestFirst_direction,Aggregator,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,PART_pruning,SimpleCart,J48_pruning,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_confidenceFactorValue,JRip_usePruning,J48_useMDLcorrection,PART_minNumObj,J48_numFolds,J48_useLaplace,JRip_minNo,JRip_checkErrorRate,PART_numFolds,SimpleCart_heuristic,GreedyStepwise_searchBackwards,J48_minNumObj,J48_binarySplits,PART_confidenceFactorValue,SimpleCart_minNumObj,JRip_folds,JRip_optimizations,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
4,49,0.00000000,0.00000000,0.00000000,0.91850896,0008,0100,0035,0.00000000,"PART,Aggregator,PART_useMDLcorrection,SimpleCart,JRip,DecisionTable,J48,SimpleCart_heuristic,PART_pruning,J48_pruning,JRip_checkErrorRate,PART_minNumObj,SimpleCart_usePrune,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_binarySplits,SimpleCart_minNumObj,DecisionTable_useIBk,J48_useMDLcorrection,JRip_usePruning,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_collapseTree,J48_minNumObj,J48_useLaplace,JRip_minNo,DecisionTable_search,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_numFolds,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_numFolds,J48_subtreeRaising,JRip_folds,JRip_optimizations,BestFirst_searchTermination,BestFirst_direction"
5,49,0.00000000,0.00000000,0.00000000,0.91850896,0006,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,PART,PART_minNumObj,PART_doNotMakeSplitPointActualValue,Aggregator,DecisionTable_evaluationMeasure,SimpleCart,J48,PART_pruning,SimpleCart_minNumObj,PART_numFolds,JRip,PART_binarySplits,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_crossVal,DecisionTable_search,SimpleCart_usePrune,BestFirst_direction,SimpleCart_useOneSE,J48_collapseTree,JRip_usePruning,JRip_checkErrorRate,J48_useLaplace,SimpleCart_heuristic,J48_useMDLcorrection,J48_binarySplits,PART_confidenceFactorValue,BestFirst_searchTermination,J48_pruning,J48_minNumObj,JRip_minNo,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip_folds,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_optimizations,J48_numFolds"
6,49,0.00000000,0.00000000,0.00000000,0.91850896,0008,0100,0035,0.00000000,"Aggregator,JRip,J48,JRip_checkErrorRate,JRip_minNo,J48_collapseTree,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_useLaplace,JRip_usePruning,SimpleCart,DecisionTable,SimpleCart_usePrune,DecisionTable_evaluationMeasure,J48_binarySplits,PART_useMDLcorrection,SimpleCart_useOneSE,PART_pruning,DecisionTable_crossVal,SimpleCart_numFoldsPruning,J48_minNumObj,PART_numFolds,J48_pruning,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_optimizations,PART_minNumObj,J48_subtreeRaising,SimpleCart_heuristic,J48_confidenceFactorValue,DecisionTable_search,JRip_folds,BestFirst_searchTermination,SimpleCart_minNumObj,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
7,49,0.00000000,0.00000000,0.00000000,0.91850896,0006,0100,0035,0.00000000,"JRip,J48,DecisionTable,J48_collapseTree,J48_binarySplits,JRip_minNo,SimpleCart,Aggregator,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_crossVal,J48_minNumObj,DecisionTable_search,BestFirst_searchTermination,JRip_checkErrorRate,J48_pruning,J48_useMDLcorrection,SimpleCart_heuristic,PART,JRip_usePruning,SimpleCart_usePrune,PART_binarySplits,BestFirst_direction,DecisionTable_useIBk,JRip_folds,J48_useLaplace,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_numFolds,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,SimpleCart_useOneSE,J48_subtreeRaising,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_useMDLcorrection,PART_numFolds,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.91850896,0009,0100,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart,GreedyStepwise_searchBackwards,DecisionTable_useIBk,PART,J48,BestFirst_searchTermination,PART_binarySplits,JRip,J48_minNumObj,SimpleCart_usePrune,JRip_usePruning,J48_useMDLcorrection,J48_binarySplits,SimpleCart_minNumObj,DecisionTable_crossVal,J48_pruning,PART_pruning,SimpleCart_useOneSE,JRip_minNo,JRip_optimizations,PART_confidenceFactorValue,SimpleCart_heuristic,JRip_checkErrorRate,J48_numFolds,BestFirst_direction,PART_minNumObj,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_useLaplace,J48_confidenceFactorValue,PART_numFolds,PART_useMDLcorrection,JRip_folds,J48_collapseTree"
9,49,0.00000000,0.00000000,0.00000000,0.91850896,0006,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,PART,PART_doNotMakeSplitPointActualValue,SimpleCart,DecisionTable_useIBk,SimpleCart_usePrune,PART_binarySplits,SimpleCart_numFoldsPruning,SimpleCart_heuristic,JRip,PART_minNumObj,Aggregator,PART_pruning,SimpleCart_useOneSE,JRip_minNo,J48,DecisionTable_evaluationMeasure,PART_numFolds,SimpleCart_minNumObj,JRip_usePruning,J48_collapseTree,JRip_checkErrorRate,DecisionTable_search,J48_useMDLcorrection,PART_confidenceFactorValue,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_pruning,GreedyStepwise_searchBackwards,J48_useLaplace,BestFirst_direction,J48_minNumObj,JRip_folds,JRip_optimizations,J48_subtreeRaising,BestFirst_searchTermination,J48_numFolds,J48_confidenceFactorValue"
