gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.99919100,0111,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,J48,DecisionTable_crossVal,PART,JRip,DecisionTable_search,J48_pruning,PART_pruning,J48_numFolds,Aggregator,GreedyStepwise_searchBackwards,J48_collapseTree,J48_useMDLcorrection,JRip_minNo,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART_minNumObj,J48_confidenceFactorValue,J48_useLaplace,J48_minNumObj,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_binarySplits,SimpleCart,J48_subtreeRaising,JRip_usePruning,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_numFolds,SimpleCart_usePrune,BestFirst_direction,BestFirst_searchTermination,PART_useMDLcorrection,JRip_folds,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_optimizations,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.99919100,0093,0100,0035,0.00000000,"Aggregator,J48,J48_binarySplits,J48_pruning,J48_collapseTree,DecisionTable,J48_confidenceFactorValue,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip,PART,J48_useLaplace,JRip_usePruning,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_useMDLcorrection,DecisionTable_crossVal,DecisionTable_useIBk,PART_useMDLcorrection,J48_numFolds,SimpleCart,DecisionTable_evaluationMeasure,JRip_folds,BestFirst_searchTermination,J48_minNumObj,JRip_optimizations,J48_subtreeRaising,JRip_minNo,JRip_checkErrorRate,PART_binarySplits,PART_pruning,SimpleCart_heuristic,PART_numFolds,GreedyStepwise_searchBackwards,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
2,49,0.00000000,0.00000000,0.00000000,0.99919100,0085,0100,0035,0.00000000,"JRip,JRip_usePruning,PART,JRip_checkErrorRate,JRip_minNo,JRip_folds,SimpleCart,DecisionTable,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,Aggregator,DecisionTable_crossVal,J48,JRip_optimizations,PART_minNumObj,PART_useMDLcorrection,J48_useLaplace,J48_useMDLcorrection,PART_binarySplits,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_collapseTree,PART_pruning,SimpleCart_minNumObj,J48_pruning,J48_subtreeRaising,DecisionTable_evaluationMeasure,DecisionTable_search,J48_minNumObj,J48_binarySplits,PART_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_numFolds,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
3,49,0.00000000,0.00000000,0.00000000,0.99919100,0106,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,DecisionTable_search,JRip,GreedyStepwise_searchBackwards,DecisionTable_useIBk,JRip_minNo,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,PART,Aggregator,DecisionTable_evaluationMeasure,J48,J48_useMDLcorrection,SimpleCart,J48_useLaplace,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_minNumObj,PART_binarySplits,PART_numFolds,SimpleCart_minNumObj,JRip_usePruning,J48_binarySplits,J48_pruning,J48_collapseTree,PART_confidenceFactorValue,PART_minNumObj,J48_confidenceFactorValue,SimpleCart_heuristic,J48_subtreeRaising,PART_useMDLcorrection,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,JRip_optimizations,J48_numFolds,JRip_folds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
4,49,0.00000000,0.00000000,0.00000000,0.99919100,0089,0100,0035,0.00000000,"SimpleCart,PART,JRip,JRip_usePruning,DecisionTable,DecisionTable_search,JRip_optimizations,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,PART_pruning,BestFirst_direction,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,JRip_folds,PART_minNumObj,Aggregator,SimpleCart_heuristic,J48,J48_pruning,DecisionTable_useIBk,SimpleCart_numFoldsPruning,PART_useMDLcorrection,PART_binarySplits,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,JRip_minNo,BestFirst_searchTermination,PART_numFolds,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_numFolds,SimpleCart_useOneSE,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_confidenceFactorValue,J48_collapseTree,J48_binarySplits,J48_minNumObj"
5,49,0.00000000,0.00000000,0.00000000,0.99919100,0084,0100,0035,0.00000000,"JRip,J48,J48_useLaplace,JRip_checkErrorRate,J48_collapseTree,Aggregator,J48_minNumObj,JRip_minNo,SimpleCart,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable,DecisionTable_useIBk,J48_binarySplits,PART,JRip_usePruning,J48_pruning,J48_confidenceFactorValue,PART_minNumObj,SimpleCart_minNumObj,PART_pruning,DecisionTable_evaluationMeasure,PART_useMDLcorrection,SimpleCart_usePrune,DecisionTable_crossVal,DecisionTable_search,PART_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_heuristic,PART_confidenceFactorValue,JRip_optimizations,J48_subtreeRaising,BestFirst_direction,JRip_folds,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_numFolds,SimpleCart_useOneSE,BestFirst_searchTermination"
6,49,0.00000000,0.00000000,0.00000000,0.99919100,0092,0100,0066,0.25553046,"J48,PART,PART_useMDLcorrection,PART_binarySplits,JRip,DecisionTable,SimpleCart,SimpleCart_usePrune,J48_collapseTree,DecisionTable_useIBk,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_usePruning,DecisionTable_evaluationMeasure,JRip_checkErrorRate,BestFirst_searchTermination,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,JRip_minNo,J48_minNumObj,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,PART_minNumObj,PART_pruning,SimpleCart_useOneSE,PART_confidenceFactorValue,PART_numFolds,J48_pruning,J48_numFolds,J48_subtreeRaising,Aggregator,DecisionTable_crossVal,J48_confidenceFactorValue,JRip_folds,SimpleCart_heuristic,J48_useLaplace"
7,49,0.00000000,0.00000000,0.00000000,0.99919100,0110,0100,0066,0.25553046,"J48,PART,J48_collapseTree,PART_binarySplits,JRip,DecisionTable,SimpleCart,PART_useMDLcorrection,SimpleCart_usePrune,DecisionTable_useIBk,J48_useMDLcorrection,JRip_checkErrorRate,DecisionTable_crossVal,PART_minNumObj,SimpleCart_useOneSE,SimpleCart_heuristic,J48_pruning,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_subtreeRaising,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_numFolds,GreedyStepwise_searchBackwards,JRip_usePruning,DecisionTable_evaluationMeasure,Aggregator,JRip_folds,JRip_optimizations,J48_minNumObj,J48_binarySplits,BestFirst_searchTermination,JRip_minNo,PART_pruning,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,PART_numFolds,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue"
8,49,0.00000000,0.00000000,0.00000000,0.99919100,0112,0100,0066,0.25553046,"DecisionTable,DecisionTable_useIBk,SimpleCart,PART,JRip,J48,J48_collapseTree,PART_useMDLcorrection,PART_binarySplits,SimpleCart_usePrune,J48_binarySplits,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,PART_pruning,PART_confidenceFactorValue,JRip_minNo,PART_numFolds,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,DecisionTable_crossVal,J48_confidenceFactorValue,J48_useLaplace,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_usePruning,JRip_folds,JRip_checkErrorRate,BestFirst_searchTermination,DecisionTable_evaluationMeasure,J48_numFolds,Aggregator,PART_minNumObj,JRip_optimizations,J48_minNumObj"
9,49,0.00000000,0.00000000,0.00000000,0.99919100,0104,0107,0066,0.25553046,"DecisionTable,J48,SimpleCart,JRip,PART,J48_collapseTree,SimpleCart_usePrune,DecisionTable_useIBk,PART_useMDLcorrection,PART_binarySplits,J48_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_pruning,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_numFolds,DecisionTable_search,J48_pruning,J48_numFolds,Aggregator,JRip_usePruning,JRip_checkErrorRate,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_optimizations,BestFirst_searchTermination,PART_minNumObj,SimpleCart_useOneSE,JRip_folds,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,JRip_minNo,J48_binarySplits,J48_confidenceFactorValue,J48_useLaplace"
