individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,unpruned,true,null,null,7,false,true,1,10,true,true,null,true,10,2,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,2,false,false,auc,MajorityVotingAggregator,false,true,5,9,2,10,true,null,null,true,6,null,null,0.9999212102111567,-DecisionTable -E auc -X 7 -S weka.attributeSelection.BestFirst -PART -M 2 -R -Q 1 -N 10 -SimpleCart -C 1.0 -S 1 -A -H -M 5 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 1 -JRip -N 9 -F 2 -E -O 10 -J48 -M 6 -doNotMakeSplitPointActualValue -U 
gen_000_ind_000,false,unpruned,true,null,null,7,false,true,1,10,true,true,null,true,10,2,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,2,false,false,auc,MajorityVotingAggregator,false,true,5,9,2,10,true,null,null,true,6,null,null,null,-DecisionTable -E auc -X 7 -S weka.attributeSelection.BestFirst -PART -M 2 -R -Q 1 -N 10 -SimpleCart -C 1.0 -S 1 -A -H -M 5 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 1 -JRip -N 9 -F 2 -E -O 10 -J48 -M 6 -doNotMakeSplitPointActualValue -U 
gen_000_ind_001,true,reducedErrorPruning,true,false,0.15,3,false,true,1,4,true,true,null,true,3,9,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,9,true,false,auc,CompetenceBasedAggregator,true,false,2,10,4,null,true,3,null,false,9,null,null,null,-DecisionTable -E auc -X 3 -S weka.attributeSelection.BestFirst -PART -M 9 -C 0.15 -SimpleCart -C 1.0 -S 1 -M 2 -N 9 -Aggregator CompetenceBasedAggregator -BestFirst -N 4 -D 1 -JRip -N 10 -F 4 -O 3 -J48 -O -M 9 -A -R -Q 1 -N 3 -S 
gen_000_ind_002,null,unpruned,false,null,null,4,true,false,1,8,true,true,null,true,null,7,null,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,CompetenceBasedAggregator,true,false,6,null,null,2,true,null,null,true,4,null,null,null,-DecisionTable -E mae -X 4 -S weka.attributeSelection.BestFirst -PART -M 7 -R -Q 1 -N 2 -SimpleCart -U -M 6 -Aggregator CompetenceBasedAggregator -BestFirst -N 8 -D 1 -J48 -O -B -M 4 -doNotMakeSplitPointActualValue -A -U 
gen_000_ind_003,true,confidenceFactor,false,true,0.15,6,false,true,1,5,true,true,0.25,true,null,8,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,MajorityVotingAggregator,false,false,6,10,null,null,false,null,null,false,3,null,null,null,-DecisionTable -E mae -X 6 -I -S weka.attributeSelection.BestFirst -PART -M 8 -doNotMakeSplitPointActualValue -C 0.15 -SimpleCart -U -M 6 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -JRip -P -N 10 -J48 -O -M 3 -J -C 0.25 
gen_000_ind_004,false,confidenceFactor,true,true,null,null,true,true,null,null,true,false,0.25,true,4,8,true,reducedErrorPruning,null,true,false,null,false,true,5,false,false,null,MajorityVotingAggregator,false,true,2,10,5,2,true,null,null,false,10,null,null,null,-PART -M 8 -J -R -Q 1 -N 2 -SimpleCart -C 1.0 -S 1 -A -H -M 2 -N 5 -Aggregator MajorityVotingAggregator -JRip -N 10 -F 5 -E -O 4 -J48 -B -M 10 -C 0.25 
gen_000_ind_005,false,reducedErrorPruning,false,true,0.35,1,false,true,1,1,true,true,null,true,1,5,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,acc,MajorityVotingAggregator,false,true,2,2,3,null,true,3,null,true,2,null,null,null,-DecisionTable -E acc -X 1 -S weka.attributeSelection.BestFirst -PART -B -M 5 -J -C 0.35 -SimpleCart -U -H -M 2 -Aggregator MajorityVotingAggregator -BestFirst -N 1 -D 1 -JRip -N 2 -F 3 -E -O 1 -J48 -M 2 -doNotMakeSplitPointActualValue -R -Q 1 -N 3 
gen_000_ind_006,true,null,true,null,null,3,null,true,1,2,false,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,7,false,null,rmse,CompetenceBasedAggregator,null,null,5,4,null,null,null,null,null,null,null,null,null,null,-DecisionTable -E rmse -X 3 -S weka.attributeSelection.BestFirst -SimpleCart -C 1.0 -S 1 -H -M 5 -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 1 -JRip -P -N 4 
gen_000_ind_007,null,unpruned,false,null,0.15,1,false,false,null,null,true,true,null,true,null,9,null,confidenceFactor,true,null,false,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,MajorityVotingAggregator,true,true,6,null,null,null,true,null,false,false,2,true,null,null,-DecisionTable -E auc -X 1 -I -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -B -M 9 -doNotMakeSplitPointActualValue -J -C 0.15 -SimpleCart -U -H -M 6 -Aggregator MajorityVotingAggregator -J48 -M 2 -A -U 
gen_000_ind_008,true,unpruned,false,null,0.25,9,false,true,0,9,true,true,null,true,7,2,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,mae,CompetenceBasedAggregator,false,true,5,2,9,null,true,null,null,false,2,null,null,null,-DecisionTable -E mae -X 9 -I -S weka.attributeSelection.BestFirst -PART -M 2 -doNotMakeSplitPointActualValue -C 0.25 -SimpleCart -U -H -M 5 -Aggregator CompetenceBasedAggregator -BestFirst -N 9 -D 0 -JRip -N 2 -F 9 -O 7 -J48 -M 2 -U 
gen_000_ind_009,true,reducedErrorPruning,true,true,null,1,false,true,2,9,true,true,null,true,1,3,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,5,true,false,acc,MajorityVotingAggregator,false,true,10,4,6,null,true,6,null,true,8,null,null,null,-DecisionTable -E acc -X 1 -I -S weka.attributeSelection.BestFirst -PART -M 3 -U -SimpleCart -C 1.0 -S 1 -M 10 -N 5 -Aggregator MajorityVotingAggregator -BestFirst -N 9 -D 2 -JRip -N 4 -F 6 -O 1 -J48 -M 8 -doNotMakeSplitPointActualValue -R -Q 1 -N 6 
gen_000_ind_010,true,confidenceFactor,true,false,0.25,5,false,true,null,null,true,true,0.05,true,4,8,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,7,true,false,rmse,MajorityVotingAggregator,true,false,10,5,3,null,true,null,false,true,2,true,null,null,-DecisionTable -E rmse -X 5 -I -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -M 8 -doNotMakeSplitPointActualValue -C 0.25 -SimpleCart -C 1.0 -S 1 -M 10 -N 7 -Aggregator MajorityVotingAggregator -JRip -N 5 -F 3 -O 4 -J48 -O -M 2 -doNotMakeSplitPointActualValue -A -C 0.05 -S 
gen_000_ind_011,true,reducedErrorPruning,false,true,null,5,false,true,null,null,true,true,null,true,null,5,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,CompetenceBasedAggregator,true,false,6,8,null,null,false,7,true,false,4,false,null,null,-DecisionTable -E auc -X 5 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 5 -U -SimpleCart -U -H -M 6 -Aggregator CompetenceBasedAggregator -JRip -P -N 8 -J48 -O -M 4 -J -A -R -Q 1 -N 7 
gen_000_ind_012,true,reducedErrorPruning,true,false,null,9,false,true,0,10,true,true,null,true,7,10,true,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,5,true,true,auc,CompetenceBasedAggregator,true,false,2,10,9,null,true,3,null,true,2,null,null,null,-DecisionTable -E auc -X 9 -I -S weka.attributeSelection.BestFirst -PART -B -M 10 -U -SimpleCart -C 1.0 -S 1 -A -M 2 -N 5 -Aggregator CompetenceBasedAggregator -BestFirst -N 10 -D 0 -JRip -N 10 -F 9 -O 7 -J48 -O -M 2 -doNotMakeSplitPointActualValue -A -R -Q 1 -N 3 -S 
gen_000_ind_013,true,reducedErrorPruning,false,true,null,2,false,true,0,5,true,true,null,true,3,8,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,MajorityVotingAggregator,false,false,2,8,3,null,true,8,null,false,2,null,null,null,-DecisionTable -E mae -X 2 -S weka.attributeSelection.BestFirst -PART -M 8 -doNotMakeSplitPointActualValue -U -SimpleCart -U -M 2 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 0 -JRip -N 8 -F 3 -O 3 -J48 -O -M 2 -R -Q 1 -N 8 
gen_000_ind_014,false,confidenceFactor,true,true,null,5,false,true,null,null,true,true,0.45,true,null,2,true,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,true,rmse,MajorityVotingAggregator,false,false,5,10,null,null,true,null,false,false,4,false,null,null,-DecisionTable -E rmse -X 5 -I -S weka.attributeSelection.GreedyStepwise -PART -B -M 2 -J -U -SimpleCart -C 1.0 -S 1 -A -M 5 -N 5 -Aggregator MajorityVotingAggregator -JRip -P -N 10 -E -J48 -O -M 4 -C 0.45 
gen_000_ind_015,true,reducedErrorPruning,true,false,0.25,10,true,true,null,null,true,true,null,true,1,6,false,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,3,false,false,auc,MajorityVotingAggregator,false,true,2,8,5,null,false,3,true,false,2,true,null,null,-DecisionTable -E auc -X 10 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 6 -J -C 0.25 -SimpleCart -C 1.0 -S 1 -H -M 2 -N 3 -Aggregator MajorityVotingAggregator -JRip -N 8 -F 5 -O 1 -J48 -B -M 2 -J -R -Q 1 -N 3 -S 
gen_000_ind_016,true,unpruned,false,null,null,10,false,true,1,4,true,true,null,true,3,5,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,false,false,3,2,4,6,true,null,null,false,7,null,null,null,-DecisionTable -E auc -X 10 -S weka.attributeSelection.BestFirst -PART -M 5 -J -R -Q 1 -N 6 -SimpleCart -U -M 3 -Aggregator MajorityVotingAggregator -BestFirst -N 4 -D 1 -JRip -N 2 -F 4 -O 3 -J48 -O -M 7 -U 
gen_000_ind_017,true,confidenceFactor,true,false,null,10,true,true,null,null,true,true,0.25,true,null,7,false,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,9,true,false,acc,CompetenceBasedAggregator,true,false,10,3,null,10,true,null,true,true,10,true,null,null,-DecisionTable -E acc -X 10 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 7 -J -R -Q 1 -N 10 -SimpleCart -C 1.0 -S 1 -M 10 -N 9 -Aggregator CompetenceBasedAggregator -JRip -P -N 3 -J48 -O -B -M 10 -doNotMakeSplitPointActualValue -A -C 0.25 -S 
gen_000_ind_018,false,reducedErrorPruning,true,true,0.35,8,false,true,0,1,true,true,null,true,8,2,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,10,false,false,auc,MajorityVotingAggregator,false,true,5,2,2,null,true,3,null,false,5,null,null,null,-DecisionTable -E auc -X 8 -S weka.attributeSelection.BestFirst -PART -M 2 -doNotMakeSplitPointActualValue -C 0.35 -SimpleCart -C 1.0 -S 1 -H -M 5 -N 10 -Aggregator MajorityVotingAggregator -BestFirst -N 1 -D 0 -JRip -N 2 -F 2 -E -O 8 -J48 -M 5 -R -Q 1 -N 3 
gen_000_ind_019,null,reducedErrorPruning,true,true,0.15,2,false,false,2,7,true,true,null,true,null,3,true,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,true,true,5,true,false,acc,CompetenceBasedAggregator,false,false,2,null,null,null,false,10,null,true,8,null,null,null,-DecisionTable -E acc -X 2 -I -S weka.attributeSelection.BestFirst -PART -M 3 -doNotMakeSplitPointActualValue -C 0.15 -SimpleCart -C 1.0 -S 1 -A -M 2 -N 5 -Aggregator CompetenceBasedAggregator -BestFirst -N 7 -D 2 -J48 -O -M 8 -J -doNotMakeSplitPointActualValue -R -Q 1 -N 10 
gen_000_ind_020,true,confidenceFactor,false,true,0.45,8,true,true,0,5,true,true,0.25,true,null,4,null,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,true,true,null,false,true,auc,CompetenceBasedAggregator,false,true,9,6,null,null,false,null,null,true,7,null,null,null,-DecisionTable -E auc -X 8 -I -S weka.attributeSelection.BestFirst -PART -B -M 4 -doNotMakeSplitPointActualValue -J -C 0.45 -SimpleCart -U -H -M 9 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -P -N 6 -J48 -B -M 7 -J -doNotMakeSplitPointActualValue -C 0.25 
gen_000_ind_021,true,unpruned,false,null,0.15,6,true,true,1,9,true,true,null,true,1,3,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,CompetenceBasedAggregator,false,false,7,10,7,null,true,null,null,false,4,null,null,null,-DecisionTable -E auc -X 6 -I -S weka.attributeSelection.BestFirst -PART -B -M 3 -doNotMakeSplitPointActualValue -J -C 0.15 -SimpleCart -U -M 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 9 -D 1 -JRip -N 10 -F 7 -O 1 -J48 -O -B -M 4 -U 
gen_000_ind_022,true,unpruned,true,null,0.05,1,true,true,1,1,true,true,null,true,9,4,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,7,true,false,auc,CompetenceBasedAggregator,false,true,2,8,2,null,true,null,null,false,5,null,null,null,-DecisionTable -E auc -X 1 -S weka.attributeSelection.BestFirst -PART -M 4 -doNotMakeSplitPointActualValue -C 0.05 -SimpleCart -C 1.0 -S 1 -M 2 -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 1 -D 1 -JRip -N 8 -F 2 -O 9 -J48 -B -M 5 -U 
