gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.98201931,0049,0100,0035,0.00000000,"DecisionTable,Aggregator,JRip,DecisionTable_useIBk,J48,JRip_checkErrorRate,DecisionTable_search,SimpleCart,J48_binarySplits,JRip_minNo,J48_minNumObj,DecisionTable_evaluationMeasure,J48_useMDLcorrection,SimpleCart_heuristic,PART,PART_minNumObj,J48_useLaplace,DecisionTable_crossVal,PART_useMDLcorrection,BestFirst_direction,PART_binarySplits,JRip_usePruning,PART_pruning,BestFirst_searchTermination,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_pruning,SimpleCart_usePrune,SimpleCart_minNumObj,J48_subtreeRaising,JRip_folds,J48_confidenceFactorValue,SimpleCart_useOneSE,JRip_optimizations,J48_numFolds,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.98201931,0040,0100,0035,0.00000000,"Aggregator,JRip,PART,PART_doNotMakeSplitPointActualValue,DecisionTable,JRip_usePruning,JRip_folds,PART_pruning,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart,J48,PART_useMDLcorrection,JRip_minNo,J48_useMDLcorrection,JRip_optimizations,SimpleCart_usePrune,J48_pruning,JRip_checkErrorRate,J48_collapseTree,PART_confidenceFactorValue,J48_binarySplits,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_heuristic,DecisionTable_search,PART_minNumObj,PART_numFolds,J48_minNumObj,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,J48_numFolds,BestFirst_direction,BestFirst_searchTermination,J48_confidenceFactorValue,J48_useLaplace,SimpleCart_numFoldsPruning,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection"
2,49,0.00000000,0.00000000,0.00000000,0.98201931,0039,0100,0035,0.00000000,"PART,JRip,JRip_minNo,PART_binarySplits,JRip_checkErrorRate,J48,SimpleCart,JRip_usePruning,JRip_folds,Aggregator,JRip_optimizations,SimpleCart_usePrune,J48_useLaplace,J48_collapseTree,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_minNumObj,J48_minNumObj,J48_binarySplits,PART_pruning,DecisionTable,PART_useMDLcorrection,J48_useMDLcorrection,SimpleCart_numFoldsPruning,J48_pruning,J48_numFolds,DecisionTable_search,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_confidenceFactorValue,BestFirst_direction,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,DecisionTable_useIBk,DecisionTable_crossVal,PART_numFolds,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_subtreeRaising,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection"
3,49,0.00000000,0.00000000,0.00000000,0.98201931,0037,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,SimpleCart,J48,J48_collapseTree,DecisionTable_evaluationMeasure,PART,JRip,J48_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_useIBk,J48_minNumObj,DecisionTable_search,Aggregator,JRip_usePruning,PART_minNumObj,JRip_minNo,SimpleCart_heuristic,J48_binarySplits,J48_pruning,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_useMDLcorrection,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,BestFirst_searchTermination,PART_useMDLcorrection,JRip_checkErrorRate,BestFirst_direction,SimpleCart_usePrune,PART_binarySplits,J48_confidenceFactorValue,JRip_optimizations,SimpleCart_useOneSE,PART_numFolds,GreedyStepwise_conservativeForwardSelection,JRip_folds,J48_subtreeRaising,PART_confidenceFactorValue,J48_numFolds,SimpleCart_numFoldsPruning"
4,49,0.00000000,0.00000000,0.00000000,0.98201931,0037,0100,0035,0.00000000,"DecisionTable,JRip,DecisionTable_search,JRip_checkErrorRate,GreedyStepwise_searchBackwards,BestFirst_searchTermination,Aggregator,PART,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,PART_pruning,JRip_usePruning,J48,JRip_minNo,DecisionTable_crossVal,SimpleCart,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,PART_numFolds,J48_collapseTree,BestFirst_direction,J48_useLaplace,SimpleCart_minNumObj,PART_useMDLcorrection,PART_binarySplits,JRip_folds,SimpleCart_usePrune,PART_confidenceFactorValue,JRip_optimizations,SimpleCart_useOneSE,J48_useMDLcorrection,PART_minNumObj,J48_pruning,J48_minNumObj,SimpleCart_numFoldsPruning,J48_binarySplits,J48_subtreeRaising,SimpleCart_heuristic,J48_confidenceFactorValue,J48_numFolds"
5,49,0.00000000,0.00000000,0.00000000,0.98201931,0042,0100,0035,0.00000000,"J48,DecisionTable,J48_useMDLcorrection,DecisionTable_search,J48_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_useLaplace,JRip,JRip_checkErrorRate,Aggregator,J48_collapseTree,DecisionTable_evaluationMeasure,J48_minNumObj,JRip_minNo,SimpleCart,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_useIBk,PART,J48_subtreeRaising,PART_pruning,J48_binarySplits,BestFirst_direction,GreedyStepwise_searchBackwards,J48_numFolds,PART_numFolds,J48_confidenceFactorValue,JRip_usePruning,JRip_folds,SimpleCart_heuristic,PART_minNumObj,PART_confidenceFactorValue,JRip_optimizations,SimpleCart_usePrune,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_binarySplits,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
6,49,0.00000000,0.00000000,0.00000000,0.98201931,0037,0100,0066,0.25396157,"SimpleCart,PART,PART_useMDLcorrection,J48,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_pruning,J48_numFolds,J48_useLaplace,DecisionTable,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_search,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,J48_minNumObj,PART_pruning,SimpleCart_heuristic,J48_collapseTree,PART_numFolds,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_usePrune,SimpleCart_useOneSE,PART_binarySplits,PART_minNumObj,Aggregator,SimpleCart_numFoldsPruning,BestFirst_direction,J48_subtreeRaising,JRip_folds,JRip_optimizations,JRip_minNo,PART_confidenceFactorValue,DecisionTable_crossVal,J48_confidenceFactorValue,JRip,JRip_checkErrorRate,JRip_usePruning"
7,49,0.00000000,0.00000000,0.00000000,0.98201931,0036,0100,0066,0.25396157,"PART,SimpleCart,PART_useMDLcorrection,J48,J48_binarySplits,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,PART_binarySplits,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_useLaplace,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_heuristic,JRip,JRip_usePruning,JRip_optimizations,J48_minNumObj,JRip_checkErrorRate,JRip_folds,JRip_minNo,J48_numFolds,J48_useMDLcorrection,DecisionTable,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,PART_minNumObj,Aggregator,J48_collapseTree,SimpleCart_useOneSE"
8,49,0.00000000,0.00000000,0.00000000,0.98201931,0040,0100,0066,0.25396157,"J48,SimpleCart,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useMDLcorrection,SimpleCart_heuristic,SimpleCart_minNumObj,PART_pruning,PART_confidenceFactorValue,J48_pruning,J48_numFolds,DecisionTable,J48_useLaplace,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_search,J48_subtreeRaising,GreedyStepwise_searchBackwards,PART_numFolds,BestFirst_direction,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,PART_minNumObj,BestFirst_searchTermination,PART_binarySplits,Aggregator,JRip_folds,JRip_optimizations,J48_minNumObj,JRip_minNo,J48_confidenceFactorValue,DecisionTable_crossVal,JRip,JRip_usePruning,JRip_checkErrorRate"
9,49,0.00000000,0.00000000,0.00000000,0.98201931,0038,0110,0066,0.25396157,"SimpleCart,J48,J48_doNotMakeSplitPointActualValue,PART,J48_binarySplits,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_minNumObj,J48_minNumObj,J48_useLaplace,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,BestFirst_direction,SimpleCart_useOneSE,J48_collapseTree,J48_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_binarySplits,SimpleCart_minNumObj,SimpleCart_heuristic,PART_numFolds,J48_pruning,JRip_folds,JRip_optimizations,GreedyStepwise_searchBackwards,DecisionTable_search,JRip_checkErrorRate,JRip_usePruning,J48_numFolds,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_confidenceFactorValue,JRip,DecisionTable_crossVal,BestFirst_searchTermination,JRip_minNo,Aggregator"
