gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.93225724,0052,0100,0035,0.00000000,"DecisionTable,DecisionTable_search,Aggregator,DecisionTable_evaluationMeasure,JRip,DecisionTable_useIBk,J48,BestFirst_direction,JRip_minNo,JRip_usePruning,PART,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,SimpleCart,GreedyStepwise_conservativeForwardSelection,PART_pruning,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_binarySplits,GreedyStepwise_searchBackwards,JRip_optimizations,J48_collapseTree,J48_useLaplace,PART_binarySplits,J48_minNumObj,PART_minNumObj,J48_subtreeRaising,SimpleCart_heuristic,J48_numFolds,JRip_folds,J48_useMDLcorrection,SimpleCart_usePrune,PART_numFolds,PART_useMDLcorrection,SimpleCart_minNumObj,J48_confidenceFactorValue,PART_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,49,0.00000000,0.00000000,0.00000000,0.93225724,0044,0100,0035,0.00000000,"J48,PART,PART_binarySplits,DecisionTable,J48_useMDLcorrection,DecisionTable_search,SimpleCart,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_evaluationMeasure,PART_minNumObj,PART_confidenceFactorValue,J48_minNumObj,J48_binarySplits,J48_pruning,DecisionTable_crossVal,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,PART_useMDLcorrection,DecisionTable_useIBk,Aggregator,JRip,PART_numFolds,JRip_checkErrorRate,J48_confidenceFactorValue,J48_useLaplace,J48_doNotMakeSplitPointActualValue,JRip_minNo,BestFirst_searchTermination,SimpleCart_heuristic,BestFirst_direction,J48_collapseTree,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,JRip_usePruning,JRip_folds,SimpleCart_numFoldsPruning,J48_numFolds,JRip_optimizations,SimpleCart_useOneSE"
2,49,0.00000000,0.00000000,0.00000000,0.93225724,0049,0100,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,SimpleCart,Aggregator,J48,J48_doNotMakeSplitPointActualValue,DecisionTable_search,DecisionTable_crossVal,J48_useLaplace,SimpleCart_minNumObj,BestFirst_searchTermination,BestFirst_direction,JRip,J48_binarySplits,JRip_minNo,SimpleCart_heuristic,DecisionTable_evaluationMeasure,J48_useMDLcorrection,PART,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip_usePruning,SimpleCart_usePrune,J48_collapseTree,PART_pruning,GreedyStepwise_conservativeForwardSelection,JRip_folds,JRip_checkErrorRate,PART_binarySplits,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_optimizations,PART_numFolds,J48_numFolds,PART_useMDLcorrection,PART_confidenceFactorValue,PART_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE"
3,49,0.00000000,0.00000000,0.00000000,0.93225724,0049,0100,0035,0.00000000,"PART,SimpleCart,PART_doNotMakeSplitPointActualValue,PART_minNumObj,J48,DecisionTable,JRip,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_heuristic,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,JRip_minNo,J48_collapseTree,J48_pruning,J48_minNumObj,PART_numFolds,Aggregator,J48_binarySplits,JRip_checkErrorRate,SimpleCart_minNumObj,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48_useLaplace,J48_useMDLcorrection,JRip_usePruning,JRip_optimizations,DecisionTable_search,J48_numFolds,JRip_folds,GreedyStepwise_searchBackwards,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination"
4,49,0.00000000,0.00000000,0.00000000,0.93225724,0053,0100,0035,0.00000000,"DecisionTable,Aggregator,JRip,DecisionTable_evaluationMeasure,J48,J48_useMDLcorrection,DecisionTable_search,BestFirst_direction,PART,DecisionTable_crossVal,SimpleCart,PART_minNumObj,J48_binarySplits,J48_useLaplace,DecisionTable_useIBk,JRip_minNo,JRip_usePruning,SimpleCart_heuristic,JRip_optimizations,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_useMDLcorrection,JRip_checkErrorRate,SimpleCart_minNumObj,BestFirst_searchTermination,J48_collapseTree,J48_minNumObj,SimpleCart_useOneSE,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_numFoldsPruning,J48_subtreeRaising,J48_confidenceFactorValue,PART_binarySplits,PART_pruning,JRip_folds,PART_confidenceFactorValue,PART_numFolds"
5,49,0.00000000,0.00000000,0.00000000,0.93225724,0040,0100,0035,0.00000000,"Aggregator,DecisionTable,SimpleCart,SimpleCart_minNumObj,SimpleCart_heuristic,DecisionTable_useIBk,JRip,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_checkErrorRate,DecisionTable_search,DecisionTable_crossVal,J48,PART,BestFirst_searchTermination,PART_minNumObj,J48_pruning,JRip_folds,PART_useMDLcorrection,SimpleCart_usePrune,J48_subtreeRaising,PART_pruning,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,JRip_minNo,GreedyStepwise_searchBackwards,PART_numFolds,JRip_optimizations,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_numFolds,J48_useMDLcorrection,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_binarySplits,J48_binarySplits,J48_useLaplace,J48_collapseTree,PART_confidenceFactorValue"
6,49,0.00000000,0.00000000,0.00000000,0.93225724,0046,0100,0035,0.00000000,"PART,JRip,DecisionTable,PART_useMDLcorrection,PART_minNumObj,PART_binarySplits,J48,SimpleCart,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree,JRip_minNo,SimpleCart_usePrune,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,J48_useLaplace,J48_pruning,PART_pruning,DecisionTable_useIBk,Aggregator,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,JRip_checkErrorRate,DecisionTable_crossVal,SimpleCart_heuristic,J48_minNumObj,JRip_usePruning,SimpleCart_minNumObj,DecisionTable_search,J48_confidenceFactorValue,PART_numFolds,J48_numFolds,PART_confidenceFactorValue,JRip_folds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_subtreeRaising,JRip_optimizations,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
7,49,0.00000000,0.00000000,0.00000000,0.93225724,0054,0100,0035,0.00000000,"PART,PART_pruning,J48,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_pruning,PART_binarySplits,J48_numFolds,SimpleCart,J48_binarySplits,DecisionTable,PART_useMDLcorrection,J48_useLaplace,PART_minNumObj,JRip,PART_numFolds,DecisionTable_evaluationMeasure,Aggregator,PART_confidenceFactorValue,J48_collapseTree,JRip_checkErrorRate,DecisionTable_search,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_searchBackwards,SimpleCart_heuristic,DecisionTable_useIBk,J48_confidenceFactorValue,J48_minNumObj,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_usePruning,JRip_minNo,JRip_folds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_optimizations"
8,49,0.00000000,0.00000000,0.00000000,0.93225724,0055,0100,0035,0.00000000,"J48,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip,J48_binarySplits,JRip_minNo,JRip_usePruning,SimpleCart,J48_useMDLcorrection,J48_pruning,J48_useLaplace,Aggregator,DecisionTable,PART,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,PART_minNumObj,J48_numFolds,JRip_optimizations,J48_confidenceFactorValue,SimpleCart_heuristic,PART_binarySplits,DecisionTable_crossVal,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_checkErrorRate,SimpleCart_minNumObj,PART_pruning,PART_useMDLcorrection,JRip_folds,SimpleCart_numFoldsPruning,J48_subtreeRaising,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,PART_numFolds,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,PART_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.93225724,0054,0100,0035,0.00000000,"SimpleCart,JRip,SimpleCart_minNumObj,Aggregator,JRip_usePruning,DecisionTable,JRip_optimizations,JRip_checkErrorRate,SimpleCart_heuristic,JRip_minNo,JRip_folds,J48,J48_binarySplits,J48_minNumObj,PART,SimpleCart_usePrune,PART_useMDLcorrection,J48_useLaplace,J48_pruning,DecisionTable_useIBk,DecisionTable_search,PART_binarySplits,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,DecisionTable_crossVal,BestFirst_direction,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_collapseTree,PART_pruning,J48_subtreeRaising,PART_minNumObj,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_numFolds,J48_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_confidenceFactorValue"
