gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,50,0.00000000,0.00000000,0.00000000,0.74078341,0025,0100,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,PART,JRip,DecisionTable,PART_minNumObj,SimpleCart_usePrune,Aggregator,PART_pruning,PART_useMDLcorrection,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48,J48_pruning,DecisionTable_evaluationMeasure,JRip_minNo,J48_useLaplace,DecisionTable_useIBk,PART_numFolds,PART_binarySplits,J48_subtreeRaising,JRip_usePruning,J48_binarySplits,DecisionTable_crossVal,DecisionTable_search,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_folds,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_numFolds,J48_confidenceFactorValue,J48_useMDLcorrection,BestFirst_direction,J48_collapseTree,GreedyStepwise_searchBackwards,JRip_optimizations,BestFirst_searchTermination"
1,49,0.00000000,0.00000000,0.00000000,0.74078341,0022,0100,0035,0.00000000,"Aggregator,PART,DecisionTable,J48,PART_pruning,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_collapseTree,J48_useMDLcorrection,PART_minNumObj,PART_useMDLcorrection,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart,PART_confidenceFactorValue,JRip,DecisionTable_useIBk,PART_binarySplits,JRip_minNo,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_crossVal,SimpleCart_heuristic,J48_numFolds,SimpleCart_minNumObj,J48_subtreeRaising,DecisionTable_search,PART_numFolds,JRip_usePruning,JRip_folds,BestFirst_searchTermination,JRip_checkErrorRate,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,SimpleCart_useOneSE"
2,49,0.00000000,0.00000000,0.00000000,0.74078341,0022,0100,0035,0.00000000,"PART,JRip,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,PART_minNumObj,SimpleCart,Aggregator,PART_confidenceFactorValue,J48,SimpleCart_minNumObj,JRip_minNo,PART_useMDLcorrection,SimpleCart_usePrune,DecisionTable,J48_pruning,JRip_usePruning,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_useMDLcorrection,JRip_optimizations,J48_useLaplace,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_numFoldsPruning,PART_numFolds,J48_subtreeRaising,J48_numFolds,J48_minNumObj,J48_binarySplits,DecisionTable_crossVal,J48_collapseTree,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,J48_confidenceFactorValue,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_folds,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
3,49,0.00000000,0.00000000,0.00000000,0.74078341,0021,0100,0035,0.00000000,"SimpleCart,J48,J48_useMDLcorrection,PART,Aggregator,DecisionTable,PART_pruning,J48_binarySplits,SimpleCart_minNumObj,JRip,JRip_usePruning,SimpleCart_heuristic,J48_useLaplace,J48_pruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_subtreeRaising,DecisionTable_crossVal,SimpleCart_usePrune,PART_binarySplits,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_numFolds,DecisionTable_useIBk,JRip_folds,PART_minNumObj,DecisionTable_evaluationMeasure,JRip_optimizations,JRip_minNo,DecisionTable_search,PART_confidenceFactorValue,PART_numFolds,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
4,49,0.00000000,0.00000000,0.00000000,0.74078341,0022,0100,0035,0.00000000,"PART,J48,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_binarySplits,J48_pruning,J48_useLaplace,J48_minNumObj,DecisionTable,J48_confidenceFactorValue,PART_numFolds,Aggregator,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_useMDLcorrection,J48_subtreeRaising,SimpleCart,JRip,DecisionTable_useIBk,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_heuristic,DecisionTable_crossVal,DecisionTable_evaluationMeasure,JRip_usePruning,SimpleCart_usePrune,JRip_minNo,JRip_optimizations,J48_collapseTree,DecisionTable_search,J48_numFolds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,JRip_folds,JRip_checkErrorRate,SimpleCart_useOneSE,BestFirst_searchTermination,BestFirst_direction"
5,49,0.00000000,0.00000000,0.00000000,0.74078341,0021,0100,0035,0.00000000,"DecisionTable,J48,DecisionTable_crossVal,J48_minNumObj,SimpleCart,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,SimpleCart_usePrune,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,JRip,J48_useMDLcorrection,BestFirst_direction,PART,SimpleCart_useOneSE,Aggregator,DecisionTable_useIBk,GreedyStepwise_searchBackwards,J48_binarySplits,JRip_minNo,SimpleCart_heuristic,J48_pruning,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_collapseTree,PART_pruning,PART_minNumObj,PART_binarySplits,J48_confidenceFactorValue,JRip_checkErrorRate,BestFirst_searchTermination,J48_subtreeRaising,JRip_usePruning,PART_numFolds,JRip_optimizations,PART_confidenceFactorValue,J48_numFolds,JRip_folds"
6,49,0.00000000,0.00000000,0.00000000,0.74078341,0021,0100,0035,0.00000000,"DecisionTable,PART,DecisionTable_search,SimpleCart,PART_pruning,Aggregator,PART_useMDLcorrection,BestFirst_direction,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,J48,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART_binarySplits,J48_minNumObj,DecisionTable_crossVal,JRip,J48_useLaplace,BestFirst_searchTermination,JRip_usePruning,PART_confidenceFactorValue,PART_minNumObj,JRip_checkErrorRate,J48_binarySplits,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,PART_numFolds,SimpleCart_minNumObj,JRip_folds,J48_collapseTree,J48_pruning,JRip_minNo,J48_useMDLcorrection,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_optimizations,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
7,49,0.00000000,0.00000000,0.00000000,0.74078341,0021,0100,0035,0.00000000,"PART,DecisionTable,PART_minNumObj,JRip,PART_useMDLcorrection,JRip_minNo,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,JRip_checkErrorRate,DecisionTable_crossVal,DecisionTable_useIBk,PART_numFolds,JRip_usePruning,JRip_optimizations,Aggregator,DecisionTable_search,J48,SimpleCart,JRip_folds,SimpleCart_usePrune,J48_collapseTree,PART_confidenceFactorValue,BestFirst_direction,BestFirst_searchTermination,SimpleCart_useOneSE,J48_binarySplits,J48_minNumObj,J48_pruning,J48_numFolds,SimpleCart_heuristic,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,J48_subtreeRaising,J48_confidenceFactorValue"
8,49,0.00000000,0.00000000,0.00000000,0.74078341,0021,0100,0035,0.00000000,"DecisionTable,J48,JRip,DecisionTable_useIBk,DecisionTable_evaluationMeasure,JRip_checkErrorRate,DecisionTable_crossVal,DecisionTable_search,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_minNumObj,Aggregator,JRip_minNo,BestFirst_searchTermination,SimpleCart,SimpleCart_usePrune,JRip_usePruning,J48_binarySplits,PART,PART_useMDLcorrection,BestFirst_direction,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_folds,J48_pruning,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,J48_useLaplace,PART_binarySplits,PART_pruning,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,PART_minNumObj,PART_numFolds,SimpleCart_heuristic,SimpleCart_numFoldsPruning,JRip_optimizations,J48_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue"
9,49,0.00000000,0.00000000,0.00000000,0.74078341,0024,0100,0035,0.00000000,"Aggregator,J48,J48_collapseTree,J48_doNotMakeSplitPointActualValue,DecisionTable,PART,SimpleCart,JRip,J48_binarySplits,J48_pruning,J48_minNumObj,SimpleCart_heuristic,JRip_checkErrorRate,PART_binarySplits,DecisionTable_useIBk,JRip_usePruning,DecisionTable_search,J48_useMDLcorrection,J48_useLaplace,SimpleCart_minNumObj,JRip_folds,DecisionTable_crossVal,J48_numFolds,DecisionTable_evaluationMeasure,JRip_minNo,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_minNumObj,BestFirst_searchTermination,PART_pruning,GreedyStepwise_searchBackwards,SimpleCart_usePrune,JRip_optimizations,BestFirst_direction,PART_numFolds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_confidenceFactorValue"
