,individual_last,individual_overall,learning_rate_0.13,learning_rate_0.26,learning_rate_0.52,selection_share_0.3,selection_share_0.5
banana,2,8,3,4,3,6,4
banknotes,8,2,3,3,4,3,7
car,6,4,3,3,4,7,3
contraceptive,4,6,6,0,4,5,5
diabetic,4,6,4,3,3,6,4
flare,5,5,2,4,4,6,4
krvskp,4,6,3,4,3,5,5
penbased,7,3,3,5,2,5,5
phoneme,6,4,1,6,3,5,5
ring,7,3,4,3,3,3,7
seismicbumps,6,4,4,5,1,6,4
splice,5,5,2,6,2,6,4
steelfaults,10,0,10,0,0,10,0
texture,6,4,5,2,3,3,7
thyroid,5,5,2,5,3,8,2
titanic,6,4,5,2,3,3,7
turkiye,5,5,2,3,5,4,6
twonorm,4,6,2,4,4,6,4
waveform,4,6,2,1,7,3,7
page-blocks,3,7,2,2,6,4,6
