classifier,someClassifier-Individual,someClassifier-Individual
metric,mean,std
banana,0.9576051497648624,0.0
banknotes,0.9976980336474334,0.0
car,0.9965461208137341,0.0
contraceptive,0.7313858469032696,0.0
diabetic,0.7355610110929259,0.0
flare,0.9216402298972145,0.0
krvskp,0.9981008905802996,0.0
page-blocks,0.9898638722405645,0.0
penbased,0.9989272650240866,0.0
phoneme,0.9477813661576511,0.0
ring,0.9861960635572221,0.0
seismicbumps,0.7725961304157123,0.0
splice,0.9879569442425166,0.0
steelfaults,1.0,0.0
texture,0.9981597454545456,0.0
thyroid,0.9997668521589045,0.0
titanic,0.7606297019983198,0.0
waveform,0.9484432450087251,0.0
turkiye,0.855946255634647,0.0
twonorm,0.9836086451773416,0.0
