individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,false,true,0.15,8,true,true,2,5,true,true,0.45,true,null,9,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,true,false,7,10,null,null,true,null,null,false,10,null,null,0.8920081731322667,-DecisionTable -E auc -X 8 -S weka.attributeSelection.BestFirst -PART -C 0.15 -M 9 -doNotMakeSplitPointActualValue -SimpleCart -M 7 -H -U -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 5 -JRip -P -N 10 -J48 -A -O -M 10 -B -C 0.45 
gen_000_ind_000,true,confidenceFactor,false,true,0.15,8,true,true,2,5,true,true,0.45,true,null,9,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,true,false,7,10,null,null,true,null,null,false,10,null,null,null,-DecisionTable -E auc -X 8 -S weka.attributeSelection.BestFirst -PART -C 0.15 -M 9 -doNotMakeSplitPointActualValue -SimpleCart -M 7 -H -U -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 5 -JRip -P -N 10 -J48 -A -O -M 10 -B -C 0.45 
gen_000_ind_001,true,null,false,null,null,7,null,true,2,9,false,true,null,true,null,7,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,MajorityVotingAggregator,null,null,10,6,null,null,null,null,null,null,null,null,null,null,-DecisionTable -I -E rmse -X 7 -S weka.attributeSelection.BestFirst -PART -U -M 7 -SimpleCart -M 10 -U -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 9 -JRip -P -N 6 
gen_000_ind_002,true,reducedErrorPruning,true,false,null,2,false,true,0,7,true,true,null,true,null,5,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,4,true,false,acc,RuleExtractorAggregator,true,true,8,2,null,null,false,9,null,true,2,null,null,null,-DecisionTable -E acc -X 2 -S weka.attributeSelection.BestFirst -PART -J -U -M 5 -SimpleCart -M 8 -C 1.0 -S 1 -N 4 -A -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 7 -JRip -P -N 2 -J48 -A -J -doNotMakeSplitPointActualValue -M 2 -R -Q 1 -S -N 9 
gen_000_ind_003,false,confidenceFactor,true,false,0.25,10,true,true,null,null,true,true,0.05,true,null,2,true,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,mae,MajorityVotingAggregator,false,false,5,8,null,null,false,null,false,false,3,true,null,null,-DecisionTable -E mae -X 10 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -C 0.25 -M 2 -SimpleCart -M 5 -H -C 1.0 -S 1 -N 5 -A -Aggregator MajorityVotingAggregator -JRip -E -P -N 8 -J48 -J -O -M 3 -B -C 0.05 -S 
gen_000_ind_004,false,unpruned,true,null,null,6,false,true,null,null,true,true,null,true,null,2,true,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,true,auc,RuleExtractorAggregator,true,true,2,5,null,null,true,null,false,false,5,true,null,null,-DecisionTable -E auc -X 6 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -U -M 2 -B -SimpleCart -M 2 -C 1.0 -S 1 -N 3 -A -Aggregator RuleExtractorAggregator -JRip -E -P -N 5 -J48 -A -M 5 -U 
gen_000_ind_005,false,confidenceFactor,null,true,null,2,true,true,1,3,true,true,0.25,true,8,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,acc,RuleExtractorAggregator,false,true,null,7,4,10,false,null,null,true,4,null,null,null,-DecisionTable -E acc -X 2 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -M 2 -N 10 -B -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 3 -JRip -E -N 7 -F 4 -O 8 -J48 -J -doNotMakeSplitPointActualValue -M 4 -B -C 0.25 
gen_000_ind_006,true,reducedErrorPruning,true,false,0.45,10,true,true,1,5,true,true,null,true,2,7,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,5,true,false,acc,CompetenceBasedAggregator,false,true,5,10,2,null,false,6,null,false,2,null,null,null,-DecisionTable -I -E acc -X 10 -S weka.attributeSelection.BestFirst -PART -C 0.45 -M 7 -doNotMakeSplitPointActualValue -SimpleCart -M 5 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 5 -JRip -N 10 -F 2 -O 2 -J48 -J -M 2 -B -R -Q 1 -S -N 6 
gen_000_ind_007,true,unpruned,false,null,null,4,true,true,2,9,true,true,null,true,null,3,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,false,true,2,2,null,null,true,null,null,false,3,null,null,null,-DecisionTable -E auc -X 4 -S weka.attributeSelection.BestFirst -PART -U -M 3 -SimpleCart -M 2 -H -U -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 9 -JRip -P -N 2 -J48 -M 3 -B -U 
gen_000_ind_008,true,confidenceFactor,false,true,null,1,false,true,0,5,true,true,0.45,true,6,4,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,acc,MajorityVotingAggregator,false,true,2,5,2,null,true,null,null,false,3,null,null,null,-DecisionTable -E acc -X 1 -S weka.attributeSelection.BestFirst -PART -U -M 4 -SimpleCart -M 2 -U -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 5 -JRip -N 5 -F 2 -O 6 -J48 -M 3 -C 0.45 
