individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,null,null,null,6,false,true,1,3,true,true,null,true,7,6,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,true,false,null,2,8,9,true,null,null,false,10,null,null,0.9984900776531492,-DecisionTable -I -S weka.attributeSelection.BestFirst -X 6 -E auc -PART -R -Q 1 -M 6 -N 9 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 3 -JRip -N 2 -F 8 -O 7 -J48 -U -O -M 10 -A 
gen_000_ind_000,true,unpruned,null,null,null,6,false,true,1,3,true,true,null,true,7,6,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,true,false,null,2,8,9,true,null,null,false,10,null,null,null,-DecisionTable -I -S weka.attributeSelection.BestFirst -X 6 -E auc -PART -R -Q 1 -M 6 -N 9 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 3 -JRip -N 2 -F 8 -O 7 -J48 -U -O -M 10 -A 
gen_000_ind_001,true,unpruned,false,null,0.45,3,true,true,0,3,true,true,null,true,null,2,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,MajorityVotingAggregator,false,false,8,10,null,null,true,null,null,false,3,null,null,null,-DecisionTable -I -S weka.attributeSelection.BestFirst -X 3 -E rmse -PART -C 0.45 -M 2 -SimpleCart -M 8 -U -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 3 -JRip -N 10 -P -J48 -U -B -O -M 3 
gen_000_ind_002,null,reducedErrorPruning,true,true,0.45,5,false,false,null,null,true,true,null,true,null,7,false,confidenceFactor,true,null,true,weka.attributeSelection.GreedyStepwise,true,true,4,true,false,auc,RuleExtractorAggregator,false,true,3,null,null,null,true,5,true,true,8,true,null,null,-DecisionTable -I -S weka.attributeSelection.GreedyStepwise -X 5 -E auc -GreedyStepwise -C -B -PART -C 0.45 -M 7 -doNotMakeSplitPointActualValue -SimpleCart -M 3 -C 1.0 -S 1 -N 4 -Aggregator RuleExtractorAggregator -J48 -R -Q 1 -doNotMakeSplitPointActualValue -N 5 -M 8 
gen_000_ind_003,true,unpruned,true,null,null,1,false,true,null,null,true,true,null,true,10,10,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,auc,CompetenceBasedAggregator,false,true,5,10,9,3,false,null,false,false,7,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 1 -E auc -PART -R -Q 1 -M 10 -N 3 -SimpleCart -H -M 5 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 10 -F 9 -O 10 -J48 -U -J -M 7 
gen_000_ind_004,true,confidenceFactor,true,false,0.05,4,false,true,null,null,true,true,0.15,true,10,8,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,2,true,false,acc,MajorityVotingAggregator,false,false,2,9,8,null,true,null,true,false,8,true,null,null,-DecisionTable -I -S weka.attributeSelection.GreedyStepwise -X 4 -E acc -GreedyStepwise -C -B -PART -C 0.05 -M 8 -SimpleCart -M 2 -C 1.0 -S 1 -N 2 -Aggregator MajorityVotingAggregator -JRip -N 9 -F 8 -O 10 -J48 -C 0.15 -O -M 8 -S 
gen_000_ind_005,true,confidenceFactor,false,false,0.45,1,true,true,2,9,true,true,0.25,true,1,2,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,9,2,3,null,false,null,null,true,8,null,null,null,-DecisionTable -I -S weka.attributeSelection.BestFirst -X 1 -E auc -PART -B -J -C 0.45 -M 2 -SimpleCart -M 9 -U -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 9 -JRip -N 2 -F 3 -O 1 -J48 -C 0.25 -doNotMakeSplitPointActualValue -J -B -M 8 -S 
gen_000_ind_006,true,reducedErrorPruning,false,false,null,3,false,true,1,8,true,true,null,false,2,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,RuleExtractorAggregator,false,false,5,2,9,null,false,8,null,false,4,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 3 -E auc -SimpleCart -M 5 -U -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 8 -JRip -N 2 -F 9 -O 2 -J48 -R -Q 1 -N 8 -J -O -M 4 -S 
gen_000_ind_007,true,confidenceFactor,true,true,0.35,5,true,true,2,9,true,true,0.15,true,4,10,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,2,true,false,rmse,MajorityVotingAggregator,false,true,8,3,6,null,false,null,null,false,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -E rmse -PART -C 0.35 -M 10 -doNotMakeSplitPointActualValue -SimpleCart -M 8 -C 1.0 -S 1 -A -N 2 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 9 -JRip -N 3 -F 6 -O 4 -J48 -C 0.15 -J -B -M 7 
gen_000_ind_008,false,reducedErrorPruning,true,false,null,null,false,true,null,null,true,false,null,true,null,10,false,unpruned,null,false,false,null,false,true,2,true,false,null,MajorityVotingAggregator,false,true,4,9,null,null,true,3,null,false,4,null,null,null,-PART -J -U -M 10 -SimpleCart -M 4 -C 1.0 -S 1 -N 2 -Aggregator MajorityVotingAggregator -JRip -E -N 9 -P -J48 -R -Q 1 -N 3 -M 4 -S 
gen_000_ind_009,false,null,false,null,null,8,null,true,1,7,false,true,null,false,5,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,mae,CompetenceBasedAggregator,null,null,3,2,8,null,null,null,null,null,null,null,null,null,-DecisionTable -I -S weka.attributeSelection.BestFirst -X 8 -E mae -SimpleCart -M 3 -U -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 7 -JRip -E -N 2 -F 8 -O 5 
gen_000_ind_010,null,reducedErrorPruning,true,true,0.35,7,false,false,2,5,true,true,null,true,null,4,true,confidenceFactor,false,null,false,weka.attributeSelection.BestFirst,true,true,3,false,false,auc,CompetenceBasedAggregator,true,false,2,null,null,null,false,10,null,true,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 7 -E auc -PART -J -C 0.35 -M 4 -doNotMakeSplitPointActualValue -SimpleCart -H -M 2 -C 1.0 -S 1 -A -N 3 -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 5 -J48 -R -Q 1 -doNotMakeSplitPointActualValue -N 10 -J -O -M 7 -A 
gen_000_ind_011,true,unpruned,true,null,null,1,true,true,0,10,true,true,null,true,null,4,false,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,9,true,true,mae,RuleExtractorAggregator,true,true,6,8,null,6,false,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -E mae -PART -B -J -R -Q 1 -M 4 -N 6 -SimpleCart -M 6 -C 1.0 -S 1 -N 9 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 10 -JRip -N 8 -P -J48 -U -J -B -M 2 -A 
gen_000_ind_012,false,confidenceFactor,true,false,0.15,2,true,true,0,5,true,true,0.15,true,1,5,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,5,false,false,mae,RuleExtractorAggregator,false,false,4,3,3,null,false,null,null,false,7,null,null,null,-DecisionTable -I -S weka.attributeSelection.BestFirst -X 2 -E mae -PART -C 0.15 -M 5 -SimpleCart -H -M 4 -C 1.0 -S 1 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 5 -JRip -E -N 3 -F 3 -O 1 -J48 -C 0.15 -J -B -O -M 7 -S 
gen_000_ind_013,false,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,2,9,true,reducedErrorPruning,null,true,true,null,false,true,5,false,true,null,CompetenceBasedAggregator,true,true,3,3,3,4,true,null,null,true,9,null,null,null,-PART -B -R -Q 1 -M 9 -N 4 -SimpleCart -H -M 3 -C 1.0 -S 1 -A -N 5 -Aggregator CompetenceBasedAggregator -JRip -E -N 3 -F 3 -O 2 -J48 -U -doNotMakeSplitPointActualValue -M 9 -A 
gen_000_ind_014,true,confidenceFactor,false,true,0.15,9,false,true,null,null,true,true,0.35,true,1,9,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,CompetenceBasedAggregator,true,false,5,10,10,null,true,null,true,false,4,false,null,null,-DecisionTable -I -S weka.attributeSelection.GreedyStepwise -X 9 -E rmse -GreedyStepwise -C -PART -C 0.15 -M 9 -SimpleCart -M 5 -U -Aggregator CompetenceBasedAggregator -JRip -N 10 -F 10 -O 1 -J48 -C 0.35 -O -M 4 -A 
gen_000_ind_015,true,reducedErrorPruning,true,false,null,2,false,true,null,null,true,true,null,true,2,6,true,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,9,true,false,auc,CompetenceBasedAggregator,true,true,3,2,2,null,true,8,false,false,4,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 2 -E auc -PART -J -U -M 6 -doNotMakeSplitPointActualValue -SimpleCart -M 3 -C 1.0 -S 1 -A -N 9 -Aggregator CompetenceBasedAggregator -JRip -N 2 -F 2 -O 2 -J48 -R -Q 1 -N 8 -M 4 -S -A 
