individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,unpruned,true,null,0.45,7,false,true,2,7,true,true,null,true,6,6,true,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,6,true,false,auc,RuleExtractorAggregator,false,true,10,8,5,null,true,null,null,false,6,null,null,0.8544800699748326,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 7 -PART -M 6 -C 0.45 -doNotMakeSplitPointActualValue -J -SimpleCart -C 1.0 -S 1 -N 6 -M 10 -A -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 2 -JRip -E -N 8 -F 5 -O 6 -J48 -U -M 6 
gen_000_ind_000,false,unpruned,true,null,0.45,7,false,true,2,7,true,true,null,true,6,6,true,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,6,true,false,auc,RuleExtractorAggregator,false,true,10,8,5,null,true,null,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 7 -PART -M 6 -C 0.45 -doNotMakeSplitPointActualValue -J -SimpleCart -C 1.0 -S 1 -N 6 -M 10 -A -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 2 -JRip -E -N 8 -F 5 -O 6 -J48 -U -M 6 
gen_000_ind_001,true,confidenceFactor,false,false,0.25,null,true,true,null,null,true,false,0.15,true,null,3,null,confidenceFactor,null,false,true,null,true,true,null,true,false,null,CompetenceBasedAggregator,false,true,5,3,null,null,false,null,null,true,3,null,null,null,-PART -M 3 -C 0.25 -doNotMakeSplitPointActualValue -SimpleCart -U -M 5 -Aggregator CompetenceBasedAggregator -JRip -P -N 3 -J48 -J -C 0.15 -doNotMakeSplitPointActualValue -B -M 3 -S 
gen_000_ind_002,null,reducedErrorPruning,false,true,0.05,10,true,false,0,5,true,true,null,true,null,9,null,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,false,true,null,true,true,mae,CompetenceBasedAggregator,false,true,3,null,null,null,false,7,null,false,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E mae -X 10 -PART -M 9 -C 0.05 -B -SimpleCart -U -M 3 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -J48 -J -R -Q 1 -B -M 9 -N 7 
gen_000_ind_003,true,null,false,null,null,7,null,true,null,null,false,true,null,true,null,6,null,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,RuleExtractorAggregator,null,null,7,2,null,6,null,null,false,null,null,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -I -E auc -X 7 -GreedyStepwise -B -PART -M 6 -R -Q 1 -N 6 -SimpleCart -H -U -M 7 -Aggregator RuleExtractorAggregator -JRip -P -N 2 
gen_000_ind_004,true,unpruned,true,null,0.05,9,true,true,2,4,true,true,null,true,null,4,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,6,false,false,rmse,MajorityVotingAggregator,true,false,7,10,null,null,true,null,null,false,4,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E rmse -X 9 -PART -M 4 -C 0.05 -doNotMakeSplitPointActualValue -J -SimpleCart -H -C 1.0 -S 1 -N 6 -M 7 -A -Aggregator MajorityVotingAggregator -BestFirst -N 4 -D 2 -JRip -P -N 10 -J48 -U -A -B -O -M 4 
gen_000_ind_005,true,confidenceFactor,false,false,0.05,4,true,true,0,4,true,true,0.45,true,4,8,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,true,9,9,4,null,true,null,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E auc -X 4 -PART -M 8 -C 0.05 -SimpleCart -U -M 9 -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 0 -JRip -N 9 -F 4 -O 4 -J48 -C 0.45 -B -M 3 -S 
gen_000_ind_006,false,confidenceFactor,null,false,null,8,false,true,null,null,true,true,0.05,true,null,6,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,mae,MajorityVotingAggregator,false,false,null,5,null,null,true,null,true,false,3,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E mae -X 8 -GreedyStepwise -C -PART -M 6 -U -B -Aggregator MajorityVotingAggregator -JRip -E -P -N 5 -J48 -C 0.05 -O -M 3 -S 
gen_000_ind_007,false,unpruned,false,null,0.25,3,false,true,2,4,true,true,null,true,null,8,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,rmse,CompetenceBasedAggregator,true,false,3,2,null,null,false,null,null,false,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E rmse -X 3 -PART -M 8 -C 0.25 -B -doNotMakeSplitPointActualValue -SimpleCart -U -M 3 -Aggregator CompetenceBasedAggregator -BestFirst -N 4 -D 2 -JRip -E -P -N 2 -J48 -J -U -A -O -M 7 
gen_000_ind_008,null,unpruned,false,null,null,6,false,false,null,null,true,true,null,true,null,2,null,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,false,false,8,null,null,3,false,null,true,true,9,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 6 -GreedyStepwise -B -C -PART -M 2 -R -Q 1 -N 3 -doNotMakeSplitPointActualValue -SimpleCart -U -M 8 -Aggregator MajorityVotingAggregator -J48 -J -U -doNotMakeSplitPointActualValue -O -M 9 
