individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,reducedErrorPruning,true,true,0.25,1,true,true,1,9,true,true,null,true,10,9,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,10,false,true,rmse,CompetenceBasedAggregator,false,true,7,5,7,null,true,3,null,false,8,null,null,0.7696245242293266,-DecisionTable -X 1 -E rmse -S weka.attributeSelection.BestFirst -PART -M 9 -B -C 0.25 -SimpleCart -C 1.0 -S 1 -N 10 -M 7 -H -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 9 -JRip -N 5 -E -O 10 -F 7 -J48 -M 8 -B -R -Q 1 -N 3 
gen_000_ind_000,false,reducedErrorPruning,true,true,0.25,1,true,true,1,9,true,true,null,true,10,9,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,10,false,true,rmse,CompetenceBasedAggregator,false,true,7,5,7,null,true,3,null,false,8,null,null,null,-DecisionTable -X 1 -E rmse -S weka.attributeSelection.BestFirst -PART -M 9 -B -C 0.25 -SimpleCart -C 1.0 -S 1 -N 10 -M 7 -H -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 9 -JRip -N 5 -E -O 10 -F 7 -J48 -M 8 -B -R -Q 1 -N 3 
gen_000_ind_001,true,unpruned,false,null,0.05,null,false,true,null,null,true,false,null,true,null,2,null,confidenceFactor,null,false,true,null,true,true,null,true,true,null,MajorityVotingAggregator,true,true,9,9,null,null,true,null,null,false,3,null,null,null,-PART -M 2 -doNotMakeSplitPointActualValue -B -C 0.05 -SimpleCart -U -M 9 -Aggregator MajorityVotingAggregator -JRip -N 9 -P -J48 -A -M 3 -U 
gen_000_ind_002,true,confidenceFactor,false,true,null,10,true,true,1,9,true,true,0.05,false,10,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,false,null,auc,MajorityVotingAggregator,true,true,10,8,5,null,false,null,null,true,6,null,null,null,-DecisionTable -I -X 10 -E auc -S weka.attributeSelection.BestFirst -SimpleCart -U -M 10 -H -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 9 -JRip -N 8 -O 10 -F 5 -J48 -A -doNotMakeSplitPointActualValue -M 6 -B -C 0.05 -J 
gen_000_ind_003,null,reducedErrorPruning,null,false,null,2,true,false,null,null,true,true,null,true,null,2,null,unpruned,false,null,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,auc,MajorityVotingAggregator,false,true,null,null,null,null,true,10,true,false,5,false,null,null,-DecisionTable -X 2 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 2 -B -J -U -Aggregator MajorityVotingAggregator -J48 -M 5 -B -R -Q 1 -N 10 -S 
gen_000_ind_004,true,confidenceFactor,true,true,null,5,true,true,1,7,true,true,0.05,true,8,6,false,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,10,true,true,auc,CompetenceBasedAggregator,true,true,5,8,3,9,false,null,null,false,3,null,null,null,-DecisionTable -I -X 5 -E auc -S weka.attributeSelection.BestFirst -PART -M 6 -B -R -Q 1 -N 9 -SimpleCart -C 1.0 -S 1 -N 10 -M 5 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 7 -JRip -N 8 -O 8 -F 3 -J48 -A -M 3 -B -C 0.05 -J 
gen_000_ind_005,false,confidenceFactor,false,false,null,1,false,true,null,null,true,true,0.35,true,null,6,null,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,rmse,CompetenceBasedAggregator,true,true,5,2,null,null,true,null,true,true,6,false,null,null,-DecisionTable -X 1 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 6 -B -J -U -SimpleCart -U -M 5 -H -Aggregator CompetenceBasedAggregator -JRip -N 2 -E -P -J48 -A -doNotMakeSplitPointActualValue -M 6 -C 0.35 -S 
gen_000_ind_006,null,null,true,null,null,3,null,false,null,null,false,true,null,true,null,2,false,reducedErrorPruning,true,null,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,auc,RuleExtractorAggregator,null,null,8,null,null,8,null,null,false,null,null,true,null,null,-DecisionTable -I -X 3 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -M 2 -R -Q 1 -N 8 -SimpleCart -C 1.0 -S 1 -N 3 -M 8 -Aggregator RuleExtractorAggregator 
gen_000_ind_007,true,reducedErrorPruning,true,false,null,9,false,true,null,null,true,true,null,true,4,5,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,true,auc,MajorityVotingAggregator,true,true,4,8,5,8,false,9,false,true,2,false,null,null,-DecisionTable -I -X 9 -E auc -S weka.attributeSelection.GreedyStepwise -PART -M 5 -B -R -Q 1 -N 8 -SimpleCart -C 1.0 -S 1 -N 2 -M 4 -H -Aggregator MajorityVotingAggregator -JRip -N 8 -O 4 -F 5 -J48 -A -doNotMakeSplitPointActualValue -M 2 -R -Q 1 -J -N 9 -S 
gen_000_ind_008,false,reducedErrorPruning,false,false,null,9,false,true,0,7,true,true,null,true,6,8,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,CompetenceBasedAggregator,true,true,3,4,8,3,true,2,null,true,2,null,null,null,-DecisionTable -X 9 -E auc -S weka.attributeSelection.BestFirst -PART -M 8 -doNotMakeSplitPointActualValue -R -Q 1 -N 3 -SimpleCart -U -M 3 -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 7 -JRip -N 4 -E -O 6 -F 8 -J48 -A -doNotMakeSplitPointActualValue -M 2 -R -Q 1 -N 2 -S 
